subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,airplane,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png
barlow_twins,1,2,NaN,car,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png
barlow_twins,1,3,NaN,knife,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png
barlow_twins,1,4,NaN,bottle,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png
barlow_twins,1,5,NaN,boat,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png
barlow_twins,1,6,NaN,clock,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png
barlow_twins,1,7,NaN,airplane,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png
barlow_twins,1,8,NaN,airplane,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png
barlow_twins,1,9,NaN,keyboard,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png
barlow_twins,1,10,NaN,car,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png
barlow_twins,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png
barlow_twins,1,12,NaN,oven,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png
barlow_twins,1,13,NaN,clock,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png
barlow_twins,1,14,NaN,bicycle,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png
barlow_twins,1,15,NaN,knife,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png
barlow_twins,1,16,NaN,clock,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png
barlow_twins,1,17,NaN,bicycle,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png
barlow_twins,1,18,NaN,knife,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png
barlow_twins,1,19,NaN,knife,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png
barlow_twins,1,20,NaN,bicycle,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png
barlow_twins,1,21,NaN,car,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png
barlow_twins,1,22,NaN,knife,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png
barlow_twins,1,23,NaN,airplane,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png
barlow_twins,1,24,NaN,car,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png
barlow_twins,1,25,NaN,oven,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png
barlow_twins,1,26,NaN,bicycle,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png
barlow_twins,1,27,NaN,oven,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png
barlow_twins,1,28,NaN,knife,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png
barlow_twins,1,29,NaN,airplane,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png
barlow_twins,1,30,NaN,knife,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png
barlow_twins,1,31,NaN,clock,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png
barlow_twins,1,32,NaN,boat,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png
barlow_twins,1,33,NaN,clock,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png
barlow_twins,1,34,NaN,airplane,knife,bw,0034_cl_dnn_bw_knife_40_n03041632_49363.png
barlow_twins,1,35,NaN,bicycle,cat,bw,0035_cl_dnn_bw_cat_40_n02123159_7854.png
barlow_twins,1,36,NaN,knife,knife,cr,0036_cl_dnn_cr_knife_40_n03041632_4708.png
barlow_twins,1,37,NaN,clock,chair,cr,0037_cl_dnn_cr_chair_40_n04429376_7788.png
barlow_twins,1,38,NaN,airplane,car,cr,0038_cl_dnn_cr_car_40_n03100240_9086.png
barlow_twins,1,39,NaN,airplane,chair,cr,0039_cl_dnn_cr_chair_40_n03376595_3038.png
barlow_twins,1,40,NaN,bicycle,truck,bw,0040_cl_dnn_bw_truck_40_n03796401_1758.png
barlow_twins,1,41,NaN,bear,boat,cr,0041_cl_dnn_cr_boat_40_n04273569_4324.png
barlow_twins,1,42,NaN,airplane,bear,cr,0042_cl_dnn_cr_bear_40_n02134084_1090.png
barlow_twins,1,43,NaN,oven,bicycle,bw,0043_cl_dnn_bw_bicycle_40_n03792782_13665.png
barlow_twins,1,44,NaN,airplane,knife,bw,0044_cl_dnn_bw_knife_40_n03041632_36215.png
barlow_twins,1,45,NaN,bottle,car,bw,0045_cl_dnn_bw_car_40_n04285008_7770.png
barlow_twins,1,46,NaN,airplane,bottle,cr,0046_cl_dnn_cr_bottle_40_n03983396_15260.png
barlow_twins,1,47,NaN,airplane,dog,cr,0047_cl_dnn_cr_dog_40_n02091635_6519.png
barlow_twins,1,48,NaN,elephant,elephant,cr,0048_cl_dnn_cr_elephant_40_n02504013_3485.png
barlow_twins,1,49,NaN,chair,oven,cr,0049_cl_dnn_cr_oven_40_n04111531_807.png
barlow_twins,1,50,NaN,airplane,oven,cr,0050_cl_dnn_cr_oven_40_n04111531_605.png
barlow_twins,1,51,NaN,clock,dog,bw,0051_cl_dnn_bw_dog_40_n02109047_2662.png
barlow_twins,1,52,NaN,airplane,truck,cr,0052_cl_dnn_cr_truck_40_n03417042_16038.png
barlow_twins,1,53,NaN,airplane,truck,bw,0053_cl_dnn_bw_truck_40_n03796401_1710.png
barlow_twins,1,54,NaN,clock,cat,cr,0054_cl_dnn_cr_cat_40_n02125311_20921.png
barlow_twins,1,55,NaN,clock,bear,cr,0055_cl_dnn_cr_bear_40_n02133161_575.png
barlow_twins,1,56,NaN,car,chair,bw,0056_cl_dnn_bw_chair_40_n04429376_21865.png
barlow_twins,1,57,NaN,clock,bird,bw,0057_cl_dnn_bw_bird_40_n01616318_26436.png
barlow_twins,1,58,NaN,airplane,oven,cr,0058_cl_dnn_cr_oven_40_n04111531_9498.png
barlow_twins,1,59,NaN,bicycle,bear,bw,0059_cl_dnn_bw_bear_40_n02134418_397.png
barlow_twins,1,60,NaN,car,chair,cr,0060_cl_dnn_cr_chair_40_n04099969_23961.png
barlow_twins,1,61,NaN,car,dog,bw,0061_cl_dnn_bw_dog_40_n02093256_7181.png
barlow_twins,1,62,NaN,clock,bicycle,cr,0062_cl_dnn_cr_bicycle_40_n02835271_26731.png
barlow_twins,1,63,NaN,knife,cat,cr,0063_cl_dnn_cr_cat_40_n02125311_12557.png
barlow_twins,1,64,NaN,airplane,dog,cr,0064_cl_dnn_cr_dog_40_n02093647_2890.png
barlow_twins,1,65,NaN,clock,knife,cr,0065_cl_dnn_cr_knife_40_n03041632_14293.png
barlow_twins,1,66,NaN,airplane,oven,bw,0066_cl_dnn_bw_oven_40_n04111531_20359.png
barlow_twins,1,67,NaN,knife,truck,bw,0067_cl_dnn_bw_truck_40_n04467665_12177.png
barlow_twins,1,68,NaN,boat,bicycle,cr,0068_cl_dnn_cr_bicycle_40_n02835271_19400.png
barlow_twins,1,69,NaN,knife,truck,cr,0069_cl_dnn_cr_truck_40_n03417042_1263.png
barlow_twins,1,70,NaN,oven,cat,bw,0070_cl_dnn_bw_cat_40_n02123045_8336.png
barlow_twins,1,71,NaN,oven,bear,bw,0071_cl_dnn_bw_bear_40_n02134418_5405.png
barlow_twins,1,72,NaN,bicycle,car,bw,0072_cl_dnn_bw_car_40_n04285008_2906.png
barlow_twins,1,73,NaN,clock,bird,cr,0073_cl_dnn_cr_bird_40_n01818515_10517.png
barlow_twins,1,74,NaN,car,truck,cr,0074_cl_dnn_cr_truck_40_n03796401_14203.png
barlow_twins,1,75,NaN,keyboard,bird,bw,0075_cl_dnn_bw_bird_40_n02009229_2503.png
barlow_twins,1,76,NaN,airplane,bottle,bw,0076_cl_dnn_bw_bottle_40_n02823428_6767.png
barlow_twins,1,77,NaN,oven,bicycle,bw,0077_cl_dnn_bw_bicycle_40_n02835271_12847.png
barlow_twins,1,78,NaN,knife,bicycle,cr,0078_cl_dnn_cr_bicycle_40_n02835271_24104.png
barlow_twins,1,79,NaN,bicycle,clock,cr,0079_cl_dnn_cr_clock_40_n04548280_77.png
barlow_twins,1,80,NaN,oven,cat,bw,0080_cl_dnn_bw_cat_40_n02123394_6698.png
barlow_twins,1,81,NaN,clock,keyboard,cr,0081_cl_dnn_cr_keyboard_40_n04505470_4356.png
barlow_twins,1,82,NaN,airplane,chair,cr,0082_cl_dnn_cr_chair_40_n04429376_16325.png
barlow_twins,1,83,NaN,bear,elephant,bw,0083_cl_dnn_bw_elephant_40_n02504458_6721.png
barlow_twins,1,84,NaN,knife,truck,cr,0084_cl_dnn_cr_truck_40_n03417042_6213.png
barlow_twins,1,85,NaN,car,dog,bw,0085_cl_dnn_bw_dog_40_n02097130_8277.png
barlow_twins,1,86,NaN,truck,bottle,cr,0086_cl_dnn_cr_bottle_40_n04557648_1856.png
barlow_twins,1,87,NaN,clock,bird,bw,0087_cl_dnn_bw_bird_40_n01531178_10905.png
barlow_twins,1,88,NaN,oven,bear,cr,0088_cl_dnn_cr_bear_40_n02133161_2202.png
barlow_twins,1,89,NaN,clock,elephant,cr,0089_cl_dnn_cr_elephant_40_n02504458_10439.png
barlow_twins,1,90,NaN,airplane,clock,cr,0090_cl_dnn_cr_clock_40_n02708093_6766.png
barlow_twins,1,91,NaN,airplane,bottle,bw,0091_cl_dnn_bw_bottle_40_n03983396_2057.png
barlow_twins,1,92,NaN,oven,knife,bw,0092_cl_dnn_bw_knife_40_n03041632_10000.png
barlow_twins,1,93,NaN,knife,cat,cr,0093_cl_dnn_cr_cat_40_n02125311_2959.png
barlow_twins,1,94,NaN,clock,car,bw,0094_cl_dnn_bw_car_40_n04285008_13759.png
barlow_twins,1,95,NaN,airplane,bottle,cr,0095_cl_dnn_cr_bottle_40_n03937543_396.png
barlow_twins,1,96,NaN,clock,boat,bw,0096_cl_dnn_bw_boat_40_n03662601_3984.png
barlow_twins,1,97,NaN,knife,truck,bw,0097_cl_dnn_bw_truck_40_n04467665_2230.png
barlow_twins,1,98,NaN,knife,boat,cr,0098_cl_dnn_cr_boat_40_n03662601_28640.png
barlow_twins,1,99,NaN,bicycle,cat,cr,0099_cl_dnn_cr_cat_40_n02124075_11039.png
barlow_twins,1,100,NaN,bicycle,knife,bw,0100_cl_dnn_bw_knife_40_n03041632_7380.png
barlow_twins,1,101,NaN,bicycle,cat,cr,0101_cl_dnn_cr_cat_40_n02123045_6607.png
barlow_twins,1,102,NaN,knife,chair,cr,0102_cl_dnn_cr_chair_40_n03376595_6704.png
barlow_twins,1,103,NaN,bicycle,bear,bw,0103_cl_dnn_bw_bear_40_n02133161_12187.png
barlow_twins,1,104,NaN,bear,dog,cr,0104_cl_dnn_cr_dog_40_n02110958_2363.png
barlow_twins,1,105,NaN,airplane,airplane,cr,0105_cl_dnn_cr_airplane_40_n02690373_19438.png
barlow_twins,1,106,NaN,car,bird,cr,0106_cl_dnn_cr_bird_40_n01855032_5511.png
barlow_twins,1,107,NaN,bear,boat,bw,0107_cl_dnn_bw_boat_40_n04273569_9821.png
barlow_twins,1,108,NaN,oven,bear,bw,0108_cl_dnn_bw_bear_40_n02133161_13461.png
barlow_twins,1,109,NaN,boat,dog,cr,0109_cl_dnn_cr_dog_40_n02113023_8552.png
barlow_twins,1,110,NaN,boat,elephant,cr,0110_cl_dnn_cr_elephant_40_n02504458_1600.png
barlow_twins,1,111,NaN,boat,chair,cr,0111_cl_dnn_cr_chair_40_n04099969_4205.png
barlow_twins,1,112,NaN,elephant,dog,bw,0112_cl_dnn_bw_dog_40_n02105505_2121.png
barlow_twins,1,113,NaN,clock,chair,cr,0113_cl_dnn_cr_chair_40_n02791124_4528.png
barlow_twins,1,114,NaN,clock,truck,bw,0114_cl_dnn_bw_truck_40_n03417042_5659.png
barlow_twins,1,115,NaN,clock,elephant,cr,0115_cl_dnn_cr_elephant_40_n02504013_10330.png
barlow_twins,1,116,NaN,elephant,cat,cr,0116_cl_dnn_cr_cat_40_n02123394_1594.png
barlow_twins,1,117,NaN,clock,bear,bw,0117_cl_dnn_bw_bear_40_n02132136_10654.png
barlow_twins,1,118,NaN,knife,bottle,bw,0118_cl_dnn_bw_bottle_40_n02823428_5265.png
barlow_twins,1,119,NaN,clock,truck,cr,0119_cl_dnn_cr_truck_40_n04467665_3125.png
barlow_twins,1,120,NaN,clock,airplane,cr,0120_cl_dnn_cr_airplane_40_n02690373_60.png
barlow_twins,1,121,NaN,clock,keyboard,cr,0121_cl_dnn_cr_keyboard_40_n03085013_21645.png
barlow_twins,1,122,NaN,clock,car,bw,0122_cl_dnn_bw_car_40_n03100240_9471.png
barlow_twins,1,123,NaN,airplane,boat,cr,0123_cl_dnn_cr_boat_40_n03344393_9818.png
barlow_twins,1,124,NaN,oven,elephant,bw,0124_cl_dnn_bw_elephant_40_n02504458_5444.png
barlow_twins,1,125,NaN,clock,bottle,bw,0125_cl_dnn_bw_bottle_40_n04557648_26823.png
barlow_twins,1,126,NaN,clock,bottle,cr,0126_cl_dnn_cr_bottle_40_n02823428_765.png
barlow_twins,1,127,NaN,oven,cat,bw,0127_cl_dnn_bw_cat_40_n02123045_1787.png
barlow_twins,1,128,NaN,clock,car,bw,0128_cl_dnn_bw_car_40_n02814533_35863.png
barlow_twins,1,129,NaN,clock,boat,bw,0129_cl_dnn_bw_boat_40_n02951358_7944.png
barlow_twins,1,130,NaN,clock,dog,bw,0130_cl_dnn_bw_dog_40_n02091467_3727.png
barlow_twins,1,131,NaN,oven,bicycle,cr,0131_cl_dnn_cr_bicycle_40_n02835271_5886.png
barlow_twins,1,132,NaN,knife,truck,bw,0132_cl_dnn_bw_truck_40_n04467665_18234.png
