subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,airplane,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png
dino_v8,1,2,NaN,elephant,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png
dino_v8,1,3,NaN,bear,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png
dino_v8,1,4,NaN,airplane,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png
dino_v8,1,5,NaN,bicycle,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png
dino_v8,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png
dino_v8,1,7,NaN,elephant,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png
dino_v8,1,8,NaN,cat,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png
dino_v8,1,9,NaN,bicycle,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png
dino_v8,1,10,NaN,bicycle,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png
dino_v8,1,11,NaN,cat,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png
dino_v8,1,12,NaN,truck,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png
dino_v8,1,13,NaN,cat,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png
dino_v8,1,14,NaN,airplane,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png
dino_v8,1,15,NaN,elephant,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png
dino_v8,1,16,NaN,cat,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png
dino_v8,1,17,NaN,airplane,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png
dino_v8,1,18,NaN,knife,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png
dino_v8,1,19,NaN,oven,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png
dino_v8,1,20,NaN,keyboard,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png
dino_v8,1,21,NaN,bear,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png
dino_v8,1,22,NaN,elephant,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png
dino_v8,1,23,NaN,bicycle,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png
dino_v8,1,24,NaN,truck,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png
dino_v8,1,25,NaN,clock,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png
dino_v8,1,26,NaN,chair,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png
dino_v8,1,27,NaN,clock,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png
dino_v8,1,28,NaN,bear,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png
dino_v8,1,29,NaN,boat,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png
dino_v8,1,30,NaN,oven,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png
dino_v8,1,31,NaN,bicycle,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png
dino_v8,1,32,NaN,truck,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png
dino_v8,1,33,NaN,chair,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png
dino_v8,1,34,NaN,car,knife,bw,0034_cl_dnn_bw_knife_40_n03041632_49363.png
dino_v8,1,35,NaN,airplane,cat,bw,0035_cl_dnn_bw_cat_40_n02123159_7854.png
dino_v8,1,36,NaN,cat,knife,cr,0036_cl_dnn_cr_knife_40_n03041632_4708.png
dino_v8,1,37,NaN,bicycle,chair,cr,0037_cl_dnn_cr_chair_40_n04429376_7788.png
dino_v8,1,38,NaN,airplane,car,cr,0038_cl_dnn_cr_car_40_n03100240_9086.png
dino_v8,1,39,NaN,car,chair,cr,0039_cl_dnn_cr_chair_40_n03376595_3038.png
dino_v8,1,40,NaN,clock,truck,bw,0040_cl_dnn_bw_truck_40_n03796401_1758.png
dino_v8,1,41,NaN,elephant,boat,cr,0041_cl_dnn_cr_boat_40_n04273569_4324.png
dino_v8,1,42,NaN,airplane,bear,cr,0042_cl_dnn_cr_bear_40_n02134084_1090.png
dino_v8,1,43,NaN,clock,bicycle,bw,0043_cl_dnn_bw_bicycle_40_n03792782_13665.png
dino_v8,1,44,NaN,cat,knife,bw,0044_cl_dnn_bw_knife_40_n03041632_36215.png
dino_v8,1,45,NaN,airplane,car,bw,0045_cl_dnn_bw_car_40_n04285008_7770.png
dino_v8,1,46,NaN,bear,bottle,cr,0046_cl_dnn_cr_bottle_40_n03983396_15260.png
dino_v8,1,47,NaN,elephant,dog,cr,0047_cl_dnn_cr_dog_40_n02091635_6519.png
dino_v8,1,48,NaN,airplane,elephant,cr,0048_cl_dnn_cr_elephant_40_n02504013_3485.png
dino_v8,1,49,NaN,oven,oven,cr,0049_cl_dnn_cr_oven_40_n04111531_807.png
dino_v8,1,50,NaN,chair,oven,cr,0050_cl_dnn_cr_oven_40_n04111531_605.png
dino_v8,1,51,NaN,airplane,dog,bw,0051_cl_dnn_bw_dog_40_n02109047_2662.png
dino_v8,1,52,NaN,knife,truck,cr,0052_cl_dnn_cr_truck_40_n03417042_16038.png
dino_v8,1,53,NaN,clock,truck,bw,0053_cl_dnn_bw_truck_40_n03796401_1710.png
dino_v8,1,54,NaN,airplane,cat,cr,0054_cl_dnn_cr_cat_40_n02125311_20921.png
dino_v8,1,55,NaN,truck,bear,cr,0055_cl_dnn_cr_bear_40_n02133161_575.png
dino_v8,1,56,NaN,boat,chair,bw,0056_cl_dnn_bw_chair_40_n04429376_21865.png
dino_v8,1,57,NaN,keyboard,bird,bw,0057_cl_dnn_bw_bird_40_n01616318_26436.png
dino_v8,1,58,NaN,oven,oven,cr,0058_cl_dnn_cr_oven_40_n04111531_9498.png
dino_v8,1,59,NaN,truck,bear,bw,0059_cl_dnn_bw_bear_40_n02134418_397.png
dino_v8,1,60,NaN,bicycle,chair,cr,0060_cl_dnn_cr_chair_40_n04099969_23961.png
dino_v8,1,61,NaN,clock,dog,bw,0061_cl_dnn_bw_dog_40_n02093256_7181.png
dino_v8,1,62,NaN,cat,bicycle,cr,0062_cl_dnn_cr_bicycle_40_n02835271_26731.png
dino_v8,1,63,NaN,elephant,cat,cr,0063_cl_dnn_cr_cat_40_n02125311_12557.png
dino_v8,1,64,NaN,knife,dog,cr,0064_cl_dnn_cr_dog_40_n02093647_2890.png
dino_v8,1,65,NaN,chair,knife,cr,0065_cl_dnn_cr_knife_40_n03041632_14293.png
dino_v8,1,66,NaN,airplane,oven,bw,0066_cl_dnn_bw_oven_40_n04111531_20359.png
dino_v8,1,67,NaN,knife,truck,bw,0067_cl_dnn_bw_truck_40_n04467665_12177.png
dino_v8,1,68,NaN,oven,bicycle,cr,0068_cl_dnn_cr_bicycle_40_n02835271_19400.png
dino_v8,1,69,NaN,car,truck,cr,0069_cl_dnn_cr_truck_40_n03417042_1263.png
dino_v8,1,70,NaN,airplane,cat,bw,0070_cl_dnn_bw_cat_40_n02123045_8336.png
dino_v8,1,71,NaN,airplane,bear,bw,0071_cl_dnn_bw_bear_40_n02134418_5405.png
dino_v8,1,72,NaN,airplane,car,bw,0072_cl_dnn_bw_car_40_n04285008_2906.png
dino_v8,1,73,NaN,oven,bird,cr,0073_cl_dnn_cr_bird_40_n01818515_10517.png
dino_v8,1,74,NaN,clock,truck,cr,0074_cl_dnn_cr_truck_40_n03796401_14203.png
dino_v8,1,75,NaN,clock,bird,bw,0075_cl_dnn_bw_bird_40_n02009229_2503.png
dino_v8,1,76,NaN,bicycle,bottle,bw,0076_cl_dnn_bw_bottle_40_n02823428_6767.png
dino_v8,1,77,NaN,cat,bicycle,bw,0077_cl_dnn_bw_bicycle_40_n02835271_12847.png
dino_v8,1,78,NaN,cat,bicycle,cr,0078_cl_dnn_cr_bicycle_40_n02835271_24104.png
dino_v8,1,79,NaN,knife,clock,cr,0079_cl_dnn_cr_clock_40_n04548280_77.png
dino_v8,1,80,NaN,oven,cat,bw,0080_cl_dnn_bw_cat_40_n02123394_6698.png
dino_v8,1,81,NaN,truck,keyboard,cr,0081_cl_dnn_cr_keyboard_40_n04505470_4356.png
dino_v8,1,82,NaN,bicycle,chair,cr,0082_cl_dnn_cr_chair_40_n04429376_16325.png
dino_v8,1,83,NaN,clock,elephant,bw,0083_cl_dnn_bw_elephant_40_n02504458_6721.png
dino_v8,1,84,NaN,knife,truck,cr,0084_cl_dnn_cr_truck_40_n03417042_6213.png
dino_v8,1,85,NaN,oven,dog,bw,0085_cl_dnn_bw_dog_40_n02097130_8277.png
dino_v8,1,86,NaN,oven,bottle,cr,0086_cl_dnn_cr_bottle_40_n04557648_1856.png
dino_v8,1,87,NaN,cat,bird,bw,0087_cl_dnn_bw_bird_40_n01531178_10905.png
dino_v8,1,88,NaN,clock,bear,cr,0088_cl_dnn_cr_bear_40_n02133161_2202.png
dino_v8,1,89,NaN,cat,elephant,cr,0089_cl_dnn_cr_elephant_40_n02504458_10439.png
dino_v8,1,90,NaN,cat,clock,cr,0090_cl_dnn_cr_clock_40_n02708093_6766.png
dino_v8,1,91,NaN,airplane,bottle,bw,0091_cl_dnn_bw_bottle_40_n03983396_2057.png
dino_v8,1,92,NaN,elephant,knife,bw,0092_cl_dnn_bw_knife_40_n03041632_10000.png
dino_v8,1,93,NaN,airplane,cat,cr,0093_cl_dnn_cr_cat_40_n02125311_2959.png
dino_v8,1,94,NaN,airplane,car,bw,0094_cl_dnn_bw_car_40_n04285008_13759.png
dino_v8,1,95,NaN,bicycle,bottle,cr,0095_cl_dnn_cr_bottle_40_n03937543_396.png
dino_v8,1,96,NaN,knife,boat,bw,0096_cl_dnn_bw_boat_40_n03662601_3984.png
dino_v8,1,97,NaN,knife,truck,bw,0097_cl_dnn_bw_truck_40_n04467665_2230.png
dino_v8,1,98,NaN,chair,boat,cr,0098_cl_dnn_cr_boat_40_n03662601_28640.png
dino_v8,1,99,NaN,car,cat,cr,0099_cl_dnn_cr_cat_40_n02124075_11039.png
dino_v8,1,100,NaN,elephant,knife,bw,0100_cl_dnn_bw_knife_40_n03041632_7380.png
dino_v8,1,101,NaN,car,cat,cr,0101_cl_dnn_cr_cat_40_n02123045_6607.png
dino_v8,1,102,NaN,chair,chair,cr,0102_cl_dnn_cr_chair_40_n03376595_6704.png
dino_v8,1,103,NaN,airplane,bear,bw,0103_cl_dnn_bw_bear_40_n02133161_12187.png
dino_v8,1,104,NaN,cat,dog,cr,0104_cl_dnn_cr_dog_40_n02110958_2363.png
dino_v8,1,105,NaN,boat,airplane,cr,0105_cl_dnn_cr_airplane_40_n02690373_19438.png
dino_v8,1,106,NaN,clock,bird,cr,0106_cl_dnn_cr_bird_40_n01855032_5511.png
