subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,elephant,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png
mlp_mixer_b_in21,1,2,NaN,dog,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png
mlp_mixer_b_in21,1,3,NaN,dog,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png
mlp_mixer_b_in21,1,4,NaN,bird,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png
mlp_mixer_b_in21,1,5,NaN,bird,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png
mlp_mixer_b_in21,1,6,NaN,dog,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png
mlp_mixer_b_in21,1,7,NaN,bird,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png
mlp_mixer_b_in21,1,8,NaN,car,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png
mlp_mixer_b_in21,1,9,NaN,car,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png
mlp_mixer_b_in21,1,10,NaN,bird,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png
mlp_mixer_b_in21,1,11,NaN,dog,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png
mlp_mixer_b_in21,1,12,NaN,bird,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png
mlp_mixer_b_in21,1,13,NaN,dog,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png
mlp_mixer_b_in21,1,14,NaN,car,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png
mlp_mixer_b_in21,1,15,NaN,dog,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png
mlp_mixer_b_in21,1,16,NaN,dog,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png
mlp_mixer_b_in21,1,17,NaN,dog,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png
mlp_mixer_b_in21,1,18,NaN,car,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png
mlp_mixer_b_in21,1,19,NaN,car,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png
mlp_mixer_b_in21,1,20,NaN,clock,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png
mlp_mixer_b_in21,1,21,NaN,dog,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png
mlp_mixer_b_in21,1,22,NaN,chair,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png
mlp_mixer_b_in21,1,23,NaN,bird,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png
mlp_mixer_b_in21,1,24,NaN,truck,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png
mlp_mixer_b_in21,1,25,NaN,bird,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png
mlp_mixer_b_in21,1,26,NaN,elephant,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png
mlp_mixer_b_in21,1,27,NaN,dog,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png
mlp_mixer_b_in21,1,28,NaN,bird,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png
mlp_mixer_b_in21,1,29,NaN,dog,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png
mlp_mixer_b_in21,1,30,NaN,dog,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png
mlp_mixer_b_in21,1,31,NaN,dog,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png
mlp_mixer_b_in21,1,32,NaN,dog,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png
mlp_mixer_b_in21,1,33,NaN,elephant,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png
mlp_mixer_b_in21,1,34,NaN,bicycle,knife,bw,0034_cl_dnn_bw_knife_40_n03041632_49363.png
mlp_mixer_b_in21,1,35,NaN,dog,cat,bw,0035_cl_dnn_bw_cat_40_n02123159_7854.png
mlp_mixer_b_in21,1,36,NaN,bird,knife,cr,0036_cl_dnn_cr_knife_40_n03041632_4708.png
