subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,oven,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
barlow_twins,1,2,NaN,knife,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
barlow_twins,1,3,NaN,bicycle,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
barlow_twins,1,4,NaN,bicycle,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
barlow_twins,1,5,NaN,bicycle,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
barlow_twins,1,6,NaN,bicycle,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
barlow_twins,1,7,NaN,keyboard,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
barlow_twins,1,8,NaN,bicycle,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
barlow_twins,1,9,NaN,knife,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
barlow_twins,1,10,NaN,car,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
barlow_twins,1,11,NaN,bicycle,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
barlow_twins,1,12,NaN,bicycle,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
barlow_twins,1,13,NaN,oven,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
barlow_twins,1,14,NaN,clock,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
barlow_twins,1,15,NaN,knife,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
barlow_twins,1,16,NaN,knife,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
barlow_twins,1,17,NaN,clock,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
barlow_twins,1,18,NaN,knife,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
barlow_twins,1,19,NaN,airplane,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
barlow_twins,1,20,NaN,bicycle,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
barlow_twins,1,21,NaN,car,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
barlow_twins,1,22,NaN,keyboard,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
barlow_twins,1,23,NaN,knife,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
barlow_twins,1,24,NaN,knife,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
barlow_twins,1,25,NaN,oven,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
barlow_twins,1,26,NaN,bicycle,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
barlow_twins,1,27,NaN,clock,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
barlow_twins,1,28,NaN,oven,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
barlow_twins,1,29,NaN,bicycle,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
barlow_twins,1,30,NaN,bicycle,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
barlow_twins,1,31,NaN,bicycle,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
barlow_twins,1,32,NaN,knife,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png
barlow_twins,1,33,NaN,clock,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png
barlow_twins,1,34,NaN,airplane,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png
barlow_twins,1,35,NaN,clock,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png
barlow_twins,1,36,NaN,airplane,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png
barlow_twins,1,37,NaN,clock,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png
barlow_twins,1,38,NaN,knife,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png
barlow_twins,1,39,NaN,boat,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png
barlow_twins,1,40,NaN,chair,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png
barlow_twins,1,41,NaN,elephant,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png
