subj,session,trial,rt,object_response,category,condition,imagename
clip_14,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
clip_14,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
clip_14,1,3,NaN,boat,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
clip_14,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
clip_14,1,5,NaN,truck,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
clip_14,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
clip_14,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
clip_14,1,8,NaN,bird,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
clip_14,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
clip_14,1,10,NaN,bicycle,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
clip_14,1,11,NaN,bottle,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
clip_14,1,12,NaN,keyboard,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
clip_14,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
clip_14,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
clip_14,1,15,NaN,clock,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
clip_14,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
clip_14,1,17,NaN,boat,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
clip_14,1,18,NaN,clock,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
clip_14,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
clip_14,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
clip_14,1,21,NaN,car,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
clip_14,1,22,NaN,bicycle,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
clip_14,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
clip_14,1,24,NaN,car,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
clip_14,1,25,NaN,bicycle,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
clip_14,1,26,NaN,chair,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
clip_14,1,27,NaN,boat,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
clip_14,1,28,NaN,bicycle,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
clip_14,1,29,NaN,bottle,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
clip_14,1,30,NaN,car,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
clip_14,1,31,NaN,bird,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
clip_14,1,32,NaN,airplane,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png
clip_14,1,33,NaN,bicycle,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png
clip_14,1,34,NaN,bicycle,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png
clip_14,1,35,NaN,elephant,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png
clip_14,1,36,NaN,boat,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png
clip_14,1,37,NaN,boat,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png
clip_14,1,38,NaN,keyboard,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png
clip_14,1,39,NaN,elephant,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png
clip_14,1,40,NaN,car,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png
clip_14,1,41,NaN,dog,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png
clip_14,1,42,NaN,bear,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png
clip_14,1,43,NaN,bottle,bottle,c100,0043_cop_dnn_c100_bottle_10_n04560804_14130.png
clip_14,1,44,NaN,cat,cat,c30,0044_cop_dnn_c30_cat_10_n02124075_11970.png
clip_14,1,45,NaN,dog,dog,c03,0045_cop_dnn_c03_dog_10_n02093991_247.png
clip_14,1,46,NaN,keyboard,keyboard,c100,0046_cop_dnn_c100_keyboard_10_n04505470_375.png
clip_14,1,47,NaN,bear,bear,c100,0047_cop_dnn_c100_bear_10_n02134418_4372.png
clip_14,1,48,NaN,keyboard,boat,c01,0048_cop_dnn_c01_boat_10_n03344393_2838.png
clip_14,1,49,NaN,bicycle,bicycle,c05,0049_cop_dnn_c05_bicycle_10_n02835271_4935.png
clip_14,1,50,NaN,airplane,airplane,c50,0050_cop_dnn_c50_airplane_10_n02690373_5382.png
clip_14,1,51,NaN,dog,bottle,c100,0051_cop_dnn_c100_bottle_10_n03937543_2123.png
clip_14,1,52,NaN,dog,dog,c30,0052_cop_dnn_c30_dog_10_n02097474_5234.png
clip_14,1,53,NaN,bottle,bottle,c100,0053_cop_dnn_c100_bottle_10_n02823428_6050.png
clip_14,1,54,NaN,clock,clock,c15,0054_cop_dnn_c15_clock_10_n02708093_3743.png
clip_14,1,55,NaN,knife,knife,c03,0055_cop_dnn_c03_knife_10_n03041632_55083.png
clip_14,1,56,NaN,knife,knife,c50,0056_cop_dnn_c50_knife_10_n03041632_41310.png
clip_14,1,57,NaN,keyboard,knife,c03,0057_cop_dnn_c03_knife_10_n03041632_99799.png
clip_14,1,58,NaN,dog,dog,c15,0058_cop_dnn_c15_dog_10_n02094114_8231.png
clip_14,1,59,NaN,clock,chair,c01,0059_cop_dnn_c01_chair_10_n03376595_6173.png
clip_14,1,60,NaN,oven,oven,c05,0060_cop_dnn_c05_oven_10_n04111531_9297.png
clip_14,1,61,NaN,car,car,c10,0061_cop_dnn_c10_car_10_n03100240_24420.png
clip_14,1,62,NaN,elephant,elephant,c100,0062_cop_dnn_c100_elephant_10_n02504013_2340.png
clip_14,1,63,NaN,bicycle,bicycle,c05,0063_cop_dnn_c05_bicycle_10_n02835271_10104.png
clip_14,1,64,NaN,bicycle,bicycle,c15,0064_cop_dnn_c15_bicycle_10_n03792782_7165.png
clip_14,1,65,NaN,knife,knife,c10,0065_cop_dnn_c10_knife_10_n03041632_14817.png
clip_14,1,66,NaN,clock,clock,c15,0066_cop_dnn_c15_clock_10_n02708093_118.png
clip_14,1,67,NaN,airplane,airplane,c10,0067_cop_dnn_c10_airplane_10_n02690373_4298.png
clip_14,1,68,NaN,knife,knife,c100,0068_cop_dnn_c100_knife_10_n03041632_50034.png
clip_14,1,69,NaN,chair,chair,c03,0069_cop_dnn_c03_chair_10_n02791124_1333.png
clip_14,1,70,NaN,clock,clock,c01,0070_cop_dnn_c01_clock_10_n02708093_2318.png
clip_14,1,71,NaN,elephant,elephant,c01,0071_cop_dnn_c01_elephant_10_n02504013_3864.png
clip_14,1,72,NaN,chair,chair,c10,0072_cop_dnn_c10_chair_10_n04429376_56624.png
clip_14,1,73,NaN,airplane,airplane,c30,0073_cop_dnn_c30_airplane_10_n02690373_7004.png
clip_14,1,74,NaN,oven,oven,c30,0074_cop_dnn_c30_oven_10_n04111531_9692.png
clip_14,1,75,NaN,truck,truck,c50,0075_cop_dnn_c50_truck_10_n03796401_296.png
clip_14,1,76,NaN,airplane,airplane,c15,0076_cop_dnn_c15_airplane_10_n02690373_1837.png
clip_14,1,77,NaN,airplane,airplane,c03,0077_cop_dnn_c03_airplane_10_n02690373_10203.png
clip_14,1,78,NaN,boat,boat,c03,0078_cop_dnn_c03_boat_10_n02951358_34234.png
clip_14,1,79,NaN,bicycle,bicycle,c100,0079_cop_dnn_c100_bicycle_10_n02835271_2885.png
clip_14,1,80,NaN,airplane,airplane,c30,0080_cop_dnn_c30_airplane_10_n02690373_5247.png
clip_14,1,81,NaN,clock,clock,c50,0081_cop_dnn_c50_clock_10_n02708093_596.png
clip_14,1,82,NaN,clock,chair,c01,0082_cop_dnn_c01_chair_10_n03376595_1364.png
clip_14,1,83,NaN,cat,cat,c03,0083_cop_dnn_c03_cat_10_n02124075_12430.png
clip_14,1,84,NaN,cat,cat,c05,0084_cop_dnn_c05_cat_10_n02123159_5487.png
clip_14,1,85,NaN,bicycle,bicycle,c50,0085_cop_dnn_c50_bicycle_10_n03792782_17571.png
clip_14,1,86,NaN,cat,cat,c50,0086_cop_dnn_c50_cat_10_n02123159_6132.png
clip_14,1,87,NaN,clock,bottle,c05,0087_cop_dnn_c05_bottle_10_n03937543_2873.png
clip_14,1,88,NaN,keyboard,keyboard,c15,0088_cop_dnn_c15_keyboard_10_n04505470_1236.png
clip_14,1,89,NaN,airplane,airplane,c01,0089_cop_dnn_c01_airplane_10_n02690373_4243.png
clip_14,1,90,NaN,oven,oven,c30,0090_cop_dnn_c30_oven_10_n04111531_467.png
clip_14,1,91,NaN,cat,cat,c03,0091_cop_dnn_c03_cat_10_n02123394_2632.png
clip_14,1,92,NaN,chair,chair,c15,0092_cop_dnn_c15_chair_10_n02791124_5268.png
clip_14,1,93,NaN,knife,knife,c100,0093_cop_dnn_c100_knife_10_n03041632_1143.png
clip_14,1,94,NaN,chair,chair,c10,0094_cop_dnn_c10_chair_10_n02791124_1018.png
clip_14,1,95,NaN,bicycle,bicycle,c05,0095_cop_dnn_c05_bicycle_10_n03792782_8057.png
clip_14,1,96,NaN,bear,bear,c30,0096_cop_dnn_c30_bear_10_n02132136_1338.png
clip_14,1,97,NaN,clock,clock,c05,0097_cop_dnn_c05_clock_10_n02708093_4798.png
clip_14,1,98,NaN,airplane,truck,c01,0098_cop_dnn_c01_truck_10_n03796401_15046.png
