subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,elephant,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
dino_v8,1,2,NaN,cat,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
dino_v8,1,3,NaN,bottle,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
dino_v8,1,4,NaN,knife,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
dino_v8,1,5,NaN,boat,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
dino_v8,1,6,NaN,bear,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
dino_v8,1,7,NaN,airplane,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
dino_v8,1,8,NaN,airplane,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
dino_v8,1,9,NaN,cat,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
dino_v8,1,10,NaN,airplane,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
dino_v8,1,11,NaN,airplane,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
dino_v8,1,12,NaN,clock,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
dino_v8,1,13,NaN,cat,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
dino_v8,1,14,NaN,boat,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
dino_v8,1,15,NaN,bottle,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
dino_v8,1,16,NaN,boat,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
dino_v8,1,17,NaN,airplane,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
dino_v8,1,18,NaN,knife,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
dino_v8,1,19,NaN,bear,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
dino_v8,1,20,NaN,oven,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
dino_v8,1,21,NaN,airplane,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
dino_v8,1,22,NaN,car,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
dino_v8,1,23,NaN,oven,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
dino_v8,1,24,NaN,bottle,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
dino_v8,1,25,NaN,bottle,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
dino_v8,1,26,NaN,bicycle,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
dino_v8,1,27,NaN,clock,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
dino_v8,1,28,NaN,bottle,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
dino_v8,1,29,NaN,airplane,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
dino_v8,1,30,NaN,oven,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
dino_v8,1,31,NaN,airplane,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
dino_v8,1,32,NaN,knife,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png
dino_v8,1,33,NaN,bottle,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png
dino_v8,1,34,NaN,car,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png
dino_v8,1,35,NaN,airplane,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png
dino_v8,1,36,NaN,elephant,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png
dino_v8,1,37,NaN,truck,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png
dino_v8,1,38,NaN,cat,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png
dino_v8,1,39,NaN,knife,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png
dino_v8,1,40,NaN,airplane,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png
dino_v8,1,41,NaN,airplane,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png
dino_v8,1,42,NaN,oven,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png
dino_v8,1,43,NaN,airplane,bottle,c100,0043_cop_dnn_c100_bottle_10_n04560804_14130.png
dino_v8,1,44,NaN,airplane,cat,c30,0044_cop_dnn_c30_cat_10_n02124075_11970.png
dino_v8,1,45,NaN,bottle,dog,c03,0045_cop_dnn_c03_dog_10_n02093991_247.png
dino_v8,1,46,NaN,bicycle,keyboard,c100,0046_cop_dnn_c100_keyboard_10_n04505470_375.png
dino_v8,1,47,NaN,car,bear,c100,0047_cop_dnn_c100_bear_10_n02134418_4372.png
dino_v8,1,48,NaN,knife,boat,c01,0048_cop_dnn_c01_boat_10_n03344393_2838.png
dino_v8,1,49,NaN,oven,bicycle,c05,0049_cop_dnn_c05_bicycle_10_n02835271_4935.png
dino_v8,1,50,NaN,keyboard,airplane,c50,0050_cop_dnn_c50_airplane_10_n02690373_5382.png
dino_v8,1,51,NaN,boat,bottle,c100,0051_cop_dnn_c100_bottle_10_n03937543_2123.png
dino_v8,1,52,NaN,bicycle,dog,c30,0052_cop_dnn_c30_dog_10_n02097474_5234.png
dino_v8,1,53,NaN,bear,bottle,c100,0053_cop_dnn_c100_bottle_10_n02823428_6050.png
dino_v8,1,54,NaN,oven,clock,c15,0054_cop_dnn_c15_clock_10_n02708093_3743.png
dino_v8,1,55,NaN,airplane,knife,c03,0055_cop_dnn_c03_knife_10_n03041632_55083.png
dino_v8,1,56,NaN,bicycle,knife,c50,0056_cop_dnn_c50_knife_10_n03041632_41310.png
dino_v8,1,57,NaN,bottle,knife,c03,0057_cop_dnn_c03_knife_10_n03041632_99799.png
dino_v8,1,58,NaN,bicycle,dog,c15,0058_cop_dnn_c15_dog_10_n02094114_8231.png
dino_v8,1,59,NaN,boat,chair,c01,0059_cop_dnn_c01_chair_10_n03376595_6173.png
dino_v8,1,60,NaN,airplane,oven,c05,0060_cop_dnn_c05_oven_10_n04111531_9297.png
dino_v8,1,61,NaN,airplane,car,c10,0061_cop_dnn_c10_car_10_n03100240_24420.png
dino_v8,1,62,NaN,elephant,elephant,c100,0062_cop_dnn_c100_elephant_10_n02504013_2340.png
dino_v8,1,63,NaN,oven,bicycle,c05,0063_cop_dnn_c05_bicycle_10_n02835271_10104.png
dino_v8,1,64,NaN,oven,bicycle,c15,0064_cop_dnn_c15_bicycle_10_n03792782_7165.png
dino_v8,1,65,NaN,oven,knife,c10,0065_cop_dnn_c10_knife_10_n03041632_14817.png
dino_v8,1,66,NaN,oven,clock,c15,0066_cop_dnn_c15_clock_10_n02708093_118.png
dino_v8,1,67,NaN,oven,airplane,c10,0067_cop_dnn_c10_airplane_10_n02690373_4298.png
dino_v8,1,68,NaN,bear,knife,c100,0068_cop_dnn_c100_knife_10_n03041632_50034.png
dino_v8,1,69,NaN,oven,chair,c03,0069_cop_dnn_c03_chair_10_n02791124_1333.png
dino_v8,1,70,NaN,bottle,clock,c01,0070_cop_dnn_c01_clock_10_n02708093_2318.png
dino_v8,1,71,NaN,bottle,elephant,c01,0071_cop_dnn_c01_elephant_10_n02504013_3864.png
dino_v8,1,72,NaN,bottle,chair,c10,0072_cop_dnn_c10_chair_10_n04429376_56624.png
dino_v8,1,73,NaN,boat,airplane,c30,0073_cop_dnn_c30_airplane_10_n02690373_7004.png
dino_v8,1,74,NaN,airplane,oven,c30,0074_cop_dnn_c30_oven_10_n04111531_9692.png
dino_v8,1,75,NaN,cat,truck,c50,0075_cop_dnn_c50_truck_10_n03796401_296.png
dino_v8,1,76,NaN,oven,airplane,c15,0076_cop_dnn_c15_airplane_10_n02690373_1837.png
dino_v8,1,77,NaN,bottle,airplane,c03,0077_cop_dnn_c03_airplane_10_n02690373_10203.png
dino_v8,1,78,NaN,bottle,boat,c03,0078_cop_dnn_c03_boat_10_n02951358_34234.png
dino_v8,1,79,NaN,oven,bicycle,c100,0079_cop_dnn_c100_bicycle_10_n02835271_2885.png
dino_v8,1,80,NaN,oven,airplane,c30,0080_cop_dnn_c30_airplane_10_n02690373_5247.png
dino_v8,1,81,NaN,elephant,clock,c50,0081_cop_dnn_c50_clock_10_n02708093_596.png
dino_v8,1,82,NaN,knife,chair,c01,0082_cop_dnn_c01_chair_10_n03376595_1364.png
dino_v8,1,83,NaN,airplane,cat,c03,0083_cop_dnn_c03_cat_10_n02124075_12430.png
dino_v8,1,84,NaN,oven,cat,c05,0084_cop_dnn_c05_cat_10_n02123159_5487.png
dino_v8,1,85,NaN,oven,bicycle,c50,0085_cop_dnn_c50_bicycle_10_n03792782_17571.png
dino_v8,1,86,NaN,airplane,cat,c50,0086_cop_dnn_c50_cat_10_n02123159_6132.png
dino_v8,1,87,NaN,airplane,bottle,c05,0087_cop_dnn_c05_bottle_10_n03937543_2873.png
dino_v8,1,88,NaN,boat,keyboard,c15,0088_cop_dnn_c15_keyboard_10_n04505470_1236.png
dino_v8,1,89,NaN,oven,airplane,c01,0089_cop_dnn_c01_airplane_10_n02690373_4243.png
dino_v8,1,90,NaN,car,oven,c30,0090_cop_dnn_c30_oven_10_n04111531_467.png
dino_v8,1,91,NaN,oven,cat,c03,0091_cop_dnn_c03_cat_10_n02123394_2632.png
dino_v8,1,92,NaN,bicycle,chair,c15,0092_cop_dnn_c15_chair_10_n02791124_5268.png
dino_v8,1,93,NaN,chair,knife,c100,0093_cop_dnn_c100_knife_10_n03041632_1143.png
dino_v8,1,94,NaN,bicycle,chair,c10,0094_cop_dnn_c10_chair_10_n02791124_1018.png
dino_v8,1,95,NaN,boat,bicycle,c05,0095_cop_dnn_c05_bicycle_10_n03792782_8057.png
dino_v8,1,96,NaN,airplane,bear,c30,0096_cop_dnn_c30_bear_10_n02132136_1338.png
dino_v8,1,97,NaN,knife,clock,c05,0097_cop_dnn_c05_clock_10_n02708093_4798.png
dino_v8,1,98,NaN,knife,truck,c01,0098_cop_dnn_c01_truck_10_n03796401_15046.png
dino_v8,1,99,NaN,keyboard,knife,c50,0099_cop_dnn_c50_knife_10_n03041632_13612.png
dino_v8,1,100,NaN,oven,oven,c10,0100_cop_dnn_c10_oven_10_n04111531_1898.png
dino_v8,1,101,NaN,airplane,truck,c03,0101_cop_dnn_c03_truck_10_n04467665_28988.png
dino_v8,1,102,NaN,knife,airplane,c100,0102_cop_dnn_c100_airplane_10_n02690373_736.png
dino_v8,1,103,NaN,car,dog,c50,0103_cop_dnn_c50_dog_10_n02111500_5154.png
dino_v8,1,104,NaN,airplane,bear,c50,0104_cop_dnn_c50_bear_10_n02133161_13461.png
dino_v8,1,105,NaN,oven,dog,c15,0105_cop_dnn_c15_dog_10_n02102318_11746.png
dino_v8,1,106,NaN,chair,boat,c50,0106_cop_dnn_c50_boat_10_n03662601_12226.png
dino_v8,1,107,NaN,airplane,keyboard,c05,0107_cop_dnn_c05_keyboard_10_n04505470_3207.png
dino_v8,1,108,NaN,cat,bicycle,c30,0108_cop_dnn_c30_bicycle_10_n03792782_2628.png
dino_v8,1,109,NaN,knife,chair,c01,0109_cop_dnn_c01_chair_10_n02791124_3204.png
dino_v8,1,110,NaN,airplane,bottle,c03,0110_cop_dnn_c03_bottle_10_n04560804_722.png
dino_v8,1,111,NaN,oven,bicycle,c30,0111_cop_dnn_c30_bicycle_10_n03792782_8847.png
dino_v8,1,112,NaN,airplane,bear,c50,0112_cop_dnn_c50_bear_10_n02132136_1132.png
dino_v8,1,113,NaN,bicycle,knife,c50,0113_cop_dnn_c50_knife_10_n03041632_6557.png
dino_v8,1,114,NaN,chair,knife,c100,0114_cop_dnn_c100_knife_10_n03041632_35116.png
dino_v8,1,115,NaN,airplane,car,c15,0115_cop_dnn_c15_car_10_n02814533_3117.png
dino_v8,1,116,NaN,bear,bird,c15,0116_cop_dnn_c15_bird_10_n02009229_4224.png
dino_v8,1,117,NaN,bicycle,chair,c50,0117_cop_dnn_c50_chair_10_n03376595_9247.png
