subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_l_in21,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
mlp_mixer_l_in21,1,2,NaN,dog,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
mlp_mixer_l_in21,1,3,NaN,car,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
mlp_mixer_l_in21,1,4,NaN,chair,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
mlp_mixer_l_in21,1,5,NaN,car,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
mlp_mixer_l_in21,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
mlp_mixer_l_in21,1,7,NaN,car,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
mlp_mixer_l_in21,1,8,NaN,truck,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
mlp_mixer_l_in21,1,9,NaN,bird,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
mlp_mixer_l_in21,1,10,NaN,truck,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
mlp_mixer_l_in21,1,11,NaN,car,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
mlp_mixer_l_in21,1,12,NaN,chair,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
mlp_mixer_l_in21,1,13,NaN,truck,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
mlp_mixer_l_in21,1,14,NaN,truck,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
mlp_mixer_l_in21,1,15,NaN,chair,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
mlp_mixer_l_in21,1,16,NaN,chair,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
mlp_mixer_l_in21,1,17,NaN,chair,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
mlp_mixer_l_in21,1,18,NaN,truck,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
mlp_mixer_l_in21,1,19,NaN,bird,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
mlp_mixer_l_in21,1,20,NaN,truck,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
mlp_mixer_l_in21,1,21,NaN,chair,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
mlp_mixer_l_in21,1,22,NaN,truck,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
mlp_mixer_l_in21,1,23,NaN,truck,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
mlp_mixer_l_in21,1,24,NaN,chair,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
mlp_mixer_l_in21,1,25,NaN,car,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
mlp_mixer_l_in21,1,26,NaN,truck,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
mlp_mixer_l_in21,1,27,NaN,bird,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
mlp_mixer_l_in21,1,28,NaN,chair,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
mlp_mixer_l_in21,1,29,NaN,chair,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
mlp_mixer_l_in21,1,30,NaN,chair,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
mlp_mixer_l_in21,1,31,NaN,truck,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
mlp_mixer_l_in21,1,32,NaN,bird,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png
mlp_mixer_l_in21,1,33,NaN,chair,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png
mlp_mixer_l_in21,1,34,NaN,bird,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png
mlp_mixer_l_in21,1,35,NaN,dog,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png
mlp_mixer_l_in21,1,36,NaN,bird,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png
mlp_mixer_l_in21,1,37,NaN,truck,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png
mlp_mixer_l_in21,1,38,NaN,car,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png
mlp_mixer_l_in21,1,39,NaN,dog,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png
mlp_mixer_l_in21,1,40,NaN,bird,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png
mlp_mixer_l_in21,1,41,NaN,bird,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png
mlp_mixer_l_in21,1,42,NaN,chair,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png
mlp_mixer_l_in21,1,43,NaN,bird,bottle,c100,0043_cop_dnn_c100_bottle_10_n04560804_14130.png
mlp_mixer_l_in21,1,44,NaN,car,cat,c30,0044_cop_dnn_c30_cat_10_n02124075_11970.png
mlp_mixer_l_in21,1,45,NaN,car,dog,c03,0045_cop_dnn_c03_dog_10_n02093991_247.png
mlp_mixer_l_in21,1,46,NaN,car,keyboard,c100,0046_cop_dnn_c100_keyboard_10_n04505470_375.png
mlp_mixer_l_in21,1,47,NaN,dog,bear,c100,0047_cop_dnn_c100_bear_10_n02134418_4372.png
mlp_mixer_l_in21,1,48,NaN,chair,boat,c01,0048_cop_dnn_c01_boat_10_n03344393_2838.png
mlp_mixer_l_in21,1,49,NaN,truck,bicycle,c05,0049_cop_dnn_c05_bicycle_10_n02835271_4935.png
mlp_mixer_l_in21,1,50,NaN,clock,airplane,c50,0050_cop_dnn_c50_airplane_10_n02690373_5382.png
mlp_mixer_l_in21,1,51,NaN,clock,bottle,c100,0051_cop_dnn_c100_bottle_10_n03937543_2123.png
mlp_mixer_l_in21,1,52,NaN,car,dog,c30,0052_cop_dnn_c30_dog_10_n02097474_5234.png
mlp_mixer_l_in21,1,53,NaN,truck,bottle,c100,0053_cop_dnn_c100_bottle_10_n02823428_6050.png
mlp_mixer_l_in21,1,54,NaN,truck,clock,c15,0054_cop_dnn_c15_clock_10_n02708093_3743.png
mlp_mixer_l_in21,1,55,NaN,car,knife,c03,0055_cop_dnn_c03_knife_10_n03041632_55083.png
mlp_mixer_l_in21,1,56,NaN,car,knife,c50,0056_cop_dnn_c50_knife_10_n03041632_41310.png
mlp_mixer_l_in21,1,57,NaN,truck,knife,c03,0057_cop_dnn_c03_knife_10_n03041632_99799.png
mlp_mixer_l_in21,1,58,NaN,car,dog,c15,0058_cop_dnn_c15_dog_10_n02094114_8231.png
mlp_mixer_l_in21,1,59,NaN,car,chair,c01,0059_cop_dnn_c01_chair_10_n03376595_6173.png
mlp_mixer_l_in21,1,60,NaN,chair,oven,c05,0060_cop_dnn_c05_oven_10_n04111531_9297.png
mlp_mixer_l_in21,1,61,NaN,truck,car,c10,0061_cop_dnn_c10_car_10_n03100240_24420.png
mlp_mixer_l_in21,1,62,NaN,dog,elephant,c100,0062_cop_dnn_c100_elephant_10_n02504013_2340.png
mlp_mixer_l_in21,1,63,NaN,chair,bicycle,c05,0063_cop_dnn_c05_bicycle_10_n02835271_10104.png
mlp_mixer_l_in21,1,64,NaN,chair,bicycle,c15,0064_cop_dnn_c15_bicycle_10_n03792782_7165.png
mlp_mixer_l_in21,1,65,NaN,truck,knife,c10,0065_cop_dnn_c10_knife_10_n03041632_14817.png
mlp_mixer_l_in21,1,66,NaN,chair,clock,c15,0066_cop_dnn_c15_clock_10_n02708093_118.png
mlp_mixer_l_in21,1,67,NaN,chair,airplane,c10,0067_cop_dnn_c10_airplane_10_n02690373_4298.png
mlp_mixer_l_in21,1,68,NaN,car,knife,c100,0068_cop_dnn_c100_knife_10_n03041632_50034.png
mlp_mixer_l_in21,1,69,NaN,car,chair,c03,0069_cop_dnn_c03_chair_10_n02791124_1333.png
mlp_mixer_l_in21,1,70,NaN,car,clock,c01,0070_cop_dnn_c01_clock_10_n02708093_2318.png
mlp_mixer_l_in21,1,71,NaN,chair,elephant,c01,0071_cop_dnn_c01_elephant_10_n02504013_3864.png
mlp_mixer_l_in21,1,72,NaN,car,chair,c10,0072_cop_dnn_c10_chair_10_n04429376_56624.png
mlp_mixer_l_in21,1,73,NaN,elephant,airplane,c30,0073_cop_dnn_c30_airplane_10_n02690373_7004.png
mlp_mixer_l_in21,1,74,NaN,car,oven,c30,0074_cop_dnn_c30_oven_10_n04111531_9692.png
mlp_mixer_l_in21,1,75,NaN,car,truck,c50,0075_cop_dnn_c50_truck_10_n03796401_296.png
mlp_mixer_l_in21,1,76,NaN,knife,airplane,c15,0076_cop_dnn_c15_airplane_10_n02690373_1837.png
mlp_mixer_l_in21,1,77,NaN,chair,airplane,c03,0077_cop_dnn_c03_airplane_10_n02690373_10203.png
mlp_mixer_l_in21,1,78,NaN,chair,boat,c03,0078_cop_dnn_c03_boat_10_n02951358_34234.png
mlp_mixer_l_in21,1,79,NaN,bird,bicycle,c100,0079_cop_dnn_c100_bicycle_10_n02835271_2885.png
mlp_mixer_l_in21,1,80,NaN,truck,airplane,c30,0080_cop_dnn_c30_airplane_10_n02690373_5247.png
mlp_mixer_l_in21,1,81,NaN,truck,clock,c50,0081_cop_dnn_c50_clock_10_n02708093_596.png
mlp_mixer_l_in21,1,82,NaN,car,chair,c01,0082_cop_dnn_c01_chair_10_n03376595_1364.png
mlp_mixer_l_in21,1,83,NaN,car,cat,c03,0083_cop_dnn_c03_cat_10_n02124075_12430.png
