subj,session,trial,rt,object_response,category,condition,imagename
swin_large,1,1,NaN,bird,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png
swin_large,1,2,NaN,oven,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png
swin_large,1,3,NaN,truck,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png
swin_large,1,4,NaN,clock,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png
swin_large,1,5,NaN,chair,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png
swin_large,1,6,NaN,truck,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png
swin_large,1,7,NaN,bird,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png
swin_large,1,8,NaN,truck,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png
swin_large,1,9,NaN,truck,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png
swin_large,1,10,NaN,bird,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png
swin_large,1,11,NaN,oven,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png
swin_large,1,12,NaN,car,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png
swin_large,1,13,NaN,dog,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png
swin_large,1,14,NaN,truck,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png
swin_large,1,15,NaN,oven,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png
swin_large,1,16,NaN,clock,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png
swin_large,1,17,NaN,car,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png
swin_large,1,18,NaN,truck,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png
swin_large,1,19,NaN,bird,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png
swin_large,1,20,NaN,elephant,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png
swin_large,1,21,NaN,knife,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png
swin_large,1,22,NaN,bird,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png
swin_large,1,23,NaN,elephant,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png
swin_large,1,24,NaN,truck,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png
swin_large,1,25,NaN,chair,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png
swin_large,1,26,NaN,bottle,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png
swin_large,1,27,NaN,bird,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png
swin_large,1,28,NaN,chair,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png
swin_large,1,29,NaN,clock,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png
swin_large,1,30,NaN,chair,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png
swin_large,1,31,NaN,clock,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png
swin_large,1,32,NaN,clock,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png
swin_large,1,33,NaN,chair,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png
swin_large,1,34,NaN,bird,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png
swin_large,1,35,NaN,dog,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png
swin_large,1,36,NaN,bird,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png
swin_large,1,37,NaN,truck,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png
swin_large,1,38,NaN,boat,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png
swin_large,1,39,NaN,dog,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png
swin_large,1,40,NaN,bottle,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png
swin_large,1,41,NaN,dog,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png
swin_large,1,42,NaN,dog,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png
swin_large,1,43,NaN,keyboard,bottle,c100,0043_cop_dnn_c100_bottle_10_n04560804_14130.png
swin_large,1,44,NaN,dog,cat,c30,0044_cop_dnn_c30_cat_10_n02124075_11970.png
swin_large,1,45,NaN,dog,dog,c03,0045_cop_dnn_c03_dog_10_n02093991_247.png
swin_large,1,46,NaN,knife,keyboard,c100,0046_cop_dnn_c100_keyboard_10_n04505470_375.png
swin_large,1,47,NaN,dog,bear,c100,0047_cop_dnn_c100_bear_10_n02134418_4372.png
swin_large,1,48,NaN,chair,boat,c01,0048_cop_dnn_c01_boat_10_n03344393_2838.png
swin_large,1,49,NaN,bird,bicycle,c05,0049_cop_dnn_c05_bicycle_10_n02835271_4935.png
swin_large,1,50,NaN,clock,airplane,c50,0050_cop_dnn_c50_airplane_10_n02690373_5382.png
swin_large,1,51,NaN,car,bottle,c100,0051_cop_dnn_c100_bottle_10_n03937543_2123.png
swin_large,1,52,NaN,dog,dog,c30,0052_cop_dnn_c30_dog_10_n02097474_5234.png
swin_large,1,53,NaN,bottle,bottle,c100,0053_cop_dnn_c100_bottle_10_n02823428_6050.png
swin_large,1,54,NaN,truck,clock,c15,0054_cop_dnn_c15_clock_10_n02708093_3743.png
swin_large,1,55,NaN,elephant,knife,c03,0055_cop_dnn_c03_knife_10_n03041632_55083.png
swin_large,1,56,NaN,car,knife,c50,0056_cop_dnn_c50_knife_10_n03041632_41310.png
swin_large,1,57,NaN,car,knife,c03,0057_cop_dnn_c03_knife_10_n03041632_99799.png
swin_large,1,58,NaN,dog,dog,c15,0058_cop_dnn_c15_dog_10_n02094114_8231.png
swin_large,1,59,NaN,chair,chair,c01,0059_cop_dnn_c01_chair_10_n03376595_6173.png
swin_large,1,60,NaN,bird,oven,c05,0060_cop_dnn_c05_oven_10_n04111531_9297.png
swin_large,1,61,NaN,truck,car,c10,0061_cop_dnn_c10_car_10_n03100240_24420.png
swin_large,1,62,NaN,dog,elephant,c100,0062_cop_dnn_c100_elephant_10_n02504013_2340.png
swin_large,1,63,NaN,bird,bicycle,c05,0063_cop_dnn_c05_bicycle_10_n02835271_10104.png
swin_large,1,64,NaN,bird,bicycle,c15,0064_cop_dnn_c15_bicycle_10_n03792782_7165.png
swin_large,1,65,NaN,clock,knife,c10,0065_cop_dnn_c10_knife_10_n03041632_14817.png
swin_large,1,66,NaN,boat,clock,c15,0066_cop_dnn_c15_clock_10_n02708093_118.png
swin_large,1,67,NaN,clock,airplane,c10,0067_cop_dnn_c10_airplane_10_n02690373_4298.png
swin_large,1,68,NaN,elephant,knife,c100,0068_cop_dnn_c100_knife_10_n03041632_50034.png
swin_large,1,69,NaN,truck,chair,c03,0069_cop_dnn_c03_chair_10_n02791124_1333.png
swin_large,1,70,NaN,truck,clock,c01,0070_cop_dnn_c01_clock_10_n02708093_2318.png
swin_large,1,71,NaN,truck,elephant,c01,0071_cop_dnn_c01_elephant_10_n02504013_3864.png
swin_large,1,72,NaN,clock,chair,c10,0072_cop_dnn_c10_chair_10_n04429376_56624.png
swin_large,1,73,NaN,boat,airplane,c30,0073_cop_dnn_c30_airplane_10_n02690373_7004.png
swin_large,1,74,NaN,elephant,oven,c30,0074_cop_dnn_c30_oven_10_n04111531_9692.png
swin_large,1,75,NaN,truck,truck,c50,0075_cop_dnn_c50_truck_10_n03796401_296.png
swin_large,1,76,NaN,car,airplane,c15,0076_cop_dnn_c15_airplane_10_n02690373_1837.png
swin_large,1,77,NaN,chair,airplane,c03,0077_cop_dnn_c03_airplane_10_n02690373_10203.png
swin_large,1,78,NaN,truck,boat,c03,0078_cop_dnn_c03_boat_10_n02951358_34234.png
swin_large,1,79,NaN,dog,bicycle,c100,0079_cop_dnn_c100_bicycle_10_n02835271_2885.png
swin_large,1,80,NaN,car,airplane,c30,0080_cop_dnn_c30_airplane_10_n02690373_5247.png
swin_large,1,81,NaN,knife,clock,c50,0081_cop_dnn_c50_clock_10_n02708093_596.png
swin_large,1,82,NaN,chair,chair,c01,0082_cop_dnn_c01_chair_10_n03376595_1364.png
swin_large,1,83,NaN,dog,cat,c03,0083_cop_dnn_c03_cat_10_n02124075_12430.png
swin_large,1,84,NaN,dog,cat,c05,0084_cop_dnn_c05_cat_10_n02123159_5487.png
swin_large,1,85,NaN,bird,bicycle,c50,0085_cop_dnn_c50_bicycle_10_n03792782_17571.png
swin_large,1,86,NaN,dog,cat,c50,0086_cop_dnn_c50_cat_10_n02123159_6132.png
swin_large,1,87,NaN,chair,bottle,c05,0087_cop_dnn_c05_bottle_10_n03937543_2873.png
swin_large,1,88,NaN,car,keyboard,c15,0088_cop_dnn_c15_keyboard_10_n04505470_1236.png
swin_large,1,89,NaN,truck,airplane,c01,0089_cop_dnn_c01_airplane_10_n02690373_4243.png
swin_large,1,90,NaN,bear,oven,c30,0090_cop_dnn_c30_oven_10_n04111531_467.png
swin_large,1,91,NaN,dog,cat,c03,0091_cop_dnn_c03_cat_10_n02123394_2632.png
swin_large,1,92,NaN,oven,chair,c15,0092_cop_dnn_c15_chair_10_n02791124_5268.png
swin_large,1,93,NaN,bird,knife,c100,0093_cop_dnn_c100_knife_10_n03041632_1143.png
swin_large,1,94,NaN,truck,chair,c10,0094_cop_dnn_c10_chair_10_n02791124_1018.png
swin_large,1,95,NaN,knife,bicycle,c05,0095_cop_dnn_c05_bicycle_10_n03792782_8057.png
swin_large,1,96,NaN,dog,bear,c30,0096_cop_dnn_c30_bear_10_n02132136_1338.png
swin_large,1,97,NaN,clock,clock,c05,0097_cop_dnn_c05_clock_10_n02708093_4798.png
swin_large,1,98,NaN,truck,truck,c01,0098_cop_dnn_c01_truck_10_n03796401_15046.png
swin_large,1,99,NaN,bottle,knife,c50,0099_cop_dnn_c50_knife_10_n03041632_13612.png
swin_large,1,100,NaN,boat,oven,c10,0100_cop_dnn_c10_oven_10_n04111531_1898.png
swin_large,1,101,NaN,truck,truck,c03,0101_cop_dnn_c03_truck_10_n04467665_28988.png
swin_large,1,102,NaN,clock,airplane,c100,0102_cop_dnn_c100_airplane_10_n02690373_736.png
swin_large,1,103,NaN,dog,dog,c50,0103_cop_dnn_c50_dog_10_n02111500_5154.png
swin_large,1,104,NaN,dog,bear,c50,0104_cop_dnn_c50_bear_10_n02133161_13461.png
swin_large,1,105,NaN,dog,dog,c15,0105_cop_dnn_c15_dog_10_n02102318_11746.png
swin_large,1,106,NaN,cat,boat,c50,0106_cop_dnn_c50_boat_10_n03662601_12226.png
swin_large,1,107,NaN,car,keyboard,c05,0107_cop_dnn_c05_keyboard_10_n04505470_3207.png
swin_large,1,108,NaN,car,bicycle,c30,0108_cop_dnn_c30_bicycle_10_n03792782_2628.png
swin_large,1,109,NaN,chair,chair,c01,0109_cop_dnn_c01_chair_10_n02791124_3204.png
swin_large,1,110,NaN,bicycle,bottle,c03,0110_cop_dnn_c03_bottle_10_n04560804_722.png
swin_large,1,111,NaN,bird,bicycle,c30,0111_cop_dnn_c30_bicycle_10_n03792782_8847.png
swin_large,1,112,NaN,dog,bear,c50,0112_cop_dnn_c50_bear_10_n02132136_1132.png
swin_large,1,113,NaN,chair,knife,c50,0113_cop_dnn_c50_knife_10_n03041632_6557.png
swin_large,1,114,NaN,car,knife,c100,0114_cop_dnn_c100_knife_10_n03041632_35116.png
swin_large,1,115,NaN,oven,car,c15,0115_cop_dnn_c15_car_10_n02814533_3117.png
swin_large,1,116,NaN,elephant,bird,c15,0116_cop_dnn_c15_bird_10_n02009229_4224.png
swin_large,1,117,NaN,dog,chair,c50,0117_cop_dnn_c50_chair_10_n03376595_9247.png
swin_large,1,118,NaN,truck,boat,c01,0118_cop_dnn_c01_boat_10_n03662601_5639.png
swin_large,1,119,NaN,bird,bicycle,c10,0119_cop_dnn_c10_bicycle_10_n02835271_13437.png
swin_large,1,120,NaN,bird,bicycle,c05,0120_cop_dnn_c05_bicycle_10_n03792782_18294.png
swin_large,1,121,NaN,truck,boat,c03,0121_cop_dnn_c03_boat_10_n02951358_10488.png
swin_large,1,122,NaN,truck,bird,c50,0122_cop_dnn_c50_bird_10_n01829413_14594.png
swin_large,1,123,NaN,bicycle,clock,c100,0123_cop_dnn_c100_clock_10_n03196217_9197.png
swin_large,1,124,NaN,elephant,boat,c15,0124_cop_dnn_c15_boat_10_n03662601_1667.png
swin_large,1,125,NaN,bird,dog,c50,0125_cop_dnn_c50_dog_10_n02092339_6946.png
swin_large,1,126,NaN,bear,airplane,c05,0126_cop_dnn_c05_airplane_10_n02690373_1773.png
swin_large,1,127,NaN,dog,elephant,c50,0127_cop_dnn_c50_elephant_10_n02504013_4278.png
swin_large,1,128,NaN,car,bird,c100,0128_cop_dnn_c100_bird_10_n02025239_10194.png
swin_large,1,129,NaN,dog,oven,c15,0129_cop_dnn_c15_oven_10_n04111531_1977.png
swin_large,1,130,NaN,bird,clock,c50,0130_cop_dnn_c50_clock_10_n02708093_616.png
