subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,airplane,airplane,NaN,airplane1-bicycle2.png
autoencoder_vit_b,1,2,NaN,oven,airplane,NaN,airplane1-chair2.png
autoencoder_vit_b,1,3,NaN,airplane,airplane,NaN,airplane1-clock1.png
autoencoder_vit_b,1,4,NaN,airplane,airplane,NaN,airplane1-elephant1.png
autoencoder_vit_b,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
autoencoder_vit_b,1,6,NaN,oven,airplane,NaN,airplane10-bear3.png
autoencoder_vit_b,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
autoencoder_vit_b,1,8,NaN,airplane,airplane,NaN,airplane10-car3.png
autoencoder_vit_b,1,9,NaN,airplane,airplane,NaN,airplane10-cat2.png
autoencoder_vit_b,1,10,NaN,airplane,airplane,NaN,airplane10-dog3.png
autoencoder_vit_b,1,11,NaN,airplane,airplane,NaN,airplane10-elephant1.png
autoencoder_vit_b,1,12,NaN,airplane,airplane,NaN,airplane10-knife3.png
autoencoder_vit_b,1,13,NaN,knife,airplane,NaN,airplane10-oven2.png
autoencoder_vit_b,1,14,NaN,airplane,airplane,NaN,airplane10-truck1.png
autoencoder_vit_b,1,15,NaN,oven,airplane,NaN,airplane2-bear1.png
autoencoder_vit_b,1,16,NaN,airplane,airplane,NaN,airplane2-bicycle1.png
autoencoder_vit_b,1,17,NaN,airplane,airplane,NaN,airplane2-bird3.png
autoencoder_vit_b,1,18,NaN,airplane,airplane,NaN,airplane2-bottle1.png
autoencoder_vit_b,1,19,NaN,airplane,airplane,NaN,airplane2-cat1.png
autoencoder_vit_b,1,20,NaN,airplane,airplane,NaN,airplane2-dog1.png
autoencoder_vit_b,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
autoencoder_vit_b,1,22,NaN,airplane,airplane,NaN,airplane3-car1.png
autoencoder_vit_b,1,23,NaN,airplane,airplane,NaN,airplane3-cat1.png
autoencoder_vit_b,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png
autoencoder_vit_b,1,25,NaN,airplane,airplane,NaN,airplane3-clock1.png
autoencoder_vit_b,1,26,NaN,airplane,airplane,NaN,airplane3-dog1.png
autoencoder_vit_b,1,27,NaN,airplane,airplane,NaN,airplane3-elephant1.png
autoencoder_vit_b,1,28,NaN,knife,airplane,NaN,airplane3-keyboard2.png
autoencoder_vit_b,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png
autoencoder_vit_b,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png
autoencoder_vit_b,1,31,NaN,oven,airplane,NaN,airplane4-bear3.png
autoencoder_vit_b,1,32,NaN,airplane,airplane,NaN,airplane4-bicycle2.png
autoencoder_vit_b,1,33,NaN,airplane,airplane,NaN,airplane4-bird3.png
autoencoder_vit_b,1,34,NaN,airplane,airplane,NaN,airplane4-boat3.png
autoencoder_vit_b,1,35,NaN,airplane,airplane,NaN,airplane4-bottle1.png
autoencoder_vit_b,1,36,NaN,airplane,airplane,NaN,airplane4-car1.png
autoencoder_vit_b,1,37,NaN,oven,airplane,NaN,airplane4-cat3.png
autoencoder_vit_b,1,38,NaN,airplane,airplane,NaN,airplane4-dog2.png
autoencoder_vit_b,1,39,NaN,airplane,airplane,NaN,airplane4-elephant1.png
autoencoder_vit_b,1,40,NaN,knife,airplane,NaN,airplane4-keyboard3.png
autoencoder_vit_b,1,41,NaN,airplane,airplane,NaN,airplane4-knife1.png
autoencoder_vit_b,1,42,NaN,oven,airplane,NaN,airplane4-truck2.png
autoencoder_vit_b,1,43,NaN,airplane,airplane,NaN,airplane5-bear2.png
autoencoder_vit_b,1,44,NaN,airplane,airplane,NaN,airplane5-bicycle1.png
autoencoder_vit_b,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
autoencoder_vit_b,1,46,NaN,airplane,airplane,NaN,airplane5-boat3.png
autoencoder_vit_b,1,47,NaN,airplane,airplane,NaN,airplane5-bottle3.png
autoencoder_vit_b,1,48,NaN,airplane,airplane,NaN,airplane5-chair3.png
autoencoder_vit_b,1,49,NaN,oven,airplane,NaN,airplane5-dog3.png
autoencoder_vit_b,1,50,NaN,airplane,airplane,NaN,airplane5-knife1.png
autoencoder_vit_b,1,51,NaN,airplane,airplane,NaN,airplane5-oven3.png
autoencoder_vit_b,1,52,NaN,oven,airplane,NaN,airplane6-bear3.png
autoencoder_vit_b,1,53,NaN,airplane,airplane,NaN,airplane6-bottle2.png
autoencoder_vit_b,1,54,NaN,airplane,airplane,NaN,airplane6-chair3.png
autoencoder_vit_b,1,55,NaN,knife,airplane,NaN,airplane6-keyboard3.png
autoencoder_vit_b,1,56,NaN,airplane,airplane,NaN,airplane6-knife1.png
autoencoder_vit_b,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
autoencoder_vit_b,1,58,NaN,airplane,airplane,NaN,airplane7-bird3.png
autoencoder_vit_b,1,59,NaN,airplane,airplane,NaN,airplane7-boat2.png
autoencoder_vit_b,1,60,NaN,airplane,airplane,NaN,airplane7-bottle3.png
autoencoder_vit_b,1,61,NaN,airplane,airplane,NaN,airplane7-car1.png
autoencoder_vit_b,1,62,NaN,oven,airplane,NaN,airplane7-cat3.png
autoencoder_vit_b,1,63,NaN,airplane,airplane,NaN,airplane7-clock3.png
autoencoder_vit_b,1,64,NaN,airplane,airplane,NaN,airplane7-keyboard1.png
autoencoder_vit_b,1,65,NaN,airplane,airplane,NaN,airplane7-truck1.png
autoencoder_vit_b,1,66,NaN,airplane,airplane,NaN,airplane8-bicycle3.png
autoencoder_vit_b,1,67,NaN,knife,airplane,NaN,airplane8-bird1.png
autoencoder_vit_b,1,68,NaN,oven,airplane,NaN,airplane8-chair1.png
autoencoder_vit_b,1,69,NaN,airplane,airplane,NaN,airplane8-clock2.png
autoencoder_vit_b,1,70,NaN,airplane,airplane,NaN,airplane8-elephant3.png
autoencoder_vit_b,1,71,NaN,airplane,airplane,NaN,airplane8-oven2.png
autoencoder_vit_b,1,72,NaN,oven,airplane,NaN,airplane8-truck3.png
autoencoder_vit_b,1,73,NaN,airplane,airplane,NaN,airplane9-airplane2.png
autoencoder_vit_b,1,74,NaN,airplane,airplane,NaN,airplane9-boat1.png
autoencoder_vit_b,1,75,NaN,oven,airplane,NaN,airplane9-car2.png
autoencoder_vit_b,1,76,NaN,airplane,airplane,NaN,airplane9-clock1.png
