subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,airplane,airplane,NaN,airplane1-bicycle2.png
barlow_twins,1,2,NaN,airplane,airplane,NaN,airplane1-chair2.png
barlow_twins,1,3,NaN,airplane,airplane,NaN,airplane1-clock1.png
barlow_twins,1,4,NaN,airplane,airplane,NaN,airplane1-elephant1.png
barlow_twins,1,5,NaN,knife,airplane,NaN,airplane10-airplane1.png
barlow_twins,1,6,NaN,knife,airplane,NaN,airplane10-bear3.png
barlow_twins,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
barlow_twins,1,8,NaN,airplane,airplane,NaN,airplane10-car3.png
barlow_twins,1,9,NaN,knife,airplane,NaN,airplane10-cat2.png
barlow_twins,1,10,NaN,knife,airplane,NaN,airplane10-dog3.png
barlow_twins,1,11,NaN,oven,airplane,NaN,airplane10-elephant1.png
barlow_twins,1,12,NaN,airplane,airplane,NaN,airplane10-knife3.png
barlow_twins,1,13,NaN,airplane,airplane,NaN,airplane10-oven2.png
barlow_twins,1,14,NaN,airplane,airplane,NaN,airplane10-truck1.png
barlow_twins,1,15,NaN,bicycle,airplane,NaN,airplane2-bear1.png
barlow_twins,1,16,NaN,airplane,airplane,NaN,airplane2-bicycle1.png
barlow_twins,1,17,NaN,airplane,airplane,NaN,airplane2-bird3.png
barlow_twins,1,18,NaN,airplane,airplane,NaN,airplane2-bottle1.png
barlow_twins,1,19,NaN,bicycle,airplane,NaN,airplane2-cat1.png
barlow_twins,1,20,NaN,bicycle,airplane,NaN,airplane2-dog1.png
barlow_twins,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
barlow_twins,1,22,NaN,airplane,airplane,NaN,airplane3-car1.png
barlow_twins,1,23,NaN,bicycle,airplane,NaN,airplane3-cat1.png
barlow_twins,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png
barlow_twins,1,25,NaN,airplane,airplane,NaN,airplane3-clock1.png
barlow_twins,1,26,NaN,bicycle,airplane,NaN,airplane3-dog1.png
barlow_twins,1,27,NaN,oven,airplane,NaN,airplane3-elephant1.png
barlow_twins,1,28,NaN,bicycle,airplane,NaN,airplane3-keyboard2.png
barlow_twins,1,29,NaN,bicycle,airplane,NaN,airplane3-oven1.png
barlow_twins,1,30,NaN,knife,airplane,NaN,airplane4-airplane1.png
barlow_twins,1,31,NaN,bicycle,airplane,NaN,airplane4-bear3.png
barlow_twins,1,32,NaN,airplane,airplane,NaN,airplane4-bicycle2.png
barlow_twins,1,33,NaN,car,airplane,NaN,airplane4-bird3.png
barlow_twins,1,34,NaN,airplane,airplane,NaN,airplane4-boat3.png
barlow_twins,1,35,NaN,airplane,airplane,NaN,airplane4-bottle1.png
barlow_twins,1,36,NaN,airplane,airplane,NaN,airplane4-car1.png
barlow_twins,1,37,NaN,oven,airplane,NaN,airplane4-cat3.png
barlow_twins,1,38,NaN,bicycle,airplane,NaN,airplane4-dog2.png
barlow_twins,1,39,NaN,oven,airplane,NaN,airplane4-elephant1.png
barlow_twins,1,40,NaN,bicycle,airplane,NaN,airplane4-keyboard3.png
barlow_twins,1,41,NaN,airplane,airplane,NaN,airplane4-knife1.png
barlow_twins,1,42,NaN,airplane,airplane,NaN,airplane4-truck2.png
barlow_twins,1,43,NaN,bicycle,airplane,NaN,airplane5-bear2.png
barlow_twins,1,44,NaN,airplane,airplane,NaN,airplane5-bicycle1.png
barlow_twins,1,45,NaN,airplane,airplane,NaN,airplane5-bird2.png
barlow_twins,1,46,NaN,airplane,airplane,NaN,airplane5-boat3.png
barlow_twins,1,47,NaN,airplane,airplane,NaN,airplane5-bottle3.png
barlow_twins,1,48,NaN,airplane,airplane,NaN,airplane5-chair3.png
barlow_twins,1,49,NaN,bicycle,airplane,NaN,airplane5-dog3.png
barlow_twins,1,50,NaN,airplane,airplane,NaN,airplane5-knife1.png
barlow_twins,1,51,NaN,airplane,airplane,NaN,airplane5-oven3.png
barlow_twins,1,52,NaN,knife,airplane,NaN,airplane6-bear3.png
barlow_twins,1,53,NaN,airplane,airplane,NaN,airplane6-bottle2.png
barlow_twins,1,54,NaN,airplane,airplane,NaN,airplane6-chair3.png
barlow_twins,1,55,NaN,bicycle,airplane,NaN,airplane6-keyboard3.png
barlow_twins,1,56,NaN,airplane,airplane,NaN,airplane6-knife1.png
barlow_twins,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png
barlow_twins,1,58,NaN,car,airplane,NaN,airplane7-bird3.png
barlow_twins,1,59,NaN,airplane,airplane,NaN,airplane7-boat2.png
barlow_twins,1,60,NaN,airplane,airplane,NaN,airplane7-bottle3.png
barlow_twins,1,61,NaN,airplane,airplane,NaN,airplane7-car1.png
barlow_twins,1,62,NaN,oven,airplane,NaN,airplane7-cat3.png
barlow_twins,1,63,NaN,airplane,airplane,NaN,airplane7-clock3.png
barlow_twins,1,64,NaN,airplane,airplane,NaN,airplane7-keyboard1.png
barlow_twins,1,65,NaN,airplane,airplane,NaN,airplane7-truck1.png
barlow_twins,1,66,NaN,keyboard,airplane,NaN,airplane8-bicycle3.png
barlow_twins,1,67,NaN,bicycle,airplane,NaN,airplane8-bird1.png
barlow_twins,1,68,NaN,airplane,airplane,NaN,airplane8-chair1.png
barlow_twins,1,69,NaN,airplane,airplane,NaN,airplane8-clock2.png
barlow_twins,1,70,NaN,airplane,airplane,NaN,airplane8-elephant3.png
barlow_twins,1,71,NaN,airplane,airplane,NaN,airplane8-oven2.png
barlow_twins,1,72,NaN,airplane,airplane,NaN,airplane8-truck3.png
barlow_twins,1,73,NaN,airplane,airplane,NaN,airplane9-airplane2.png
barlow_twins,1,74,NaN,car,airplane,NaN,airplane9-boat1.png
barlow_twins,1,75,NaN,airplane,airplane,NaN,airplane9-car2.png
barlow_twins,1,76,NaN,airplane,airplane,NaN,airplane9-clock1.png
barlow_twins,1,77,NaN,bicycle,airplane,NaN,airplane9-keyboard2.png
barlow_twins,1,78,NaN,airplane,airplane,NaN,airplane9-knife3.png
barlow_twins,1,79,NaN,airplane,airplane,NaN,airplane9-oven2.png
barlow_twins,1,80,NaN,airplane,airplane,NaN,airplane9-truck1.png
barlow_twins,1,81,NaN,airplane,bear,NaN,bear1-airplane3.png
