subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,knife,airplane,NaN,airplane1-bicycle2.png
dino_v8,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png
dino_v8,1,3,NaN,bear,airplane,NaN,airplane1-clock1.png
dino_v8,1,4,NaN,bear,airplane,NaN,airplane1-elephant1.png
dino_v8,1,5,NaN,clock,airplane,NaN,airplane10-airplane1.png
dino_v8,1,6,NaN,car,airplane,NaN,airplane10-bear3.png
dino_v8,1,7,NaN,dog,airplane,NaN,airplane10-boat3.png
dino_v8,1,8,NaN,clock,airplane,NaN,airplane10-car3.png
dino_v8,1,9,NaN,airplane,airplane,NaN,airplane10-cat2.png
dino_v8,1,10,NaN,chair,airplane,NaN,airplane10-dog3.png
dino_v8,1,11,NaN,bird,airplane,NaN,airplane10-elephant1.png
dino_v8,1,12,NaN,oven,airplane,NaN,airplane10-knife3.png
dino_v8,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png
dino_v8,1,14,NaN,clock,airplane,NaN,airplane10-truck1.png
dino_v8,1,15,NaN,knife,airplane,NaN,airplane2-bear1.png
dino_v8,1,16,NaN,dog,airplane,NaN,airplane2-bicycle1.png
dino_v8,1,17,NaN,knife,airplane,NaN,airplane2-bird3.png
dino_v8,1,18,NaN,clock,airplane,NaN,airplane2-bottle1.png
dino_v8,1,19,NaN,bicycle,airplane,NaN,airplane2-cat1.png
dino_v8,1,20,NaN,chair,airplane,NaN,airplane2-dog1.png
dino_v8,1,21,NaN,oven,airplane,NaN,airplane3-airplane2.png
dino_v8,1,22,NaN,bear,airplane,NaN,airplane3-car1.png
dino_v8,1,23,NaN,bicycle,airplane,NaN,airplane3-cat1.png
dino_v8,1,24,NaN,oven,airplane,NaN,airplane3-chair3.png
dino_v8,1,25,NaN,bear,airplane,NaN,airplane3-clock1.png
dino_v8,1,26,NaN,chair,airplane,NaN,airplane3-dog1.png
dino_v8,1,27,NaN,bird,airplane,NaN,airplane3-elephant1.png
dino_v8,1,28,NaN,airplane,airplane,NaN,airplane3-keyboard2.png
dino_v8,1,29,NaN,boat,airplane,NaN,airplane3-oven1.png
dino_v8,1,30,NaN,bear,airplane,NaN,airplane4-airplane1.png
dino_v8,1,31,NaN,car,airplane,NaN,airplane4-bear3.png
