subj,session,trial,rt,object_response,category,condition,imagename
inception_v1,1,1,NaN,bottle,airplane,NaN,airplane1-bicycle2.png
inception_v1,1,2,NaN,boat,airplane,NaN,airplane1-chair2.png
inception_v1,1,3,NaN,bicycle,airplane,NaN,airplane1-clock1.png
inception_v1,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png
inception_v1,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png
inception_v1,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png
inception_v1,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png
inception_v1,1,8,NaN,bicycle,airplane,NaN,airplane10-car3.png
inception_v1,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png
inception_v1,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png
inception_v1,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png
inception_v1,1,12,NaN,boat,airplane,NaN,airplane10-knife3.png
inception_v1,1,13,NaN,car,airplane,NaN,airplane10-oven2.png
inception_v1,1,14,NaN,bicycle,airplane,NaN,airplane10-truck1.png
inception_v1,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png
inception_v1,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png
inception_v1,1,17,NaN,bird,airplane,NaN,airplane2-bird3.png
inception_v1,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png
inception_v1,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png
inception_v1,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png
inception_v1,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png
inception_v1,1,22,NaN,bicycle,airplane,NaN,airplane3-car1.png
inception_v1,1,23,NaN,dog,airplane,NaN,airplane3-cat1.png
inception_v1,1,24,NaN,knife,airplane,NaN,airplane3-chair3.png
inception_v1,1,25,NaN,bicycle,airplane,NaN,airplane3-clock1.png
inception_v1,1,26,NaN,dog,airplane,NaN,airplane3-dog1.png
inception_v1,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png
inception_v1,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png
inception_v1,1,29,NaN,boat,airplane,NaN,airplane3-oven1.png
inception_v1,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png
inception_v1,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png
inception_v1,1,32,NaN,bottle,airplane,NaN,airplane4-bicycle2.png
inception_v1,1,33,NaN,bird,airplane,NaN,airplane4-bird3.png
inception_v1,1,34,NaN,car,airplane,NaN,airplane4-boat3.png
inception_v1,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png
inception_v1,1,36,NaN,bicycle,airplane,NaN,airplane4-car1.png
inception_v1,1,37,NaN,cat,airplane,NaN,airplane4-cat3.png
inception_v1,1,38,NaN,dog,airplane,NaN,airplane4-dog2.png
inception_v1,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png
inception_v1,1,40,NaN,clock,airplane,NaN,airplane4-keyboard3.png
inception_v1,1,41,NaN,clock,airplane,NaN,airplane4-knife1.png
inception_v1,1,42,NaN,bicycle,airplane,NaN,airplane4-truck2.png
