subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,chair,airplane,NaN,airplane1-bicycle2.png
swin_base,1,2,NaN,elephant,airplane,NaN,airplane1-chair2.png
swin_base,1,3,NaN,elephant,airplane,NaN,airplane1-clock1.png
swin_base,1,4,NaN,dog,airplane,NaN,airplane1-elephant1.png
swin_base,1,5,NaN,truck,airplane,NaN,airplane10-airplane1.png
swin_base,1,6,NaN,dog,airplane,NaN,airplane10-bear3.png
swin_base,1,7,NaN,elephant,airplane,NaN,airplane10-boat3.png
swin_base,1,8,NaN,elephant,airplane,NaN,airplane10-car3.png
swin_base,1,9,NaN,keyboard,airplane,NaN,airplane10-cat2.png
swin_base,1,10,NaN,clock,airplane,NaN,airplane10-dog3.png
swin_base,1,11,NaN,dog,airplane,NaN,airplane10-elephant1.png
swin_base,1,12,NaN,elephant,airplane,NaN,airplane10-knife3.png
swin_base,1,13,NaN,elephant,airplane,NaN,airplane10-oven2.png
swin_base,1,14,NaN,dog,airplane,NaN,airplane10-truck1.png
swin_base,1,15,NaN,dog,airplane,NaN,airplane2-bear1.png
swin_base,1,16,NaN,bottle,airplane,NaN,airplane2-bicycle1.png
swin_base,1,17,NaN,bird,airplane,NaN,airplane2-bird3.png
swin_base,1,18,NaN,keyboard,airplane,NaN,airplane2-bottle1.png
swin_base,1,19,NaN,dog,airplane,NaN,airplane2-cat1.png
swin_base,1,20,NaN,keyboard,airplane,NaN,airplane2-dog1.png
swin_base,1,21,NaN,elephant,airplane,NaN,airplane3-airplane2.png
swin_base,1,22,NaN,elephant,airplane,NaN,airplane3-car1.png
swin_base,1,23,NaN,dog,airplane,NaN,airplane3-cat1.png
swin_base,1,24,NaN,elephant,airplane,NaN,airplane3-chair3.png
swin_base,1,25,NaN,elephant,airplane,NaN,airplane3-clock1.png
swin_base,1,26,NaN,keyboard,airplane,NaN,airplane3-dog1.png
swin_base,1,27,NaN,dog,airplane,NaN,airplane3-elephant1.png
swin_base,1,28,NaN,elephant,airplane,NaN,airplane3-keyboard2.png
swin_base,1,29,NaN,elephant,airplane,NaN,airplane3-oven1.png
swin_base,1,30,NaN,truck,airplane,NaN,airplane4-airplane1.png
swin_base,1,31,NaN,keyboard,airplane,NaN,airplane4-bear3.png
swin_base,1,32,NaN,keyboard,airplane,NaN,airplane4-bicycle2.png
swin_base,1,33,NaN,elephant,airplane,NaN,airplane4-bird3.png
swin_base,1,34,NaN,knife,airplane,NaN,airplane4-boat3.png
swin_base,1,35,NaN,keyboard,airplane,NaN,airplane4-bottle1.png
