subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,airplane,airplane,NaN,airplane1.png
autoencoder_vit_b,1,2,NaN,airplane,airplane,NaN,airplane10.png
autoencoder_vit_b,1,3,NaN,airplane,airplane,NaN,airplane2.png
autoencoder_vit_b,1,4,NaN,airplane,airplane,NaN,airplane3.png
autoencoder_vit_b,1,5,NaN,airplane,airplane,NaN,airplane4.png
autoencoder_vit_b,1,6,NaN,airplane,airplane,NaN,airplane5.png
autoencoder_vit_b,1,7,NaN,airplane,airplane,NaN,airplane6.png
autoencoder_vit_b,1,8,NaN,airplane,airplane,NaN,airplane7.png
autoencoder_vit_b,1,9,NaN,airplane,airplane,NaN,airplane8.png
autoencoder_vit_b,1,10,NaN,airplane,airplane,NaN,airplane9.png
autoencoder_vit_b,1,11,NaN,airplane,bear,NaN,bear1.png
autoencoder_vit_b,1,12,NaN,airplane,bear,NaN,bear10.png
autoencoder_vit_b,1,13,NaN,airplane,bear,NaN,bear2.png
autoencoder_vit_b,1,14,NaN,airplane,bear,NaN,bear3.png
autoencoder_vit_b,1,15,NaN,airplane,bear,NaN,bear4.png
autoencoder_vit_b,1,16,NaN,airplane,bear,NaN,bear5.png
autoencoder_vit_b,1,17,NaN,airplane,bear,NaN,bear6.png
autoencoder_vit_b,1,18,NaN,airplane,bear,NaN,bear7.png
autoencoder_vit_b,1,19,NaN,airplane,bear,NaN,bear8.png
autoencoder_vit_b,1,20,NaN,airplane,bear,NaN,bear9.png
autoencoder_vit_b,1,21,NaN,airplane,bicycle,NaN,bicycle1.png
autoencoder_vit_b,1,22,NaN,airplane,bicycle,NaN,bicycle10.png
autoencoder_vit_b,1,23,NaN,airplane,bicycle,NaN,bicycle2.png
autoencoder_vit_b,1,24,NaN,airplane,bicycle,NaN,bicycle3.png
autoencoder_vit_b,1,25,NaN,airplane,bicycle,NaN,bicycle4.png
autoencoder_vit_b,1,26,NaN,airplane,bicycle,NaN,bicycle5.png
autoencoder_vit_b,1,27,NaN,airplane,bicycle,NaN,bicycle6.png
autoencoder_vit_b,1,28,NaN,airplane,bicycle,NaN,bicycle7.png
autoencoder_vit_b,1,29,NaN,airplane,bicycle,NaN,bicycle8.png
autoencoder_vit_b,1,30,NaN,airplane,bicycle,NaN,bicycle9.png
autoencoder_vit_b,1,31,NaN,airplane,bird,NaN,bird1.png
autoencoder_vit_b,1,32,NaN,airplane,bird,NaN,bird10.png
autoencoder_vit_b,1,33,NaN,airplane,bird,NaN,bird2.png
autoencoder_vit_b,1,34,NaN,airplane,bird,NaN,bird3.png
autoencoder_vit_b,1,35,NaN,airplane,bird,NaN,bird4.png
autoencoder_vit_b,1,36,NaN,airplane,bird,NaN,bird5.png
autoencoder_vit_b,1,37,NaN,airplane,bird,NaN,bird6.png
autoencoder_vit_b,1,38,NaN,airplane,bird,NaN,bird7.png
autoencoder_vit_b,1,39,NaN,airplane,bird,NaN,bird8.png
autoencoder_vit_b,1,40,NaN,airplane,bird,NaN,bird9.png
autoencoder_vit_b,1,41,NaN,airplane,boat,NaN,boat1.png
autoencoder_vit_b,1,42,NaN,airplane,boat,NaN,boat10.png
autoencoder_vit_b,1,43,NaN,airplane,boat,NaN,boat2.png
autoencoder_vit_b,1,44,NaN,airplane,boat,NaN,boat3.png
autoencoder_vit_b,1,45,NaN,airplane,boat,NaN,boat4.png
autoencoder_vit_b,1,46,NaN,airplane,boat,NaN,boat5.png
autoencoder_vit_b,1,47,NaN,airplane,boat,NaN,boat6.png
autoencoder_vit_b,1,48,NaN,airplane,boat,NaN,boat7.png
autoencoder_vit_b,1,49,NaN,airplane,boat,NaN,boat8.png
autoencoder_vit_b,1,50,NaN,airplane,boat,NaN,boat9.png
autoencoder_vit_b,1,51,NaN,airplane,bottle,NaN,bottle1.png
autoencoder_vit_b,1,52,NaN,airplane,bottle,NaN,bottle10.png
autoencoder_vit_b,1,53,NaN,airplane,bottle,NaN,bottle2.png
autoencoder_vit_b,1,54,NaN,airplane,bottle,NaN,bottle3.png
autoencoder_vit_b,1,55,NaN,airplane,bottle,NaN,bottle4.png
autoencoder_vit_b,1,56,NaN,airplane,bottle,NaN,bottle5.png
autoencoder_vit_b,1,57,NaN,airplane,bottle,NaN,bottle6.png
autoencoder_vit_b,1,58,NaN,airplane,bottle,NaN,bottle7.png
autoencoder_vit_b,1,59,NaN,airplane,bottle,NaN,bottle8.png
autoencoder_vit_b,1,60,NaN,airplane,bottle,NaN,bottle9.png
autoencoder_vit_b,1,61,NaN,airplane,car,NaN,car1.png
autoencoder_vit_b,1,62,NaN,airplane,car,NaN,car10.png
autoencoder_vit_b,1,63,NaN,airplane,car,NaN,car2.png
autoencoder_vit_b,1,64,NaN,airplane,car,NaN,car3.png
autoencoder_vit_b,1,65,NaN,airplane,car,NaN,car4.png
autoencoder_vit_b,1,66,NaN,airplane,car,NaN,car5.png
autoencoder_vit_b,1,67,NaN,airplane,car,NaN,car6.png
autoencoder_vit_b,1,68,NaN,airplane,car,NaN,car7.png
