subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,clock,airplane,NaN,airplane1.png
barlow_twins,1,2,NaN,oven,airplane,NaN,airplane10.png
barlow_twins,1,3,NaN,oven,airplane,NaN,airplane2.png
barlow_twins,1,4,NaN,oven,airplane,NaN,airplane3.png
barlow_twins,1,5,NaN,oven,airplane,NaN,airplane4.png
barlow_twins,1,6,NaN,oven,airplane,NaN,airplane5.png
barlow_twins,1,7,NaN,oven,airplane,NaN,airplane6.png
barlow_twins,1,8,NaN,oven,airplane,NaN,airplane7.png
barlow_twins,1,9,NaN,oven,airplane,NaN,airplane8.png
barlow_twins,1,10,NaN,oven,airplane,NaN,airplane9.png
barlow_twins,1,11,NaN,oven,bear,NaN,bear1.png
barlow_twins,1,12,NaN,oven,bear,NaN,bear10.png
barlow_twins,1,13,NaN,cat,bear,NaN,bear2.png
barlow_twins,1,14,NaN,oven,bear,NaN,bear3.png
barlow_twins,1,15,NaN,oven,bear,NaN,bear4.png
barlow_twins,1,16,NaN,oven,bear,NaN,bear5.png
barlow_twins,1,17,NaN,oven,bear,NaN,bear6.png
barlow_twins,1,18,NaN,oven,bear,NaN,bear7.png
barlow_twins,1,19,NaN,oven,bear,NaN,bear8.png
barlow_twins,1,20,NaN,cat,bear,NaN,bear9.png
barlow_twins,1,21,NaN,oven,bicycle,NaN,bicycle1.png
barlow_twins,1,22,NaN,oven,bicycle,NaN,bicycle10.png
barlow_twins,1,23,NaN,oven,bicycle,NaN,bicycle2.png
barlow_twins,1,24,NaN,oven,bicycle,NaN,bicycle3.png
barlow_twins,1,25,NaN,oven,bicycle,NaN,bicycle4.png
barlow_twins,1,26,NaN,oven,bicycle,NaN,bicycle5.png
barlow_twins,1,27,NaN,oven,bicycle,NaN,bicycle6.png
barlow_twins,1,28,NaN,oven,bicycle,NaN,bicycle7.png
barlow_twins,1,29,NaN,oven,bicycle,NaN,bicycle8.png
barlow_twins,1,30,NaN,oven,bicycle,NaN,bicycle9.png
barlow_twins,1,31,NaN,oven,bird,NaN,bird1.png
barlow_twins,1,32,NaN,oven,bird,NaN,bird10.png
barlow_twins,1,33,NaN,cat,bird,NaN,bird2.png
barlow_twins,1,34,NaN,oven,bird,NaN,bird3.png
barlow_twins,1,35,NaN,oven,bird,NaN,bird4.png
barlow_twins,1,36,NaN,bicycle,bird,NaN,bird5.png
barlow_twins,1,37,NaN,elephant,bird,NaN,bird6.png
barlow_twins,1,38,NaN,car,bird,NaN,bird7.png
barlow_twins,1,39,NaN,oven,bird,NaN,bird8.png
barlow_twins,1,40,NaN,bicycle,bird,NaN,bird9.png
barlow_twins,1,41,NaN,car,boat,NaN,boat1.png
barlow_twins,1,42,NaN,keyboard,boat,NaN,boat10.png
barlow_twins,1,43,NaN,oven,boat,NaN,boat2.png
barlow_twins,1,44,NaN,oven,boat,NaN,boat3.png
barlow_twins,1,45,NaN,car,boat,NaN,boat4.png
barlow_twins,1,46,NaN,oven,boat,NaN,boat5.png
barlow_twins,1,47,NaN,bicycle,boat,NaN,boat6.png
barlow_twins,1,48,NaN,oven,boat,NaN,boat7.png
barlow_twins,1,49,NaN,oven,boat,NaN,boat8.png
barlow_twins,1,50,NaN,oven,boat,NaN,boat9.png
