subj,session,trial,rt,object_response,category,condition,imagename
convnext_large,1,1,NaN,airplane,airplane,NaN,airplane1.png
convnext_large,1,2,NaN,airplane,airplane,NaN,airplane10.png
convnext_large,1,3,NaN,oven,airplane,NaN,airplane2.png
convnext_large,1,4,NaN,airplane,airplane,NaN,airplane3.png
convnext_large,1,5,NaN,airplane,airplane,NaN,airplane4.png
convnext_large,1,6,NaN,airplane,airplane,NaN,airplane5.png
convnext_large,1,7,NaN,airplane,airplane,NaN,airplane6.png
convnext_large,1,8,NaN,airplane,airplane,NaN,airplane7.png
convnext_large,1,9,NaN,airplane,airplane,NaN,airplane8.png
convnext_large,1,10,NaN,airplane,airplane,NaN,airplane9.png
convnext_large,1,11,NaN,bear,bear,NaN,bear1.png
convnext_large,1,12,NaN,elephant,bear,NaN,bear10.png
convnext_large,1,13,NaN,cat,bear,NaN,bear2.png
convnext_large,1,14,NaN,cat,bear,NaN,bear3.png
convnext_large,1,15,NaN,bear,bear,NaN,bear4.png
convnext_large,1,16,NaN,bear,bear,NaN,bear5.png
convnext_large,1,17,NaN,bear,bear,NaN,bear6.png
convnext_large,1,18,NaN,bottle,bear,NaN,bear7.png
convnext_large,1,19,NaN,bear,bear,NaN,bear8.png
convnext_large,1,20,NaN,bear,bear,NaN,bear9.png
convnext_large,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
convnext_large,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
convnext_large,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
convnext_large,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
convnext_large,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
convnext_large,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
convnext_large,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
convnext_large,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
convnext_large,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
convnext_large,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
convnext_large,1,31,NaN,clock,bird,NaN,bird1.png
convnext_large,1,32,NaN,knife,bird,NaN,bird10.png
convnext_large,1,33,NaN,cat,bird,NaN,bird2.png
convnext_large,1,34,NaN,chair,bird,NaN,bird3.png
convnext_large,1,35,NaN,knife,bird,NaN,bird4.png
convnext_large,1,36,NaN,bird,bird,NaN,bird5.png
convnext_large,1,37,NaN,knife,bird,NaN,bird6.png
convnext_large,1,38,NaN,bird,bird,NaN,bird7.png
convnext_large,1,39,NaN,bird,bird,NaN,bird8.png
convnext_large,1,40,NaN,bird,bird,NaN,bird9.png
convnext_large,1,41,NaN,knife,boat,NaN,boat1.png
convnext_large,1,42,NaN,bottle,boat,NaN,boat10.png
convnext_large,1,43,NaN,boat,boat,NaN,boat2.png
convnext_large,1,44,NaN,bottle,boat,NaN,boat3.png
convnext_large,1,45,NaN,boat,boat,NaN,boat4.png
convnext_large,1,46,NaN,boat,boat,NaN,boat5.png
convnext_large,1,47,NaN,boat,boat,NaN,boat6.png
convnext_large,1,48,NaN,boat,boat,NaN,boat7.png
convnext_large,1,49,NaN,boat,boat,NaN,boat8.png
convnext_large,1,50,NaN,boat,boat,NaN,boat9.png
convnext_large,1,51,NaN,bottle,bottle,NaN,bottle1.png
convnext_large,1,52,NaN,bottle,bottle,NaN,bottle10.png
convnext_large,1,53,NaN,bottle,bottle,NaN,bottle2.png
convnext_large,1,54,NaN,bottle,bottle,NaN,bottle3.png
convnext_large,1,55,NaN,bottle,bottle,NaN,bottle4.png
convnext_large,1,56,NaN,bottle,bottle,NaN,bottle5.png
convnext_large,1,57,NaN,bottle,bottle,NaN,bottle6.png
convnext_large,1,58,NaN,bottle,bottle,NaN,bottle7.png
convnext_large,1,59,NaN,bottle,bottle,NaN,bottle8.png
convnext_large,1,60,NaN,bottle,bottle,NaN,bottle9.png
convnext_large,1,61,NaN,car,car,NaN,car1.png
convnext_large,1,62,NaN,car,car,NaN,car10.png
convnext_large,1,63,NaN,car,car,NaN,car2.png
convnext_large,1,64,NaN,car,car,NaN,car3.png
convnext_large,1,65,NaN,keyboard,car,NaN,car4.png
convnext_large,1,66,NaN,car,car,NaN,car5.png
convnext_large,1,67,NaN,car,car,NaN,car6.png
convnext_large,1,68,NaN,car,car,NaN,car7.png
convnext_large,1,69,NaN,car,car,NaN,car8.png
convnext_large,1,70,NaN,car,car,NaN,car9.png
convnext_large,1,71,NaN,cat,cat,NaN,cat1.png
convnext_large,1,72,NaN,cat,cat,NaN,cat10.png
convnext_large,1,73,NaN,cat,cat,NaN,cat2.png
convnext_large,1,74,NaN,cat,cat,NaN,cat3.png
convnext_large,1,75,NaN,cat,cat,NaN,cat4.png
convnext_large,1,76,NaN,cat,cat,NaN,cat5.png
convnext_large,1,77,NaN,cat,cat,NaN,cat6.png
convnext_large,1,78,NaN,cat,cat,NaN,cat7.png
convnext_large,1,79,NaN,cat,cat,NaN,cat8.png
convnext_large,1,80,NaN,cat,cat,NaN,cat9.png
convnext_large,1,81,NaN,chair,chair,NaN,chair1.png
convnext_large,1,82,NaN,chair,chair,NaN,chair10.png
convnext_large,1,83,NaN,chair,chair,NaN,chair2.png
convnext_large,1,84,NaN,chair,chair,NaN,chair3.png
convnext_large,1,85,NaN,chair,chair,NaN,chair4.png
convnext_large,1,86,NaN,chair,chair,NaN,chair5.png
convnext_large,1,87,NaN,bottle,chair,NaN,chair6.png
convnext_large,1,88,NaN,chair,chair,NaN,chair7.png
