subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,clock,airplane,NaN,airplane1.png
dino_v8,1,2,NaN,airplane,airplane,NaN,airplane10.png
dino_v8,1,3,NaN,airplane,airplane,NaN,airplane2.png
dino_v8,1,4,NaN,clock,airplane,NaN,airplane3.png
dino_v8,1,5,NaN,airplane,airplane,NaN,airplane4.png
dino_v8,1,6,NaN,clock,airplane,NaN,airplane5.png
dino_v8,1,7,NaN,airplane,airplane,NaN,airplane6.png
dino_v8,1,8,NaN,airplane,airplane,NaN,airplane7.png
dino_v8,1,9,NaN,airplane,airplane,NaN,airplane8.png
dino_v8,1,10,NaN,clock,airplane,NaN,airplane9.png
dino_v8,1,11,NaN,bottle,bear,NaN,bear1.png
dino_v8,1,12,NaN,airplane,bear,NaN,bear10.png
dino_v8,1,13,NaN,bear,bear,NaN,bear2.png
dino_v8,1,14,NaN,airplane,bear,NaN,bear3.png
dino_v8,1,15,NaN,airplane,bear,NaN,bear4.png
dino_v8,1,16,NaN,airplane,bear,NaN,bear5.png
dino_v8,1,17,NaN,airplane,bear,NaN,bear6.png
dino_v8,1,18,NaN,bear,bear,NaN,bear7.png
dino_v8,1,19,NaN,clock,bear,NaN,bear8.png
dino_v8,1,20,NaN,bottle,bear,NaN,bear9.png
dino_v8,1,21,NaN,clock,bicycle,NaN,bicycle1.png
dino_v8,1,22,NaN,airplane,bicycle,NaN,bicycle10.png
dino_v8,1,23,NaN,clock,bicycle,NaN,bicycle2.png
dino_v8,1,24,NaN,airplane,bicycle,NaN,bicycle3.png
dino_v8,1,25,NaN,airplane,bicycle,NaN,bicycle4.png
dino_v8,1,26,NaN,airplane,bicycle,NaN,bicycle5.png
dino_v8,1,27,NaN,airplane,bicycle,NaN,bicycle6.png
dino_v8,1,28,NaN,airplane,bicycle,NaN,bicycle7.png
dino_v8,1,29,NaN,airplane,bicycle,NaN,bicycle8.png
dino_v8,1,30,NaN,airplane,bicycle,NaN,bicycle9.png
dino_v8,1,31,NaN,airplane,bird,NaN,bird1.png
dino_v8,1,32,NaN,airplane,bird,NaN,bird10.png
dino_v8,1,33,NaN,bear,bird,NaN,bird2.png
dino_v8,1,34,NaN,airplane,bird,NaN,bird3.png
dino_v8,1,35,NaN,airplane,bird,NaN,bird4.png
dino_v8,1,36,NaN,airplane,bird,NaN,bird5.png
dino_v8,1,37,NaN,clock,bird,NaN,bird6.png
dino_v8,1,38,NaN,airplane,bird,NaN,bird7.png
dino_v8,1,39,NaN,airplane,bird,NaN,bird8.png
dino_v8,1,40,NaN,airplane,bird,NaN,bird9.png
dino_v8,1,41,NaN,clock,boat,NaN,boat1.png
dino_v8,1,42,NaN,airplane,boat,NaN,boat10.png
dino_v8,1,43,NaN,airplane,boat,NaN,boat2.png
dino_v8,1,44,NaN,airplane,boat,NaN,boat3.png
dino_v8,1,45,NaN,clock,boat,NaN,boat4.png
dino_v8,1,46,NaN,bear,boat,NaN,boat5.png
dino_v8,1,47,NaN,clock,boat,NaN,boat6.png
dino_v8,1,48,NaN,airplane,boat,NaN,boat7.png
dino_v8,1,49,NaN,clock,boat,NaN,boat8.png
dino_v8,1,50,NaN,airplane,boat,NaN,boat9.png
dino_v8,1,51,NaN,clock,bottle,NaN,bottle1.png
dino_v8,1,52,NaN,airplane,bottle,NaN,bottle10.png
dino_v8,1,53,NaN,clock,bottle,NaN,bottle2.png
dino_v8,1,54,NaN,clock,bottle,NaN,bottle3.png
dino_v8,1,55,NaN,clock,bottle,NaN,bottle4.png
dino_v8,1,56,NaN,airplane,bottle,NaN,bottle5.png
dino_v8,1,57,NaN,clock,bottle,NaN,bottle6.png
dino_v8,1,58,NaN,airplane,bottle,NaN,bottle7.png
dino_v8,1,59,NaN,airplane,bottle,NaN,bottle8.png
dino_v8,1,60,NaN,airplane,bottle,NaN,bottle9.png
dino_v8,1,61,NaN,clock,car,NaN,car1.png
dino_v8,1,62,NaN,airplane,car,NaN,car10.png
dino_v8,1,63,NaN,airplane,car,NaN,car2.png
dino_v8,1,64,NaN,airplane,car,NaN,car3.png
dino_v8,1,65,NaN,airplane,car,NaN,car4.png
dino_v8,1,66,NaN,airplane,car,NaN,car5.png
dino_v8,1,67,NaN,airplane,car,NaN,car6.png
dino_v8,1,68,NaN,airplane,car,NaN,car7.png
dino_v8,1,69,NaN,airplane,car,NaN,car8.png
