subj,session,trial,rt,object_response,category,condition,imagename
inception_v1,1,1,NaN,truck,airplane,NaN,airplane1.png
inception_v1,1,2,NaN,truck,airplane,NaN,airplane10.png
inception_v1,1,3,NaN,truck,airplane,NaN,airplane2.png
inception_v1,1,4,NaN,truck,airplane,NaN,airplane3.png
inception_v1,1,5,NaN,car,airplane,NaN,airplane4.png
inception_v1,1,6,NaN,oven,airplane,NaN,airplane5.png
inception_v1,1,7,NaN,truck,airplane,NaN,airplane6.png
inception_v1,1,8,NaN,truck,airplane,NaN,airplane7.png
inception_v1,1,9,NaN,knife,airplane,NaN,airplane8.png
inception_v1,1,10,NaN,truck,airplane,NaN,airplane9.png
inception_v1,1,11,NaN,bicycle,bear,NaN,bear1.png
inception_v1,1,12,NaN,bicycle,bear,NaN,bear10.png
inception_v1,1,13,NaN,bicycle,bear,NaN,bear2.png
inception_v1,1,14,NaN,car,bear,NaN,bear3.png
inception_v1,1,15,NaN,bicycle,bear,NaN,bear4.png
inception_v1,1,16,NaN,bicycle,bear,NaN,bear5.png
inception_v1,1,17,NaN,bicycle,bear,NaN,bear6.png
inception_v1,1,18,NaN,bicycle,bear,NaN,bear7.png
inception_v1,1,19,NaN,bicycle,bear,NaN,bear8.png
inception_v1,1,20,NaN,bicycle,bear,NaN,bear9.png
inception_v1,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
inception_v1,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
inception_v1,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
inception_v1,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
inception_v1,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
inception_v1,1,26,NaN,oven,bicycle,NaN,bicycle5.png
inception_v1,1,27,NaN,oven,bicycle,NaN,bicycle6.png
inception_v1,1,28,NaN,oven,bicycle,NaN,bicycle7.png
inception_v1,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
inception_v1,1,30,NaN,oven,bicycle,NaN,bicycle9.png
inception_v1,1,31,NaN,bicycle,bird,NaN,bird1.png
inception_v1,1,32,NaN,bicycle,bird,NaN,bird10.png
inception_v1,1,33,NaN,bicycle,bird,NaN,bird2.png
inception_v1,1,34,NaN,bicycle,bird,NaN,bird3.png
inception_v1,1,35,NaN,oven,bird,NaN,bird4.png
inception_v1,1,36,NaN,truck,bird,NaN,bird5.png
inception_v1,1,37,NaN,bicycle,bird,NaN,bird6.png
inception_v1,1,38,NaN,truck,bird,NaN,bird7.png
inception_v1,1,39,NaN,bicycle,bird,NaN,bird8.png
inception_v1,1,40,NaN,oven,bird,NaN,bird9.png
inception_v1,1,41,NaN,truck,boat,NaN,boat1.png
inception_v1,1,42,NaN,truck,boat,NaN,boat10.png
inception_v1,1,43,NaN,bicycle,boat,NaN,boat2.png
inception_v1,1,44,NaN,bottle,boat,NaN,boat3.png
inception_v1,1,45,NaN,truck,boat,NaN,boat4.png
inception_v1,1,46,NaN,bicycle,boat,NaN,boat5.png
inception_v1,1,47,NaN,boat,boat,NaN,boat6.png
inception_v1,1,48,NaN,truck,boat,NaN,boat7.png
inception_v1,1,49,NaN,truck,boat,NaN,boat8.png
inception_v1,1,50,NaN,bicycle,boat,NaN,boat9.png
