subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,clock,airplane,NaN,airplane1.png
mlp_mixer_b_in21,1,2,NaN,chair,airplane,NaN,airplane10.png
mlp_mixer_b_in21,1,3,NaN,oven,airplane,NaN,airplane2.png
mlp_mixer_b_in21,1,4,NaN,chair,airplane,NaN,airplane3.png
mlp_mixer_b_in21,1,5,NaN,oven,airplane,NaN,airplane4.png
mlp_mixer_b_in21,1,6,NaN,oven,airplane,NaN,airplane5.png
mlp_mixer_b_in21,1,7,NaN,clock,airplane,NaN,airplane6.png
mlp_mixer_b_in21,1,8,NaN,oven,airplane,NaN,airplane7.png
mlp_mixer_b_in21,1,9,NaN,car,airplane,NaN,airplane8.png
mlp_mixer_b_in21,1,10,NaN,chair,airplane,NaN,airplane9.png
mlp_mixer_b_in21,1,11,NaN,chair,bear,NaN,bear1.png
mlp_mixer_b_in21,1,12,NaN,elephant,bear,NaN,bear10.png
mlp_mixer_b_in21,1,13,NaN,chair,bear,NaN,bear2.png
mlp_mixer_b_in21,1,14,NaN,chair,bear,NaN,bear3.png
mlp_mixer_b_in21,1,15,NaN,oven,bear,NaN,bear4.png
mlp_mixer_b_in21,1,16,NaN,boat,bear,NaN,bear5.png
mlp_mixer_b_in21,1,17,NaN,chair,bear,NaN,bear6.png
mlp_mixer_b_in21,1,18,NaN,bird,bear,NaN,bear7.png
mlp_mixer_b_in21,1,19,NaN,bicycle,bear,NaN,bear8.png
mlp_mixer_b_in21,1,20,NaN,bird,bear,NaN,bear9.png
mlp_mixer_b_in21,1,21,NaN,chair,bicycle,NaN,bicycle1.png
mlp_mixer_b_in21,1,22,NaN,elephant,bicycle,NaN,bicycle10.png
mlp_mixer_b_in21,1,23,NaN,chair,bicycle,NaN,bicycle2.png
mlp_mixer_b_in21,1,24,NaN,chair,bicycle,NaN,bicycle3.png
mlp_mixer_b_in21,1,25,NaN,elephant,bicycle,NaN,bicycle4.png
mlp_mixer_b_in21,1,26,NaN,chair,bicycle,NaN,bicycle5.png
mlp_mixer_b_in21,1,27,NaN,knife,bicycle,NaN,bicycle6.png
mlp_mixer_b_in21,1,28,NaN,bird,bicycle,NaN,bicycle7.png
mlp_mixer_b_in21,1,29,NaN,knife,bicycle,NaN,bicycle8.png
mlp_mixer_b_in21,1,30,NaN,elephant,bicycle,NaN,bicycle9.png
mlp_mixer_b_in21,1,31,NaN,oven,bird,NaN,bird1.png
mlp_mixer_b_in21,1,32,NaN,car,bird,NaN,bird10.png
mlp_mixer_b_in21,1,33,NaN,knife,bird,NaN,bird2.png
mlp_mixer_b_in21,1,34,NaN,car,bird,NaN,bird3.png
mlp_mixer_b_in21,1,35,NaN,knife,bird,NaN,bird4.png
mlp_mixer_b_in21,1,36,NaN,keyboard,bird,NaN,bird5.png
mlp_mixer_b_in21,1,37,NaN,dog,bird,NaN,bird6.png
mlp_mixer_b_in21,1,38,NaN,truck,bird,NaN,bird7.png
mlp_mixer_b_in21,1,39,NaN,truck,bird,NaN,bird8.png
mlp_mixer_b_in21,1,40,NaN,knife,bird,NaN,bird9.png
mlp_mixer_b_in21,1,41,NaN,chair,boat,NaN,boat1.png
mlp_mixer_b_in21,1,42,NaN,chair,boat,NaN,boat10.png
mlp_mixer_b_in21,1,43,NaN,clock,boat,NaN,boat2.png
mlp_mixer_b_in21,1,44,NaN,chair,boat,NaN,boat3.png
mlp_mixer_b_in21,1,45,NaN,clock,boat,NaN,boat4.png
mlp_mixer_b_in21,1,46,NaN,elephant,boat,NaN,boat5.png
mlp_mixer_b_in21,1,47,NaN,car,boat,NaN,boat6.png
mlp_mixer_b_in21,1,48,NaN,elephant,boat,NaN,boat7.png
mlp_mixer_b_in21,1,49,NaN,chair,boat,NaN,boat8.png
mlp_mixer_b_in21,1,50,NaN,boat,boat,NaN,boat9.png
mlp_mixer_b_in21,1,51,NaN,elephant,bottle,NaN,bottle1.png
mlp_mixer_b_in21,1,52,NaN,knife,bottle,NaN,bottle10.png
mlp_mixer_b_in21,1,53,NaN,bicycle,bottle,NaN,bottle2.png
mlp_mixer_b_in21,1,54,NaN,chair,bottle,NaN,bottle3.png
mlp_mixer_b_in21,1,55,NaN,bear,bottle,NaN,bottle4.png
mlp_mixer_b_in21,1,56,NaN,boat,bottle,NaN,bottle5.png
mlp_mixer_b_in21,1,57,NaN,knife,bottle,NaN,bottle6.png
mlp_mixer_b_in21,1,58,NaN,car,bottle,NaN,bottle7.png
mlp_mixer_b_in21,1,59,NaN,car,bottle,NaN,bottle8.png
mlp_mixer_b_in21,1,60,NaN,elephant,bottle,NaN,bottle9.png
mlp_mixer_b_in21,1,61,NaN,chair,car,NaN,car1.png
mlp_mixer_b_in21,1,62,NaN,chair,car,NaN,car10.png
mlp_mixer_b_in21,1,63,NaN,knife,car,NaN,car2.png
mlp_mixer_b_in21,1,64,NaN,chair,car,NaN,car3.png
mlp_mixer_b_in21,1,65,NaN,knife,car,NaN,car4.png
mlp_mixer_b_in21,1,66,NaN,elephant,car,NaN,car5.png
mlp_mixer_b_in21,1,67,NaN,chair,car,NaN,car6.png
mlp_mixer_b_in21,1,68,NaN,car,car,NaN,car7.png
mlp_mixer_b_in21,1,69,NaN,bottle,car,NaN,car8.png
mlp_mixer_b_in21,1,70,NaN,oven,car,NaN,car9.png
mlp_mixer_b_in21,1,71,NaN,bird,cat,NaN,cat1.png
mlp_mixer_b_in21,1,72,NaN,clock,cat,NaN,cat10.png
mlp_mixer_b_in21,1,73,NaN,chair,cat,NaN,cat2.png
mlp_mixer_b_in21,1,74,NaN,oven,cat,NaN,cat3.png
mlp_mixer_b_in21,1,75,NaN,chair,cat,NaN,cat4.png
mlp_mixer_b_in21,1,76,NaN,car,cat,NaN,cat5.png
mlp_mixer_b_in21,1,77,NaN,chair,cat,NaN,cat6.png
mlp_mixer_b_in21,1,78,NaN,elephant,cat,NaN,cat7.png
mlp_mixer_b_in21,1,79,NaN,elephant,cat,NaN,cat8.png
mlp_mixer_b_in21,1,80,NaN,bird,cat,NaN,cat9.png
mlp_mixer_b_in21,1,81,NaN,oven,chair,NaN,chair1.png
mlp_mixer_b_in21,1,82,NaN,oven,chair,NaN,chair10.png
mlp_mixer_b_in21,1,83,NaN,elephant,chair,NaN,chair2.png
mlp_mixer_b_in21,1,84,NaN,knife,chair,NaN,chair3.png
mlp_mixer_b_in21,1,85,NaN,elephant,chair,NaN,chair4.png
mlp_mixer_b_in21,1,86,NaN,dog,chair,NaN,chair5.png
mlp_mixer_b_in21,1,87,NaN,elephant,chair,NaN,chair6.png
mlp_mixer_b_in21,1,88,NaN,bird,chair,NaN,chair7.png
mlp_mixer_b_in21,1,89,NaN,bird,chair,NaN,chair8.png
mlp_mixer_b_in21,1,90,NaN,knife,chair,NaN,chair9.png
mlp_mixer_b_in21,1,91,NaN,knife,clock,NaN,clock1.png
mlp_mixer_b_in21,1,92,NaN,knife,clock,NaN,clock10.png
mlp_mixer_b_in21,1,93,NaN,oven,clock,NaN,clock2.png
mlp_mixer_b_in21,1,94,NaN,bicycle,clock,NaN,clock3.png
mlp_mixer_b_in21,1,95,NaN,knife,clock,NaN,clock4.png
mlp_mixer_b_in21,1,96,NaN,chair,clock,NaN,clock5.png
mlp_mixer_b_in21,1,97,NaN,chair,clock,NaN,clock6.png
mlp_mixer_b_in21,1,98,NaN,car,clock,NaN,clock7.png
mlp_mixer_b_in21,1,99,NaN,elephant,clock,NaN,clock8.png
mlp_mixer_b_in21,1,100,NaN,chair,clock,NaN,clock9.png
mlp_mixer_b_in21,1,101,NaN,oven,dog,NaN,dog1.png
mlp_mixer_b_in21,1,102,NaN,oven,dog,NaN,dog10.png
mlp_mixer_b_in21,1,103,NaN,chair,dog,NaN,dog2.png
mlp_mixer_b_in21,1,104,NaN,elephant,dog,NaN,dog3.png
mlp_mixer_b_in21,1,105,NaN,keyboard,dog,NaN,dog4.png
mlp_mixer_b_in21,1,106,NaN,knife,dog,NaN,dog5.png
mlp_mixer_b_in21,1,107,NaN,elephant,dog,NaN,dog6.png
mlp_mixer_b_in21,1,108,NaN,elephant,dog,NaN,dog7.png
mlp_mixer_b_in21,1,109,NaN,knife,dog,NaN,dog8.png
mlp_mixer_b_in21,1,110,NaN,elephant,dog,NaN,dog9.png
mlp_mixer_b_in21,1,111,NaN,chair,elephant,NaN,elephant1.png
mlp_mixer_b_in21,1,112,NaN,elephant,elephant,NaN,elephant10.png
mlp_mixer_b_in21,1,113,NaN,keyboard,elephant,NaN,elephant2.png
mlp_mixer_b_in21,1,114,NaN,keyboard,elephant,NaN,elephant3.png
mlp_mixer_b_in21,1,115,NaN,boat,elephant,NaN,elephant4.png
mlp_mixer_b_in21,1,116,NaN,car,elephant,NaN,elephant5.png
mlp_mixer_b_in21,1,117,NaN,bird,elephant,NaN,elephant6.png
mlp_mixer_b_in21,1,118,NaN,oven,elephant,NaN,elephant7.png
mlp_mixer_b_in21,1,119,NaN,dog,elephant,NaN,elephant8.png
mlp_mixer_b_in21,1,120,NaN,truck,elephant,NaN,elephant9.png
mlp_mixer_b_in21,1,121,NaN,oven,keyboard,NaN,keyboard1.png
mlp_mixer_b_in21,1,122,NaN,clock,keyboard,NaN,keyboard10.png
mlp_mixer_b_in21,1,123,NaN,oven,keyboard,NaN,keyboard2.png
mlp_mixer_b_in21,1,124,NaN,oven,keyboard,NaN,keyboard3.png
mlp_mixer_b_in21,1,125,NaN,oven,keyboard,NaN,keyboard4.png
mlp_mixer_b_in21,1,126,NaN,oven,keyboard,NaN,keyboard5.png
mlp_mixer_b_in21,1,127,NaN,oven,keyboard,NaN,keyboard6.png
mlp_mixer_b_in21,1,128,NaN,chair,keyboard,NaN,keyboard7.png
mlp_mixer_b_in21,1,129,NaN,truck,keyboard,NaN,keyboard8.png
mlp_mixer_b_in21,1,130,NaN,chair,keyboard,NaN,keyboard9.png
mlp_mixer_b_in21,1,131,NaN,oven,knife,NaN,knife1.png
mlp_mixer_b_in21,1,132,NaN,oven,knife,NaN,knife10.png
mlp_mixer_b_in21,1,133,NaN,bird,knife,NaN,knife2.png
mlp_mixer_b_in21,1,134,NaN,elephant,knife,NaN,knife3.png
mlp_mixer_b_in21,1,135,NaN,oven,knife,NaN,knife4.png
mlp_mixer_b_in21,1,136,NaN,oven,knife,NaN,knife5.png
mlp_mixer_b_in21,1,137,NaN,car,knife,NaN,knife6.png
mlp_mixer_b_in21,1,138,NaN,chair,knife,NaN,knife7.png
mlp_mixer_b_in21,1,139,NaN,truck,knife,NaN,knife8.png
mlp_mixer_b_in21,1,140,NaN,elephant,knife,NaN,knife9.png
mlp_mixer_b_in21,1,141,NaN,dog,oven,NaN,oven1.png
mlp_mixer_b_in21,1,142,NaN,elephant,oven,NaN,oven10.png
mlp_mixer_b_in21,1,143,NaN,car,oven,NaN,oven2.png
mlp_mixer_b_in21,1,144,NaN,bottle,oven,NaN,oven3.png
mlp_mixer_b_in21,1,145,NaN,knife,oven,NaN,oven4.png
mlp_mixer_b_in21,1,146,NaN,oven,oven,NaN,oven5.png
mlp_mixer_b_in21,1,147,NaN,elephant,oven,NaN,oven6.png
mlp_mixer_b_in21,1,148,NaN,car,oven,NaN,oven7.png
mlp_mixer_b_in21,1,149,NaN,knife,oven,NaN,oven8.png
mlp_mixer_b_in21,1,150,NaN,elephant,oven,NaN,oven9.png
mlp_mixer_b_in21,1,151,NaN,elephant,truck,NaN,truck1.png
mlp_mixer_b_in21,1,152,NaN,chair,truck,NaN,truck10.png
mlp_mixer_b_in21,1,153,NaN,chair,truck,NaN,truck2.png
mlp_mixer_b_in21,1,154,NaN,bird,truck,NaN,truck3.png
mlp_mixer_b_in21,1,155,NaN,bottle,truck,NaN,truck4.png
mlp_mixer_b_in21,1,156,NaN,knife,truck,NaN,truck5.png
mlp_mixer_b_in21,1,157,NaN,bird,truck,NaN,truck6.png
mlp_mixer_b_in21,1,158,NaN,truck,truck,NaN,truck7.png
mlp_mixer_b_in21,1,159,NaN,elephant,truck,NaN,truck8.png
mlp_mixer_b_in21,1,160,NaN,car,truck,NaN,truck9.png
