subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_l_in21,1,1,NaN,bear,airplane,NaN,airplane1.png
mlp_mixer_l_in21,1,2,NaN,elephant,airplane,NaN,airplane10.png
mlp_mixer_l_in21,1,3,NaN,car,airplane,NaN,airplane2.png
mlp_mixer_l_in21,1,4,NaN,bird,airplane,NaN,airplane3.png
mlp_mixer_l_in21,1,5,NaN,car,airplane,NaN,airplane4.png
mlp_mixer_l_in21,1,6,NaN,knife,airplane,NaN,airplane5.png
mlp_mixer_l_in21,1,7,NaN,car,airplane,NaN,airplane6.png
mlp_mixer_l_in21,1,8,NaN,oven,airplane,NaN,airplane7.png
mlp_mixer_l_in21,1,9,NaN,car,airplane,NaN,airplane8.png
mlp_mixer_l_in21,1,10,NaN,oven,airplane,NaN,airplane9.png
mlp_mixer_l_in21,1,11,NaN,oven,bear,NaN,bear1.png
mlp_mixer_l_in21,1,12,NaN,car,bear,NaN,bear10.png
mlp_mixer_l_in21,1,13,NaN,oven,bear,NaN,bear2.png
mlp_mixer_l_in21,1,14,NaN,chair,bear,NaN,bear3.png
mlp_mixer_l_in21,1,15,NaN,car,bear,NaN,bear4.png
mlp_mixer_l_in21,1,16,NaN,car,bear,NaN,bear5.png
mlp_mixer_l_in21,1,17,NaN,car,bear,NaN,bear6.png
mlp_mixer_l_in21,1,18,NaN,knife,bear,NaN,bear7.png
mlp_mixer_l_in21,1,19,NaN,oven,bear,NaN,bear8.png
mlp_mixer_l_in21,1,20,NaN,oven,bear,NaN,bear9.png
mlp_mixer_l_in21,1,21,NaN,car,bicycle,NaN,bicycle1.png
mlp_mixer_l_in21,1,22,NaN,car,bicycle,NaN,bicycle10.png
mlp_mixer_l_in21,1,23,NaN,car,bicycle,NaN,bicycle2.png
mlp_mixer_l_in21,1,24,NaN,chair,bicycle,NaN,bicycle3.png
mlp_mixer_l_in21,1,25,NaN,oven,bicycle,NaN,bicycle4.png
mlp_mixer_l_in21,1,26,NaN,chair,bicycle,NaN,bicycle5.png
mlp_mixer_l_in21,1,27,NaN,oven,bicycle,NaN,bicycle6.png
mlp_mixer_l_in21,1,28,NaN,car,bicycle,NaN,bicycle7.png
mlp_mixer_l_in21,1,29,NaN,oven,bicycle,NaN,bicycle8.png
mlp_mixer_l_in21,1,30,NaN,oven,bicycle,NaN,bicycle9.png
mlp_mixer_l_in21,1,31,NaN,chair,bird,NaN,bird1.png
mlp_mixer_l_in21,1,32,NaN,elephant,bird,NaN,bird10.png
mlp_mixer_l_in21,1,33,NaN,elephant,bird,NaN,bird2.png
mlp_mixer_l_in21,1,34,NaN,oven,bird,NaN,bird3.png
mlp_mixer_l_in21,1,35,NaN,oven,bird,NaN,bird4.png
mlp_mixer_l_in21,1,36,NaN,dog,bird,NaN,bird5.png
mlp_mixer_l_in21,1,37,NaN,chair,bird,NaN,bird6.png
mlp_mixer_l_in21,1,38,NaN,car,bird,NaN,bird7.png
mlp_mixer_l_in21,1,39,NaN,chair,bird,NaN,bird8.png
mlp_mixer_l_in21,1,40,NaN,chair,bird,NaN,bird9.png
mlp_mixer_l_in21,1,41,NaN,oven,boat,NaN,boat1.png
mlp_mixer_l_in21,1,42,NaN,chair,boat,NaN,boat10.png
mlp_mixer_l_in21,1,43,NaN,knife,boat,NaN,boat2.png
mlp_mixer_l_in21,1,44,NaN,chair,boat,NaN,boat3.png
mlp_mixer_l_in21,1,45,NaN,car,boat,NaN,boat4.png
mlp_mixer_l_in21,1,46,NaN,chair,boat,NaN,boat5.png
mlp_mixer_l_in21,1,47,NaN,dog,boat,NaN,boat6.png
mlp_mixer_l_in21,1,48,NaN,car,boat,NaN,boat7.png
mlp_mixer_l_in21,1,49,NaN,oven,boat,NaN,boat8.png
mlp_mixer_l_in21,1,50,NaN,oven,boat,NaN,boat9.png
mlp_mixer_l_in21,1,51,NaN,car,bottle,NaN,bottle1.png
mlp_mixer_l_in21,1,52,NaN,oven,bottle,NaN,bottle10.png
mlp_mixer_l_in21,1,53,NaN,oven,bottle,NaN,bottle2.png
mlp_mixer_l_in21,1,54,NaN,bird,bottle,NaN,bottle3.png
mlp_mixer_l_in21,1,55,NaN,knife,bottle,NaN,bottle4.png
mlp_mixer_l_in21,1,56,NaN,oven,bottle,NaN,bottle5.png
mlp_mixer_l_in21,1,57,NaN,bird,bottle,NaN,bottle6.png
mlp_mixer_l_in21,1,58,NaN,car,bottle,NaN,bottle7.png
mlp_mixer_l_in21,1,59,NaN,chair,bottle,NaN,bottle8.png
mlp_mixer_l_in21,1,60,NaN,car,bottle,NaN,bottle9.png
mlp_mixer_l_in21,1,61,NaN,oven,car,NaN,car1.png
mlp_mixer_l_in21,1,62,NaN,oven,car,NaN,car10.png
mlp_mixer_l_in21,1,63,NaN,clock,car,NaN,car2.png
mlp_mixer_l_in21,1,64,NaN,car,car,NaN,car3.png
mlp_mixer_l_in21,1,65,NaN,oven,car,NaN,car4.png
mlp_mixer_l_in21,1,66,NaN,oven,car,NaN,car5.png
mlp_mixer_l_in21,1,67,NaN,knife,car,NaN,car6.png
mlp_mixer_l_in21,1,68,NaN,oven,car,NaN,car7.png
mlp_mixer_l_in21,1,69,NaN,car,car,NaN,car8.png
mlp_mixer_l_in21,1,70,NaN,truck,car,NaN,car9.png
mlp_mixer_l_in21,1,71,NaN,oven,cat,NaN,cat1.png
mlp_mixer_l_in21,1,72,NaN,car,cat,NaN,cat10.png
mlp_mixer_l_in21,1,73,NaN,oven,cat,NaN,cat2.png
mlp_mixer_l_in21,1,74,NaN,bear,cat,NaN,cat3.png
mlp_mixer_l_in21,1,75,NaN,bird,cat,NaN,cat4.png
mlp_mixer_l_in21,1,76,NaN,car,cat,NaN,cat5.png
mlp_mixer_l_in21,1,77,NaN,oven,cat,NaN,cat6.png
mlp_mixer_l_in21,1,78,NaN,keyboard,cat,NaN,cat7.png
mlp_mixer_l_in21,1,79,NaN,car,cat,NaN,cat8.png
mlp_mixer_l_in21,1,80,NaN,knife,cat,NaN,cat9.png
mlp_mixer_l_in21,1,81,NaN,oven,chair,NaN,chair1.png
mlp_mixer_l_in21,1,82,NaN,chair,chair,NaN,chair10.png
mlp_mixer_l_in21,1,83,NaN,car,chair,NaN,chair2.png
mlp_mixer_l_in21,1,84,NaN,clock,chair,NaN,chair3.png
mlp_mixer_l_in21,1,85,NaN,chair,chair,NaN,chair4.png
mlp_mixer_l_in21,1,86,NaN,bear,chair,NaN,chair5.png
mlp_mixer_l_in21,1,87,NaN,oven,chair,NaN,chair6.png
mlp_mixer_l_in21,1,88,NaN,car,chair,NaN,chair7.png
mlp_mixer_l_in21,1,89,NaN,knife,chair,NaN,chair8.png
mlp_mixer_l_in21,1,90,NaN,car,chair,NaN,chair9.png
mlp_mixer_l_in21,1,91,NaN,dog,clock,NaN,clock1.png
mlp_mixer_l_in21,1,92,NaN,clock,clock,NaN,clock10.png
mlp_mixer_l_in21,1,93,NaN,elephant,clock,NaN,clock2.png
mlp_mixer_l_in21,1,94,NaN,bird,clock,NaN,clock3.png
mlp_mixer_l_in21,1,95,NaN,chair,clock,NaN,clock4.png
mlp_mixer_l_in21,1,96,NaN,chair,clock,NaN,clock5.png
mlp_mixer_l_in21,1,97,NaN,elephant,clock,NaN,clock6.png
mlp_mixer_l_in21,1,98,NaN,car,clock,NaN,clock7.png
mlp_mixer_l_in21,1,99,NaN,car,clock,NaN,clock8.png
mlp_mixer_l_in21,1,100,NaN,knife,clock,NaN,clock9.png
mlp_mixer_l_in21,1,101,NaN,car,dog,NaN,dog1.png
mlp_mixer_l_in21,1,102,NaN,oven,dog,NaN,dog10.png
mlp_mixer_l_in21,1,103,NaN,car,dog,NaN,dog2.png
mlp_mixer_l_in21,1,104,NaN,car,dog,NaN,dog3.png
mlp_mixer_l_in21,1,105,NaN,oven,dog,NaN,dog4.png
mlp_mixer_l_in21,1,106,NaN,chair,dog,NaN,dog5.png
mlp_mixer_l_in21,1,107,NaN,oven,dog,NaN,dog6.png
mlp_mixer_l_in21,1,108,NaN,car,dog,NaN,dog7.png
mlp_mixer_l_in21,1,109,NaN,knife,dog,NaN,dog8.png
mlp_mixer_l_in21,1,110,NaN,clock,dog,NaN,dog9.png
mlp_mixer_l_in21,1,111,NaN,car,elephant,NaN,elephant1.png
mlp_mixer_l_in21,1,112,NaN,oven,elephant,NaN,elephant10.png
mlp_mixer_l_in21,1,113,NaN,car,elephant,NaN,elephant2.png
mlp_mixer_l_in21,1,114,NaN,knife,elephant,NaN,elephant3.png
mlp_mixer_l_in21,1,115,NaN,truck,elephant,NaN,elephant4.png
mlp_mixer_l_in21,1,116,NaN,oven,elephant,NaN,elephant5.png
mlp_mixer_l_in21,1,117,NaN,oven,elephant,NaN,elephant6.png
mlp_mixer_l_in21,1,118,NaN,car,elephant,NaN,elephant7.png
mlp_mixer_l_in21,1,119,NaN,knife,elephant,NaN,elephant8.png
mlp_mixer_l_in21,1,120,NaN,oven,elephant,NaN,elephant9.png
mlp_mixer_l_in21,1,121,NaN,car,keyboard,NaN,keyboard1.png
mlp_mixer_l_in21,1,122,NaN,chair,keyboard,NaN,keyboard10.png
mlp_mixer_l_in21,1,123,NaN,oven,keyboard,NaN,keyboard2.png
mlp_mixer_l_in21,1,124,NaN,chair,keyboard,NaN,keyboard3.png
mlp_mixer_l_in21,1,125,NaN,car,keyboard,NaN,keyboard4.png
mlp_mixer_l_in21,1,126,NaN,car,keyboard,NaN,keyboard5.png
mlp_mixer_l_in21,1,127,NaN,oven,keyboard,NaN,keyboard6.png
mlp_mixer_l_in21,1,128,NaN,car,keyboard,NaN,keyboard7.png
