subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_l,1,1,NaN,chair,airplane,NaN,airplane1.png
mlp_mixer_l,1,2,NaN,chair,airplane,NaN,airplane10.png
mlp_mixer_l,1,3,NaN,bicycle,airplane,NaN,airplane2.png
mlp_mixer_l,1,4,NaN,clock,airplane,NaN,airplane3.png
mlp_mixer_l,1,5,NaN,bottle,airplane,NaN,airplane4.png
mlp_mixer_l,1,6,NaN,airplane,airplane,NaN,airplane5.png
mlp_mixer_l,1,7,NaN,bird,airplane,NaN,airplane6.png
mlp_mixer_l,1,8,NaN,bird,airplane,NaN,airplane7.png
mlp_mixer_l,1,9,NaN,bird,airplane,NaN,airplane8.png
mlp_mixer_l,1,10,NaN,airplane,airplane,NaN,airplane9.png
mlp_mixer_l,1,11,NaN,bottle,bear,NaN,bear1.png
mlp_mixer_l,1,12,NaN,dog,bear,NaN,bear10.png
mlp_mixer_l,1,13,NaN,cat,bear,NaN,bear2.png
mlp_mixer_l,1,14,NaN,airplane,bear,NaN,bear3.png
mlp_mixer_l,1,15,NaN,bird,bear,NaN,bear4.png
mlp_mixer_l,1,16,NaN,bottle,bear,NaN,bear5.png
mlp_mixer_l,1,17,NaN,dog,bear,NaN,bear6.png
mlp_mixer_l,1,18,NaN,knife,bear,NaN,bear7.png
mlp_mixer_l,1,19,NaN,bottle,bear,NaN,bear8.png
mlp_mixer_l,1,20,NaN,cat,bear,NaN,bear9.png
mlp_mixer_l,1,21,NaN,clock,bicycle,NaN,bicycle1.png
mlp_mixer_l,1,22,NaN,clock,bicycle,NaN,bicycle10.png
mlp_mixer_l,1,23,NaN,bottle,bicycle,NaN,bicycle2.png
mlp_mixer_l,1,24,NaN,clock,bicycle,NaN,bicycle3.png
mlp_mixer_l,1,25,NaN,clock,bicycle,NaN,bicycle4.png
mlp_mixer_l,1,26,NaN,clock,bicycle,NaN,bicycle5.png
mlp_mixer_l,1,27,NaN,clock,bicycle,NaN,bicycle6.png
mlp_mixer_l,1,28,NaN,clock,bicycle,NaN,bicycle7.png
mlp_mixer_l,1,29,NaN,clock,bicycle,NaN,bicycle8.png
mlp_mixer_l,1,30,NaN,bottle,bicycle,NaN,bicycle9.png
mlp_mixer_l,1,31,NaN,clock,bird,NaN,bird1.png
mlp_mixer_l,1,32,NaN,clock,bird,NaN,bird10.png
mlp_mixer_l,1,33,NaN,cat,bird,NaN,bird2.png
mlp_mixer_l,1,34,NaN,clock,bird,NaN,bird3.png
mlp_mixer_l,1,35,NaN,cat,bird,NaN,bird4.png
mlp_mixer_l,1,36,NaN,clock,bird,NaN,bird5.png
mlp_mixer_l,1,37,NaN,cat,bird,NaN,bird6.png
mlp_mixer_l,1,38,NaN,bottle,bird,NaN,bird7.png
mlp_mixer_l,1,39,NaN,cat,bird,NaN,bird8.png
mlp_mixer_l,1,40,NaN,cat,bird,NaN,bird9.png
mlp_mixer_l,1,41,NaN,clock,boat,NaN,boat1.png
mlp_mixer_l,1,42,NaN,bird,boat,NaN,boat10.png
mlp_mixer_l,1,43,NaN,clock,boat,NaN,boat2.png
mlp_mixer_l,1,44,NaN,oven,boat,NaN,boat3.png
mlp_mixer_l,1,45,NaN,clock,boat,NaN,boat4.png
mlp_mixer_l,1,46,NaN,bottle,boat,NaN,boat5.png
mlp_mixer_l,1,47,NaN,bird,boat,NaN,boat6.png
mlp_mixer_l,1,48,NaN,cat,boat,NaN,boat7.png
mlp_mixer_l,1,49,NaN,bird,boat,NaN,boat8.png
mlp_mixer_l,1,50,NaN,clock,boat,NaN,boat9.png
mlp_mixer_l,1,51,NaN,bottle,bottle,NaN,bottle1.png
mlp_mixer_l,1,52,NaN,bottle,bottle,NaN,bottle10.png
mlp_mixer_l,1,53,NaN,bottle,bottle,NaN,bottle2.png
mlp_mixer_l,1,54,NaN,bottle,bottle,NaN,bottle3.png
mlp_mixer_l,1,55,NaN,bottle,bottle,NaN,bottle4.png
mlp_mixer_l,1,56,NaN,bottle,bottle,NaN,bottle5.png
mlp_mixer_l,1,57,NaN,bottle,bottle,NaN,bottle6.png
mlp_mixer_l,1,58,NaN,bottle,bottle,NaN,bottle7.png
mlp_mixer_l,1,59,NaN,bottle,bottle,NaN,bottle8.png
mlp_mixer_l,1,60,NaN,bottle,bottle,NaN,bottle9.png
mlp_mixer_l,1,61,NaN,car,car,NaN,car1.png
mlp_mixer_l,1,62,NaN,clock,car,NaN,car10.png
mlp_mixer_l,1,63,NaN,car,car,NaN,car2.png
mlp_mixer_l,1,64,NaN,car,car,NaN,car3.png
mlp_mixer_l,1,65,NaN,bird,car,NaN,car4.png
mlp_mixer_l,1,66,NaN,clock,car,NaN,car5.png
mlp_mixer_l,1,67,NaN,clock,car,NaN,car6.png
mlp_mixer_l,1,68,NaN,clock,car,NaN,car7.png
mlp_mixer_l,1,69,NaN,clock,car,NaN,car8.png
mlp_mixer_l,1,70,NaN,clock,car,NaN,car9.png
mlp_mixer_l,1,71,NaN,clock,cat,NaN,cat1.png
mlp_mixer_l,1,72,NaN,bird,cat,NaN,cat10.png
mlp_mixer_l,1,73,NaN,knife,cat,NaN,cat2.png
mlp_mixer_l,1,74,NaN,clock,cat,NaN,cat3.png
mlp_mixer_l,1,75,NaN,bottle,cat,NaN,cat4.png
mlp_mixer_l,1,76,NaN,bicycle,cat,NaN,cat5.png
mlp_mixer_l,1,77,NaN,clock,cat,NaN,cat6.png
mlp_mixer_l,1,78,NaN,cat,cat,NaN,cat7.png
mlp_mixer_l,1,79,NaN,bird,cat,NaN,cat8.png
mlp_mixer_l,1,80,NaN,clock,cat,NaN,cat9.png
mlp_mixer_l,1,81,NaN,chair,chair,NaN,chair1.png
mlp_mixer_l,1,82,NaN,chair,chair,NaN,chair10.png
mlp_mixer_l,1,83,NaN,knife,chair,NaN,chair2.png
mlp_mixer_l,1,84,NaN,chair,chair,NaN,chair3.png
mlp_mixer_l,1,85,NaN,chair,chair,NaN,chair4.png
mlp_mixer_l,1,86,NaN,chair,chair,NaN,chair5.png
mlp_mixer_l,1,87,NaN,airplane,chair,NaN,chair6.png
mlp_mixer_l,1,88,NaN,clock,chair,NaN,chair7.png
