subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer,1,1,NaN,clock,airplane,NaN,airplane1.png
mlp_mixer,1,2,NaN,clock,airplane,NaN,airplane10.png
mlp_mixer,1,3,NaN,oven,airplane,NaN,airplane2.png
mlp_mixer,1,4,NaN,clock,airplane,NaN,airplane3.png
mlp_mixer,1,5,NaN,clock,airplane,NaN,airplane4.png
mlp_mixer,1,6,NaN,chair,airplane,NaN,airplane5.png
mlp_mixer,1,7,NaN,knife,airplane,NaN,airplane6.png
mlp_mixer,1,8,NaN,cat,airplane,NaN,airplane7.png
mlp_mixer,1,9,NaN,clock,airplane,NaN,airplane8.png
mlp_mixer,1,10,NaN,clock,airplane,NaN,airplane9.png
mlp_mixer,1,11,NaN,oven,bear,NaN,bear1.png
mlp_mixer,1,12,NaN,clock,bear,NaN,bear10.png
mlp_mixer,1,13,NaN,chair,bear,NaN,bear2.png
mlp_mixer,1,14,NaN,chair,bear,NaN,bear3.png
mlp_mixer,1,15,NaN,clock,bear,NaN,bear4.png
mlp_mixer,1,16,NaN,clock,bear,NaN,bear5.png
mlp_mixer,1,17,NaN,clock,bear,NaN,bear6.png
mlp_mixer,1,18,NaN,clock,bear,NaN,bear7.png
mlp_mixer,1,19,NaN,knife,bear,NaN,bear8.png
mlp_mixer,1,20,NaN,clock,bear,NaN,bear9.png
mlp_mixer,1,21,NaN,clock,bicycle,NaN,bicycle1.png
mlp_mixer,1,22,NaN,clock,bicycle,NaN,bicycle10.png
mlp_mixer,1,23,NaN,clock,bicycle,NaN,bicycle2.png
mlp_mixer,1,24,NaN,clock,bicycle,NaN,bicycle3.png
mlp_mixer,1,25,NaN,clock,bicycle,NaN,bicycle4.png
mlp_mixer,1,26,NaN,clock,bicycle,NaN,bicycle5.png
mlp_mixer,1,27,NaN,chair,bicycle,NaN,bicycle6.png
mlp_mixer,1,28,NaN,bottle,bicycle,NaN,bicycle7.png
mlp_mixer,1,29,NaN,chair,bicycle,NaN,bicycle8.png
mlp_mixer,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
mlp_mixer,1,31,NaN,bottle,bird,NaN,bird1.png
mlp_mixer,1,32,NaN,clock,bird,NaN,bird10.png
mlp_mixer,1,33,NaN,clock,bird,NaN,bird2.png
mlp_mixer,1,34,NaN,clock,bird,NaN,bird3.png
mlp_mixer,1,35,NaN,clock,bird,NaN,bird4.png
mlp_mixer,1,36,NaN,bicycle,bird,NaN,bird5.png
mlp_mixer,1,37,NaN,clock,bird,NaN,bird6.png
mlp_mixer,1,38,NaN,clock,bird,NaN,bird7.png
mlp_mixer,1,39,NaN,clock,bird,NaN,bird8.png
mlp_mixer,1,40,NaN,oven,bird,NaN,bird9.png
mlp_mixer,1,41,NaN,chair,boat,NaN,boat1.png
mlp_mixer,1,42,NaN,knife,boat,NaN,boat10.png
mlp_mixer,1,43,NaN,chair,boat,NaN,boat2.png
mlp_mixer,1,44,NaN,clock,boat,NaN,boat3.png
