subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,boat,airplane,NaN,airplane1.png
swin_base,1,2,NaN,dog,airplane,NaN,airplane10.png
swin_base,1,3,NaN,dog,airplane,NaN,airplane2.png
swin_base,1,4,NaN,knife,airplane,NaN,airplane3.png
swin_base,1,5,NaN,clock,airplane,NaN,airplane4.png
swin_base,1,6,NaN,cat,airplane,NaN,airplane5.png
swin_base,1,7,NaN,boat,airplane,NaN,airplane6.png
swin_base,1,8,NaN,boat,airplane,NaN,airplane7.png
swin_base,1,9,NaN,dog,airplane,NaN,airplane8.png
swin_base,1,10,NaN,cat,airplane,NaN,airplane9.png
swin_base,1,11,NaN,cat,bear,NaN,bear1.png
swin_base,1,12,NaN,bear,bear,NaN,bear10.png
swin_base,1,13,NaN,bear,bear,NaN,bear2.png
swin_base,1,14,NaN,bear,bear,NaN,bear3.png
swin_base,1,15,NaN,cat,bear,NaN,bear4.png
swin_base,1,16,NaN,dog,bear,NaN,bear5.png
swin_base,1,17,NaN,bear,bear,NaN,bear6.png
swin_base,1,18,NaN,bear,bear,NaN,bear7.png
swin_base,1,19,NaN,bear,bear,NaN,bear8.png
swin_base,1,20,NaN,bear,bear,NaN,bear9.png
swin_base,1,21,NaN,knife,bicycle,NaN,bicycle1.png
swin_base,1,22,NaN,dog,bicycle,NaN,bicycle10.png
swin_base,1,23,NaN,bear,bicycle,NaN,bicycle2.png
swin_base,1,24,NaN,knife,bicycle,NaN,bicycle3.png
swin_base,1,25,NaN,dog,bicycle,NaN,bicycle4.png
swin_base,1,26,NaN,knife,bicycle,NaN,bicycle5.png
swin_base,1,27,NaN,bear,bicycle,NaN,bicycle6.png
swin_base,1,28,NaN,bird,bicycle,NaN,bicycle7.png
swin_base,1,29,NaN,dog,bicycle,NaN,bicycle8.png
swin_base,1,30,NaN,knife,bicycle,NaN,bicycle9.png
swin_base,1,31,NaN,dog,bird,NaN,bird1.png
swin_base,1,32,NaN,bear,bird,NaN,bird10.png
swin_base,1,33,NaN,cat,bird,NaN,bird2.png
swin_base,1,34,NaN,bottle,bird,NaN,bird3.png
swin_base,1,35,NaN,bear,bird,NaN,bird4.png
swin_base,1,36,NaN,chair,bird,NaN,bird5.png
swin_base,1,37,NaN,bear,bird,NaN,bird6.png
swin_base,1,38,NaN,bear,bird,NaN,bird7.png
swin_base,1,39,NaN,bear,bird,NaN,bird8.png
swin_base,1,40,NaN,car,bird,NaN,bird9.png
swin_base,1,41,NaN,bear,boat,NaN,boat1.png
swin_base,1,42,NaN,bear,boat,NaN,boat10.png
swin_base,1,43,NaN,clock,boat,NaN,boat2.png
swin_base,1,44,NaN,cat,boat,NaN,boat3.png
swin_base,1,45,NaN,bear,boat,NaN,boat4.png
swin_base,1,46,NaN,bear,boat,NaN,boat5.png
swin_base,1,47,NaN,bear,boat,NaN,boat6.png
swin_base,1,48,NaN,bear,boat,NaN,boat7.png
swin_base,1,49,NaN,bear,boat,NaN,boat8.png
swin_base,1,50,NaN,bear,boat,NaN,boat9.png
swin_base,1,51,NaN,bear,bottle,NaN,bottle1.png
swin_base,1,52,NaN,clock,bottle,NaN,bottle10.png
swin_base,1,53,NaN,knife,bottle,NaN,bottle2.png
swin_base,1,54,NaN,bear,bottle,NaN,bottle3.png
swin_base,1,55,NaN,knife,bottle,NaN,bottle4.png
swin_base,1,56,NaN,bear,bottle,NaN,bottle5.png
swin_base,1,57,NaN,clock,bottle,NaN,bottle6.png
swin_base,1,58,NaN,bear,bottle,NaN,bottle7.png
swin_base,1,59,NaN,bear,bottle,NaN,bottle8.png
swin_base,1,60,NaN,clock,bottle,NaN,bottle9.png
swin_base,1,61,NaN,bear,car,NaN,car1.png
swin_base,1,62,NaN,clock,car,NaN,car10.png
swin_base,1,63,NaN,bear,car,NaN,car2.png
swin_base,1,64,NaN,bear,car,NaN,car3.png
swin_base,1,65,NaN,clock,car,NaN,car4.png
swin_base,1,66,NaN,bear,car,NaN,car5.png
swin_base,1,67,NaN,bear,car,NaN,car6.png
swin_base,1,68,NaN,bear,car,NaN,car7.png
swin_base,1,69,NaN,bear,car,NaN,car8.png
swin_base,1,70,NaN,bear,car,NaN,car9.png
swin_base,1,71,NaN,knife,cat,NaN,cat1.png
swin_base,1,72,NaN,bear,cat,NaN,cat10.png
swin_base,1,73,NaN,dog,cat,NaN,cat2.png
swin_base,1,74,NaN,dog,cat,NaN,cat3.png
swin_base,1,75,NaN,knife,cat,NaN,cat4.png
swin_base,1,76,NaN,dog,cat,NaN,cat5.png
swin_base,1,77,NaN,dog,cat,NaN,cat6.png
swin_base,1,78,NaN,cat,cat,NaN,cat7.png
swin_base,1,79,NaN,knife,cat,NaN,cat8.png
swin_base,1,80,NaN,knife,cat,NaN,cat9.png
swin_base,1,81,NaN,boat,chair,NaN,chair1.png
swin_base,1,82,NaN,boat,chair,NaN,chair10.png
swin_base,1,83,NaN,boat,chair,NaN,chair2.png
swin_base,1,84,NaN,knife,chair,NaN,chair3.png
swin_base,1,85,NaN,knife,chair,NaN,chair4.png
swin_base,1,86,NaN,chair,chair,NaN,chair5.png
swin_base,1,87,NaN,boat,chair,NaN,chair6.png
swin_base,1,88,NaN,knife,chair,NaN,chair7.png
swin_base,1,89,NaN,boat,chair,NaN,chair8.png
swin_base,1,90,NaN,clock,chair,NaN,chair9.png
swin_base,1,91,NaN,clock,clock,NaN,clock1.png
swin_base,1,92,NaN,bear,clock,NaN,clock10.png
swin_base,1,93,NaN,elephant,clock,NaN,clock2.png
swin_base,1,94,NaN,elephant,clock,NaN,clock3.png
swin_base,1,95,NaN,dog,clock,NaN,clock4.png
swin_base,1,96,NaN,bear,clock,NaN,clock5.png
swin_base,1,97,NaN,car,clock,NaN,clock6.png
swin_base,1,98,NaN,cat,clock,NaN,clock7.png
swin_base,1,99,NaN,boat,clock,NaN,clock8.png
swin_base,1,100,NaN,cat,clock,NaN,clock9.png
swin_base,1,101,NaN,dog,dog,NaN,dog1.png
swin_base,1,102,NaN,knife,dog,NaN,dog10.png
swin_base,1,103,NaN,bear,dog,NaN,dog2.png
swin_base,1,104,NaN,bear,dog,NaN,dog3.png
swin_base,1,105,NaN,dog,dog,NaN,dog4.png
swin_base,1,106,NaN,bear,dog,NaN,dog5.png
swin_base,1,107,NaN,knife,dog,NaN,dog6.png
swin_base,1,108,NaN,bear,dog,NaN,dog7.png
swin_base,1,109,NaN,bear,dog,NaN,dog8.png
swin_base,1,110,NaN,cat,dog,NaN,dog9.png
swin_base,1,111,NaN,cat,elephant,NaN,elephant1.png
swin_base,1,112,NaN,bear,elephant,NaN,elephant10.png
swin_base,1,113,NaN,bear,elephant,NaN,elephant2.png
swin_base,1,114,NaN,cat,elephant,NaN,elephant3.png
swin_base,1,115,NaN,bear,elephant,NaN,elephant4.png
swin_base,1,116,NaN,bear,elephant,NaN,elephant5.png
swin_base,1,117,NaN,bear,elephant,NaN,elephant6.png
swin_base,1,118,NaN,bear,elephant,NaN,elephant7.png
swin_base,1,119,NaN,bear,elephant,NaN,elephant8.png
swin_base,1,120,NaN,bear,elephant,NaN,elephant9.png
swin_base,1,121,NaN,elephant,keyboard,NaN,keyboard1.png
swin_base,1,122,NaN,clock,keyboard,NaN,keyboard10.png
swin_base,1,123,NaN,cat,keyboard,NaN,keyboard2.png
swin_base,1,124,NaN,elephant,keyboard,NaN,keyboard3.png
swin_base,1,125,NaN,clock,keyboard,NaN,keyboard4.png
swin_base,1,126,NaN,elephant,keyboard,NaN,keyboard5.png
swin_base,1,127,NaN,elephant,keyboard,NaN,keyboard6.png
swin_base,1,128,NaN,dog,keyboard,NaN,keyboard7.png
swin_base,1,129,NaN,cat,keyboard,NaN,keyboard8.png
swin_base,1,130,NaN,knife,keyboard,NaN,keyboard9.png
swin_base,1,131,NaN,bear,knife,NaN,knife1.png
swin_base,1,132,NaN,bear,knife,NaN,knife10.png
swin_base,1,133,NaN,bear,knife,NaN,knife2.png
swin_base,1,134,NaN,bear,knife,NaN,knife3.png
swin_base,1,135,NaN,bear,knife,NaN,knife4.png
swin_base,1,136,NaN,bear,knife,NaN,knife5.png
swin_base,1,137,NaN,bear,knife,NaN,knife6.png
swin_base,1,138,NaN,bear,knife,NaN,knife7.png
swin_base,1,139,NaN,dog,knife,NaN,knife8.png
swin_base,1,140,NaN,bear,knife,NaN,knife9.png
swin_base,1,141,NaN,clock,oven,NaN,oven1.png
swin_base,1,142,NaN,bear,oven,NaN,oven10.png
swin_base,1,143,NaN,elephant,oven,NaN,oven2.png
swin_base,1,144,NaN,clock,oven,NaN,oven3.png
swin_base,1,145,NaN,clock,oven,NaN,oven4.png
swin_base,1,146,NaN,clock,oven,NaN,oven5.png
swin_base,1,147,NaN,clock,oven,NaN,oven6.png
swin_base,1,148,NaN,bear,oven,NaN,oven7.png
swin_base,1,149,NaN,clock,oven,NaN,oven8.png
swin_base,1,150,NaN,clock,oven,NaN,oven9.png
swin_base,1,151,NaN,bear,truck,NaN,truck1.png
swin_base,1,152,NaN,clock,truck,NaN,truck10.png
swin_base,1,153,NaN,bear,truck,NaN,truck2.png
swin_base,1,154,NaN,dog,truck,NaN,truck3.png
swin_base,1,155,NaN,bear,truck,NaN,truck4.png
swin_base,1,156,NaN,knife,truck,NaN,truck5.png
swin_base,1,157,NaN,bear,truck,NaN,truck6.png
swin_base,1,158,NaN,bear,truck,NaN,truck7.png
swin_base,1,159,NaN,bear,truck,NaN,truck8.png
swin_base,1,160,NaN,bear,truck,NaN,truck9.png
