subj,session,trial,rt,object_response,category,condition,imagename
swin_large,1,1,NaN,cat,airplane,NaN,airplane1.png
swin_large,1,2,NaN,bottle,airplane,NaN,airplane10.png
swin_large,1,3,NaN,cat,airplane,NaN,airplane2.png
swin_large,1,4,NaN,cat,airplane,NaN,airplane3.png
swin_large,1,5,NaN,bottle,airplane,NaN,airplane4.png
swin_large,1,6,NaN,cat,airplane,NaN,airplane5.png
swin_large,1,7,NaN,boat,airplane,NaN,airplane6.png
swin_large,1,8,NaN,boat,airplane,NaN,airplane7.png
swin_large,1,9,NaN,cat,airplane,NaN,airplane8.png
swin_large,1,10,NaN,cat,airplane,NaN,airplane9.png
swin_large,1,11,NaN,dog,bear,NaN,bear1.png
swin_large,1,12,NaN,cat,bear,NaN,bear10.png
swin_large,1,13,NaN,clock,bear,NaN,bear2.png
swin_large,1,14,NaN,dog,bear,NaN,bear3.png
swin_large,1,15,NaN,dog,bear,NaN,bear4.png
swin_large,1,16,NaN,dog,bear,NaN,bear5.png
swin_large,1,17,NaN,cat,bear,NaN,bear6.png
swin_large,1,18,NaN,dog,bear,NaN,bear7.png
swin_large,1,19,NaN,cat,bear,NaN,bear8.png
swin_large,1,20,NaN,cat,bear,NaN,bear9.png
swin_large,1,21,NaN,cat,bicycle,NaN,bicycle1.png
swin_large,1,22,NaN,cat,bicycle,NaN,bicycle10.png
swin_large,1,23,NaN,cat,bicycle,NaN,bicycle2.png
swin_large,1,24,NaN,cat,bicycle,NaN,bicycle3.png
swin_large,1,25,NaN,cat,bicycle,NaN,bicycle4.png
swin_large,1,26,NaN,cat,bicycle,NaN,bicycle5.png
swin_large,1,27,NaN,cat,bicycle,NaN,bicycle6.png
swin_large,1,28,NaN,cat,bicycle,NaN,bicycle7.png
swin_large,1,29,NaN,cat,bicycle,NaN,bicycle8.png
swin_large,1,30,NaN,cat,bicycle,NaN,bicycle9.png
swin_large,1,31,NaN,dog,bird,NaN,bird1.png
swin_large,1,32,NaN,clock,bird,NaN,bird10.png
swin_large,1,33,NaN,cat,bird,NaN,bird2.png
swin_large,1,34,NaN,dog,bird,NaN,bird3.png
swin_large,1,35,NaN,chair,bird,NaN,bird4.png
swin_large,1,36,NaN,truck,bird,NaN,bird5.png
swin_large,1,37,NaN,cat,bird,NaN,bird6.png
swin_large,1,38,NaN,car,bird,NaN,bird7.png
swin_large,1,39,NaN,bear,bird,NaN,bird8.png
swin_large,1,40,NaN,truck,bird,NaN,bird9.png
swin_large,1,41,NaN,bottle,boat,NaN,boat1.png
swin_large,1,42,NaN,bear,boat,NaN,boat10.png
swin_large,1,43,NaN,bear,boat,NaN,boat2.png
swin_large,1,44,NaN,cat,boat,NaN,boat3.png
swin_large,1,45,NaN,bottle,boat,NaN,boat4.png
swin_large,1,46,NaN,cat,boat,NaN,boat5.png
swin_large,1,47,NaN,bear,boat,NaN,boat6.png
swin_large,1,48,NaN,bear,boat,NaN,boat7.png
swin_large,1,49,NaN,bottle,boat,NaN,boat8.png
swin_large,1,50,NaN,cat,boat,NaN,boat9.png
swin_large,1,51,NaN,bear,bottle,NaN,bottle1.png
swin_large,1,52,NaN,keyboard,bottle,NaN,bottle10.png
