subj,session,trial,rt,object_response,category,condition,imagename
bagnet9,1,1,NaN,cat,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
bagnet9,1,2,NaN,cat,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
bagnet9,1,3,NaN,dog,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
bagnet9,1,4,NaN,truck,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
bagnet9,1,5,NaN,keyboard,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
bagnet9,1,6,NaN,cat,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
bagnet9,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
bagnet9,1,8,NaN,bird,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
bagnet9,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
bagnet9,1,10,NaN,cat,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
bagnet9,1,11,NaN,dog,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
bagnet9,1,12,NaN,elephant,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
bagnet9,1,13,NaN,dog,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
bagnet9,1,14,NaN,bird,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
bagnet9,1,15,NaN,cat,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
bagnet9,1,16,NaN,dog,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
bagnet9,1,17,NaN,cat,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
bagnet9,1,18,NaN,cat,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
bagnet9,1,19,NaN,cat,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
bagnet9,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
bagnet9,1,21,NaN,keyboard,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
bagnet9,1,22,NaN,cat,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
bagnet9,1,23,NaN,cat,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
bagnet9,1,24,NaN,bottle,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
bagnet9,1,25,NaN,bottle,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
bagnet9,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
bagnet9,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
bagnet9,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
bagnet9,1,29,NaN,cat,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
bagnet9,1,30,NaN,dog,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
bagnet9,1,31,NaN,cat,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
bagnet9,1,32,NaN,dog,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
bagnet9,1,33,NaN,cat,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
bagnet9,1,34,NaN,boat,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
bagnet9,1,35,NaN,elephant,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
bagnet9,1,36,NaN,dog,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
bagnet9,1,37,NaN,cat,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
bagnet9,1,38,NaN,knife,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
bagnet9,1,39,NaN,cat,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
bagnet9,1,40,NaN,airplane,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
bagnet9,1,41,NaN,cat,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
bagnet9,1,42,NaN,cat,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
bagnet9,1,43,NaN,cat,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
bagnet9,1,44,NaN,dog,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
bagnet9,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
bagnet9,1,46,NaN,bottle,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
bagnet9,1,47,NaN,truck,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
bagnet9,1,48,NaN,dog,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
