subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
barlow_twins,1,2,NaN,truck,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
barlow_twins,1,3,NaN,airplane,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
barlow_twins,1,4,NaN,oven,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
barlow_twins,1,5,NaN,knife,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
barlow_twins,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
barlow_twins,1,7,NaN,airplane,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
barlow_twins,1,8,NaN,chair,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
barlow_twins,1,9,NaN,oven,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
barlow_twins,1,10,NaN,elephant,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
barlow_twins,1,11,NaN,car,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
barlow_twins,1,12,NaN,car,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
barlow_twins,1,13,NaN,car,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
barlow_twins,1,14,NaN,bottle,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
barlow_twins,1,15,NaN,airplane,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
barlow_twins,1,16,NaN,bottle,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
barlow_twins,1,17,NaN,airplane,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
barlow_twins,1,18,NaN,airplane,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
barlow_twins,1,19,NaN,airplane,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
barlow_twins,1,20,NaN,knife,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
barlow_twins,1,21,NaN,elephant,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
barlow_twins,1,22,NaN,airplane,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
barlow_twins,1,23,NaN,elephant,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
barlow_twins,1,24,NaN,airplane,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
barlow_twins,1,25,NaN,car,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
barlow_twins,1,26,NaN,oven,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
barlow_twins,1,27,NaN,airplane,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
barlow_twins,1,28,NaN,keyboard,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
barlow_twins,1,29,NaN,airplane,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
barlow_twins,1,30,NaN,truck,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
barlow_twins,1,31,NaN,airplane,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
barlow_twins,1,32,NaN,elephant,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
barlow_twins,1,33,NaN,knife,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
barlow_twins,1,34,NaN,knife,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
barlow_twins,1,35,NaN,airplane,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
barlow_twins,1,36,NaN,clock,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
barlow_twins,1,37,NaN,car,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
barlow_twins,1,38,NaN,airplane,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
barlow_twins,1,39,NaN,elephant,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
barlow_twins,1,40,NaN,elephant,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
barlow_twins,1,41,NaN,bottle,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
barlow_twins,1,42,NaN,elephant,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
barlow_twins,1,43,NaN,airplane,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
barlow_twins,1,44,NaN,oven,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
barlow_twins,1,45,NaN,oven,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
barlow_twins,1,46,NaN,elephant,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
barlow_twins,1,47,NaN,knife,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
barlow_twins,1,48,NaN,keyboard,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
barlow_twins,1,49,NaN,airplane,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png
barlow_twins,1,50,NaN,bottle,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png
barlow_twins,1,51,NaN,oven,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png
barlow_twins,1,52,NaN,airplane,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png
barlow_twins,1,53,NaN,airplane,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png
barlow_twins,1,54,NaN,car,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png
barlow_twins,1,55,NaN,airplane,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png
barlow_twins,1,56,NaN,airplane,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png
barlow_twins,1,57,NaN,airplane,keyboard,32-10-10,0057_eid_dnn_32-10-10_keyboard_10_n03085013_20216.png
barlow_twins,1,58,NaN,keyboard,boat,8-10-10,0058_eid_dnn_8-10-10_boat_10_n02951358_34653.png
barlow_twins,1,59,NaN,airplane,keyboard,2-10-10,0059_eid_dnn_2-10-10_keyboard_10_n03085013_8932.png
barlow_twins,1,60,NaN,oven,cat,1-10-10,0060_eid_dnn_1-10-10_cat_10_n02125311_35338.png
barlow_twins,1,61,NaN,airplane,bicycle,16-10-10,0061_eid_dnn_16-10-10_bicycle_10_n03792782_5449.png
barlow_twins,1,62,NaN,keyboard,bicycle,4-10-10,0062_eid_dnn_4-10-10_bicycle_10_n03792782_9432.png
barlow_twins,1,63,NaN,knife,bottle,1-10-10,0063_eid_dnn_1-10-10_bottle_10_n04591713_4291.png
barlow_twins,1,64,NaN,elephant,truck,4-10-10,0064_eid_dnn_4-10-10_truck_10_n04467665_67057.png
barlow_twins,1,65,NaN,oven,keyboard,1-10-10,0065_eid_dnn_1-10-10_keyboard_10_n03085013_22790.png
barlow_twins,1,66,NaN,elephant,dog,4-10-10,0066_eid_dnn_4-10-10_dog_10_n02086079_2896.png
barlow_twins,1,67,NaN,oven,knife,8-10-10,0067_eid_dnn_8-10-10_knife_10_n03041632_40508.png
barlow_twins,1,68,NaN,knife,boat,1-10-10,0068_eid_dnn_1-10-10_boat_10_n03344393_7942.png
barlow_twins,1,69,NaN,elephant,bear,2-10-10,0069_eid_dnn_2-10-10_bear_10_n02134418_4352.png
barlow_twins,1,70,NaN,airplane,cat,16-10-10,0070_eid_dnn_16-10-10_cat_10_n02123045_5157.png
barlow_twins,1,71,NaN,car,dog,16-10-10,0071_eid_dnn_16-10-10_dog_10_n02109047_14287.png
barlow_twins,1,72,NaN,airplane,truck,2-10-10,0072_eid_dnn_2-10-10_truck_10_n03417042_14274.png
barlow_twins,1,73,NaN,elephant,airplane,2-10-10,0073_eid_dnn_2-10-10_airplane_10_n02690373_5885.png
