subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,car,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
dino_v8,1,2,NaN,keyboard,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
dino_v8,1,3,NaN,keyboard,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
dino_v8,1,4,NaN,oven,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
dino_v8,1,5,NaN,knife,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
dino_v8,1,6,NaN,keyboard,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
dino_v8,1,7,NaN,oven,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
dino_v8,1,8,NaN,oven,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
dino_v8,1,9,NaN,bear,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
dino_v8,1,10,NaN,oven,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
dino_v8,1,11,NaN,elephant,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
dino_v8,1,12,NaN,keyboard,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
dino_v8,1,13,NaN,elephant,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
dino_v8,1,14,NaN,airplane,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
dino_v8,1,15,NaN,keyboard,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
dino_v8,1,16,NaN,airplane,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
dino_v8,1,17,NaN,boat,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
dino_v8,1,18,NaN,airplane,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
dino_v8,1,19,NaN,keyboard,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
dino_v8,1,20,NaN,airplane,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
dino_v8,1,21,NaN,keyboard,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
dino_v8,1,22,NaN,keyboard,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
dino_v8,1,23,NaN,airplane,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
dino_v8,1,24,NaN,keyboard,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
dino_v8,1,25,NaN,keyboard,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
dino_v8,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
dino_v8,1,27,NaN,boat,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
dino_v8,1,28,NaN,oven,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
dino_v8,1,29,NaN,keyboard,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
dino_v8,1,30,NaN,knife,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
dino_v8,1,31,NaN,airplane,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
dino_v8,1,32,NaN,oven,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
dino_v8,1,33,NaN,airplane,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
dino_v8,1,34,NaN,oven,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png
dino_v8,1,35,NaN,knife,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png
dino_v8,1,36,NaN,airplane,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png
dino_v8,1,37,NaN,airplane,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png
dino_v8,1,38,NaN,keyboard,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png
dino_v8,1,39,NaN,keyboard,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png
dino_v8,1,40,NaN,keyboard,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png
dino_v8,1,41,NaN,keyboard,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png
dino_v8,1,42,NaN,keyboard,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png
dino_v8,1,43,NaN,keyboard,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png
dino_v8,1,44,NaN,airplane,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png
dino_v8,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png
dino_v8,1,46,NaN,keyboard,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png
dino_v8,1,47,NaN,oven,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png
dino_v8,1,48,NaN,keyboard,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png
dino_v8,1,49,NaN,keyboard,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png
dino_v8,1,50,NaN,knife,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png
dino_v8,1,51,NaN,keyboard,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png
dino_v8,1,52,NaN,keyboard,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png
dino_v8,1,53,NaN,boat,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png
dino_v8,1,54,NaN,knife,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png
dino_v8,1,55,NaN,keyboard,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png
dino_v8,1,56,NaN,keyboard,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png
dino_v8,1,57,NaN,keyboard,keyboard,32-10-10,0057_eid_dnn_32-10-10_keyboard_10_n03085013_20216.png
dino_v8,1,58,NaN,keyboard,boat,8-10-10,0058_eid_dnn_8-10-10_boat_10_n02951358_34653.png
dino_v8,1,59,NaN,bear,keyboard,2-10-10,0059_eid_dnn_2-10-10_keyboard_10_n03085013_8932.png
dino_v8,1,60,NaN,boat,cat,1-10-10,0060_eid_dnn_1-10-10_cat_10_n02125311_35338.png
dino_v8,1,61,NaN,keyboard,bicycle,16-10-10,0061_eid_dnn_16-10-10_bicycle_10_n03792782_5449.png
dino_v8,1,62,NaN,keyboard,bicycle,4-10-10,0062_eid_dnn_4-10-10_bicycle_10_n03792782_9432.png
dino_v8,1,63,NaN,oven,bottle,1-10-10,0063_eid_dnn_1-10-10_bottle_10_n04591713_4291.png
dino_v8,1,64,NaN,knife,truck,4-10-10,0064_eid_dnn_4-10-10_truck_10_n04467665_67057.png
dino_v8,1,65,NaN,airplane,keyboard,1-10-10,0065_eid_dnn_1-10-10_keyboard_10_n03085013_22790.png
dino_v8,1,66,NaN,bear,dog,4-10-10,0066_eid_dnn_4-10-10_dog_10_n02086079_2896.png
dino_v8,1,67,NaN,keyboard,knife,8-10-10,0067_eid_dnn_8-10-10_knife_10_n03041632_40508.png
dino_v8,1,68,NaN,keyboard,boat,1-10-10,0068_eid_dnn_1-10-10_boat_10_n03344393_7942.png
dino_v8,1,69,NaN,elephant,bear,2-10-10,0069_eid_dnn_2-10-10_bear_10_n02134418_4352.png
dino_v8,1,70,NaN,keyboard,cat,16-10-10,0070_eid_dnn_16-10-10_cat_10_n02123045_5157.png
dino_v8,1,71,NaN,keyboard,dog,16-10-10,0071_eid_dnn_16-10-10_dog_10_n02109047_14287.png
dino_v8,1,72,NaN,car,truck,2-10-10,0072_eid_dnn_2-10-10_truck_10_n03417042_14274.png
dino_v8,1,73,NaN,airplane,airplane,2-10-10,0073_eid_dnn_2-10-10_airplane_10_n02690373_5885.png
dino_v8,1,74,NaN,keyboard,cat,32-10-10,0074_eid_dnn_32-10-10_cat_10_n02123394_571.png
dino_v8,1,75,NaN,keyboard,cat,32-10-10,0075_eid_dnn_32-10-10_cat_10_n02123045_10171.png
dino_v8,1,76,NaN,keyboard,bottle,8-10-10,0076_eid_dnn_8-10-10_bottle_10_n04560804_4909.png
dino_v8,1,77,NaN,airplane,keyboard,8-10-10,0077_eid_dnn_8-10-10_keyboard_10_n03085013_7971.png
dino_v8,1,78,NaN,keyboard,keyboard,16-10-10,0078_eid_dnn_16-10-10_keyboard_10_n03085013_21397.png
dino_v8,1,79,NaN,keyboard,elephant,32-10-10,0079_eid_dnn_32-10-10_elephant_10_n02504458_4187.png
dino_v8,1,80,NaN,airplane,clock,8-10-10,0080_eid_dnn_8-10-10_clock_10_n03196217_6689.png
dino_v8,1,81,NaN,oven,knife,4-10-10,0081_eid_dnn_4-10-10_knife_10_n03041632_26236.png
dino_v8,1,82,NaN,elephant,car,8-10-10,0082_eid_dnn_8-10-10_car_10_n03100240_1262.png
dino_v8,1,83,NaN,airplane,keyboard,64-10-10,0083_eid_dnn_64-10-10_keyboard_10_n04505470_5059.png
dino_v8,1,84,NaN,keyboard,bird,1-10-10,0084_eid_dnn_1-10-10_bird_10_n01537544_26417.png
dino_v8,1,85,NaN,keyboard,bird,32-10-10,0085_eid_dnn_32-10-10_bird_10_n02009912_5714.png
dino_v8,1,86,NaN,keyboard,chair,128-10-10,0086_eid_dnn_128-10-10_chair_10_n03376595_5972.png
