subj,session,trial,rt,object_response,category,condition,imagename
efficientnet_l2_noisy_student_475,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
efficientnet_l2_noisy_student_475,1,2,NaN,knife,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
efficientnet_l2_noisy_student_475,1,3,NaN,knife,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
efficientnet_l2_noisy_student_475,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
efficientnet_l2_noisy_student_475,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
efficientnet_l2_noisy_student_475,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
efficientnet_l2_noisy_student_475,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
efficientnet_l2_noisy_student_475,1,8,NaN,knife,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
efficientnet_l2_noisy_student_475,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
efficientnet_l2_noisy_student_475,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
efficientnet_l2_noisy_student_475,1,11,NaN,elephant,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
efficientnet_l2_noisy_student_475,1,12,NaN,clock,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
efficientnet_l2_noisy_student_475,1,13,NaN,elephant,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
efficientnet_l2_noisy_student_475,1,14,NaN,elephant,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
efficientnet_l2_noisy_student_475,1,15,NaN,knife,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
efficientnet_l2_noisy_student_475,1,16,NaN,clock,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
efficientnet_l2_noisy_student_475,1,17,NaN,clock,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
efficientnet_l2_noisy_student_475,1,18,NaN,clock,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
efficientnet_l2_noisy_student_475,1,19,NaN,knife,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
efficientnet_l2_noisy_student_475,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
efficientnet_l2_noisy_student_475,1,21,NaN,chair,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
efficientnet_l2_noisy_student_475,1,22,NaN,knife,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
