subj,session,trial,rt,object_response,category,condition,imagename
clip,1,1,NaN,knife,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png
clip,1,2,NaN,knife,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png
clip,1,3,NaN,knife,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png
clip,1,4,NaN,knife,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png
clip,1,5,NaN,knife,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png
clip,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png
clip,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png
clip,1,8,NaN,knife,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png
clip,1,9,NaN,knife,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png
clip,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png
clip,1,11,NaN,knife,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png
clip,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png
clip,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png
clip,1,14,NaN,knife,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png
clip,1,15,NaN,dog,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png
clip,1,16,NaN,bicycle,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png
clip,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png
clip,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png
clip,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png
clip,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png
clip,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png
clip,1,22,NaN,cat,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png
clip,1,23,NaN,oven,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png
clip,1,24,NaN,oven,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png
clip,1,25,NaN,cat,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png
clip,1,26,NaN,knife,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png
clip,1,27,NaN,boat,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png
clip,1,28,NaN,bottle,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png
clip,1,29,NaN,knife,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png
clip,1,30,NaN,knife,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png
clip,1,31,NaN,knife,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png
clip,1,32,NaN,knife,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png
clip,1,33,NaN,bird,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png
clip,1,34,NaN,boat,bicycle,8-3-10,0034_eid_dnn_8-3-10_bicycle_10_n02835271_20099.png
clip,1,35,NaN,bear,bear,4-3-10,0035_eid_dnn_4-3-10_bear_10_n02134084_12070.png
clip,1,36,NaN,oven,bottle,8-3-10,0036_eid_dnn_8-3-10_bottle_10_n02823428_8525.png
clip,1,37,NaN,bicycle,truck,32-3-10,0037_eid_dnn_32-3-10_truck_10_n04467665_37953.png
clip,1,38,NaN,cat,oven,128-3-10,0038_eid_dnn_128-3-10_oven_10_n04111531_4868.png
clip,1,39,NaN,cat,boat,32-3-10,0039_eid_dnn_32-3-10_boat_10_n03662601_19840.png
clip,1,40,NaN,truck,truck,8-3-10,0040_eid_dnn_8-3-10_truck_10_n04467665_9331.png
clip,1,41,NaN,cat,dog,64-3-10,0041_eid_dnn_64-3-10_dog_10_n02111277_16090.png
clip,1,42,NaN,bottle,bottle,4-3-10,0042_eid_dnn_4-3-10_bottle_10_n02823428_6731.png
clip,1,43,NaN,bear,elephant,8-3-10,0043_eid_dnn_8-3-10_elephant_10_n02504013_8930.png
clip,1,44,NaN,car,car,4-3-10,0044_eid_dnn_4-3-10_car_10_n03100240_13673.png
clip,1,45,NaN,knife,bird,128-3-10,0045_eid_dnn_128-3-10_bird_10_n02018207_6819.png
clip,1,46,NaN,elephant,elephant,4-3-10,0046_eid_dnn_4-3-10_elephant_10_n02504013_6065.png
clip,1,47,NaN,cat,cat,1-3-10,0047_eid_dnn_1-3-10_cat_10_n02123394_384.png
clip,1,48,NaN,bear,bicycle,16-3-10,0048_eid_dnn_16-3-10_bicycle_10_n02835271_12608.png
clip,1,49,NaN,chair,chair,2-3-10,0049_eid_dnn_2-3-10_chair_10_n03376595_13949.png
clip,1,50,NaN,cat,airplane,128-3-10,0050_eid_dnn_128-3-10_airplane_10_n02690373_3561.png
clip,1,51,NaN,bicycle,bicycle,32-3-10,0051_eid_dnn_32-3-10_bicycle_10_n02835271_8203.png
clip,1,52,NaN,bicycle,bicycle,2-3-10,0052_eid_dnn_2-3-10_bicycle_10_n03792782_5665.png
clip,1,53,NaN,knife,bicycle,128-3-10,0053_eid_dnn_128-3-10_bicycle_10_n02835271_15028.png
clip,1,54,NaN,clock,clock,1-3-10,0054_eid_dnn_1-3-10_clock_10_n04548280_3318.png
clip,1,55,NaN,cat,cat,128-3-10,0055_eid_dnn_128-3-10_cat_10_n02123045_8784.png
clip,1,56,NaN,cat,knife,128-3-10,0056_eid_dnn_128-3-10_knife_10_n03041632_3247.png
clip,1,57,NaN,dog,dog,8-3-10,0057_eid_dnn_8-3-10_dog_10_n02110185_11414.png
clip,1,58,NaN,knife,dog,32-3-10,0058_eid_dnn_32-3-10_dog_10_n02113712_2715.png
clip,1,59,NaN,elephant,elephant,2-3-10,0059_eid_dnn_2-3-10_elephant_10_n02504458_1210.png
clip,1,60,NaN,knife,car,16-3-10,0060_eid_dnn_16-3-10_car_10_n02814533_32337.png
clip,1,61,NaN,car,car,4-3-10,0061_eid_dnn_4-3-10_car_10_n02814533_55326.png
clip,1,62,NaN,cat,knife,64-3-10,0062_eid_dnn_64-3-10_knife_10_n03041632_32774.png
clip,1,63,NaN,bear,bicycle,8-3-10,0063_eid_dnn_8-3-10_bicycle_10_n02835271_11921.png
clip,1,64,NaN,knife,chair,32-3-10,0064_eid_dnn_32-3-10_chair_10_n03376595_6115.png
clip,1,65,NaN,bear,bear,16-3-10,0065_eid_dnn_16-3-10_bear_10_n02133161_79.png
clip,1,66,NaN,boat,boat,1-3-10,0066_eid_dnn_1-3-10_boat_10_n03662601_34796.png
clip,1,67,NaN,bird,bird,4-3-10,0067_eid_dnn_4-3-10_bird_10_n02051845_8976.png
clip,1,68,NaN,boat,boat,4-3-10,0068_eid_dnn_4-3-10_boat_10_n03344393_7362.png
clip,1,69,NaN,knife,car,32-3-10,0069_eid_dnn_32-3-10_car_10_n02814533_34289.png
clip,1,70,NaN,knife,keyboard,16-3-10,0070_eid_dnn_16-3-10_keyboard_10_n03085013_2166.png
clip,1,71,NaN,bear,bear,2-3-10,0071_eid_dnn_2-3-10_bear_10_n02133161_10167.png
clip,1,72,NaN,cat,keyboard,16-3-10,0072_eid_dnn_16-3-10_keyboard_10_n04505470_430.png
clip,1,73,NaN,knife,boat,128-3-10,0073_eid_dnn_128-3-10_boat_10_n03662601_17001.png
clip,1,74,NaN,knife,bear,128-3-10,0074_eid_dnn_128-3-10_bear_10_n02133161_5157.png
clip,1,75,NaN,boat,boat,2-3-10,0075_eid_dnn_2-3-10_boat_10_n02951358_17870.png
clip,1,76,NaN,knife,cat,64-3-10,0076_eid_dnn_64-3-10_cat_10_n02123159_1102.png
clip,1,77,NaN,cat,cat,32-3-10,0077_eid_dnn_32-3-10_cat_10_n02123045_4252.png
clip,1,78,NaN,keyboard,keyboard,2-3-10,0078_eid_dnn_2-3-10_keyboard_10_n04505470_4294.png
clip,1,79,NaN,truck,truck,2-3-10,0079_eid_dnn_2-3-10_truck_10_n04467665_1101.png
clip,1,80,NaN,knife,airplane,64-3-10,0080_eid_dnn_64-3-10_airplane_10_n02690373_2078.png
clip,1,81,NaN,cat,boat,64-3-10,0081_eid_dnn_64-3-10_boat_10_n04612504_5535.png
clip,1,82,NaN,knife,cat,16-3-10,0082_eid_dnn_16-3-10_cat_10_n02125311_15099.png
clip,1,83,NaN,knife,airplane,64-3-10,0083_eid_dnn_64-3-10_airplane_10_n02690373_4671.png
clip,1,84,NaN,truck,truck,1-3-10,0084_eid_dnn_1-3-10_truck_10_n03417042_9062.png
clip,1,85,NaN,cat,cat,4-3-10,0085_eid_dnn_4-3-10_cat_10_n02123394_283.png
clip,1,86,NaN,car,car,1-3-10,0086_eid_dnn_1-3-10_car_10_n02814533_3375.png
clip,1,87,NaN,cat,cat,2-3-10,0087_eid_dnn_2-3-10_cat_10_n02124075_9706.png
clip,1,88,NaN,car,car,2-3-10,0088_eid_dnn_2-3-10_car_10_n04285008_10563.png
clip,1,89,NaN,cat,clock,64-3-10,0089_eid_dnn_64-3-10_clock_10_n03196217_3283.png
clip,1,90,NaN,cat,oven,128-3-10,0090_eid_dnn_128-3-10_oven_10_n04111531_21120.png
clip,1,91,NaN,bird,bird,1-3-10,0091_eid_dnn_1-3-10_bird_10_n01824575_6186.png
clip,1,92,NaN,dog,dog,4-3-10,0092_eid_dnn_4-3-10_dog_10_n02102318_11155.png
clip,1,93,NaN,bear,clock,16-3-10,0093_eid_dnn_16-3-10_clock_10_n04548280_2283.png
clip,1,94,NaN,knife,chair,128-3-10,0094_eid_dnn_128-3-10_chair_10_n03376595_18787.png
clip,1,95,NaN,knife,keyboard,8-3-10,0095_eid_dnn_8-3-10_keyboard_10_n04505470_1903.png
clip,1,96,NaN,oven,clock,16-3-10,0096_eid_dnn_16-3-10_clock_10_n03196217_6185.png
clip,1,97,NaN,clock,clock,2-3-10,0097_eid_dnn_2-3-10_clock_10_n03196217_10424.png
clip,1,98,NaN,knife,knife,2-3-10,0098_eid_dnn_2-3-10_knife_10_n03041632_43436.png
clip,1,99,NaN,dog,dog,1-3-10,0099_eid_dnn_1-3-10_dog_10_n02093647_5955.png
clip,1,100,NaN,cat,boat,32-3-10,0100_eid_dnn_32-3-10_boat_10_n03662601_5423.png
clip,1,101,NaN,knife,keyboard,128-3-10,0101_eid_dnn_128-3-10_keyboard_10_n04505470_9457.png
clip,1,102,NaN,cat,knife,128-3-10,0102_eid_dnn_128-3-10_knife_10_n03041632_38535.png
clip,1,103,NaN,elephant,elephant,8-3-10,0103_eid_dnn_8-3-10_elephant_10_n02504458_8141.png
clip,1,104,NaN,airplane,airplane,4-3-10,0104_eid_dnn_4-3-10_airplane_10_n02690373_9086.png
clip,1,105,NaN,knife,bicycle,16-3-10,0105_eid_dnn_16-3-10_bicycle_10_n03792782_19116.png
clip,1,106,NaN,elephant,elephant,4-3-10,0106_eid_dnn_4-3-10_elephant_10_n02504458_2343.png
clip,1,107,NaN,airplane,airplane,16-3-10,0107_eid_dnn_16-3-10_airplane_10_n02690373_7093.png
clip,1,108,NaN,knife,car,32-3-10,0108_eid_dnn_32-3-10_car_10_n03100240_7935.png
clip,1,109,NaN,knife,airplane,16-3-10,0109_eid_dnn_16-3-10_airplane_10_n02690373_8611.png
clip,1,110,NaN,bear,bear,2-3-10,0110_eid_dnn_2-3-10_bear_10_n02133161_7332.png
clip,1,111,NaN,car,car,2-3-10,0111_eid_dnn_2-3-10_car_10_n03100240_9387.png
clip,1,112,NaN,cat,cat,4-3-10,0112_eid_dnn_4-3-10_cat_10_n02124075_521.png
clip,1,113,NaN,cat,bottle,128-3-10,0113_eid_dnn_128-3-10_bottle_10_n04560804_3746.png
clip,1,114,NaN,knife,elephant,16-3-10,0114_eid_dnn_16-3-10_elephant_10_n02504458_1127.png
clip,1,115,NaN,knife,knife,8-3-10,0115_eid_dnn_8-3-10_knife_10_n03041632_14132.png
clip,1,116,NaN,oven,oven,1-3-10,0116_eid_dnn_1-3-10_oven_10_n04111531_18916.png
clip,1,117,NaN,oven,oven,1-3-10,0117_eid_dnn_1-3-10_oven_10_n04111531_19274.png
clip,1,118,NaN,bird,bird,2-3-10,0118_eid_dnn_2-3-10_bird_10_n01843383_277.png
clip,1,119,NaN,airplane,boat,64-3-10,0119_eid_dnn_64-3-10_boat_10_n03344393_6799.png
clip,1,120,NaN,dog,dog,2-3-10,0120_eid_dnn_2-3-10_dog_10_n02093428_16887.png
clip,1,121,NaN,knife,elephant,64-3-10,0121_eid_dnn_64-3-10_elephant_10_n02504458_6163.png
clip,1,122,NaN,oven,bottle,64-3-10,0122_eid_dnn_64-3-10_bottle_10_n04591713_2826.png
