subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,bottle,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png
dino_v8,1,2,NaN,airplane,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png
dino_v8,1,3,NaN,airplane,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png
dino_v8,1,4,NaN,knife,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png
dino_v8,1,5,NaN,airplane,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png
dino_v8,1,6,NaN,elephant,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png
dino_v8,1,7,NaN,knife,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png
dino_v8,1,8,NaN,bottle,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png
dino_v8,1,9,NaN,car,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png
dino_v8,1,10,NaN,knife,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png
dino_v8,1,11,NaN,knife,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png
dino_v8,1,12,NaN,elephant,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png
dino_v8,1,13,NaN,bottle,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png
dino_v8,1,14,NaN,boat,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png
dino_v8,1,15,NaN,oven,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png
dino_v8,1,16,NaN,airplane,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png
dino_v8,1,17,NaN,cat,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png
dino_v8,1,18,NaN,airplane,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png
dino_v8,1,19,NaN,keyboard,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png
dino_v8,1,20,NaN,knife,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png
dino_v8,1,21,NaN,oven,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png
dino_v8,1,22,NaN,elephant,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png
dino_v8,1,23,NaN,bottle,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png
dino_v8,1,24,NaN,airplane,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png
dino_v8,1,25,NaN,airplane,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png
dino_v8,1,26,NaN,keyboard,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png
dino_v8,1,27,NaN,clock,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png
dino_v8,1,28,NaN,elephant,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png
dino_v8,1,29,NaN,elephant,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png
dino_v8,1,30,NaN,airplane,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png
dino_v8,1,31,NaN,keyboard,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png
dino_v8,1,32,NaN,keyboard,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png
dino_v8,1,33,NaN,car,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png
dino_v8,1,34,NaN,knife,bicycle,8-3-10,0034_eid_dnn_8-3-10_bicycle_10_n02835271_20099.png
dino_v8,1,35,NaN,airplane,bear,4-3-10,0035_eid_dnn_4-3-10_bear_10_n02134084_12070.png
dino_v8,1,36,NaN,elephant,bottle,8-3-10,0036_eid_dnn_8-3-10_bottle_10_n02823428_8525.png
dino_v8,1,37,NaN,keyboard,truck,32-3-10,0037_eid_dnn_32-3-10_truck_10_n04467665_37953.png
dino_v8,1,38,NaN,knife,oven,128-3-10,0038_eid_dnn_128-3-10_oven_10_n04111531_4868.png
dino_v8,1,39,NaN,knife,boat,32-3-10,0039_eid_dnn_32-3-10_boat_10_n03662601_19840.png
dino_v8,1,40,NaN,airplane,truck,8-3-10,0040_eid_dnn_8-3-10_truck_10_n04467665_9331.png
dino_v8,1,41,NaN,keyboard,dog,64-3-10,0041_eid_dnn_64-3-10_dog_10_n02111277_16090.png
dino_v8,1,42,NaN,oven,bottle,4-3-10,0042_eid_dnn_4-3-10_bottle_10_n02823428_6731.png
dino_v8,1,43,NaN,elephant,elephant,8-3-10,0043_eid_dnn_8-3-10_elephant_10_n02504013_8930.png
dino_v8,1,44,NaN,airplane,car,4-3-10,0044_eid_dnn_4-3-10_car_10_n03100240_13673.png
dino_v8,1,45,NaN,knife,bird,128-3-10,0045_eid_dnn_128-3-10_bird_10_n02018207_6819.png
dino_v8,1,46,NaN,elephant,elephant,4-3-10,0046_eid_dnn_4-3-10_elephant_10_n02504013_6065.png
dino_v8,1,47,NaN,bottle,cat,1-3-10,0047_eid_dnn_1-3-10_cat_10_n02123394_384.png
dino_v8,1,48,NaN,knife,bicycle,16-3-10,0048_eid_dnn_16-3-10_bicycle_10_n02835271_12608.png
dino_v8,1,49,NaN,bear,chair,2-3-10,0049_eid_dnn_2-3-10_chair_10_n03376595_13949.png
dino_v8,1,50,NaN,keyboard,airplane,128-3-10,0050_eid_dnn_128-3-10_airplane_10_n02690373_3561.png
dino_v8,1,51,NaN,knife,bicycle,32-3-10,0051_eid_dnn_32-3-10_bicycle_10_n02835271_8203.png
dino_v8,1,52,NaN,airplane,bicycle,2-3-10,0052_eid_dnn_2-3-10_bicycle_10_n03792782_5665.png
dino_v8,1,53,NaN,knife,bicycle,128-3-10,0053_eid_dnn_128-3-10_bicycle_10_n02835271_15028.png
dino_v8,1,54,NaN,chair,clock,1-3-10,0054_eid_dnn_1-3-10_clock_10_n04548280_3318.png
dino_v8,1,55,NaN,bottle,cat,128-3-10,0055_eid_dnn_128-3-10_cat_10_n02123045_8784.png
dino_v8,1,56,NaN,boat,knife,128-3-10,0056_eid_dnn_128-3-10_knife_10_n03041632_3247.png
dino_v8,1,57,NaN,airplane,dog,8-3-10,0057_eid_dnn_8-3-10_dog_10_n02110185_11414.png
dino_v8,1,58,NaN,elephant,dog,32-3-10,0058_eid_dnn_32-3-10_dog_10_n02113712_2715.png
dino_v8,1,59,NaN,oven,elephant,2-3-10,0059_eid_dnn_2-3-10_elephant_10_n02504458_1210.png
dino_v8,1,60,NaN,oven,car,16-3-10,0060_eid_dnn_16-3-10_car_10_n02814533_32337.png
dino_v8,1,61,NaN,airplane,car,4-3-10,0061_eid_dnn_4-3-10_car_10_n02814533_55326.png
dino_v8,1,62,NaN,airplane,knife,64-3-10,0062_eid_dnn_64-3-10_knife_10_n03041632_32774.png
dino_v8,1,63,NaN,knife,bicycle,8-3-10,0063_eid_dnn_8-3-10_bicycle_10_n02835271_11921.png
