subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,knife,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png
autoencoder_vit_b,1,2,NaN,knife,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png
autoencoder_vit_b,1,3,NaN,knife,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png
autoencoder_vit_b,1,4,NaN,knife,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png
autoencoder_vit_b,1,5,NaN,oven,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png
autoencoder_vit_b,1,6,NaN,oven,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png
autoencoder_vit_b,1,7,NaN,oven,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png
autoencoder_vit_b,1,8,NaN,knife,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png
autoencoder_vit_b,1,9,NaN,knife,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png
autoencoder_vit_b,1,10,NaN,knife,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png
autoencoder_vit_b,1,11,NaN,oven,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png
autoencoder_vit_b,1,12,NaN,knife,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png
autoencoder_vit_b,1,13,NaN,knife,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png
autoencoder_vit_b,1,14,NaN,knife,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png
autoencoder_vit_b,1,15,NaN,knife,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png
autoencoder_vit_b,1,16,NaN,knife,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png
autoencoder_vit_b,1,17,NaN,oven,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png
autoencoder_vit_b,1,18,NaN,oven,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png
autoencoder_vit_b,1,19,NaN,knife,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png
autoencoder_vit_b,1,20,NaN,knife,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png
autoencoder_vit_b,1,21,NaN,knife,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png
autoencoder_vit_b,1,22,NaN,knife,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png
autoencoder_vit_b,1,23,NaN,knife,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png
autoencoder_vit_b,1,24,NaN,knife,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png
autoencoder_vit_b,1,25,NaN,knife,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png
autoencoder_vit_b,1,26,NaN,knife,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png
autoencoder_vit_b,1,27,NaN,knife,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png
autoencoder_vit_b,1,28,NaN,oven,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png
autoencoder_vit_b,1,29,NaN,oven,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png
autoencoder_vit_b,1,30,NaN,oven,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png
autoencoder_vit_b,1,31,NaN,oven,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png
autoencoder_vit_b,1,32,NaN,knife,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png
autoencoder_vit_b,1,33,NaN,oven,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png
autoencoder_vit_b,1,34,NaN,oven,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png
autoencoder_vit_b,1,35,NaN,knife,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png
autoencoder_vit_b,1,36,NaN,oven,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png
autoencoder_vit_b,1,37,NaN,oven,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png
autoencoder_vit_b,1,38,NaN,knife,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png
autoencoder_vit_b,1,39,NaN,oven,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png
autoencoder_vit_b,1,40,NaN,oven,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png
autoencoder_vit_b,1,41,NaN,knife,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png
autoencoder_vit_b,1,42,NaN,oven,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png
autoencoder_vit_b,1,43,NaN,oven,keyboard,128-0-10,0043_eid_dnn_128-0-10_keyboard_10_n03085013_18854.png
autoencoder_vit_b,1,44,NaN,knife,bottle,32-0-10,0044_eid_dnn_32-0-10_bottle_10_n04591713_4865.png
autoencoder_vit_b,1,45,NaN,knife,bicycle,32-0-10,0045_eid_dnn_32-0-10_bicycle_10_n03792782_693.png
autoencoder_vit_b,1,46,NaN,knife,bottle,1-0-10,0046_eid_dnn_1-0-10_bottle_10_n04557648_264.png
autoencoder_vit_b,1,47,NaN,oven,knife,2-0-10,0047_eid_dnn_2-0-10_knife_10_n03041632_25512.png
autoencoder_vit_b,1,48,NaN,knife,boat,16-0-10,0048_eid_dnn_16-0-10_boat_10_n03344393_2381.png
autoencoder_vit_b,1,49,NaN,knife,dog,128-0-10,0049_eid_dnn_128-0-10_dog_10_n02110627_17670.png
autoencoder_vit_b,1,50,NaN,oven,bear,64-0-10,0050_eid_dnn_64-0-10_bear_10_n02133161_15981.png
autoencoder_vit_b,1,51,NaN,oven,elephant,16-0-10,0051_eid_dnn_16-0-10_elephant_10_n02504458_3570.png
autoencoder_vit_b,1,52,NaN,oven,truck,4-0-10,0052_eid_dnn_4-0-10_truck_10_n03417042_6241.png
autoencoder_vit_b,1,53,NaN,knife,bird,8-0-10,0053_eid_dnn_8-0-10_bird_10_n02025239_17670.png
autoencoder_vit_b,1,54,NaN,knife,dog,16-0-10,0054_eid_dnn_16-0-10_dog_10_n02106030_19249.png
autoencoder_vit_b,1,55,NaN,knife,keyboard,32-0-10,0055_eid_dnn_32-0-10_keyboard_10_n04505470_2326.png
autoencoder_vit_b,1,56,NaN,knife,dog,16-0-10,0056_eid_dnn_16-0-10_dog_10_n02107142_9379.png
autoencoder_vit_b,1,57,NaN,knife,cat,64-0-10,0057_eid_dnn_64-0-10_cat_10_n02123394_1828.png
autoencoder_vit_b,1,58,NaN,knife,car,32-0-10,0058_eid_dnn_32-0-10_car_10_n03100240_4605.png
autoencoder_vit_b,1,59,NaN,knife,bicycle,4-0-10,0059_eid_dnn_4-0-10_bicycle_10_n03792782_6765.png
autoencoder_vit_b,1,60,NaN,knife,boat,8-0-10,0060_eid_dnn_8-0-10_boat_10_n03344393_8455.png
autoencoder_vit_b,1,61,NaN,knife,oven,16-0-10,0061_eid_dnn_16-0-10_oven_10_n04111531_8603.png
autoencoder_vit_b,1,62,NaN,knife,bird,2-0-10,0062_eid_dnn_2-0-10_bird_10_n02051845_2574.png
autoencoder_vit_b,1,63,NaN,knife,boat,4-0-10,0063_eid_dnn_4-0-10_boat_10_n04612504_15875.png
autoencoder_vit_b,1,64,NaN,knife,bottle,4-0-10,0064_eid_dnn_4-0-10_bottle_10_n03983396_7337.png
autoencoder_vit_b,1,65,NaN,oven,clock,8-0-10,0065_eid_dnn_8-0-10_clock_10_n02708093_6822.png
autoencoder_vit_b,1,66,NaN,knife,truck,2-0-10,0066_eid_dnn_2-0-10_truck_10_n04467665_15994.png
autoencoder_vit_b,1,67,NaN,knife,cat,128-0-10,0067_eid_dnn_128-0-10_cat_10_n02123597_6291.png
autoencoder_vit_b,1,68,NaN,oven,bird,8-0-10,0068_eid_dnn_8-0-10_bird_10_n01817953_1734.png
autoencoder_vit_b,1,69,NaN,knife,elephant,32-0-10,0069_eid_dnn_32-0-10_elephant_10_n02504458_6880.png
autoencoder_vit_b,1,70,NaN,knife,cat,16-0-10,0070_eid_dnn_16-0-10_cat_10_n02123597_13197.png
autoencoder_vit_b,1,71,NaN,knife,bicycle,64-0-10,0071_eid_dnn_64-0-10_bicycle_10_n03792782_973.png
autoencoder_vit_b,1,72,NaN,oven,cat,2-0-10,0072_eid_dnn_2-0-10_cat_10_n02124075_8310.png
autoencoder_vit_b,1,73,NaN,knife,oven,32-0-10,0073_eid_dnn_32-0-10_oven_10_n04111531_5168.png
autoencoder_vit_b,1,74,NaN,knife,airplane,1-0-10,0074_eid_dnn_1-0-10_airplane_10_n02690373_4893.png
autoencoder_vit_b,1,75,NaN,knife,dog,1-0-10,0075_eid_dnn_1-0-10_dog_10_n02086240_3614.png
autoencoder_vit_b,1,76,NaN,oven,oven,16-0-10,0076_eid_dnn_16-0-10_oven_10_n04111531_2937.png
autoencoder_vit_b,1,77,NaN,knife,clock,1-0-10,0077_eid_dnn_1-0-10_clock_10_n03196217_2022.png
autoencoder_vit_b,1,78,NaN,oven,bottle,64-0-10,0078_eid_dnn_64-0-10_bottle_10_n04591713_2732.png
autoencoder_vit_b,1,79,NaN,knife,car,2-0-10,0079_eid_dnn_2-0-10_car_10_n03100240_8794.png
autoencoder_vit_b,1,80,NaN,knife,airplane,16-0-10,0080_eid_dnn_16-0-10_airplane_10_n02690373_3640.png
autoencoder_vit_b,1,81,NaN,oven,bicycle,64-0-10,0081_eid_dnn_64-0-10_bicycle_10_n03792782_41097.png
autoencoder_vit_b,1,82,NaN,knife,dog,64-0-10,0082_eid_dnn_64-0-10_dog_10_n02090721_6770.png
autoencoder_vit_b,1,83,NaN,oven,cat,16-0-10,0083_eid_dnn_16-0-10_cat_10_n02123597_28968.png
autoencoder_vit_b,1,84,NaN,knife,elephant,1-0-10,0084_eid_dnn_1-0-10_elephant_10_n02504013_5894.png
autoencoder_vit_b,1,85,NaN,knife,oven,32-0-10,0085_eid_dnn_32-0-10_oven_10_n04111531_9314.png
autoencoder_vit_b,1,86,NaN,knife,elephant,1-0-10,0086_eid_dnn_1-0-10_elephant_10_n02504458_12074.png
autoencoder_vit_b,1,87,NaN,knife,boat,4-0-10,0087_eid_dnn_4-0-10_boat_10_n03344393_3773.png
autoencoder_vit_b,1,88,NaN,knife,truck,128-0-10,0088_eid_dnn_128-0-10_truck_10_n04467665_80153.png
autoencoder_vit_b,1,89,NaN,knife,chair,128-0-10,0089_eid_dnn_128-0-10_chair_10_n04099969_20604.png
autoencoder_vit_b,1,90,NaN,knife,keyboard,32-0-10,0090_eid_dnn_32-0-10_keyboard_10_n03085013_23625.png
autoencoder_vit_b,1,91,NaN,oven,truck,64-0-10,0091_eid_dnn_64-0-10_truck_10_n03796401_1458.png
autoencoder_vit_b,1,92,NaN,oven,car,4-0-10,0092_eid_dnn_4-0-10_car_10_n03100240_18711.png
autoencoder_vit_b,1,93,NaN,knife,truck,128-0-10,0093_eid_dnn_128-0-10_truck_10_n03796401_2988.png
autoencoder_vit_b,1,94,NaN,knife,truck,2-0-10,0094_eid_dnn_2-0-10_truck_10_n03417042_7096.png
autoencoder_vit_b,1,95,NaN,knife,dog,8-0-10,0095_eid_dnn_8-0-10_dog_10_n02105855_9345.png
autoencoder_vit_b,1,96,NaN,oven,bird,32-0-10,0096_eid_dnn_32-0-10_bird_10_n01796340_8342.png
autoencoder_vit_b,1,97,NaN,knife,airplane,8-0-10,0097_eid_dnn_8-0-10_airplane_10_n02690373_7293.png
autoencoder_vit_b,1,98,NaN,oven,car,64-0-10,0098_eid_dnn_64-0-10_car_10_n04285008_9811.png
autoencoder_vit_b,1,99,NaN,oven,knife,8-0-10,0099_eid_dnn_8-0-10_knife_10_n03041632_86783.png
autoencoder_vit_b,1,100,NaN,oven,oven,16-0-10,0100_eid_dnn_16-0-10_oven_10_n04111531_9867.png
autoencoder_vit_b,1,101,NaN,oven,truck,128-0-10,0101_eid_dnn_128-0-10_truck_10_n04467665_22573.png
autoencoder_vit_b,1,102,NaN,knife,car,128-0-10,0102_eid_dnn_128-0-10_car_10_n02814533_23512.png
autoencoder_vit_b,1,103,NaN,oven,bicycle,16-0-10,0103_eid_dnn_16-0-10_bicycle_10_n03792782_4895.png
autoencoder_vit_b,1,104,NaN,knife,keyboard,2-0-10,0104_eid_dnn_2-0-10_keyboard_10_n03085013_23554.png
autoencoder_vit_b,1,105,NaN,knife,bear,1-0-10,0105_eid_dnn_1-0-10_bear_10_n02134084_8601.png
autoencoder_vit_b,1,106,NaN,oven,bicycle,8-0-10,0106_eid_dnn_8-0-10_bicycle_10_n03792782_126.png
autoencoder_vit_b,1,107,NaN,oven,chair,1-0-10,0107_eid_dnn_1-0-10_chair_10_n04099969_3583.png
autoencoder_vit_b,1,108,NaN,knife,bicycle,8-0-10,0108_eid_dnn_8-0-10_bicycle_10_n02835271_976.png
autoencoder_vit_b,1,109,NaN,oven,oven,32-0-10,0109_eid_dnn_32-0-10_oven_10_n04111531_10313.png
autoencoder_vit_b,1,110,NaN,knife,oven,1-0-10,0110_eid_dnn_1-0-10_oven_10_n04111531_8984.png
autoencoder_vit_b,1,111,NaN,knife,elephant,8-0-10,0111_eid_dnn_8-0-10_elephant_10_n02504013_3181.png
autoencoder_vit_b,1,112,NaN,oven,keyboard,64-0-10,0112_eid_dnn_64-0-10_keyboard_10_n03085013_21490.png
autoencoder_vit_b,1,113,NaN,knife,bird,4-0-10,0113_eid_dnn_4-0-10_bird_10_n01614925_2708.png
autoencoder_vit_b,1,114,NaN,knife,bottle,16-0-10,0114_eid_dnn_16-0-10_bottle_10_n03983396_3109.png
autoencoder_vit_b,1,115,NaN,oven,bear,128-0-10,0115_eid_dnn_128-0-10_bear_10_n02134418_377.png
autoencoder_vit_b,1,116,NaN,knife,knife,16-0-10,0116_eid_dnn_16-0-10_knife_10_n03041632_7680.png
autoencoder_vit_b,1,117,NaN,oven,truck,4-0-10,0117_eid_dnn_4-0-10_truck_10_n03417042_3807.png
autoencoder_vit_b,1,118,NaN,oven,elephant,128-0-10,0118_eid_dnn_128-0-10_elephant_10_n02504013_6501.png
autoencoder_vit_b,1,119,NaN,knife,bicycle,32-0-10,0119_eid_dnn_32-0-10_bicycle_10_n03792782_5517.png
autoencoder_vit_b,1,120,NaN,oven,bottle,128-0-10,0120_eid_dnn_128-0-10_bottle_10_n02823428_5791.png
autoencoder_vit_b,1,121,NaN,knife,car,128-0-10,0121_eid_dnn_128-0-10_car_10_n04285008_10144.png
autoencoder_vit_b,1,122,NaN,oven,cat,4-0-10,0122_eid_dnn_4-0-10_cat_10_n02123159_5764.png
autoencoder_vit_b,1,123,NaN,knife,dog,16-0-10,0123_eid_dnn_16-0-10_dog_10_n02085936_4491.png
autoencoder_vit_b,1,124,NaN,knife,bicycle,32-0-10,0124_eid_dnn_32-0-10_bicycle_10_n03792782_6159.png
autoencoder_vit_b,1,125,NaN,knife,clock,4-0-10,0125_eid_dnn_4-0-10_clock_10_n04548280_2404.png
autoencoder_vit_b,1,126,NaN,oven,bottle,64-0-10,0126_eid_dnn_64-0-10_bottle_10_n04591713_360.png
autoencoder_vit_b,1,127,NaN,oven,airplane,16-0-10,0127_eid_dnn_16-0-10_airplane_10_n02690373_1909.png
autoencoder_vit_b,1,128,NaN,oven,bear,2-0-10,0128_eid_dnn_2-0-10_bear_10_n02133161_9724.png
autoencoder_vit_b,1,129,NaN,knife,car,2-0-10,0129_eid_dnn_2-0-10_car_10_n04285008_5897.png
autoencoder_vit_b,1,130,NaN,oven,bicycle,1-0-10,0130_eid_dnn_1-0-10_bicycle_10_n02835271_9807.png
autoencoder_vit_b,1,131,NaN,oven,keyboard,1-0-10,0131_eid_dnn_1-0-10_keyboard_10_n03085013_23286.png
autoencoder_vit_b,1,132,NaN,oven,clock,2-0-10,0132_eid_dnn_2-0-10_clock_10_n02708093_772.png
autoencoder_vit_b,1,133,NaN,oven,clock,4-0-10,0133_eid_dnn_4-0-10_clock_10_n03196217_820.png
autoencoder_vit_b,1,134,NaN,knife,dog,32-0-10,0134_eid_dnn_32-0-10_dog_10_n02093754_6351.png
autoencoder_vit_b,1,135,NaN,oven,truck,8-0-10,0135_eid_dnn_8-0-10_truck_10_n03417042_27093.png
autoencoder_vit_b,1,136,NaN,knife,bicycle,4-0-10,0136_eid_dnn_4-0-10_bicycle_10_n03792782_30530.png
autoencoder_vit_b,1,137,NaN,knife,bottle,4-0-10,0137_eid_dnn_4-0-10_bottle_10_n03937543_5215.png
autoencoder_vit_b,1,138,NaN,knife,boat,2-0-10,0138_eid_dnn_2-0-10_boat_10_n02951358_9933.png
autoencoder_vit_b,1,139,NaN,knife,dog,4-0-10,0139_eid_dnn_4-0-10_dog_10_n02086910_8694.png
autoencoder_vit_b,1,140,NaN,oven,knife,8-0-10,0140_eid_dnn_8-0-10_knife_10_n03041632_3504.png
autoencoder_vit_b,1,141,NaN,oven,knife,128-0-10,0141_eid_dnn_128-0-10_knife_10_n03041632_15754.png
autoencoder_vit_b,1,142,NaN,knife,truck,8-0-10,0142_eid_dnn_8-0-10_truck_10_n04467665_45306.png
autoencoder_vit_b,1,143,NaN,knife,elephant,1-0-10,0143_eid_dnn_1-0-10_elephant_10_n02504013_5351.png
autoencoder_vit_b,1,144,NaN,oven,bottle,2-0-10,0144_eid_dnn_2-0-10_bottle_10_n03937543_7763.png
autoencoder_vit_b,1,145,NaN,oven,bird,32-0-10,0145_eid_dnn_32-0-10_bird_10_n01843383_91.png
autoencoder_vit_b,1,146,NaN,knife,clock,4-0-10,0146_eid_dnn_4-0-10_clock_10_n04548280_28.png
autoencoder_vit_b,1,147,NaN,oven,knife,16-0-10,0147_eid_dnn_16-0-10_knife_10_n03041632_102828.png
autoencoder_vit_b,1,148,NaN,knife,car,128-0-10,0148_eid_dnn_128-0-10_car_10_n03100240_7520.png
autoencoder_vit_b,1,149,NaN,knife,knife,16-0-10,0149_eid_dnn_16-0-10_knife_10_n03041632_53874.png
autoencoder_vit_b,1,150,NaN,knife,boat,16-0-10,0150_eid_dnn_16-0-10_boat_10_n04273569_3896.png
autoencoder_vit_b,1,151,NaN,knife,airplane,2-0-10,0151_eid_dnn_2-0-10_airplane_10_n02690373_6002.png
autoencoder_vit_b,1,152,NaN,oven,chair,8-0-10,0152_eid_dnn_8-0-10_chair_10_n04099969_7191.png
autoencoder_vit_b,1,153,NaN,oven,dog,32-0-10,0153_eid_dnn_32-0-10_dog_10_n02101388_4808.png
autoencoder_vit_b,1,154,NaN,oven,keyboard,16-0-10,0154_eid_dnn_16-0-10_keyboard_10_n03085013_24538.png
autoencoder_vit_b,1,155,NaN,knife,knife,128-0-10,0155_eid_dnn_128-0-10_knife_10_n03041632_85488.png
autoencoder_vit_b,1,156,NaN,knife,car,4-0-10,0156_eid_dnn_4-0-10_car_10_n04285008_7630.png
autoencoder_vit_b,1,157,NaN,knife,airplane,8-0-10,0157_eid_dnn_8-0-10_airplane_10_n02690373_2941.png
autoencoder_vit_b,1,158,NaN,oven,bird,64-0-10,0158_eid_dnn_64-0-10_bird_10_n01514859_6021.png
autoencoder_vit_b,1,159,NaN,oven,clock,64-0-10,0159_eid_dnn_64-0-10_clock_10_n04548280_3293.png
autoencoder_vit_b,1,160,NaN,knife,oven,4-0-10,0160_eid_dnn_4-0-10_oven_10_n04111531_4998.png
autoencoder_vit_b,1,161,NaN,knife,bird,128-0-10,0161_eid_dnn_128-0-10_bird_10_n02028035_32993.png
autoencoder_vit_b,1,162,NaN,oven,bird,2-0-10,0162_eid_dnn_2-0-10_bird_10_n01843383_7800.png
autoencoder_vit_b,1,163,NaN,knife,bear,64-0-10,0163_eid_dnn_64-0-10_bear_10_n02132136_15174.png
autoencoder_vit_b,1,164,NaN,oven,oven,4-0-10,0164_eid_dnn_4-0-10_oven_10_n04111531_7266.png
autoencoder_vit_b,1,165,NaN,knife,cat,128-0-10,0165_eid_dnn_128-0-10_cat_10_n02124075_6464.png
autoencoder_vit_b,1,166,NaN,oven,bicycle,16-0-10,0166_eid_dnn_16-0-10_bicycle_10_n02835271_4667.png
autoencoder_vit_b,1,167,NaN,knife,chair,32-0-10,0167_eid_dnn_32-0-10_chair_10_n04099969_2532.png
autoencoder_vit_b,1,168,NaN,knife,bottle,4-0-10,0168_eid_dnn_4-0-10_bottle_10_n04560804_15683.png
autoencoder_vit_b,1,169,NaN,oven,chair,8-0-10,0169_eid_dnn_8-0-10_chair_10_n04099969_6825.png
autoencoder_vit_b,1,170,NaN,knife,oven,1-0-10,0170_eid_dnn_1-0-10_oven_10_n04111531_1612.png
autoencoder_vit_b,1,171,NaN,knife,clock,2-0-10,0171_eid_dnn_2-0-10_clock_10_n02708093_1701.png
autoencoder_vit_b,1,172,NaN,oven,elephant,32-0-10,0172_eid_dnn_32-0-10_elephant_10_n02504013_782.png
autoencoder_vit_b,1,173,NaN,oven,dog,128-0-10,0173_eid_dnn_128-0-10_dog_10_n02107908_8814.png
autoencoder_vit_b,1,174,NaN,knife,elephant,4-0-10,0174_eid_dnn_4-0-10_elephant_10_n02504458_5816.png
autoencoder_vit_b,1,175,NaN,oven,car,2-0-10,0175_eid_dnn_2-0-10_car_10_n03100240_18788.png
autoencoder_vit_b,1,176,NaN,knife,airplane,16-0-10,0176_eid_dnn_16-0-10_airplane_10_n02690373_7915.png
autoencoder_vit_b,1,177,NaN,oven,chair,4-0-10,0177_eid_dnn_4-0-10_chair_10_n04429376_10544.png
autoencoder_vit_b,1,178,NaN,knife,knife,32-0-10,0178_eid_dnn_32-0-10_knife_10_n03041632_24883.png
autoencoder_vit_b,1,179,NaN,knife,bicycle,128-0-10,0179_eid_dnn_128-0-10_bicycle_10_n03792782_10367.png
autoencoder_vit_b,1,180,NaN,oven,oven,1-0-10,0180_eid_dnn_1-0-10_oven_10_n04111531_3121.png
autoencoder_vit_b,1,181,NaN,knife,car,128-0-10,0181_eid_dnn_128-0-10_car_10_n02814533_10995.png
autoencoder_vit_b,1,182,NaN,knife,dog,128-0-10,0182_eid_dnn_128-0-10_dog_10_n02112350_502.png
autoencoder_vit_b,1,183,NaN,oven,clock,128-0-10,0183_eid_dnn_128-0-10_clock_10_n04548280_5278.png
autoencoder_vit_b,1,184,NaN,knife,bird,4-0-10,0184_eid_dnn_4-0-10_bird_10_n02006656_713.png
autoencoder_vit_b,1,185,NaN,oven,bottle,128-0-10,0185_eid_dnn_128-0-10_bottle_10_n04557648_4106.png
autoencoder_vit_b,1,186,NaN,knife,clock,64-0-10,0186_eid_dnn_64-0-10_clock_10_n02708093_1430.png
autoencoder_vit_b,1,187,NaN,knife,oven,1-0-10,0187_eid_dnn_1-0-10_oven_10_n04111531_7664.png
autoencoder_vit_b,1,188,NaN,knife,car,1-0-10,0188_eid_dnn_1-0-10_car_10_n02814533_149.png
autoencoder_vit_b,1,189,NaN,oven,clock,64-0-10,0189_eid_dnn_64-0-10_clock_10_n04548280_8296.png
autoencoder_vit_b,1,190,NaN,oven,bottle,64-0-10,0190_eid_dnn_64-0-10_bottle_10_n04591713_5815.png
autoencoder_vit_b,1,191,NaN,knife,knife,2-0-10,0191_eid_dnn_2-0-10_knife_10_n03041632_90125.png
autoencoder_vit_b,1,192,NaN,knife,bird,64-0-10,0192_eid_dnn_64-0-10_bird_10_n01534433_16586.png
autoencoder_vit_b,1,193,NaN,knife,cat,4-0-10,0193_eid_dnn_4-0-10_cat_10_n02123394_2559.png
autoencoder_vit_b,1,194,NaN,oven,elephant,4-0-10,0194_eid_dnn_4-0-10_elephant_10_n02504458_5995.png
autoencoder_vit_b,1,195,NaN,oven,car,2-0-10,0195_eid_dnn_2-0-10_car_10_n02814533_211.png
autoencoder_vit_b,1,196,NaN,knife,chair,1-0-10,0196_eid_dnn_1-0-10_chair_10_n04429376_13328.png
autoencoder_vit_b,1,197,NaN,knife,keyboard,16-0-10,0197_eid_dnn_16-0-10_keyboard_10_n03085013_24618.png
