subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,keyboard,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png
barlow_twins,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png
barlow_twins,1,3,NaN,bottle,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png
barlow_twins,1,4,NaN,elephant,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png
barlow_twins,1,5,NaN,oven,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png
barlow_twins,1,6,NaN,airplane,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png
barlow_twins,1,7,NaN,keyboard,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png
barlow_twins,1,8,NaN,keyboard,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png
barlow_twins,1,9,NaN,oven,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png
barlow_twins,1,10,NaN,oven,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png
barlow_twins,1,11,NaN,airplane,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png
barlow_twins,1,12,NaN,oven,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png
barlow_twins,1,13,NaN,oven,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png
barlow_twins,1,14,NaN,keyboard,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png
barlow_twins,1,15,NaN,bottle,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png
barlow_twins,1,16,NaN,oven,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png
barlow_twins,1,17,NaN,keyboard,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png
barlow_twins,1,18,NaN,keyboard,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png
barlow_twins,1,19,NaN,clock,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png
barlow_twins,1,20,NaN,elephant,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png
barlow_twins,1,21,NaN,airplane,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png
barlow_twins,1,22,NaN,knife,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png
barlow_twins,1,23,NaN,keyboard,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png
barlow_twins,1,24,NaN,chair,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png
barlow_twins,1,25,NaN,elephant,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png
barlow_twins,1,26,NaN,keyboard,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png
barlow_twins,1,27,NaN,car,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png
barlow_twins,1,28,NaN,clock,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png
barlow_twins,1,29,NaN,oven,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png
barlow_twins,1,30,NaN,bottle,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png
barlow_twins,1,31,NaN,airplane,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png
barlow_twins,1,32,NaN,bottle,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png
barlow_twins,1,33,NaN,airplane,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png
barlow_twins,1,34,NaN,bottle,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png
barlow_twins,1,35,NaN,oven,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png
barlow_twins,1,36,NaN,airplane,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png
barlow_twins,1,37,NaN,oven,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png
