subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,dog,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png
dino_v8,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png
dino_v8,1,3,NaN,cat,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png
dino_v8,1,4,NaN,dog,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png
dino_v8,1,5,NaN,dog,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png
dino_v8,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png
dino_v8,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png
dino_v8,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png
dino_v8,1,9,NaN,dog,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png
dino_v8,1,10,NaN,dog,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png
dino_v8,1,11,NaN,cat,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png
dino_v8,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png
dino_v8,1,13,NaN,clock,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png
dino_v8,1,14,NaN,cat,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png
dino_v8,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png
dino_v8,1,16,NaN,oven,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png
dino_v8,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png
dino_v8,1,18,NaN,keyboard,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png
dino_v8,1,19,NaN,airplane,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png
dino_v8,1,20,NaN,dog,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png
dino_v8,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png
dino_v8,1,22,NaN,clock,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png
dino_v8,1,23,NaN,cat,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png
dino_v8,1,24,NaN,bottle,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png
dino_v8,1,25,NaN,dog,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png
dino_v8,1,26,NaN,bicycle,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png
dino_v8,1,27,NaN,elephant,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png
dino_v8,1,28,NaN,dog,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png
dino_v8,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png
dino_v8,1,30,NaN,chair,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png
dino_v8,1,31,NaN,dog,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png
dino_v8,1,32,NaN,dog,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png
dino_v8,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png
dino_v8,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png
dino_v8,1,35,NaN,dog,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png
dino_v8,1,36,NaN,dog,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png
dino_v8,1,37,NaN,dog,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png
dino_v8,1,38,NaN,cat,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png
dino_v8,1,39,NaN,dog,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png
dino_v8,1,40,NaN,bird,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png
dino_v8,1,41,NaN,bird,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png
dino_v8,1,42,NaN,truck,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png
dino_v8,1,43,NaN,cat,keyboard,128-0-10,0043_eid_dnn_128-0-10_keyboard_10_n03085013_18854.png
dino_v8,1,44,NaN,clock,bottle,32-0-10,0044_eid_dnn_32-0-10_bottle_10_n04591713_4865.png
dino_v8,1,45,NaN,cat,bicycle,32-0-10,0045_eid_dnn_32-0-10_bicycle_10_n03792782_693.png
dino_v8,1,46,NaN,dog,bottle,1-0-10,0046_eid_dnn_1-0-10_bottle_10_n04557648_264.png
dino_v8,1,47,NaN,knife,knife,2-0-10,0047_eid_dnn_2-0-10_knife_10_n03041632_25512.png
dino_v8,1,48,NaN,dog,boat,16-0-10,0048_eid_dnn_16-0-10_boat_10_n03344393_2381.png
dino_v8,1,49,NaN,cat,dog,128-0-10,0049_eid_dnn_128-0-10_dog_10_n02110627_17670.png
dino_v8,1,50,NaN,keyboard,bear,64-0-10,0050_eid_dnn_64-0-10_bear_10_n02133161_15981.png
dino_v8,1,51,NaN,elephant,elephant,16-0-10,0051_eid_dnn_16-0-10_elephant_10_n02504458_3570.png
dino_v8,1,52,NaN,truck,truck,4-0-10,0052_eid_dnn_4-0-10_truck_10_n03417042_6241.png
dino_v8,1,53,NaN,bear,bird,8-0-10,0053_eid_dnn_8-0-10_bird_10_n02025239_17670.png
dino_v8,1,54,NaN,dog,dog,16-0-10,0054_eid_dnn_16-0-10_dog_10_n02106030_19249.png
dino_v8,1,55,NaN,cat,keyboard,32-0-10,0055_eid_dnn_32-0-10_keyboard_10_n04505470_2326.png
dino_v8,1,56,NaN,dog,dog,16-0-10,0056_eid_dnn_16-0-10_dog_10_n02107142_9379.png
dino_v8,1,57,NaN,dog,cat,64-0-10,0057_eid_dnn_64-0-10_cat_10_n02123394_1828.png
