subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,bicycle,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png
dino_v8,1,2,NaN,airplane,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png
dino_v8,1,3,NaN,bottle,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png
dino_v8,1,4,NaN,car,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png
dino_v8,1,5,NaN,cat,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png
dino_v8,1,6,NaN,bicycle,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png
dino_v8,1,7,NaN,oven,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png
dino_v8,1,8,NaN,airplane,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png
dino_v8,1,9,NaN,knife,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png
dino_v8,1,10,NaN,oven,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png
dino_v8,1,11,NaN,knife,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png
dino_v8,1,12,NaN,boat,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png
dino_v8,1,13,NaN,clock,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png
dino_v8,1,14,NaN,airplane,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png
dino_v8,1,15,NaN,cat,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png
dino_v8,1,16,NaN,clock,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png
dino_v8,1,17,NaN,oven,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png
dino_v8,1,18,NaN,cat,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png
dino_v8,1,19,NaN,elephant,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png
dino_v8,1,20,NaN,chair,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png
dino_v8,1,21,NaN,bird,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png
dino_v8,1,22,NaN,car,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png
dino_v8,1,23,NaN,clock,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png
dino_v8,1,24,NaN,bicycle,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png
dino_v8,1,25,NaN,bottle,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png
dino_v8,1,26,NaN,chair,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png
dino_v8,1,27,NaN,bicycle,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png
dino_v8,1,28,NaN,cat,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png
dino_v8,1,29,NaN,bicycle,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png
dino_v8,1,30,NaN,elephant,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png
dino_v8,1,31,NaN,bicycle,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png
dino_v8,1,32,NaN,chair,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png
dino_v8,1,33,NaN,chair,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png
dino_v8,1,34,NaN,clock,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png
dino_v8,1,35,NaN,bicycle,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png
dino_v8,1,36,NaN,clock,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png
dino_v8,1,37,NaN,boat,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png
dino_v8,1,38,NaN,knife,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png
dino_v8,1,39,NaN,cat,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png
dino_v8,1,40,NaN,elephant,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png
dino_v8,1,41,NaN,car,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png
dino_v8,1,42,NaN,bicycle,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png
dino_v8,1,43,NaN,clock,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png
dino_v8,1,44,NaN,boat,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png
dino_v8,1,45,NaN,airplane,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png
dino_v8,1,46,NaN,elephant,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png
dino_v8,1,47,NaN,boat,bicycle,true,0047_fc_dnn_true_bicycle_35_n03792782_8098.png
dino_v8,1,48,NaN,elephant,bear,true,0048_fc_dnn_true_bear_35_n02134418_11557.png
dino_v8,1,49,NaN,airplane,knife,true,0049_fc_dnn_true_knife_35_n03041632_45569.png
dino_v8,1,50,NaN,bicycle,bicycle,false,0050_fc_dnn_false_bicycle_35_n03792782_4740.png
dino_v8,1,51,NaN,elephant,boat,false,0051_fc_dnn_false_boat_35_n03662601_25404.png
dino_v8,1,52,NaN,chair,bird,false,0052_fc_dnn_false_bird_35_n01796340_4853.png
dino_v8,1,53,NaN,keyboard,clock,true,0053_fc_dnn_true_clock_35_n03196217_5888.png
dino_v8,1,54,NaN,cat,bicycle,true,0054_fc_dnn_true_bicycle_35_n02835271_12871.png
dino_v8,1,55,NaN,cat,keyboard,false,0055_fc_dnn_false_keyboard_35_n03085013_28584.png
dino_v8,1,56,NaN,oven,cat,true,0056_fc_dnn_true_cat_35_n02123159_6184.png
dino_v8,1,57,NaN,cat,bicycle,true,0057_fc_dnn_true_bicycle_35_n02835271_7592.png
dino_v8,1,58,NaN,airplane,elephant,false,0058_fc_dnn_false_elephant_35_n02504458_3205.png
dino_v8,1,59,NaN,airplane,cat,false,0059_fc_dnn_false_cat_35_n02124075_7880.png
dino_v8,1,60,NaN,knife,truck,false,0060_fc_dnn_false_truck_35_n04467665_2240.png
dino_v8,1,61,NaN,bottle,bottle,true,0061_fc_dnn_true_bottle_35_n04560804_13316.png
dino_v8,1,62,NaN,keyboard,airplane,false,0062_fc_dnn_false_airplane_35_n02690373_3821.png
dino_v8,1,63,NaN,clock,knife,true,0063_fc_dnn_true_knife_35_n03041632_17285.png
dino_v8,1,64,NaN,bear,bottle,false,0064_fc_dnn_false_bottle_35_n02823428_10942.png
dino_v8,1,65,NaN,oven,bicycle,true,0065_fc_dnn_true_bicycle_35_n02835271_3642.png
dino_v8,1,66,NaN,chair,knife,true,0066_fc_dnn_true_knife_35_n03041632_16172.png
dino_v8,1,67,NaN,car,bottle,false,0067_fc_dnn_false_bottle_35_n04560804_2448.png
dino_v8,1,68,NaN,airplane,oven,false,0068_fc_dnn_false_oven_35_n04111531_4452.png
dino_v8,1,69,NaN,bicycle,keyboard,false,0069_fc_dnn_false_keyboard_35_n04505470_912.png
dino_v8,1,70,NaN,bottle,cat,false,0070_fc_dnn_false_cat_35_n02123045_7167.png
dino_v8,1,71,NaN,oven,bicycle,false,0071_fc_dnn_false_bicycle_35_n03792782_8333.png
dino_v8,1,72,NaN,keyboard,dog,false,0072_fc_dnn_false_dog_35_n02107683_2904.png
dino_v8,1,73,NaN,bicycle,bottle,true,0073_fc_dnn_true_bottle_35_n04591713_3409.png
dino_v8,1,74,NaN,keyboard,bottle,false,0074_fc_dnn_false_bottle_35_n04560804_564.png
dino_v8,1,75,NaN,car,truck,false,0075_fc_dnn_false_truck_35_n03796401_6503.png
dino_v8,1,76,NaN,elephant,oven,true,0076_fc_dnn_true_oven_35_n04111531_13590.png
dino_v8,1,77,NaN,knife,bird,false,0077_fc_dnn_false_bird_35_n02018795_7504.png
dino_v8,1,78,NaN,bottle,car,false,0078_fc_dnn_false_car_35_n03100240_6626.png
dino_v8,1,79,NaN,car,bear,false,0079_fc_dnn_false_bear_35_n02134418_4364.png
dino_v8,1,80,NaN,oven,knife,false,0080_fc_dnn_false_knife_35_n03041632_8051.png
dino_v8,1,81,NaN,knife,airplane,true,0081_fc_dnn_true_airplane_35_n02690373_1434.png
dino_v8,1,82,NaN,bear,clock,true,0082_fc_dnn_true_clock_35_n04548280_5408.png
dino_v8,1,83,NaN,airplane,cat,false,0083_fc_dnn_false_cat_35_n02123597_3916.png
dino_v8,1,84,NaN,keyboard,clock,false,0084_fc_dnn_false_clock_35_n04548280_4542.png
dino_v8,1,85,NaN,oven,car,true,0085_fc_dnn_true_car_35_n04285008_14161.png
dino_v8,1,86,NaN,knife,airplane,false,0086_fc_dnn_false_airplane_35_n02690373_7279.png
dino_v8,1,87,NaN,airplane,bear,true,0087_fc_dnn_true_bear_35_n02132136_11640.png
dino_v8,1,88,NaN,boat,airplane,true,0088_fc_dnn_true_airplane_35_n02690373_8350.png
dino_v8,1,89,NaN,airplane,boat,true,0089_fc_dnn_true_boat_35_n04273569_30568.png
dino_v8,1,90,NaN,boat,dog,true,0090_fc_dnn_true_dog_35_n02100583_19533.png
