subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_l,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png
mlp_mixer_l,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png
mlp_mixer_l,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png
mlp_mixer_l,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png
mlp_mixer_l,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png
mlp_mixer_l,1,6,NaN,knife,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png
mlp_mixer_l,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png
mlp_mixer_l,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png
mlp_mixer_l,1,9,NaN,dog,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png
mlp_mixer_l,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png
mlp_mixer_l,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png
mlp_mixer_l,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png
mlp_mixer_l,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png
mlp_mixer_l,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png
mlp_mixer_l,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png
mlp_mixer_l,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png
mlp_mixer_l,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png
mlp_mixer_l,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png
mlp_mixer_l,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png
mlp_mixer_l,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png
mlp_mixer_l,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png
mlp_mixer_l,1,22,NaN,truck,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png
mlp_mixer_l,1,23,NaN,boat,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png
mlp_mixer_l,1,24,NaN,chair,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png
mlp_mixer_l,1,25,NaN,oven,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png
mlp_mixer_l,1,26,NaN,dog,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png
mlp_mixer_l,1,27,NaN,chair,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png
mlp_mixer_l,1,28,NaN,airplane,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png
mlp_mixer_l,1,29,NaN,knife,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png
mlp_mixer_l,1,30,NaN,clock,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png
mlp_mixer_l,1,31,NaN,keyboard,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png
mlp_mixer_l,1,32,NaN,boat,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png
mlp_mixer_l,1,33,NaN,clock,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png
mlp_mixer_l,1,34,NaN,boat,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png
mlp_mixer_l,1,35,NaN,dog,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png
mlp_mixer_l,1,36,NaN,keyboard,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png
mlp_mixer_l,1,37,NaN,chair,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png
mlp_mixer_l,1,38,NaN,dog,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png
mlp_mixer_l,1,39,NaN,oven,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png
mlp_mixer_l,1,40,NaN,knife,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png
mlp_mixer_l,1,41,NaN,knife,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png
mlp_mixer_l,1,42,NaN,chair,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png
mlp_mixer_l,1,43,NaN,elephant,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png
mlp_mixer_l,1,44,NaN,clock,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png
mlp_mixer_l,1,45,NaN,car,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png
mlp_mixer_l,1,46,NaN,bottle,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png
mlp_mixer_l,1,47,NaN,bicycle,bicycle,true,0047_fc_dnn_true_bicycle_35_n03792782_8098.png
mlp_mixer_l,1,48,NaN,bear,bear,true,0048_fc_dnn_true_bear_35_n02134418_11557.png
mlp_mixer_l,1,49,NaN,knife,knife,true,0049_fc_dnn_true_knife_35_n03041632_45569.png
mlp_mixer_l,1,50,NaN,dog,bicycle,false,0050_fc_dnn_false_bicycle_35_n03792782_4740.png
mlp_mixer_l,1,51,NaN,boat,boat,false,0051_fc_dnn_false_boat_35_n03662601_25404.png
mlp_mixer_l,1,52,NaN,bird,bird,false,0052_fc_dnn_false_bird_35_n01796340_4853.png
mlp_mixer_l,1,53,NaN,clock,clock,true,0053_fc_dnn_true_clock_35_n03196217_5888.png
mlp_mixer_l,1,54,NaN,bicycle,bicycle,true,0054_fc_dnn_true_bicycle_35_n02835271_12871.png
mlp_mixer_l,1,55,NaN,keyboard,keyboard,false,0055_fc_dnn_false_keyboard_35_n03085013_28584.png
mlp_mixer_l,1,56,NaN,cat,cat,true,0056_fc_dnn_true_cat_35_n02123159_6184.png
mlp_mixer_l,1,57,NaN,bicycle,bicycle,true,0057_fc_dnn_true_bicycle_35_n02835271_7592.png
mlp_mixer_l,1,58,NaN,elephant,elephant,false,0058_fc_dnn_false_elephant_35_n02504458_3205.png
mlp_mixer_l,1,59,NaN,cat,cat,false,0059_fc_dnn_false_cat_35_n02124075_7880.png
mlp_mixer_l,1,60,NaN,truck,truck,false,0060_fc_dnn_false_truck_35_n04467665_2240.png
mlp_mixer_l,1,61,NaN,bottle,bottle,true,0061_fc_dnn_true_bottle_35_n04560804_13316.png
mlp_mixer_l,1,62,NaN,airplane,airplane,false,0062_fc_dnn_false_airplane_35_n02690373_3821.png
mlp_mixer_l,1,63,NaN,knife,knife,true,0063_fc_dnn_true_knife_35_n03041632_17285.png
mlp_mixer_l,1,64,NaN,bottle,bottle,false,0064_fc_dnn_false_bottle_35_n02823428_10942.png
mlp_mixer_l,1,65,NaN,bicycle,bicycle,true,0065_fc_dnn_true_bicycle_35_n02835271_3642.png
mlp_mixer_l,1,66,NaN,knife,knife,true,0066_fc_dnn_true_knife_35_n03041632_16172.png
mlp_mixer_l,1,67,NaN,bicycle,bottle,false,0067_fc_dnn_false_bottle_35_n04560804_2448.png
mlp_mixer_l,1,68,NaN,oven,oven,false,0068_fc_dnn_false_oven_35_n04111531_4452.png
mlp_mixer_l,1,69,NaN,keyboard,keyboard,false,0069_fc_dnn_false_keyboard_35_n04505470_912.png
mlp_mixer_l,1,70,NaN,cat,cat,false,0070_fc_dnn_false_cat_35_n02123045_7167.png
mlp_mixer_l,1,71,NaN,bicycle,bicycle,false,0071_fc_dnn_false_bicycle_35_n03792782_8333.png
mlp_mixer_l,1,72,NaN,dog,dog,false,0072_fc_dnn_false_dog_35_n02107683_2904.png
mlp_mixer_l,1,73,NaN,bottle,bottle,true,0073_fc_dnn_true_bottle_35_n04591713_3409.png
mlp_mixer_l,1,74,NaN,knife,bottle,false,0074_fc_dnn_false_bottle_35_n04560804_564.png
mlp_mixer_l,1,75,NaN,truck,truck,false,0075_fc_dnn_false_truck_35_n03796401_6503.png
mlp_mixer_l,1,76,NaN,oven,oven,true,0076_fc_dnn_true_oven_35_n04111531_13590.png
mlp_mixer_l,1,77,NaN,bird,bird,false,0077_fc_dnn_false_bird_35_n02018795_7504.png
mlp_mixer_l,1,78,NaN,car,car,false,0078_fc_dnn_false_car_35_n03100240_6626.png
mlp_mixer_l,1,79,NaN,bear,bear,false,0079_fc_dnn_false_bear_35_n02134418_4364.png
mlp_mixer_l,1,80,NaN,truck,knife,false,0080_fc_dnn_false_knife_35_n03041632_8051.png
mlp_mixer_l,1,81,NaN,airplane,airplane,true,0081_fc_dnn_true_airplane_35_n02690373_1434.png
mlp_mixer_l,1,82,NaN,clock,clock,true,0082_fc_dnn_true_clock_35_n04548280_5408.png
mlp_mixer_l,1,83,NaN,dog,cat,false,0083_fc_dnn_false_cat_35_n02123597_3916.png
mlp_mixer_l,1,84,NaN,clock,clock,false,0084_fc_dnn_false_clock_35_n04548280_4542.png
mlp_mixer_l,1,85,NaN,car,car,true,0085_fc_dnn_true_car_35_n04285008_14161.png
mlp_mixer_l,1,86,NaN,airplane,airplane,false,0086_fc_dnn_false_airplane_35_n02690373_7279.png
mlp_mixer_l,1,87,NaN,bear,bear,true,0087_fc_dnn_true_bear_35_n02132136_11640.png
mlp_mixer_l,1,88,NaN,airplane,airplane,true,0088_fc_dnn_true_airplane_35_n02690373_8350.png
mlp_mixer_l,1,89,NaN,boat,boat,true,0089_fc_dnn_true_boat_35_n04273569_30568.png
mlp_mixer_l,1,90,NaN,dog,dog,true,0090_fc_dnn_true_dog_35_n02100583_19533.png
mlp_mixer_l,1,91,NaN,knife,knife,true,0091_fc_dnn_true_knife_35_n03041632_965.png
mlp_mixer_l,1,92,NaN,elephant,elephant,false,0092_fc_dnn_false_elephant_35_n02504458_6109.png
mlp_mixer_l,1,93,NaN,oven,oven,true,0093_fc_dnn_true_oven_35_n04111531_10093.png
mlp_mixer_l,1,94,NaN,clock,clock,true,0094_fc_dnn_true_clock_35_n03196217_8221.png
mlp_mixer_l,1,95,NaN,bicycle,bicycle,false,0095_fc_dnn_false_bicycle_35_n03792782_828.png
mlp_mixer_l,1,96,NaN,knife,knife,true,0096_fc_dnn_true_knife_35_n03041632_7090.png
mlp_mixer_l,1,97,NaN,bear,bear,false,0097_fc_dnn_false_bear_35_n02134084_14260.png
mlp_mixer_l,1,98,NaN,bear,bear,false,0098_fc_dnn_false_bear_35_n02132136_10988.png
mlp_mixer_l,1,99,NaN,keyboard,keyboard,false,0099_fc_dnn_false_keyboard_35_n03085013_22980.png
mlp_mixer_l,1,100,NaN,bottle,bottle,false,0100_fc_dnn_false_bottle_35_n04557648_3673.png
mlp_mixer_l,1,101,NaN,airplane,airplane,true,0101_fc_dnn_true_airplane_35_n02690373_1360.png
mlp_mixer_l,1,102,NaN,oven,oven,true,0102_fc_dnn_true_oven_35_n04111531_6415.png
mlp_mixer_l,1,103,NaN,knife,knife,false,0103_fc_dnn_false_knife_35_n03041632_32054.png
mlp_mixer_l,1,104,NaN,chair,chair,false,0104_fc_dnn_false_chair_35_n03376595_9136.png
mlp_mixer_l,1,105,NaN,keyboard,keyboard,false,0105_fc_dnn_false_keyboard_35_n03085013_21266.png
