subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,oven,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png
autoencoder_vit_b,1,2,NaN,knife,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png
autoencoder_vit_b,1,3,NaN,oven,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png
autoencoder_vit_b,1,4,NaN,oven,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png
autoencoder_vit_b,1,5,NaN,knife,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png
autoencoder_vit_b,1,6,NaN,oven,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png
autoencoder_vit_b,1,7,NaN,knife,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png
autoencoder_vit_b,1,8,NaN,oven,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png
autoencoder_vit_b,1,9,NaN,knife,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png
autoencoder_vit_b,1,10,NaN,oven,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png
autoencoder_vit_b,1,11,NaN,oven,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png
autoencoder_vit_b,1,12,NaN,knife,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png
autoencoder_vit_b,1,13,NaN,knife,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png
autoencoder_vit_b,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png
autoencoder_vit_b,1,15,NaN,knife,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png
autoencoder_vit_b,1,16,NaN,oven,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png
autoencoder_vit_b,1,17,NaN,oven,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png
autoencoder_vit_b,1,18,NaN,oven,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png
autoencoder_vit_b,1,19,NaN,oven,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png
autoencoder_vit_b,1,20,NaN,oven,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png
autoencoder_vit_b,1,21,NaN,oven,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png
autoencoder_vit_b,1,22,NaN,elephant,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png
autoencoder_vit_b,1,23,NaN,oven,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png
