subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,chair,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png
barlow_twins,1,2,NaN,elephant,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png
barlow_twins,1,3,NaN,elephant,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png
barlow_twins,1,4,NaN,elephant,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png
barlow_twins,1,5,NaN,elephant,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png
barlow_twins,1,6,NaN,truck,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png
barlow_twins,1,7,NaN,elephant,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png
barlow_twins,1,8,NaN,airplane,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png
barlow_twins,1,9,NaN,elephant,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png
barlow_twins,1,10,NaN,elephant,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png
barlow_twins,1,11,NaN,elephant,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png
barlow_twins,1,12,NaN,car,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png
barlow_twins,1,13,NaN,elephant,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png
barlow_twins,1,14,NaN,knife,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png
barlow_twins,1,15,NaN,elephant,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png
barlow_twins,1,16,NaN,elephant,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png
barlow_twins,1,17,NaN,elephant,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png
barlow_twins,1,18,NaN,knife,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png
barlow_twins,1,19,NaN,knife,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png
barlow_twins,1,20,NaN,elephant,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png
barlow_twins,1,21,NaN,knife,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png
barlow_twins,1,22,NaN,oven,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png
barlow_twins,1,23,NaN,knife,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png
barlow_twins,1,24,NaN,truck,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png
barlow_twins,1,25,NaN,oven,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png
barlow_twins,1,26,NaN,keyboard,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png
barlow_twins,1,27,NaN,elephant,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png
barlow_twins,1,28,NaN,elephant,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png
barlow_twins,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png
barlow_twins,1,30,NaN,knife,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png
barlow_twins,1,31,NaN,truck,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png
barlow_twins,1,32,NaN,truck,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png
barlow_twins,1,33,NaN,elephant,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png
barlow_twins,1,34,NaN,knife,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png
barlow_twins,1,35,NaN,oven,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png
barlow_twins,1,36,NaN,elephant,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png
barlow_twins,1,37,NaN,chair,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png
barlow_twins,1,38,NaN,elephant,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png
barlow_twins,1,39,NaN,keyboard,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png
barlow_twins,1,40,NaN,airplane,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png
barlow_twins,1,41,NaN,elephant,bear,1,0041_hp_dnn_1_bear_10_n02134418_971.png
barlow_twins,1,42,NaN,airplane,bear,0.7,0042_hp_dnn_0.7_bear_10_n02132136_10944.png
barlow_twins,1,43,NaN,airplane,elephant,1,0043_hp_dnn_1_elephant_10_n02504458_4439.png
barlow_twins,1,44,NaN,airplane,keyboard,0.4,0044_hp_dnn_0.4_keyboard_10_n03085013_2362.png
barlow_twins,1,45,NaN,truck,dog,1.5,0045_hp_dnn_1.5_dog_10_n02097474_9488.png
barlow_twins,1,46,NaN,oven,clock,inf,0046_hp_dnn_inf_clock_10_n04548280_3308.png
barlow_twins,1,47,NaN,elephant,bear,1.5,0047_hp_dnn_1.5_bear_10_n02133161_334.png
barlow_twins,1,48,NaN,truck,knife,0.45,0048_hp_dnn_0.45_knife_10_n03041632_6708.png
barlow_twins,1,49,NaN,elephant,car,0.55,0049_hp_dnn_0.55_car_10_n02814533_81092.png
barlow_twins,1,50,NaN,elephant,bottle,0.45,0050_hp_dnn_0.45_bottle_10_n03937543_11897.png
barlow_twins,1,51,NaN,knife,airplane,3,0051_hp_dnn_3_airplane_10_n02690373_4429.png
barlow_twins,1,52,NaN,elephant,knife,0.4,0052_hp_dnn_0.4_knife_10_n03041632_22964.png
barlow_twins,1,53,NaN,chair,knife,1.5,0053_hp_dnn_1.5_knife_10_n03041632_33075.png
barlow_twins,1,54,NaN,chair,bird,0.7,0054_hp_dnn_0.7_bird_10_n02006656_1412.png
barlow_twins,1,55,NaN,elephant,clock,1,0055_hp_dnn_1_clock_10_n02708093_3173.png
barlow_twins,1,56,NaN,truck,keyboard,0.45,0056_hp_dnn_0.45_keyboard_10_n03085013_22016.png
barlow_twins,1,57,NaN,elephant,elephant,0.55,0057_hp_dnn_0.55_elephant_10_n02504458_11214.png
barlow_twins,1,58,NaN,elephant,chair,0.7,0058_hp_dnn_0.7_chair_10_n04099969_13775.png
barlow_twins,1,59,NaN,elephant,bicycle,0.4,0059_hp_dnn_0.4_bicycle_10_n02835271_8098.png
barlow_twins,1,60,NaN,airplane,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1126.png
barlow_twins,1,61,NaN,elephant,bicycle,0.45,0061_hp_dnn_0.45_bicycle_10_n02835271_2050.png
barlow_twins,1,62,NaN,elephant,oven,1,0062_hp_dnn_1_oven_10_n04111531_891.png
barlow_twins,1,63,NaN,airplane,bottle,0.7,0063_hp_dnn_0.7_bottle_10_n02823428_6201.png
barlow_twins,1,64,NaN,bear,bicycle,0.7,0064_hp_dnn_0.7_bicycle_10_n02835271_20175.png
barlow_twins,1,65,NaN,bottle,cat,3,0065_hp_dnn_3_cat_10_n02123597_13175.png
barlow_twins,1,66,NaN,truck,dog,0.4,0066_hp_dnn_0.4_dog_10_n02085936_4391.png
barlow_twins,1,67,NaN,knife,airplane,1.5,0067_hp_dnn_1.5_airplane_10_n02690373_8846.png
barlow_twins,1,68,NaN,elephant,cat,1.5,0068_hp_dnn_1.5_cat_10_n02123597_10301.png
barlow_twins,1,69,NaN,truck,elephant,0.7,0069_hp_dnn_0.7_elephant_10_n02504458_6135.png
barlow_twins,1,70,NaN,elephant,keyboard,0.45,0070_hp_dnn_0.45_keyboard_10_n03085013_22585.png
barlow_twins,1,71,NaN,truck,bird,1,0071_hp_dnn_1_bird_10_n02017213_1150.png
barlow_twins,1,72,NaN,keyboard,bottle,3,0072_hp_dnn_3_bottle_10_n04560804_30885.png
barlow_twins,1,73,NaN,keyboard,bicycle,inf,0073_hp_dnn_inf_bicycle_10_n02835271_9191.png
barlow_twins,1,74,NaN,knife,truck,inf,0074_hp_dnn_inf_truck_10_n03796401_7699.png
barlow_twins,1,75,NaN,knife,knife,1.5,0075_hp_dnn_1.5_knife_10_n03041632_50332.png
barlow_twins,1,76,NaN,elephant,knife,0.55,0076_hp_dnn_0.55_knife_10_n03041632_36247.png
barlow_twins,1,77,NaN,elephant,knife,1.5,0077_hp_dnn_1.5_knife_10_n03041632_23667.png
barlow_twins,1,78,NaN,knife,dog,3,0078_hp_dnn_3_dog_10_n02102973_7028.png
barlow_twins,1,79,NaN,elephant,oven,0.55,0079_hp_dnn_0.55_oven_10_n04111531_9867.png
barlow_twins,1,80,NaN,elephant,car,0.55,0080_hp_dnn_0.55_car_10_n02814533_8121.png
barlow_twins,1,81,NaN,elephant,boat,0.55,0081_hp_dnn_0.55_boat_10_n03662601_5210.png
barlow_twins,1,82,NaN,oven,car,1.5,0082_hp_dnn_1.5_car_10_n03100240_6192.png
barlow_twins,1,83,NaN,elephant,oven,0.45,0083_hp_dnn_0.45_oven_10_n04111531_9314.png
barlow_twins,1,84,NaN,elephant,cat,0.4,0084_hp_dnn_0.4_cat_10_n02123045_5189.png
barlow_twins,1,85,NaN,knife,truck,0.7,0085_hp_dnn_0.7_truck_10_n04467665_30189.png
barlow_twins,1,86,NaN,oven,airplane,1.5,0086_hp_dnn_1.5_airplane_10_n02690373_3377.png
barlow_twins,1,87,NaN,elephant,oven,0.4,0087_hp_dnn_0.4_oven_10_n04111531_1750.png
barlow_twins,1,88,NaN,bear,dog,inf,0088_hp_dnn_inf_dog_10_n02097047_2877.png
barlow_twins,1,89,NaN,knife,cat,inf,0089_hp_dnn_inf_cat_10_n02124075_15171.png
barlow_twins,1,90,NaN,elephant,car,0.4,0090_hp_dnn_0.4_car_10_n03100240_23060.png
barlow_twins,1,91,NaN,knife,knife,inf,0091_hp_dnn_inf_knife_10_n03041632_20595.png
barlow_twins,1,92,NaN,elephant,knife,0.45,0092_hp_dnn_0.45_knife_10_n03041632_2184.png
barlow_twins,1,93,NaN,elephant,knife,0.4,0093_hp_dnn_0.4_knife_10_n03041632_42162.png
barlow_twins,1,94,NaN,keyboard,elephant,1,0094_hp_dnn_1_elephant_10_n02504458_3535.png
barlow_twins,1,95,NaN,knife,bird,inf,0095_hp_dnn_inf_bird_10_n02056570_11311.png
barlow_twins,1,96,NaN,elephant,chair,0.4,0096_hp_dnn_0.4_chair_10_n03376595_4121.png
