subj,session,trial,rt,object_response,category,condition,imagename
clip,1,1,NaN,boat,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png
clip,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png
clip,1,3,NaN,elephant,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png
clip,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png
clip,1,5,NaN,cat,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png
clip,1,6,NaN,elephant,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png
clip,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png
clip,1,8,NaN,elephant,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png
clip,1,9,NaN,knife,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png
clip,1,10,NaN,elephant,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png
clip,1,11,NaN,cat,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png
clip,1,12,NaN,car,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png
clip,1,13,NaN,truck,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png
clip,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png
clip,1,15,NaN,knife,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png
clip,1,16,NaN,elephant,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png
clip,1,17,NaN,truck,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png
clip,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png
clip,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png
clip,1,20,NaN,airplane,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png
clip,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png
clip,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png
clip,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png
clip,1,24,NaN,elephant,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png
clip,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png
clip,1,26,NaN,truck,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png
clip,1,27,NaN,chair,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png
clip,1,28,NaN,clock,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png
clip,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png
clip,1,30,NaN,car,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png
clip,1,31,NaN,clock,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png
clip,1,32,NaN,clock,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png
clip,1,33,NaN,chair,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png
clip,1,34,NaN,bear,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png
clip,1,35,NaN,knife,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png
clip,1,36,NaN,elephant,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png
clip,1,37,NaN,keyboard,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png
clip,1,38,NaN,bear,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png
clip,1,39,NaN,bird,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png
clip,1,40,NaN,knife,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png
clip,1,41,NaN,bear,bear,1,0041_hp_dnn_1_bear_10_n02134418_971.png
clip,1,42,NaN,bear,bear,0.7,0042_hp_dnn_0.7_bear_10_n02132136_10944.png
clip,1,43,NaN,elephant,elephant,1,0043_hp_dnn_1_elephant_10_n02504458_4439.png
clip,1,44,NaN,keyboard,keyboard,0.4,0044_hp_dnn_0.4_keyboard_10_n03085013_2362.png
clip,1,45,NaN,bear,dog,1.5,0045_hp_dnn_1.5_dog_10_n02097474_9488.png
clip,1,46,NaN,clock,clock,inf,0046_hp_dnn_inf_clock_10_n04548280_3308.png
clip,1,47,NaN,bear,bear,1.5,0047_hp_dnn_1.5_bear_10_n02133161_334.png
clip,1,48,NaN,knife,knife,0.45,0048_hp_dnn_0.45_knife_10_n03041632_6708.png
clip,1,49,NaN,truck,car,0.55,0049_hp_dnn_0.55_car_10_n02814533_81092.png
clip,1,50,NaN,bottle,bottle,0.45,0050_hp_dnn_0.45_bottle_10_n03937543_11897.png
clip,1,51,NaN,airplane,airplane,3,0051_hp_dnn_3_airplane_10_n02690373_4429.png
clip,1,52,NaN,knife,knife,0.4,0052_hp_dnn_0.4_knife_10_n03041632_22964.png
clip,1,53,NaN,car,knife,1.5,0053_hp_dnn_1.5_knife_10_n03041632_33075.png
clip,1,54,NaN,elephant,bird,0.7,0054_hp_dnn_0.7_bird_10_n02006656_1412.png
clip,1,55,NaN,clock,clock,1,0055_hp_dnn_1_clock_10_n02708093_3173.png
clip,1,56,NaN,keyboard,keyboard,0.45,0056_hp_dnn_0.45_keyboard_10_n03085013_22016.png
clip,1,57,NaN,knife,elephant,0.55,0057_hp_dnn_0.55_elephant_10_n02504458_11214.png
clip,1,58,NaN,clock,chair,0.7,0058_hp_dnn_0.7_chair_10_n04099969_13775.png
clip,1,59,NaN,bicycle,bicycle,0.4,0059_hp_dnn_0.4_bicycle_10_n02835271_8098.png
clip,1,60,NaN,clock,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1126.png
clip,1,61,NaN,bicycle,bicycle,0.45,0061_hp_dnn_0.45_bicycle_10_n02835271_2050.png
clip,1,62,NaN,chair,oven,1,0062_hp_dnn_1_oven_10_n04111531_891.png
clip,1,63,NaN,bottle,bottle,0.7,0063_hp_dnn_0.7_bottle_10_n02823428_6201.png
clip,1,64,NaN,bicycle,bicycle,0.7,0064_hp_dnn_0.7_bicycle_10_n02835271_20175.png
clip,1,65,NaN,cat,cat,3,0065_hp_dnn_3_cat_10_n02123597_13175.png
clip,1,66,NaN,bear,dog,0.4,0066_hp_dnn_0.4_dog_10_n02085936_4391.png
clip,1,67,NaN,airplane,airplane,1.5,0067_hp_dnn_1.5_airplane_10_n02690373_8846.png
clip,1,68,NaN,cat,cat,1.5,0068_hp_dnn_1.5_cat_10_n02123597_10301.png
clip,1,69,NaN,elephant,elephant,0.7,0069_hp_dnn_0.7_elephant_10_n02504458_6135.png
clip,1,70,NaN,elephant,keyboard,0.45,0070_hp_dnn_0.45_keyboard_10_n03085013_22585.png
clip,1,71,NaN,clock,bird,1,0071_hp_dnn_1_bird_10_n02017213_1150.png
clip,1,72,NaN,bottle,bottle,3,0072_hp_dnn_3_bottle_10_n04560804_30885.png
clip,1,73,NaN,bicycle,bicycle,inf,0073_hp_dnn_inf_bicycle_10_n02835271_9191.png
clip,1,74,NaN,truck,truck,inf,0074_hp_dnn_inf_truck_10_n03796401_7699.png
clip,1,75,NaN,knife,knife,1.5,0075_hp_dnn_1.5_knife_10_n03041632_50332.png
clip,1,76,NaN,knife,knife,0.55,0076_hp_dnn_0.55_knife_10_n03041632_36247.png
clip,1,77,NaN,knife,knife,1.5,0077_hp_dnn_1.5_knife_10_n03041632_23667.png
clip,1,78,NaN,bear,dog,3,0078_hp_dnn_3_dog_10_n02102973_7028.png
clip,1,79,NaN,elephant,oven,0.55,0079_hp_dnn_0.55_oven_10_n04111531_9867.png
clip,1,80,NaN,car,car,0.55,0080_hp_dnn_0.55_car_10_n02814533_8121.png
clip,1,81,NaN,knife,boat,0.55,0081_hp_dnn_0.55_boat_10_n03662601_5210.png
clip,1,82,NaN,truck,car,1.5,0082_hp_dnn_1.5_car_10_n03100240_6192.png
clip,1,83,NaN,elephant,oven,0.45,0083_hp_dnn_0.45_oven_10_n04111531_9314.png
clip,1,84,NaN,elephant,cat,0.4,0084_hp_dnn_0.4_cat_10_n02123045_5189.png
clip,1,85,NaN,chair,truck,0.7,0085_hp_dnn_0.7_truck_10_n04467665_30189.png
clip,1,86,NaN,airplane,airplane,1.5,0086_hp_dnn_1.5_airplane_10_n02690373_3377.png
clip,1,87,NaN,knife,oven,0.4,0087_hp_dnn_0.4_oven_10_n04111531_1750.png
clip,1,88,NaN,dog,dog,inf,0088_hp_dnn_inf_dog_10_n02097047_2877.png
clip,1,89,NaN,cat,cat,inf,0089_hp_dnn_inf_cat_10_n02124075_15171.png
clip,1,90,NaN,elephant,car,0.4,0090_hp_dnn_0.4_car_10_n03100240_23060.png
clip,1,91,NaN,knife,knife,inf,0091_hp_dnn_inf_knife_10_n03041632_20595.png
clip,1,92,NaN,clock,knife,0.45,0092_hp_dnn_0.45_knife_10_n03041632_2184.png
clip,1,93,NaN,elephant,knife,0.4,0093_hp_dnn_0.4_knife_10_n03041632_42162.png
clip,1,94,NaN,truck,elephant,1,0094_hp_dnn_1_elephant_10_n02504458_3535.png
clip,1,95,NaN,bird,bird,inf,0095_hp_dnn_inf_bird_10_n02056570_11311.png
clip,1,96,NaN,clock,chair,0.4,0096_hp_dnn_0.4_chair_10_n03376595_4121.png
clip,1,97,NaN,dog,dog,1,0097_hp_dnn_1_dog_10_n02086240_3572.png
clip,1,98,NaN,elephant,elephant,inf,0098_hp_dnn_inf_elephant_10_n02504013_4523.png
clip,1,99,NaN,chair,chair,inf,0099_hp_dnn_inf_chair_10_n04429376_7902.png
clip,1,100,NaN,clock,bird,0.45,0100_hp_dnn_0.45_bird_10_n01530575_14402.png
clip,1,101,NaN,clock,bottle,0.55,0101_hp_dnn_0.55_bottle_10_n02823428_11140.png
clip,1,102,NaN,clock,airplane,0.55,0102_hp_dnn_0.55_airplane_10_n02690373_7685.png
clip,1,103,NaN,elephant,boat,0.45,0103_hp_dnn_0.45_boat_10_n03344393_4827.png
clip,1,104,NaN,elephant,dog,0.7,0104_hp_dnn_0.7_dog_10_n02088364_8674.png
clip,1,105,NaN,knife,knife,0.45,0105_hp_dnn_0.45_knife_10_n03041632_32004.png
clip,1,106,NaN,keyboard,keyboard,3,0106_hp_dnn_3_keyboard_10_n03085013_22949.png
clip,1,107,NaN,knife,knife,0.7,0107_hp_dnn_0.7_knife_10_n03041632_4044.png
clip,1,108,NaN,airplane,airplane,1.5,0108_hp_dnn_1.5_airplane_10_n02690373_6455.png
clip,1,109,NaN,truck,airplane,0.55,0109_hp_dnn_0.55_airplane_10_n02690373_19646.png
