subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,cat,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png
barlow_twins,1,2,NaN,clock,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png
barlow_twins,1,3,NaN,truck,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
barlow_twins,1,4,NaN,oven,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
barlow_twins,1,5,NaN,knife,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
barlow_twins,1,6,NaN,airplane,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
barlow_twins,1,7,NaN,oven,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
barlow_twins,1,8,NaN,elephant,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
barlow_twins,1,9,NaN,oven,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
barlow_twins,1,10,NaN,oven,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
barlow_twins,1,11,NaN,airplane,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
barlow_twins,1,12,NaN,car,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
barlow_twins,1,13,NaN,oven,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
barlow_twins,1,14,NaN,oven,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
barlow_twins,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png
barlow_twins,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png
barlow_twins,1,17,NaN,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
barlow_twins,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
barlow_twins,1,19,NaN,oven,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
barlow_twins,1,20,NaN,clock,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
barlow_twins,1,21,NaN,clock,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
barlow_twins,1,22,NaN,truck,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
