subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png
dino_v8,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png
dino_v8,1,3,NaN,knife,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
dino_v8,1,4,NaN,bottle,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
dino_v8,1,5,NaN,airplane,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
dino_v8,1,6,NaN,boat,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
dino_v8,1,7,NaN,keyboard,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
dino_v8,1,8,NaN,bottle,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
dino_v8,1,9,NaN,keyboard,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
dino_v8,1,10,NaN,keyboard,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
dino_v8,1,11,NaN,keyboard,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
dino_v8,1,12,NaN,keyboard,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
dino_v8,1,13,NaN,elephant,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
dino_v8,1,14,NaN,airplane,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
dino_v8,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png
dino_v8,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png
dino_v8,1,17,NaN,knife,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
dino_v8,1,18,NaN,bottle,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
dino_v8,1,19,NaN,keyboard,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
dino_v8,1,20,NaN,keyboard,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
dino_v8,1,21,NaN,keyboard,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
dino_v8,1,22,NaN,keyboard,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
dino_v8,1,23,NaN,oven,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
dino_v8,1,24,NaN,dog,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
dino_v8,1,25,NaN,keyboard,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
dino_v8,1,26,NaN,airplane,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
dino_v8,1,27,NaN,keyboard,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
dino_v8,1,28,NaN,clock,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
dino_v8,1,29,NaN,keyboard,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
dino_v8,1,30,NaN,keyboard,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
dino_v8,1,31,NaN,knife,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png
dino_v8,1,32,NaN,knife,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
dino_v8,1,33,NaN,airplane,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
dino_v8,1,34,NaN,oven,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
dino_v8,1,35,NaN,keyboard,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
dino_v8,1,36,NaN,boat,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
dino_v8,1,37,NaN,keyboard,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
dino_v8,1,38,NaN,oven,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png
dino_v8,1,39,NaN,airplane,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png
dino_v8,1,40,NaN,keyboard,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png
dino_v8,1,41,NaN,keyboard,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png
dino_v8,1,42,NaN,elephant,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png
dino_v8,1,43,NaN,elephant,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png
dino_v8,1,44,NaN,keyboard,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png
dino_v8,1,45,NaN,keyboard,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png
dino_v8,1,46,NaN,keyboard,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png
dino_v8,1,47,NaN,airplane,bird,7,0047_lp_dnn_7_bird_10_n02009912_11907.png
dino_v8,1,48,NaN,cat,airplane,1,0048_lp_dnn_1_airplane_10_n02690373_5773.png
dino_v8,1,49,NaN,boat,chair,40,0049_lp_dnn_40_chair_10_n02791124_2972.png
dino_v8,1,50,NaN,cat,bird,1,0050_lp_dnn_1_bird_10_n01819313_18188.png
dino_v8,1,51,NaN,airplane,car,5,0051_lp_dnn_5_car_10_n04285008_7428.png
dino_v8,1,52,NaN,knife,bottle,7,0052_lp_dnn_7_bottle_10_n04591713_6923.png
dino_v8,1,53,NaN,bottle,knife,0,0053_lp_dnn_0_knife_10_n03041632_22570.png
dino_v8,1,54,NaN,airplane,bear,0,0054_lp_dnn_0_bear_10_n02132136_7586.png
dino_v8,1,55,NaN,keyboard,clock,5,0055_lp_dnn_5_clock_10_n04548280_9144.png
dino_v8,1,56,NaN,oven,bottle,0,0056_lp_dnn_0_bottle_10_n04591713_2680.png
dino_v8,1,57,NaN,bottle,cat,3,0057_lp_dnn_3_cat_10_n02123045_1596.png
dino_v8,1,58,NaN,keyboard,cat,10,0058_lp_dnn_10_cat_10_n02123597_19450.png
dino_v8,1,59,NaN,keyboard,chair,15,0059_lp_dnn_15_chair_10_n03376595_3462.png
dino_v8,1,60,NaN,truck,bottle,3,0060_lp_dnn_3_bottle_10_n04591713_3683.png
dino_v8,1,61,NaN,bottle,clock,7,0061_lp_dnn_7_clock_10_n03196217_4309.png
dino_v8,1,62,NaN,keyboard,bear,15,0062_lp_dnn_15_bear_10_n02134084_4923.png
dino_v8,1,63,NaN,bicycle,chair,1,0063_lp_dnn_1_chair_10_n04429376_5238.png
dino_v8,1,64,NaN,cat,clock,0,0064_lp_dnn_0_clock_10_n03196217_2414.png
dino_v8,1,65,NaN,keyboard,bird,3,0065_lp_dnn_3_bird_10_n01797886_2711.png
dino_v8,1,66,NaN,truck,truck,15,0066_lp_dnn_15_truck_10_n04467665_68463.png
dino_v8,1,67,NaN,car,truck,0,0067_lp_dnn_0_truck_10_n03417042_10099.png
