subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,truck,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png
mlp_mixer_b_in21,1,2,NaN,oven,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png
mlp_mixer_b_in21,1,3,NaN,dog,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
mlp_mixer_b_in21,1,4,NaN,bird,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
mlp_mixer_b_in21,1,5,NaN,dog,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
mlp_mixer_b_in21,1,6,NaN,cat,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
mlp_mixer_b_in21,1,7,NaN,dog,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
mlp_mixer_b_in21,1,8,NaN,dog,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
mlp_mixer_b_in21,1,9,NaN,cat,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
mlp_mixer_b_in21,1,10,NaN,truck,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
mlp_mixer_b_in21,1,11,NaN,dog,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
mlp_mixer_b_in21,1,12,NaN,bird,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
mlp_mixer_b_in21,1,13,NaN,car,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
mlp_mixer_b_in21,1,14,NaN,cat,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
mlp_mixer_b_in21,1,15,NaN,truck,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png
mlp_mixer_b_in21,1,16,NaN,truck,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png
mlp_mixer_b_in21,1,17,NaN,bird,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
mlp_mixer_b_in21,1,18,NaN,dog,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
mlp_mixer_b_in21,1,19,NaN,car,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
mlp_mixer_b_in21,1,20,NaN,truck,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
mlp_mixer_b_in21,1,21,NaN,bottle,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
mlp_mixer_b_in21,1,22,NaN,truck,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
mlp_mixer_b_in21,1,23,NaN,dog,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
mlp_mixer_b_in21,1,24,NaN,bird,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
mlp_mixer_b_in21,1,25,NaN,truck,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
mlp_mixer_b_in21,1,26,NaN,truck,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
mlp_mixer_b_in21,1,27,NaN,bird,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
mlp_mixer_b_in21,1,28,NaN,keyboard,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
mlp_mixer_b_in21,1,29,NaN,truck,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
mlp_mixer_b_in21,1,30,NaN,bottle,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
mlp_mixer_b_in21,1,31,NaN,truck,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png
mlp_mixer_b_in21,1,32,NaN,bird,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
mlp_mixer_b_in21,1,33,NaN,dog,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
mlp_mixer_b_in21,1,34,NaN,dog,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
mlp_mixer_b_in21,1,35,NaN,car,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png
mlp_mixer_b_in21,1,36,NaN,bird,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png
mlp_mixer_b_in21,1,37,NaN,truck,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png
