subj,dataset_name,metric_name,performance
dino_v8,edge,accuracy (top-1),0.125
dino_v8,silhouette,accuracy (top-1),0.05625
dino_v8,cue-conflict,accuracy (top-1),0.05625
dino_v8,colour,accuracy (top-1),0.0328125
dino_v8,contrast,accuracy (top-1),0.04921875
dino_v8,high-pass,accuracy (top-1),0.05234375
dino_v8,low-pass,accuracy (top-1),0.0578125
dino_v8,phase-scrambling,accuracy (top-1),0.04642857142857143
dino_v8,power-equalisation,accuracy (top-1),0.045535714285714284
dino_v8,false-colour,accuracy (top-1),0.0375
dino_v8,rotation,accuracy (top-1),0.046875
dino_v8,eidolonI,accuracy (top-1),0.05078125
dino_v8,eidolonII,accuracy (top-1),0.05390625
dino_v8,eidolonIII,accuracy (top-1),0.0453125
dino_v8,uniform-noise,accuracy (top-1),0.06015625
dino_v8,sketch,accuracy (top-1),0.0425
dino_v8,sketch,accuracy (top-5),0.2725
dino_v8,stylized,accuracy (top-1),0.04875
dino_v8,stylized,accuracy (top-5),0.27
