subj,dataset_name,metric_name,performance
swin_large,edge,accuracy (top-1),0.0375
swin_large,silhouette,accuracy (top-1),0.09375
swin_large,cue-conflict,accuracy (top-1),0.06328125
swin_large,colour,accuracy (top-1),0.0796875
swin_large,contrast,accuracy (top-1),0.09453125
swin_large,high-pass,accuracy (top-1),0.08046875
swin_large,low-pass,accuracy (top-1),0.0640625
swin_large,phase-scrambling,accuracy (top-1),0.08125
swin_large,power-equalisation,accuracy (top-1),0.08125
swin_large,false-colour,accuracy (top-1),0.08303571428571428
swin_large,rotation,accuracy (top-1),0.0890625
swin_large,eidolonI,accuracy (top-1),0.0609375
swin_large,eidolonII,accuracy (top-1),0.06484375
swin_large,eidolonIII,accuracy (top-1),0.06640625
swin_large,uniform-noise,accuracy (top-1),0.08046875
swin_large,sketch,accuracy (top-1),0.06375
swin_large,sketch,accuracy (top-5),0.33875
swin_large,stylized,accuracy (top-1),0.055
swin_large,stylized,accuracy (top-5),0.28125
