subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,knife,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
autoencoder_vit_b,1,2,NaN,knife,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
autoencoder_vit_b,1,3,NaN,oven,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
autoencoder_vit_b,1,4,NaN,knife,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
autoencoder_vit_b,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
autoencoder_vit_b,1,6,NaN,oven,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
autoencoder_vit_b,1,7,NaN,knife,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
autoencoder_vit_b,1,8,NaN,knife,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
autoencoder_vit_b,1,9,NaN,oven,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
autoencoder_vit_b,1,10,NaN,knife,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
autoencoder_vit_b,1,11,NaN,oven,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
autoencoder_vit_b,1,12,NaN,oven,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
autoencoder_vit_b,1,13,NaN,knife,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
autoencoder_vit_b,1,14,NaN,oven,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
autoencoder_vit_b,1,15,NaN,knife,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
autoencoder_vit_b,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
autoencoder_vit_b,1,17,NaN,oven,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
autoencoder_vit_b,1,18,NaN,knife,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
autoencoder_vit_b,1,19,NaN,oven,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
