subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,knife,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
barlow_twins,1,2,NaN,airplane,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
barlow_twins,1,3,NaN,knife,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
barlow_twins,1,4,NaN,knife,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
barlow_twins,1,5,NaN,clock,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
barlow_twins,1,6,NaN,knife,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
barlow_twins,1,7,NaN,knife,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
barlow_twins,1,8,NaN,airplane,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
barlow_twins,1,9,NaN,airplane,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
barlow_twins,1,10,NaN,clock,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
barlow_twins,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
barlow_twins,1,12,NaN,elephant,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
barlow_twins,1,13,NaN,airplane,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
barlow_twins,1,14,NaN,keyboard,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
barlow_twins,1,15,NaN,clock,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
barlow_twins,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
barlow_twins,1,17,NaN,oven,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
barlow_twins,1,18,NaN,knife,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
barlow_twins,1,19,NaN,knife,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
barlow_twins,1,20,NaN,bottle,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
barlow_twins,1,21,NaN,bottle,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
barlow_twins,1,22,NaN,keyboard,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
barlow_twins,1,23,NaN,knife,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
barlow_twins,1,24,NaN,clock,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
barlow_twins,1,25,NaN,elephant,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
barlow_twins,1,26,NaN,clock,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
barlow_twins,1,27,NaN,boat,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
barlow_twins,1,28,NaN,knife,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
barlow_twins,1,29,NaN,knife,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
barlow_twins,1,30,NaN,elephant,dog,30,0030_ps_dnn_30_dog_10_n02090622_1485.png
barlow_twins,1,31,NaN,knife,truck,150,0031_ps_dnn_150_truck_10_n03417042_5503.png
barlow_twins,1,32,NaN,knife,bear,180,0032_ps_dnn_180_bear_10_n02133161_897.png
barlow_twins,1,33,NaN,clock,keyboard,180,0033_ps_dnn_180_keyboard_10_n04505470_4579.png
barlow_twins,1,34,NaN,elephant,bird,60,0034_ps_dnn_60_bird_10_n01592084_5833.png
barlow_twins,1,35,NaN,knife,dog,0,0035_ps_dnn_0_dog_10_n02090379_3514.png
barlow_twins,1,36,NaN,knife,airplane,180,0036_ps_dnn_180_airplane_10_n02690373_6144.png
barlow_twins,1,37,NaN,knife,airplane,90,0037_ps_dnn_90_airplane_10_n02690373_1436.png
barlow_twins,1,38,NaN,airplane,clock,120,0038_ps_dnn_120_clock_10_n04548280_354.png
barlow_twins,1,39,NaN,airplane,keyboard,0,0039_ps_dnn_0_keyboard_10_n03085013_2189.png
barlow_twins,1,40,NaN,knife,chair,120,0040_ps_dnn_120_chair_10_n04099969_9005.png
barlow_twins,1,41,NaN,knife,bicycle,180,0041_ps_dnn_180_bicycle_10_n02835271_7350.png
barlow_twins,1,42,NaN,knife,bottle,150,0042_ps_dnn_150_bottle_10_n04557648_8320.png
barlow_twins,1,43,NaN,truck,dog,0,0043_ps_dnn_0_dog_10_n02105641_6503.png
barlow_twins,1,44,NaN,airplane,clock,90,0044_ps_dnn_90_clock_10_n04548280_6022.png
barlow_twins,1,45,NaN,knife,clock,60,0045_ps_dnn_60_clock_10_n03196217_7414.png
barlow_twins,1,46,NaN,boat,oven,150,0046_ps_dnn_150_oven_10_n04111531_7965.png
barlow_twins,1,47,NaN,elephant,bottle,90,0047_ps_dnn_90_bottle_10_n04579145_4594.png
barlow_twins,1,48,NaN,bottle,bottle,30,0048_ps_dnn_30_bottle_10_n03983396_4564.png
barlow_twins,1,49,NaN,boat,cat,60,0049_ps_dnn_60_cat_10_n02125311_54015.png
barlow_twins,1,50,NaN,oven,bicycle,150,0050_ps_dnn_150_bicycle_10_n03792782_5133.png
barlow_twins,1,51,NaN,clock,bird,120,0051_ps_dnn_120_bird_10_n02018207_6296.png
barlow_twins,1,52,NaN,elephant,bird,30,0052_ps_dnn_30_bird_10_n01817953_11996.png
barlow_twins,1,53,NaN,clock,keyboard,150,0053_ps_dnn_150_keyboard_10_n03085013_3148.png
barlow_twins,1,54,NaN,clock,bear,60,0054_ps_dnn_60_bear_10_n02134418_5537.png
barlow_twins,1,55,NaN,elephant,cat,150,0055_ps_dnn_150_cat_10_n02125311_11409.png
barlow_twins,1,56,NaN,clock,knife,30,0056_ps_dnn_30_knife_10_n03041632_3063.png
barlow_twins,1,57,NaN,car,dog,60,0057_ps_dnn_60_dog_10_n02106550_6424.png
barlow_twins,1,58,NaN,clock,bear,30,0058_ps_dnn_30_bear_10_n02133161_7032.png
barlow_twins,1,59,NaN,knife,cat,150,0059_ps_dnn_150_cat_10_n02125311_5570.png
barlow_twins,1,60,NaN,oven,bird,30,0060_ps_dnn_30_bird_10_n01843383_13894.png
barlow_twins,1,61,NaN,airplane,bottle,60,0061_ps_dnn_60_bottle_10_n03983396_2205.png
barlow_twins,1,62,NaN,knife,bicycle,60,0062_ps_dnn_60_bicycle_10_n03792782_31010.png
barlow_twins,1,63,NaN,oven,bottle,60,0063_ps_dnn_60_bottle_10_n02823428_880.png
barlow_twins,1,64,NaN,knife,car,180,0064_ps_dnn_180_car_10_n02814533_40459.png
barlow_twins,1,65,NaN,oven,cat,120,0065_ps_dnn_120_cat_10_n02123045_567.png
barlow_twins,1,66,NaN,clock,knife,120,0066_ps_dnn_120_knife_10_n03041632_24541.png
barlow_twins,1,67,NaN,knife,elephant,30,0067_ps_dnn_30_elephant_10_n02504458_8644.png
barlow_twins,1,68,NaN,oven,keyboard,0,0068_ps_dnn_0_keyboard_10_n03085013_2166.png
barlow_twins,1,69,NaN,clock,boat,90,0069_ps_dnn_90_boat_10_n04273569_13972.png
barlow_twins,1,70,NaN,knife,airplane,150,0070_ps_dnn_150_airplane_10_n02690373_9432.png
barlow_twins,1,71,NaN,clock,truck,90,0071_ps_dnn_90_truck_10_n03417042_5228.png
barlow_twins,1,72,NaN,knife,airplane,0,0072_ps_dnn_0_airplane_10_n02690373_4294.png
barlow_twins,1,73,NaN,bottle,chair,30,0073_ps_dnn_30_chair_10_n04099969_52474.png
barlow_twins,1,74,NaN,oven,oven,30,0074_ps_dnn_30_oven_10_n04111531_21822.png
barlow_twins,1,75,NaN,clock,oven,150,0075_ps_dnn_150_oven_10_n04111531_15735.png
barlow_twins,1,76,NaN,clock,dog,120,0076_ps_dnn_120_dog_10_n02104029_7335.png
barlow_twins,1,77,NaN,clock,truck,150,0077_ps_dnn_150_truck_10_n03417042_17911.png
barlow_twins,1,78,NaN,oven,clock,30,0078_ps_dnn_30_clock_10_n02708093_899.png
barlow_twins,1,79,NaN,elephant,boat,60,0079_ps_dnn_60_boat_10_n03662601_9590.png
barlow_twins,1,80,NaN,oven,chair,90,0080_ps_dnn_90_chair_10_n02791124_6550.png
barlow_twins,1,81,NaN,clock,clock,180,0081_ps_dnn_180_clock_10_n03196217_4492.png
barlow_twins,1,82,NaN,bottle,car,30,0082_ps_dnn_30_car_10_n04285008_14128.png
barlow_twins,1,83,NaN,bottle,bicycle,60,0083_ps_dnn_60_bicycle_10_n02835271_4730.png
barlow_twins,1,84,NaN,knife,elephant,0,0084_ps_dnn_0_elephant_10_n02504458_62.png
barlow_twins,1,85,NaN,knife,dog,120,0085_ps_dnn_120_dog_10_n02086646_8144.png
barlow_twins,1,86,NaN,elephant,knife,60,0086_ps_dnn_60_knife_10_n03041632_1671.png
barlow_twins,1,87,NaN,knife,bird,180,0087_ps_dnn_180_bird_10_n01534433_10801.png
barlow_twins,1,88,NaN,clock,keyboard,150,0088_ps_dnn_150_keyboard_10_n03085013_20570.png
barlow_twins,1,89,NaN,knife,knife,150,0089_ps_dnn_150_knife_10_n03041632_4808.png
barlow_twins,1,90,NaN,knife,keyboard,180,0090_ps_dnn_180_keyboard_10_n03085013_1808.png
barlow_twins,1,91,NaN,knife,truck,120,0091_ps_dnn_120_truck_10_n03796401_4370.png
barlow_twins,1,92,NaN,car,airplane,60,0092_ps_dnn_60_airplane_10_n02690373_6314.png
barlow_twins,1,93,NaN,keyboard,oven,90,0093_ps_dnn_90_oven_10_n04111531_4879.png
barlow_twins,1,94,NaN,chair,airplane,180,0094_ps_dnn_180_airplane_10_n02690373_4375.png
barlow_twins,1,95,NaN,elephant,bottle,60,0095_ps_dnn_60_bottle_10_n04557648_4133.png
barlow_twins,1,96,NaN,oven,bicycle,120,0096_ps_dnn_120_bicycle_10_n02835271_19213.png
barlow_twins,1,97,NaN,elephant,bear,150,0097_ps_dnn_150_bear_10_n02132136_10577.png
barlow_twins,1,98,NaN,knife,airplane,90,0098_ps_dnn_90_airplane_10_n02690373_3147.png
barlow_twins,1,99,NaN,elephant,elephant,60,0099_ps_dnn_60_elephant_10_n02504013_10389.png
barlow_twins,1,100,NaN,knife,chair,150,0100_ps_dnn_150_chair_10_n02791124_5685.png
barlow_twins,1,101,NaN,airplane,bird,60,0101_ps_dnn_60_bird_10_n01817953_6333.png
barlow_twins,1,102,NaN,bottle,keyboard,90,0102_ps_dnn_90_keyboard_10_n03085013_20247.png
barlow_twins,1,103,NaN,clock,airplane,0,0103_ps_dnn_0_airplane_10_n02690373_5729.png
barlow_twins,1,104,NaN,elephant,bicycle,90,0104_ps_dnn_90_bicycle_10_n03792782_55532.png
barlow_twins,1,105,NaN,keyboard,bicycle,0,0105_ps_dnn_0_bicycle_10_n02835271_8417.png
barlow_twins,1,106,NaN,clock,clock,60,0106_ps_dnn_60_clock_10_n03196217_599.png
barlow_twins,1,107,NaN,knife,airplane,0,0107_ps_dnn_0_airplane_10_n02690373_1952.png
barlow_twins,1,108,NaN,knife,bear,180,0108_ps_dnn_180_bear_10_n02134084_23061.png
barlow_twins,1,109,NaN,knife,bicycle,150,0109_ps_dnn_150_bicycle_10_n03792782_27445.png
barlow_twins,1,110,NaN,knife,clock,30,0110_ps_dnn_30_clock_10_n03196217_6348.png
barlow_twins,1,111,NaN,elephant,bear,90,0111_ps_dnn_90_bear_10_n02132136_5778.png
barlow_twins,1,112,NaN,knife,boat,90,0112_ps_dnn_90_boat_10_n04273569_4772.png
barlow_twins,1,113,NaN,clock,oven,180,0113_ps_dnn_180_oven_10_n04111531_23830.png
barlow_twins,1,114,NaN,knife,bird,150,0114_ps_dnn_150_bird_10_n01855032_1306.png
barlow_twins,1,115,NaN,elephant,elephant,60,0115_ps_dnn_60_elephant_10_n02504013_8905.png
barlow_twins,1,116,NaN,airplane,truck,60,0116_ps_dnn_60_truck_10_n04467665_30461.png
barlow_twins,1,117,NaN,airplane,knife,60,0117_ps_dnn_60_knife_10_n03041632_20662.png
barlow_twins,1,118,NaN,knife,boat,180,0118_ps_dnn_180_boat_10_n03662601_15915.png
barlow_twins,1,119,NaN,knife,boat,150,0119_ps_dnn_150_boat_10_n04273569_62.png
barlow_twins,1,120,NaN,oven,bicycle,180,0120_ps_dnn_180_bicycle_10_n03792782_8080.png
barlow_twins,1,121,NaN,bottle,airplane,120,0121_ps_dnn_120_airplane_10_n02690373_10309.png
barlow_twins,1,122,NaN,elephant,dog,30,0122_ps_dnn_30_dog_10_n02093859_1001.png
barlow_twins,1,123,NaN,oven,oven,0,0123_ps_dnn_0_oven_10_n04111531_15267.png
barlow_twins,1,124,NaN,bottle,cat,90,0124_ps_dnn_90_cat_10_n02124075_81.png
barlow_twins,1,125,NaN,knife,elephant,60,0125_ps_dnn_60_elephant_10_n02504013_7314.png
barlow_twins,1,126,NaN,clock,bottle,120,0126_ps_dnn_120_bottle_10_n03983396_3294.png
barlow_twins,1,127,NaN,knife,cat,60,0127_ps_dnn_60_cat_10_n02123159_3201.png
barlow_twins,1,128,NaN,bottle,dog,90,0128_ps_dnn_90_dog_10_n02101388_11601.png
barlow_twins,1,129,NaN,knife,cat,30,0129_ps_dnn_30_cat_10_n02123597_4442.png
barlow_twins,1,130,NaN,knife,airplane,30,0130_ps_dnn_30_airplane_10_n02690373_1950.png
barlow_twins,1,131,NaN,knife,bird,120,0131_ps_dnn_120_bird_10_n01616318_4652.png
barlow_twins,1,132,NaN,knife,airplane,90,0132_ps_dnn_90_airplane_10_n02690373_17937.png
barlow_twins,1,133,NaN,keyboard,clock,30,0133_ps_dnn_30_clock_10_n02708093_1125.png
barlow_twins,1,134,NaN,knife,elephant,150,0134_ps_dnn_150_elephant_10_n02504458_6499.png
barlow_twins,1,135,NaN,elephant,clock,30,0135_ps_dnn_30_clock_10_n02708093_51.png
barlow_twins,1,136,NaN,car,bicycle,90,0136_ps_dnn_90_bicycle_10_n02835271_13180.png
barlow_twins,1,137,NaN,boat,cat,120,0137_ps_dnn_120_cat_10_n02123597_7297.png
barlow_twins,1,138,NaN,elephant,clock,30,0138_ps_dnn_30_clock_10_n04548280_1109.png
barlow_twins,1,139,NaN,elephant,clock,60,0139_ps_dnn_60_clock_10_n04548280_1304.png
barlow_twins,1,140,NaN,knife,bird,180,0140_ps_dnn_180_bird_10_n01833805_8179.png
barlow_twins,1,141,NaN,clock,bottle,60,0141_ps_dnn_60_bottle_10_n03983396_24525.png
barlow_twins,1,142,NaN,knife,elephant,120,0142_ps_dnn_120_elephant_10_n02504013_5945.png
barlow_twins,1,143,NaN,bottle,airplane,120,0143_ps_dnn_120_airplane_10_n02690373_13610.png
barlow_twins,1,144,NaN,truck,knife,90,0144_ps_dnn_90_knife_10_n03041632_21859.png
barlow_twins,1,145,NaN,elephant,cat,60,0145_ps_dnn_60_cat_10_n02123045_568.png
barlow_twins,1,146,NaN,knife,clock,180,0146_ps_dnn_180_clock_10_n02708093_960.png
barlow_twins,1,147,NaN,elephant,bicycle,120,0147_ps_dnn_120_bicycle_10_n02835271_9669.png
barlow_twins,1,148,NaN,knife,cat,60,0148_ps_dnn_60_cat_10_n02123597_14647.png
barlow_twins,1,149,NaN,keyboard,bicycle,0,0149_ps_dnn_0_bicycle_10_n02835271_7794.png
barlow_twins,1,150,NaN,clock,bird,0,0150_ps_dnn_0_bird_10_n02011460_5925.png
barlow_twins,1,151,NaN,elephant,oven,90,0151_ps_dnn_90_oven_10_n04111531_8852.png
barlow_twins,1,152,NaN,bear,knife,90,0152_ps_dnn_90_knife_10_n03041632_84086.png
barlow_twins,1,153,NaN,bear,car,60,0153_ps_dnn_60_car_10_n03100240_13602.png
barlow_twins,1,154,NaN,knife,dog,180,0154_ps_dnn_180_dog_10_n02106662_43958.png
barlow_twins,1,155,NaN,knife,chair,30,0155_ps_dnn_30_chair_10_n02791124_1292.png
barlow_twins,1,156,NaN,knife,dog,90,0156_ps_dnn_90_dog_10_n02085782_4522.png
barlow_twins,1,157,NaN,elephant,bear,60,0157_ps_dnn_60_bear_10_n02132136_686.png
barlow_twins,1,158,NaN,clock,bird,120,0158_ps_dnn_120_bird_10_n01796340_12914.png
barlow_twins,1,159,NaN,car,knife,60,0159_ps_dnn_60_knife_10_n03041632_24060.png
barlow_twins,1,160,NaN,knife,bottle,180,0160_ps_dnn_180_bottle_10_n03983396_4775.png
barlow_twins,1,161,NaN,knife,keyboard,120,0161_ps_dnn_120_keyboard_10_n04505470_1516.png
barlow_twins,1,162,NaN,truck,boat,150,0162_ps_dnn_150_boat_10_n03344393_4944.png
barlow_twins,1,163,NaN,knife,cat,150,0163_ps_dnn_150_cat_10_n02123159_3524.png
barlow_twins,1,164,NaN,elephant,truck,60,0164_ps_dnn_60_truck_10_n04467665_50648.png
barlow_twins,1,165,NaN,airplane,dog,0,0165_ps_dnn_0_dog_10_n02107574_1277.png
barlow_twins,1,166,NaN,airplane,oven,60,0166_ps_dnn_60_oven_10_n04111531_21980.png
barlow_twins,1,167,NaN,clock,boat,120,0167_ps_dnn_120_boat_10_n03344393_11315.png
barlow_twins,1,168,NaN,car,knife,90,0168_ps_dnn_90_knife_10_n03041632_32896.png
barlow_twins,1,169,NaN,knife,bottle,30,0169_ps_dnn_30_bottle_10_n03937543_3133.png
barlow_twins,1,170,NaN,knife,car,180,0170_ps_dnn_180_car_10_n04285008_15213.png
barlow_twins,1,171,NaN,elephant,elephant,90,0171_ps_dnn_90_elephant_10_n02504013_3081.png
barlow_twins,1,172,NaN,chair,cat,60,0172_ps_dnn_60_cat_10_n02123159_6873.png
barlow_twins,1,173,NaN,elephant,bottle,60,0173_ps_dnn_60_bottle_10_n04579145_4385.png
barlow_twins,1,174,NaN,airplane,bear,60,0174_ps_dnn_60_bear_10_n02134418_2185.png
barlow_twins,1,175,NaN,oven,chair,150,0175_ps_dnn_150_chair_10_n04429376_16002.png
barlow_twins,1,176,NaN,elephant,car,60,0176_ps_dnn_60_car_10_n03100240_8107.png
barlow_twins,1,177,NaN,chair,boat,60,0177_ps_dnn_60_boat_10_n04273569_15906.png
barlow_twins,1,178,NaN,knife,car,150,0178_ps_dnn_150_car_10_n02814533_85659.png
barlow_twins,1,179,NaN,boat,car,150,0179_ps_dnn_150_car_10_n02814533_87140.png
barlow_twins,1,180,NaN,oven,keyboard,30,0180_ps_dnn_30_keyboard_10_n03085013_7520.png
barlow_twins,1,181,NaN,knife,dog,90,0181_ps_dnn_90_dog_10_n02112018_10082.png
barlow_twins,1,182,NaN,elephant,bear,90,0182_ps_dnn_90_bear_10_n02134084_5733.png
barlow_twins,1,183,NaN,elephant,cat,90,0183_ps_dnn_90_cat_10_n02123597_3821.png
barlow_twins,1,184,NaN,clock,boat,120,0184_ps_dnn_120_boat_10_n04612504_15256.png
barlow_twins,1,185,NaN,clock,car,90,0185_ps_dnn_90_car_10_n02814533_84296.png
barlow_twins,1,186,NaN,clock,clock,120,0186_ps_dnn_120_clock_10_n04548280_5295.png
barlow_twins,1,187,NaN,bottle,airplane,30,0187_ps_dnn_30_airplane_10_n02690373_11799.png
barlow_twins,1,188,NaN,oven,dog,120,0188_ps_dnn_120_dog_10_n02092002_9876.png
barlow_twins,1,189,NaN,elephant,chair,0,0189_ps_dnn_0_chair_10_n02791124_16885.png
barlow_twins,1,190,NaN,knife,airplane,60,0190_ps_dnn_60_airplane_10_n02690373_9376.png
barlow_twins,1,191,NaN,knife,oven,180,0191_ps_dnn_180_oven_10_n04111531_6474.png
barlow_twins,1,192,NaN,bicycle,knife,180,0192_ps_dnn_180_knife_10_n03041632_44230.png
barlow_twins,1,193,NaN,oven,dog,180,0193_ps_dnn_180_dog_10_n02099601_6318.png
barlow_twins,1,194,NaN,knife,cat,150,0194_ps_dnn_150_cat_10_n02125311_20241.png
barlow_twins,1,195,NaN,bottle,truck,120,0195_ps_dnn_120_truck_10_n04467665_51397.png
barlow_twins,1,196,NaN,keyboard,dog,0,0196_ps_dnn_0_dog_10_n02104365_1500.png
barlow_twins,1,197,NaN,bottle,knife,90,0197_ps_dnn_90_knife_10_n03041632_3171.png
barlow_twins,1,198,NaN,airplane,oven,60,0198_ps_dnn_60_oven_10_n04111531_249.png
barlow_twins,1,199,NaN,knife,bear,90,0199_ps_dnn_90_bear_10_n02133161_8856.png
barlow_twins,1,200,NaN,knife,cat,0,0200_ps_dnn_0_cat_10_n02123045_13354.png
barlow_twins,1,201,NaN,chair,keyboard,120,0201_ps_dnn_120_keyboard_10_n03085013_23267.png
barlow_twins,1,202,NaN,keyboard,truck,30,0202_ps_dnn_30_truck_10_n03796401_22643.png
barlow_twins,1,203,NaN,knife,elephant,180,0203_ps_dnn_180_elephant_10_n02504458_4572.png
barlow_twins,1,204,NaN,knife,truck,180,0204_ps_dnn_180_truck_10_n04467665_23173.png
barlow_twins,1,205,NaN,knife,bear,180,0205_ps_dnn_180_bear_10_n02134418_25040.png
barlow_twins,1,206,NaN,clock,bicycle,60,0206_ps_dnn_60_bicycle_10_n02835271_21185.png
barlow_twins,1,207,NaN,car,boat,30,0207_ps_dnn_30_boat_10_n02951358_12664.png
barlow_twins,1,208,NaN,oven,bottle,30,0208_ps_dnn_30_bottle_10_n03983396_11519.png
barlow_twins,1,209,NaN,knife,knife,120,0209_ps_dnn_120_knife_10_n03041632_36280.png
barlow_twins,1,210,NaN,clock,truck,60,0210_ps_dnn_60_truck_10_n04467665_67115.png
barlow_twins,1,211,NaN,clock,bear,30,0211_ps_dnn_30_bear_10_n02133161_1560.png
barlow_twins,1,212,NaN,clock,truck,180,0212_ps_dnn_180_truck_10_n03417042_6780.png
barlow_twins,1,213,NaN,knife,bear,150,0213_ps_dnn_150_bear_10_n02134084_20261.png
barlow_twins,1,214,NaN,knife,chair,180,0214_ps_dnn_180_chair_10_n03376595_8377.png
barlow_twins,1,215,NaN,knife,bird,180,0215_ps_dnn_180_bird_10_n01824575_3556.png
barlow_twins,1,216,NaN,clock,chair,90,0216_ps_dnn_90_chair_10_n04099969_36004.png
barlow_twins,1,217,NaN,airplane,bicycle,0,0217_ps_dnn_0_bicycle_10_n02835271_22549.png
barlow_twins,1,218,NaN,clock,clock,150,0218_ps_dnn_150_clock_10_n04548280_8535.png
barlow_twins,1,219,NaN,clock,knife,120,0219_ps_dnn_120_knife_10_n03041632_14546.png
barlow_twins,1,220,NaN,knife,keyboard,0,0220_ps_dnn_0_keyboard_10_n04505470_4974.png
barlow_twins,1,221,NaN,knife,clock,0,0221_ps_dnn_0_clock_10_n04548280_487.png
barlow_twins,1,222,NaN,knife,truck,30,0222_ps_dnn_30_truck_10_n03417042_10401.png
barlow_twins,1,223,NaN,bear,clock,180,0223_ps_dnn_180_clock_10_n03196217_6257.png
barlow_twins,1,224,NaN,clock,elephant,120,0224_ps_dnn_120_elephant_10_n02504458_1698.png
barlow_twins,1,225,NaN,knife,keyboard,180,0225_ps_dnn_180_keyboard_10_n03085013_23014.png
barlow_twins,1,226,NaN,elephant,cat,60,0226_ps_dnn_60_cat_10_n02125311_17002.png
barlow_twins,1,227,NaN,knife,boat,180,0227_ps_dnn_180_boat_10_n03344393_5566.png
barlow_twins,1,228,NaN,knife,bicycle,150,0228_ps_dnn_150_bicycle_10_n02835271_4887.png
barlow_twins,1,229,NaN,clock,keyboard,120,0229_ps_dnn_120_keyboard_10_n04505470_8386.png
barlow_twins,1,230,NaN,elephant,bear,120,0230_ps_dnn_120_bear_10_n02133161_361.png
barlow_twins,1,231,NaN,knife,bottle,0,0231_ps_dnn_0_bottle_10_n04560804_2165.png
barlow_twins,1,232,NaN,knife,cat,150,0232_ps_dnn_150_cat_10_n02124075_14020.png
barlow_twins,1,233,NaN,bottle,clock,150,0233_ps_dnn_150_clock_10_n04548280_3301.png
barlow_twins,1,234,NaN,knife,knife,180,0234_ps_dnn_180_knife_10_n03041632_5820.png
barlow_twins,1,235,NaN,clock,oven,120,0235_ps_dnn_120_oven_10_n04111531_2922.png
barlow_twins,1,236,NaN,elephant,bear,120,0236_ps_dnn_120_bear_10_n02134084_7441.png
barlow_twins,1,237,NaN,clock,airplane,150,0237_ps_dnn_150_airplane_10_n02690373_8252.png
barlow_twins,1,238,NaN,bicycle,bird,150,0238_ps_dnn_150_bird_10_n02018207_69.png
barlow_twins,1,239,NaN,keyboard,bird,30,0239_ps_dnn_30_bird_10_n01798484_5355.png
barlow_twins,1,240,NaN,truck,keyboard,150,0240_ps_dnn_150_keyboard_10_n03085013_4999.png
barlow_twins,1,241,NaN,elephant,dog,120,0241_ps_dnn_120_dog_10_n02111500_3041.png
barlow_twins,1,242,NaN,knife,boat,0,0242_ps_dnn_0_boat_10_n04612504_15237.png
barlow_twins,1,243,NaN,knife,truck,150,0243_ps_dnn_150_truck_10_n03417042_6480.png
barlow_twins,1,244,NaN,knife,airplane,180,0244_ps_dnn_180_airplane_10_n02690373_8382.png
barlow_twins,1,245,NaN,oven,bottle,120,0245_ps_dnn_120_bottle_10_n04591713_2345.png
barlow_twins,1,246,NaN,clock,elephant,60,0246_ps_dnn_60_elephant_10_n02504458_9516.png
barlow_twins,1,247,NaN,knife,elephant,180,0247_ps_dnn_180_elephant_10_n02504013_698.png
barlow_twins,1,248,NaN,car,bear,0,0248_ps_dnn_0_bear_10_n02133161_5292.png
barlow_twins,1,249,NaN,clock,boat,90,0249_ps_dnn_90_boat_10_n02951358_14341.png
barlow_twins,1,250,NaN,knife,bear,120,0250_ps_dnn_120_bear_10_n02133161_2304.png
barlow_twins,1,251,NaN,knife,airplane,150,0251_ps_dnn_150_airplane_10_n02690373_1751.png
barlow_twins,1,252,NaN,knife,truck,150,0252_ps_dnn_150_truck_10_n04467665_48953.png
barlow_twins,1,253,NaN,oven,oven,0,0253_ps_dnn_0_oven_10_n04111531_10077.png
barlow_twins,1,254,NaN,oven,dog,150,0254_ps_dnn_150_dog_10_n02097209_821.png
barlow_twins,1,255,NaN,knife,truck,0,0255_ps_dnn_0_truck_10_n04467665_13231.png
barlow_twins,1,256,NaN,cat,dog,90,0256_ps_dnn_90_dog_10_n02107908_3447.png
barlow_twins,1,257,NaN,knife,elephant,180,0257_ps_dnn_180_elephant_10_n02504013_5021.png
barlow_twins,1,258,NaN,clock,knife,90,0258_ps_dnn_90_knife_10_n03041632_12242.png
barlow_twins,1,259,NaN,clock,keyboard,150,0259_ps_dnn_150_keyboard_10_n03085013_22821.png
barlow_twins,1,260,NaN,knife,cat,150,0260_ps_dnn_150_cat_10_n02124075_2080.png
barlow_twins,1,261,NaN,bicycle,bicycle,180,0261_ps_dnn_180_bicycle_10_n02835271_7296.png
barlow_twins,1,262,NaN,clock,boat,180,0262_ps_dnn_180_boat_10_n04612504_4302.png
barlow_twins,1,263,NaN,knife,clock,150,0263_ps_dnn_150_clock_10_n04548280_4524.png
barlow_twins,1,264,NaN,boat,knife,150,0264_ps_dnn_150_knife_10_n03041632_19275.png
barlow_twins,1,265,NaN,boat,bird,30,0265_ps_dnn_30_bird_10_n01796340_2973.png
barlow_twins,1,266,NaN,bottle,chair,90,0266_ps_dnn_90_chair_10_n02791124_15407.png
barlow_twins,1,267,NaN,knife,dog,30,0267_ps_dnn_30_dog_10_n02109525_72594.png
barlow_twins,1,268,NaN,clock,knife,150,0268_ps_dnn_150_knife_10_n03041632_19614.png
barlow_twins,1,269,NaN,oven,keyboard,30,0269_ps_dnn_30_keyboard_10_n04505470_5111.png
barlow_twins,1,270,NaN,clock,bicycle,30,0270_ps_dnn_30_bicycle_10_n03792782_8374.png
barlow_twins,1,271,NaN,bottle,boat,120,0271_ps_dnn_120_boat_10_n04612504_2024.png
