subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,bird,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
mlp_mixer_b_in21,1,2,NaN,car,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
mlp_mixer_b_in21,1,3,NaN,dog,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
mlp_mixer_b_in21,1,4,NaN,dog,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
mlp_mixer_b_in21,1,5,NaN,truck,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
mlp_mixer_b_in21,1,6,NaN,bird,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
mlp_mixer_b_in21,1,7,NaN,cat,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
mlp_mixer_b_in21,1,8,NaN,car,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
mlp_mixer_b_in21,1,9,NaN,dog,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
mlp_mixer_b_in21,1,10,NaN,bird,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
mlp_mixer_b_in21,1,11,NaN,dog,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
mlp_mixer_b_in21,1,12,NaN,truck,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
mlp_mixer_b_in21,1,13,NaN,bird,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
mlp_mixer_b_in21,1,14,NaN,car,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
mlp_mixer_b_in21,1,15,NaN,car,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
mlp_mixer_b_in21,1,16,NaN,dog,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
mlp_mixer_b_in21,1,17,NaN,dog,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
mlp_mixer_b_in21,1,18,NaN,car,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
mlp_mixer_b_in21,1,19,NaN,truck,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
mlp_mixer_b_in21,1,20,NaN,bear,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
mlp_mixer_b_in21,1,21,NaN,dog,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
mlp_mixer_b_in21,1,22,NaN,car,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
mlp_mixer_b_in21,1,23,NaN,bird,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
mlp_mixer_b_in21,1,24,NaN,bird,bear,60,0024_ps_dnn_60_bear_10_n02134418_5971.png
mlp_mixer_b_in21,1,25,NaN,cat,dog,90,0025_ps_dnn_90_dog_10_n02110063_16680.png
mlp_mixer_b_in21,1,26,NaN,cat,car,90,0026_ps_dnn_90_car_10_n03100240_6010.png
mlp_mixer_b_in21,1,27,NaN,bird,elephant,30,0027_ps_dnn_30_elephant_10_n02504458_9835.png
mlp_mixer_b_in21,1,28,NaN,chair,airplane,30,0028_ps_dnn_30_airplane_10_n02690373_10207.png
mlp_mixer_b_in21,1,29,NaN,cat,bottle,180,0029_ps_dnn_180_bottle_10_n03983396_5532.png
