subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,knife,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
swin_base,1,2,NaN,elephant,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
swin_base,1,3,NaN,dog,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
swin_base,1,4,NaN,dog,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
swin_base,1,5,NaN,car,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
swin_base,1,6,NaN,bird,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
swin_base,1,7,NaN,dog,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
swin_base,1,8,NaN,clock,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
swin_base,1,9,NaN,dog,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
swin_base,1,10,NaN,bird,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
swin_base,1,11,NaN,dog,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
swin_base,1,12,NaN,keyboard,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
swin_base,1,13,NaN,elephant,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
swin_base,1,14,NaN,elephant,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
swin_base,1,15,NaN,elephant,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
swin_base,1,16,NaN,dog,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
swin_base,1,17,NaN,dog,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
swin_base,1,18,NaN,oven,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
swin_base,1,19,NaN,knife,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
swin_base,1,20,NaN,dog,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
swin_base,1,21,NaN,dog,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
swin_base,1,22,NaN,car,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
swin_base,1,23,NaN,elephant,boat,60,0023_ps_dnn_60_boat_10_n04612504_14699.png
