subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,keyboard,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png
barlow_twins,1,2,NaN,elephant,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png
barlow_twins,1,3,NaN,elephant,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png
barlow_twins,1,4,NaN,knife,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png
barlow_twins,1,5,NaN,elephant,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png
barlow_twins,1,6,NaN,knife,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png
barlow_twins,1,7,NaN,oven,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png
barlow_twins,1,8,NaN,clock,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png
barlow_twins,1,9,NaN,cat,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png
barlow_twins,1,10,NaN,elephant,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png
barlow_twins,1,11,NaN,knife,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png
barlow_twins,1,12,NaN,car,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png
barlow_twins,1,13,NaN,knife,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png
barlow_twins,1,14,NaN,elephant,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png
barlow_twins,1,15,NaN,chair,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png
barlow_twins,1,16,NaN,elephant,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png
barlow_twins,1,17,NaN,elephant,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png
barlow_twins,1,18,NaN,keyboard,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png
barlow_twins,1,19,NaN,knife,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png
barlow_twins,1,20,NaN,knife,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png
barlow_twins,1,21,NaN,keyboard,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png
barlow_twins,1,22,NaN,elephant,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png
barlow_twins,1,23,NaN,elephant,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png
barlow_twins,1,24,NaN,airplane,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png
barlow_twins,1,25,NaN,keyboard,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png
barlow_twins,1,26,NaN,elephant,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png
barlow_twins,1,27,NaN,oven,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png
barlow_twins,1,28,NaN,knife,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png
barlow_twins,1,29,NaN,elephant,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png
barlow_twins,1,30,NaN,chair,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png
barlow_twins,1,31,NaN,oven,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png
barlow_twins,1,32,NaN,elephant,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png
barlow_twins,1,33,NaN,oven,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png
barlow_twins,1,34,NaN,oven,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png
barlow_twins,1,35,NaN,knife,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png
barlow_twins,1,36,NaN,knife,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png
barlow_twins,1,37,NaN,knife,chair,0,0037_pow_dnn_0_chair_35_n04099969_16079.png
barlow_twins,1,38,NaN,oven,bicycle,0,0038_pow_dnn_0_bicycle_35_n02835271_3027.png
barlow_twins,1,39,NaN,truck,airplane,0,0039_pow_dnn_0_airplane_35_n02690373_6614.png
barlow_twins,1,40,NaN,elephant,chair,pow,0040_pow_dnn_pow_chair_35_n03376595_9048.png
barlow_twins,1,41,NaN,keyboard,oven,0,0041_pow_dnn_0_oven_35_n04111531_6094.png
barlow_twins,1,42,NaN,elephant,clock,pow,0042_pow_dnn_pow_clock_35_n02708093_687.png
barlow_twins,1,43,NaN,clock,bicycle,pow,0043_pow_dnn_pow_bicycle_35_n03792782_14931.png
barlow_twins,1,44,NaN,knife,bottle,0,0044_pow_dnn_0_bottle_35_n03937543_5567.png
barlow_twins,1,45,NaN,oven,car,0,0045_pow_dnn_0_car_35_n03100240_3073.png
barlow_twins,1,46,NaN,bear,knife,0,0046_pow_dnn_0_knife_35_n03041632_18236.png
barlow_twins,1,47,NaN,elephant,knife,pow,0047_pow_dnn_pow_knife_35_n03041632_9302.png
barlow_twins,1,48,NaN,knife,bear,0,0048_pow_dnn_0_bear_35_n02134418_2590.png
barlow_twins,1,49,NaN,knife,bottle,0,0049_pow_dnn_0_bottle_35_n03983396_24837.png
barlow_twins,1,50,NaN,knife,knife,pow,0050_pow_dnn_pow_knife_35_n03041632_3617.png
barlow_twins,1,51,NaN,knife,bicycle,pow,0051_pow_dnn_pow_bicycle_35_n03792782_6735.png
barlow_twins,1,52,NaN,keyboard,car,0,0052_pow_dnn_0_car_35_n03100240_5387.png
barlow_twins,1,53,NaN,oven,bottle,0,0053_pow_dnn_0_bottle_35_n03983396_4879.png
barlow_twins,1,54,NaN,clock,car,0,0054_pow_dnn_0_car_35_n03100240_6103.png
barlow_twins,1,55,NaN,knife,bird,pow,0055_pow_dnn_pow_bird_35_n01796340_9255.png
barlow_twins,1,56,NaN,clock,cat,pow,0056_pow_dnn_pow_cat_35_n02123394_2448.png
barlow_twins,1,57,NaN,knife,car,0,0057_pow_dnn_0_car_35_n04285008_13174.png
barlow_twins,1,58,NaN,elephant,chair,pow,0058_pow_dnn_pow_chair_35_n04429376_353.png
barlow_twins,1,59,NaN,bottle,boat,pow,0059_pow_dnn_pow_boat_35_n02951358_16261.png
barlow_twins,1,60,NaN,elephant,car,pow,0060_pow_dnn_pow_car_35_n04285008_15954.png
barlow_twins,1,61,NaN,knife,truck,pow,0061_pow_dnn_pow_truck_35_n04467665_3411.png
barlow_twins,1,62,NaN,airplane,oven,pow,0062_pow_dnn_pow_oven_35_n04111531_15743.png
barlow_twins,1,63,NaN,elephant,dog,0,0063_pow_dnn_0_dog_35_n02088238_8653.png
barlow_twins,1,64,NaN,knife,airplane,0,0064_pow_dnn_0_airplane_35_n02690373_4681.png
barlow_twins,1,65,NaN,elephant,bear,pow,0065_pow_dnn_pow_bear_35_n02134418_5684.png
barlow_twins,1,66,NaN,elephant,bear,pow,0066_pow_dnn_pow_bear_35_n02134418_5830.png
barlow_twins,1,67,NaN,knife,truck,0,0067_pow_dnn_0_truck_35_n04467665_45983.png
barlow_twins,1,68,NaN,knife,bird,0,0068_pow_dnn_0_bird_35_n01795545_14302.png
barlow_twins,1,69,NaN,knife,oven,pow,0069_pow_dnn_pow_oven_35_n04111531_19240.png
barlow_twins,1,70,NaN,keyboard,knife,0,0070_pow_dnn_0_knife_35_n03041632_22241.png
barlow_twins,1,71,NaN,elephant,boat,pow,0071_pow_dnn_pow_boat_35_n03344393_815.png
barlow_twins,1,72,NaN,oven,boat,0,0072_pow_dnn_0_boat_35_n03662601_2120.png
barlow_twins,1,73,NaN,elephant,knife,pow,0073_pow_dnn_pow_knife_35_n03041632_2438.png
barlow_twins,1,74,NaN,elephant,bear,pow,0074_pow_dnn_pow_bear_35_n02134418_3073.png
barlow_twins,1,75,NaN,clock,bottle,pow,0075_pow_dnn_pow_bottle_35_n02823428_3328.png
barlow_twins,1,76,NaN,car,car,pow,0076_pow_dnn_pow_car_35_n04285008_13259.png
barlow_twins,1,77,NaN,elephant,oven,0,0077_pow_dnn_0_oven_35_n04111531_15852.png
barlow_twins,1,78,NaN,keyboard,dog,pow,0078_pow_dnn_pow_dog_35_n02099601_447.png
barlow_twins,1,79,NaN,elephant,oven,pow,0079_pow_dnn_pow_oven_35_n04111531_18916.png
barlow_twins,1,80,NaN,bottle,bottle,pow,0080_pow_dnn_pow_bottle_35_n04591713_1407.png
barlow_twins,1,81,NaN,knife,oven,0,0081_pow_dnn_0_oven_35_n04111531_4585.png
barlow_twins,1,82,NaN,knife,keyboard,pow,0082_pow_dnn_pow_keyboard_35_n03085013_8364.png
barlow_twins,1,83,NaN,elephant,bear,pow,0083_pow_dnn_pow_bear_35_n02132136_15462.png
barlow_twins,1,84,NaN,clock,bicycle,pow,0084_pow_dnn_pow_bicycle_35_n03792782_4167.png
barlow_twins,1,85,NaN,airplane,boat,0,0085_pow_dnn_0_boat_35_n03662601_16106.png
barlow_twins,1,86,NaN,truck,keyboard,pow,0086_pow_dnn_pow_keyboard_35_n03085013_2277.png
barlow_twins,1,87,NaN,bottle,airplane,pow,0087_pow_dnn_pow_airplane_35_n02690373_8461.png
barlow_twins,1,88,NaN,elephant,chair,pow,0088_pow_dnn_pow_chair_35_n03376595_3304.png
barlow_twins,1,89,NaN,clock,bicycle,0,0089_pow_dnn_0_bicycle_35_n03792782_19116.png
barlow_twins,1,90,NaN,truck,clock,0,0090_pow_dnn_0_clock_35_n02708093_6734.png
barlow_twins,1,91,NaN,oven,chair,0,0091_pow_dnn_0_chair_35_n04429376_6480.png
barlow_twins,1,92,NaN,car,bicycle,pow,0092_pow_dnn_pow_bicycle_35_n02835271_21339.png
barlow_twins,1,93,NaN,oven,keyboard,pow,0093_pow_dnn_pow_keyboard_35_n03085013_3859.png
barlow_twins,1,94,NaN,bottle,chair,pow,0094_pow_dnn_pow_chair_35_n03376595_360.png
barlow_twins,1,95,NaN,elephant,elephant,pow,0095_pow_dnn_pow_elephant_35_n02504013_18988.png
barlow_twins,1,96,NaN,bottle,chair,0,0096_pow_dnn_0_chair_35_n04429376_54570.png
barlow_twins,1,97,NaN,knife,clock,pow,0097_pow_dnn_pow_clock_35_n04548280_5189.png
barlow_twins,1,98,NaN,elephant,truck,pow,0098_pow_dnn_pow_truck_35_n04467665_6626.png
barlow_twins,1,99,NaN,airplane,boat,0,0099_pow_dnn_0_boat_35_n03344393_3323.png
barlow_twins,1,100,NaN,knife,dog,pow,0100_pow_dnn_pow_dog_35_n02100583_3987.png
barlow_twins,1,101,NaN,elephant,elephant,pow,0101_pow_dnn_pow_elephant_35_n02504013_1702.png
barlow_twins,1,102,NaN,elephant,truck,pow,0102_pow_dnn_pow_truck_35_n03417042_1841.png
barlow_twins,1,103,NaN,knife,truck,0,0103_pow_dnn_0_truck_35_n03417042_2062.png
barlow_twins,1,104,NaN,airplane,bottle,0,0104_pow_dnn_0_bottle_35_n03983396_4178.png
barlow_twins,1,105,NaN,bottle,keyboard,pow,0105_pow_dnn_pow_keyboard_35_n03085013_1698.png
barlow_twins,1,106,NaN,bottle,car,pow,0106_pow_dnn_pow_car_35_n03100240_7056.png
barlow_twins,1,107,NaN,elephant,dog,pow,0107_pow_dnn_pow_dog_35_n02100735_3553.png
barlow_twins,1,108,NaN,elephant,oven,pow,0108_pow_dnn_pow_oven_35_n04111531_11781.png
barlow_twins,1,109,NaN,elephant,cat,0,0109_pow_dnn_0_cat_35_n02123159_4914.png
barlow_twins,1,110,NaN,boat,dog,0,0110_pow_dnn_0_dog_35_n02090622_1852.png
barlow_twins,1,111,NaN,clock,car,pow,0111_pow_dnn_pow_car_35_n03100240_24471.png
barlow_twins,1,112,NaN,car,boat,pow,0112_pow_dnn_pow_boat_35_n03344393_3519.png
barlow_twins,1,113,NaN,oven,keyboard,pow,0113_pow_dnn_pow_keyboard_35_n03085013_22713.png
barlow_twins,1,114,NaN,knife,elephant,0,0114_pow_dnn_0_elephant_35_n02504013_6615.png
barlow_twins,1,115,NaN,oven,cat,0,0115_pow_dnn_0_cat_35_n02123597_7081.png
barlow_twins,1,116,NaN,knife,clock,pow,0116_pow_dnn_pow_clock_35_n04548280_5406.png
barlow_twins,1,117,NaN,elephant,bottle,0,0117_pow_dnn_0_bottle_35_n03983396_21920.png
barlow_twins,1,118,NaN,elephant,knife,0,0118_pow_dnn_0_knife_35_n03041632_48675.png
barlow_twins,1,119,NaN,keyboard,cat,0,0119_pow_dnn_0_cat_35_n02125311_2103.png
barlow_twins,1,120,NaN,knife,bird,pow,0120_pow_dnn_pow_bird_35_n01798484_962.png
barlow_twins,1,121,NaN,elephant,oven,pow,0121_pow_dnn_pow_oven_35_n04111531_6393.png
barlow_twins,1,122,NaN,oven,oven,0,0122_pow_dnn_0_oven_35_n04111531_4418.png
barlow_twins,1,123,NaN,knife,truck,pow,0123_pow_dnn_pow_truck_35_n03796401_296.png
barlow_twins,1,124,NaN,keyboard,bicycle,0,0124_pow_dnn_0_bicycle_35_n02835271_10738.png
barlow_twins,1,125,NaN,elephant,elephant,0,0125_pow_dnn_0_elephant_35_n02504013_4457.png
barlow_twins,1,126,NaN,knife,knife,0,0126_pow_dnn_0_knife_35_n03041632_30573.png
barlow_twins,1,127,NaN,truck,boat,0,0127_pow_dnn_0_boat_35_n03662601_19840.png
barlow_twins,1,128,NaN,oven,bear,0,0128_pow_dnn_0_bear_35_n02133161_12167.png
barlow_twins,1,129,NaN,oven,bottle,0,0129_pow_dnn_0_bottle_35_n02823428_3028.png
barlow_twins,1,130,NaN,truck,boat,0,0130_pow_dnn_0_boat_35_n02951358_30149.png
barlow_twins,1,131,NaN,clock,car,0,0131_pow_dnn_0_car_35_n02814533_75419.png
barlow_twins,1,132,NaN,truck,keyboard,0,0132_pow_dnn_0_keyboard_35_n03085013_24449.png
barlow_twins,1,133,NaN,keyboard,dog,0,0133_pow_dnn_0_dog_35_n02086240_519.png
barlow_twins,1,134,NaN,elephant,bird,pow,0134_pow_dnn_pow_bird_35_n01582220_2882.png
barlow_twins,1,135,NaN,airplane,oven,0,0135_pow_dnn_0_oven_35_n04111531_13277.png
barlow_twins,1,136,NaN,elephant,bear,pow,0136_pow_dnn_pow_bear_35_n02134084_6901.png
barlow_twins,1,137,NaN,oven,bird,0,0137_pow_dnn_0_bird_35_n02002556_5447.png
barlow_twins,1,138,NaN,oven,keyboard,0,0138_pow_dnn_0_keyboard_35_n03085013_20710.png
barlow_twins,1,139,NaN,elephant,oven,pow,0139_pow_dnn_pow_oven_35_n04111531_11405.png
barlow_twins,1,140,NaN,knife,bear,pow,0140_pow_dnn_pow_bear_35_n02132136_8457.png
barlow_twins,1,141,NaN,knife,bird,pow,0141_pow_dnn_pow_bird_35_n02009912_6788.png
barlow_twins,1,142,NaN,elephant,chair,pow,0142_pow_dnn_pow_chair_35_n04429376_9630.png
barlow_twins,1,143,NaN,keyboard,keyboard,0,0143_pow_dnn_0_keyboard_35_n03085013_23658.png
barlow_twins,1,144,NaN,elephant,cat,pow,0144_pow_dnn_pow_cat_35_n02123045_13199.png
barlow_twins,1,145,NaN,knife,clock,pow,0145_pow_dnn_pow_clock_35_n04548280_6411.png
barlow_twins,1,146,NaN,knife,bird,0,0146_pow_dnn_0_bird_35_n01820546_9729.png
barlow_twins,1,147,NaN,knife,boat,0,0147_pow_dnn_0_boat_35_n04273569_12651.png
barlow_twins,1,148,NaN,elephant,elephant,pow,0148_pow_dnn_pow_elephant_35_n02504458_3143.png
barlow_twins,1,149,NaN,keyboard,clock,0,0149_pow_dnn_0_clock_35_n03196217_9786.png
barlow_twins,1,150,NaN,airplane,chair,0,0150_pow_dnn_0_chair_35_n03376595_6652.png
barlow_twins,1,151,NaN,airplane,bottle,pow,0151_pow_dnn_pow_bottle_35_n03983396_2998.png
barlow_twins,1,152,NaN,oven,elephant,0,0152_pow_dnn_0_elephant_35_n02504458_5331.png
barlow_twins,1,153,NaN,elephant,car,0,0153_pow_dnn_0_car_35_n04285008_8052.png
barlow_twins,1,154,NaN,car,bottle,pow,0154_pow_dnn_pow_bottle_35_n04591713_3402.png
barlow_twins,1,155,NaN,car,bicycle,pow,0155_pow_dnn_pow_bicycle_35_n02835271_1701.png
barlow_twins,1,156,NaN,knife,bicycle,0,0156_pow_dnn_0_bicycle_35_n02835271_5196.png
barlow_twins,1,157,NaN,knife,elephant,pow,0157_pow_dnn_pow_elephant_35_n02504458_5444.png
barlow_twins,1,158,NaN,airplane,truck,0,0158_pow_dnn_0_truck_35_n03417042_3422.png
barlow_twins,1,159,NaN,elephant,dog,pow,0159_pow_dnn_pow_dog_35_n02088466_1537.png
barlow_twins,1,160,NaN,elephant,dog,pow,0160_pow_dnn_pow_dog_35_n02088632_1732.png
barlow_twins,1,161,NaN,airplane,truck,0,0161_pow_dnn_0_truck_35_n03796401_3326.png
barlow_twins,1,162,NaN,knife,boat,0,0162_pow_dnn_0_boat_35_n04273569_19796.png
barlow_twins,1,163,NaN,knife,keyboard,pow,0163_pow_dnn_pow_keyboard_35_n04505470_5125.png
barlow_twins,1,164,NaN,knife,cat,pow,0164_pow_dnn_pow_cat_35_n02123394_1817.png
barlow_twins,1,165,NaN,elephant,cat,pow,0165_pow_dnn_pow_cat_35_n02123159_7465.png
