subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,elephant,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png
mlp_mixer_b_in21,1,2,NaN,bird,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png
mlp_mixer_b_in21,1,3,NaN,bird,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png
mlp_mixer_b_in21,1,4,NaN,truck,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png
mlp_mixer_b_in21,1,5,NaN,cat,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png
mlp_mixer_b_in21,1,6,NaN,truck,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png
mlp_mixer_b_in21,1,7,NaN,dog,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png
mlp_mixer_b_in21,1,8,NaN,truck,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png
mlp_mixer_b_in21,1,9,NaN,car,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png
mlp_mixer_b_in21,1,10,NaN,bird,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png
mlp_mixer_b_in21,1,11,NaN,bicycle,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png
mlp_mixer_b_in21,1,12,NaN,car,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png
mlp_mixer_b_in21,1,13,NaN,chair,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png
mlp_mixer_b_in21,1,14,NaN,bird,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png
mlp_mixer_b_in21,1,15,NaN,dog,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png
mlp_mixer_b_in21,1,16,NaN,bird,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png
mlp_mixer_b_in21,1,17,NaN,dog,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png
mlp_mixer_b_in21,1,18,NaN,bird,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png
mlp_mixer_b_in21,1,19,NaN,dog,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png
mlp_mixer_b_in21,1,20,NaN,bird,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png
mlp_mixer_b_in21,1,21,NaN,bird,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png
mlp_mixer_b_in21,1,22,NaN,bird,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png
mlp_mixer_b_in21,1,23,NaN,bird,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png
mlp_mixer_b_in21,1,24,NaN,bird,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png
mlp_mixer_b_in21,1,25,NaN,bird,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png
mlp_mixer_b_in21,1,26,NaN,bird,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png
mlp_mixer_b_in21,1,27,NaN,car,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png
mlp_mixer_b_in21,1,28,NaN,bird,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png
mlp_mixer_b_in21,1,29,NaN,bird,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png
