subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,boat,clock,0,0001_pow_dnn_0_clock_35_n03196217_10246.png
swin_base,1,2,NaN,dog,dog,pow,0002_pow_dnn_pow_dog_35_n02091467_7264.png
swin_base,1,3,NaN,dog,chair,pow,0003_pow_dnn_pow_chair_35_n02791124_713.png
swin_base,1,4,NaN,oven,car,0,0004_pow_dnn_0_car_35_n02814533_35174.png
swin_base,1,5,NaN,chair,knife,pow,0005_pow_dnn_pow_knife_35_n03041632_46103.png
swin_base,1,6,NaN,bird,bicycle,0,0006_pow_dnn_0_bicycle_35_n03792782_11306.png
swin_base,1,7,NaN,clock,bird,0,0007_pow_dnn_0_bird_35_n02002556_3463.png
swin_base,1,8,NaN,bird,keyboard,pow,0008_pow_dnn_pow_keyboard_35_n03085013_22813.png
swin_base,1,9,NaN,car,bird,0,0009_pow_dnn_0_bird_35_n02025239_2961.png
swin_base,1,10,NaN,bird,boat,pow,0010_pow_dnn_pow_boat_35_n02951358_14504.png
swin_base,1,11,NaN,bottle,oven,0,0011_pow_dnn_0_oven_35_n04111531_19000.png
swin_base,1,12,NaN,chair,bird,0,0012_pow_dnn_0_bird_35_n01614925_11281.png
swin_base,1,13,NaN,truck,knife,0,0013_pow_dnn_0_knife_35_n03041632_52040.png
swin_base,1,14,NaN,dog,car,pow,0014_pow_dnn_pow_car_35_n03100240_14206.png
swin_base,1,15,NaN,car,bird,0,0015_pow_dnn_0_bird_35_n01817953_689.png
swin_base,1,16,NaN,elephant,chair,pow,0016_pow_dnn_pow_chair_35_n04099969_7934.png
swin_base,1,17,NaN,truck,knife,0,0017_pow_dnn_0_knife_35_n03041632_30196.png
swin_base,1,18,NaN,chair,car,0,0018_pow_dnn_0_car_35_n02814533_18077.png
swin_base,1,19,NaN,dog,cat,0,0019_pow_dnn_0_cat_35_n02123159_6927.png
swin_base,1,20,NaN,dog,bird,pow,0020_pow_dnn_pow_bird_35_n01855672_8550.png
swin_base,1,21,NaN,elephant,truck,0,0021_pow_dnn_0_truck_35_n03417042_17888.png
swin_base,1,22,NaN,bird,truck,pow,0022_pow_dnn_pow_truck_35_n04467665_45611.png
swin_base,1,23,NaN,bird,dog,pow,0023_pow_dnn_pow_dog_35_n02093256_1772.png
swin_base,1,24,NaN,dog,boat,pow,0024_pow_dnn_pow_boat_35_n03344393_6260.png
swin_base,1,25,NaN,bird,chair,0,0025_pow_dnn_0_chair_35_n04429376_24073.png
swin_base,1,26,NaN,clock,knife,0,0026_pow_dnn_0_knife_35_n03041632_29355.png
swin_base,1,27,NaN,truck,clock,0,0027_pow_dnn_0_clock_35_n03196217_5907.png
swin_base,1,28,NaN,bicycle,airplane,0,0028_pow_dnn_0_airplane_35_n02690373_7276.png
swin_base,1,29,NaN,dog,bicycle,pow,0029_pow_dnn_pow_bicycle_35_n03792782_15561.png
swin_base,1,30,NaN,dog,cat,0,0030_pow_dnn_0_cat_35_n02123045_3505.png
swin_base,1,31,NaN,elephant,knife,0,0031_pow_dnn_0_knife_35_n03041632_34769.png
swin_base,1,32,NaN,chair,clock,pow,0032_pow_dnn_pow_clock_35_n03196217_5206.png
swin_base,1,33,NaN,oven,truck,0,0033_pow_dnn_0_truck_35_n04467665_58815.png
swin_base,1,34,NaN,truck,bird,0,0034_pow_dnn_0_bird_35_n01616318_2186.png
swin_base,1,35,NaN,bird,bicycle,pow,0035_pow_dnn_pow_bicycle_35_n03792782_12885.png
swin_base,1,36,NaN,dog,airplane,pow,0036_pow_dnn_pow_airplane_35_n02690373_9264.png
swin_base,1,37,NaN,car,chair,0,0037_pow_dnn_0_chair_35_n04099969_16079.png
swin_base,1,38,NaN,bird,bicycle,0,0038_pow_dnn_0_bicycle_35_n02835271_3027.png
swin_base,1,39,NaN,car,airplane,0,0039_pow_dnn_0_airplane_35_n02690373_6614.png
swin_base,1,40,NaN,bird,chair,pow,0040_pow_dnn_pow_chair_35_n03376595_9048.png
swin_base,1,41,NaN,bird,oven,0,0041_pow_dnn_0_oven_35_n04111531_6094.png
swin_base,1,42,NaN,boat,clock,pow,0042_pow_dnn_pow_clock_35_n02708093_687.png
swin_base,1,43,NaN,bird,bicycle,pow,0043_pow_dnn_pow_bicycle_35_n03792782_14931.png
swin_base,1,44,NaN,oven,bottle,0,0044_pow_dnn_0_bottle_35_n03937543_5567.png
swin_base,1,45,NaN,oven,car,0,0045_pow_dnn_0_car_35_n03100240_3073.png
swin_base,1,46,NaN,bird,knife,0,0046_pow_dnn_0_knife_35_n03041632_18236.png
swin_base,1,47,NaN,dog,knife,pow,0047_pow_dnn_pow_knife_35_n03041632_9302.png
swin_base,1,48,NaN,dog,bear,0,0048_pow_dnn_0_bear_35_n02134418_2590.png
swin_base,1,49,NaN,keyboard,bottle,0,0049_pow_dnn_0_bottle_35_n03983396_24837.png
swin_base,1,50,NaN,knife,knife,pow,0050_pow_dnn_pow_knife_35_n03041632_3617.png
swin_base,1,51,NaN,bird,bicycle,pow,0051_pow_dnn_pow_bicycle_35_n03792782_6735.png
swin_base,1,52,NaN,car,car,0,0052_pow_dnn_0_car_35_n03100240_5387.png
swin_base,1,53,NaN,bicycle,bottle,0,0053_pow_dnn_0_bottle_35_n03983396_4879.png
swin_base,1,54,NaN,elephant,car,0,0054_pow_dnn_0_car_35_n03100240_6103.png
swin_base,1,55,NaN,car,bird,pow,0055_pow_dnn_pow_bird_35_n01796340_9255.png
swin_base,1,56,NaN,dog,cat,pow,0056_pow_dnn_pow_cat_35_n02123394_2448.png
swin_base,1,57,NaN,elephant,car,0,0057_pow_dnn_0_car_35_n04285008_13174.png
swin_base,1,58,NaN,oven,chair,pow,0058_pow_dnn_pow_chair_35_n04429376_353.png
swin_base,1,59,NaN,bird,boat,pow,0059_pow_dnn_pow_boat_35_n02951358_16261.png
swin_base,1,60,NaN,dog,car,pow,0060_pow_dnn_pow_car_35_n04285008_15954.png
swin_base,1,61,NaN,oven,truck,pow,0061_pow_dnn_pow_truck_35_n04467665_3411.png
swin_base,1,62,NaN,dog,oven,pow,0062_pow_dnn_pow_oven_35_n04111531_15743.png
swin_base,1,63,NaN,bird,dog,0,0063_pow_dnn_0_dog_35_n02088238_8653.png
swin_base,1,64,NaN,bicycle,airplane,0,0064_pow_dnn_0_airplane_35_n02690373_4681.png
swin_base,1,65,NaN,bird,bear,pow,0065_pow_dnn_pow_bear_35_n02134418_5684.png
swin_base,1,66,NaN,dog,bear,pow,0066_pow_dnn_pow_bear_35_n02134418_5830.png
