subj,session,trial,rt,object_response,category,condition,imagename
bagnet9,1,1,NaN,clock,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
bagnet9,1,2,NaN,car,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
bagnet9,1,3,NaN,bottle,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
bagnet9,1,4,NaN,truck,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
bagnet9,1,5,NaN,clock,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
bagnet9,1,6,NaN,dog,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
bagnet9,1,7,NaN,dog,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
bagnet9,1,8,NaN,truck,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
bagnet9,1,9,NaN,clock,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
bagnet9,1,10,NaN,truck,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
bagnet9,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
bagnet9,1,12,NaN,cat,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
bagnet9,1,13,NaN,cat,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
bagnet9,1,14,NaN,bottle,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
bagnet9,1,15,NaN,bottle,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
bagnet9,1,16,NaN,bottle,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
bagnet9,1,17,NaN,car,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
bagnet9,1,18,NaN,cat,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
bagnet9,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
bagnet9,1,20,NaN,clock,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
bagnet9,1,21,NaN,dog,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
bagnet9,1,22,NaN,elephant,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
bagnet9,1,23,NaN,clock,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
bagnet9,1,24,NaN,bottle,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
bagnet9,1,25,NaN,cat,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png
bagnet9,1,26,NaN,dog,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png
bagnet9,1,27,NaN,dog,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png
bagnet9,1,28,NaN,knife,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png
bagnet9,1,29,NaN,dog,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png
bagnet9,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png
bagnet9,1,31,NaN,dog,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png
bagnet9,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png
bagnet9,1,33,NaN,clock,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png
bagnet9,1,34,NaN,elephant,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png
bagnet9,1,35,NaN,chair,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png
bagnet9,1,36,NaN,boat,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png
bagnet9,1,37,NaN,truck,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png
bagnet9,1,38,NaN,bicycle,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png
bagnet9,1,39,NaN,knife,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png
bagnet9,1,40,NaN,bicycle,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png
bagnet9,1,41,NaN,bottle,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png
bagnet9,1,42,NaN,bird,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png
bagnet9,1,43,NaN,dog,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png
bagnet9,1,44,NaN,car,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png
bagnet9,1,45,NaN,clock,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png
bagnet9,1,46,NaN,chair,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png
bagnet9,1,47,NaN,cat,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png
bagnet9,1,48,NaN,keyboard,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png
bagnet9,1,49,NaN,bottle,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png
bagnet9,1,50,NaN,dog,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png
bagnet9,1,51,NaN,elephant,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png
bagnet9,1,52,NaN,clock,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png
bagnet9,1,53,NaN,truck,boat,90,0053_rot_dnn_90_boat_20_n02951358_15422.png
bagnet9,1,54,NaN,truck,car,270,0054_rot_dnn_270_car_20_n02814533_46458.png
bagnet9,1,55,NaN,car,car,0,0055_rot_dnn_0_car_20_n02814533_39547.png
bagnet9,1,56,NaN,boat,boat,180,0056_rot_dnn_180_boat_20_n04273569_6586.png
bagnet9,1,57,NaN,clock,clock,90,0057_rot_dnn_90_clock_20_n02708093_3394.png
bagnet9,1,58,NaN,keyboard,keyboard,180,0058_rot_dnn_180_keyboard_20_n03085013_25419.png
bagnet9,1,59,NaN,clock,bottle,180,0059_rot_dnn_180_bottle_20_n04557648_1871.png
bagnet9,1,60,NaN,chair,chair,90,0060_rot_dnn_90_chair_20_n04099969_6944.png
bagnet9,1,61,NaN,bird,boat,270,0061_rot_dnn_270_boat_20_n04273569_1495.png
bagnet9,1,62,NaN,chair,keyboard,90,0062_rot_dnn_90_keyboard_20_n03085013_7317.png
bagnet9,1,63,NaN,airplane,knife,90,0063_rot_dnn_90_knife_20_n03041632_7448.png
bagnet9,1,64,NaN,truck,truck,0,0064_rot_dnn_0_truck_20_n03417042_11000.png
bagnet9,1,65,NaN,bicycle,bird,0,0065_rot_dnn_0_bird_20_n01582220_8827.png
bagnet9,1,66,NaN,truck,airplane,270,0066_rot_dnn_270_airplane_20_n02690373_9247.png
bagnet9,1,67,NaN,cat,bear,270,0067_rot_dnn_270_bear_20_n02133161_14397.png
bagnet9,1,68,NaN,chair,oven,270,0068_rot_dnn_270_oven_20_n04111531_13560.png
bagnet9,1,69,NaN,cat,bear,180,0069_rot_dnn_180_bear_20_n02132136_545.png
bagnet9,1,70,NaN,elephant,cat,90,0070_rot_dnn_90_cat_20_n02125311_73072.png
bagnet9,1,71,NaN,elephant,bicycle,0,0071_rot_dnn_0_bicycle_20_n03792782_30530.png
bagnet9,1,72,NaN,chair,knife,90,0072_rot_dnn_90_knife_20_n03041632_4975.png
bagnet9,1,73,NaN,keyboard,dog,90,0073_rot_dnn_90_dog_20_n02107683_3120.png
bagnet9,1,74,NaN,dog,elephant,90,0074_rot_dnn_90_elephant_20_n02504013_7316.png
bagnet9,1,75,NaN,clock,truck,90,0075_rot_dnn_90_truck_20_n03796401_7284.png
bagnet9,1,76,NaN,chair,chair,270,0076_rot_dnn_270_chair_20_n03376595_497.png
bagnet9,1,77,NaN,oven,truck,270,0077_rot_dnn_270_truck_20_n03796401_19845.png
bagnet9,1,78,NaN,truck,chair,90,0078_rot_dnn_90_chair_20_n04099969_1941.png
bagnet9,1,79,NaN,clock,truck,90,0079_rot_dnn_90_truck_20_n03417042_28886.png
bagnet9,1,80,NaN,clock,car,0,0080_rot_dnn_0_car_20_n02814533_12185.png
bagnet9,1,81,NaN,clock,bicycle,90,0081_rot_dnn_90_bicycle_20_n02835271_1621.png
bagnet9,1,82,NaN,cat,cat,0,0082_rot_dnn_0_cat_20_n02123597_32226.png
bagnet9,1,83,NaN,elephant,bicycle,90,0083_rot_dnn_90_bicycle_20_n03792782_5048.png
bagnet9,1,84,NaN,airplane,airplane,0,0084_rot_dnn_0_airplane_20_n02690373_10044.png
bagnet9,1,85,NaN,car,car,180,0085_rot_dnn_180_car_20_n03100240_5752.png
bagnet9,1,86,NaN,bottle,car,90,0086_rot_dnn_90_car_20_n02814533_68219.png
bagnet9,1,87,NaN,airplane,airplane,0,0087_rot_dnn_0_airplane_20_n02690373_1171.png
bagnet9,1,88,NaN,oven,bird,90,0088_rot_dnn_90_bird_20_n01817953_6970.png
