subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,keyboard,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
barlow_twins,1,2,NaN,bottle,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
barlow_twins,1,3,NaN,elephant,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
barlow_twins,1,4,NaN,elephant,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
barlow_twins,1,5,NaN,elephant,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
barlow_twins,1,6,NaN,oven,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
barlow_twins,1,7,NaN,elephant,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
barlow_twins,1,8,NaN,knife,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
barlow_twins,1,9,NaN,airplane,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
barlow_twins,1,10,NaN,oven,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
barlow_twins,1,11,NaN,knife,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
barlow_twins,1,12,NaN,elephant,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
barlow_twins,1,13,NaN,keyboard,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
barlow_twins,1,14,NaN,keyboard,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
barlow_twins,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
barlow_twins,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
barlow_twins,1,17,NaN,bear,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
barlow_twins,1,18,NaN,airplane,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
barlow_twins,1,19,NaN,oven,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
barlow_twins,1,20,NaN,airplane,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
barlow_twins,1,21,NaN,elephant,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
barlow_twins,1,22,NaN,car,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
barlow_twins,1,23,NaN,bottle,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
barlow_twins,1,24,NaN,elephant,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
barlow_twins,1,25,NaN,oven,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png
barlow_twins,1,26,NaN,oven,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png
barlow_twins,1,27,NaN,elephant,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png
barlow_twins,1,28,NaN,keyboard,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png
barlow_twins,1,29,NaN,elephant,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png
barlow_twins,1,30,NaN,elephant,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png
barlow_twins,1,31,NaN,bear,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png
barlow_twins,1,32,NaN,oven,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png
barlow_twins,1,33,NaN,keyboard,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png
barlow_twins,1,34,NaN,oven,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png
barlow_twins,1,35,NaN,elephant,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png
barlow_twins,1,36,NaN,airplane,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png
barlow_twins,1,37,NaN,bottle,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png
barlow_twins,1,38,NaN,keyboard,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png
barlow_twins,1,39,NaN,keyboard,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png
barlow_twins,1,40,NaN,oven,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png
barlow_twins,1,41,NaN,elephant,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png
barlow_twins,1,42,NaN,elephant,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png
barlow_twins,1,43,NaN,bear,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png
barlow_twins,1,44,NaN,knife,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png
barlow_twins,1,45,NaN,elephant,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png
barlow_twins,1,46,NaN,oven,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png
barlow_twins,1,47,NaN,knife,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png
barlow_twins,1,48,NaN,knife,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png
barlow_twins,1,49,NaN,elephant,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png
