subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,bicycle,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
dino_v8,1,2,NaN,clock,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
dino_v8,1,3,NaN,elephant,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
dino_v8,1,4,NaN,oven,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
dino_v8,1,5,NaN,oven,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
dino_v8,1,6,NaN,elephant,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
dino_v8,1,7,NaN,elephant,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
dino_v8,1,8,NaN,elephant,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
dino_v8,1,9,NaN,oven,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
dino_v8,1,10,NaN,oven,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
dino_v8,1,11,NaN,keyboard,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
dino_v8,1,12,NaN,oven,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
dino_v8,1,13,NaN,airplane,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
dino_v8,1,14,NaN,cat,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
dino_v8,1,15,NaN,keyboard,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
dino_v8,1,16,NaN,car,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
dino_v8,1,17,NaN,keyboard,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
dino_v8,1,18,NaN,airplane,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
dino_v8,1,19,NaN,airplane,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
dino_v8,1,20,NaN,bicycle,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
dino_v8,1,21,NaN,knife,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
dino_v8,1,22,NaN,boat,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
dino_v8,1,23,NaN,bottle,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
dino_v8,1,24,NaN,bear,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
dino_v8,1,25,NaN,airplane,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png
dino_v8,1,26,NaN,keyboard,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png
dino_v8,1,27,NaN,keyboard,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png
dino_v8,1,28,NaN,elephant,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png
dino_v8,1,29,NaN,cat,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png
dino_v8,1,30,NaN,elephant,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png
dino_v8,1,31,NaN,airplane,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png
dino_v8,1,32,NaN,bottle,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png
dino_v8,1,33,NaN,oven,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png
dino_v8,1,34,NaN,keyboard,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png
dino_v8,1,35,NaN,bicycle,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png
dino_v8,1,36,NaN,bear,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png
dino_v8,1,37,NaN,bicycle,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png
dino_v8,1,38,NaN,cat,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png
dino_v8,1,39,NaN,keyboard,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png
dino_v8,1,40,NaN,car,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png
dino_v8,1,41,NaN,elephant,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png
dino_v8,1,42,NaN,elephant,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png
dino_v8,1,43,NaN,car,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png
dino_v8,1,44,NaN,keyboard,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png
dino_v8,1,45,NaN,bicycle,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png
dino_v8,1,46,NaN,bicycle,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png
dino_v8,1,47,NaN,oven,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png
dino_v8,1,48,NaN,bear,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png
dino_v8,1,49,NaN,bicycle,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png
dino_v8,1,50,NaN,cat,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png
dino_v8,1,51,NaN,cat,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png
dino_v8,1,52,NaN,cat,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png
dino_v8,1,53,NaN,bicycle,boat,90,0053_rot_dnn_90_boat_20_n02951358_15422.png
dino_v8,1,54,NaN,oven,car,270,0054_rot_dnn_270_car_20_n02814533_46458.png
dino_v8,1,55,NaN,airplane,car,0,0055_rot_dnn_0_car_20_n02814533_39547.png
dino_v8,1,56,NaN,airplane,boat,180,0056_rot_dnn_180_boat_20_n04273569_6586.png
dino_v8,1,57,NaN,elephant,clock,90,0057_rot_dnn_90_clock_20_n02708093_3394.png
dino_v8,1,58,NaN,bicycle,keyboard,180,0058_rot_dnn_180_keyboard_20_n03085013_25419.png
dino_v8,1,59,NaN,keyboard,bottle,180,0059_rot_dnn_180_bottle_20_n04557648_1871.png
dino_v8,1,60,NaN,bicycle,chair,90,0060_rot_dnn_90_chair_20_n04099969_6944.png
dino_v8,1,61,NaN,elephant,boat,270,0061_rot_dnn_270_boat_20_n04273569_1495.png
dino_v8,1,62,NaN,cat,keyboard,90,0062_rot_dnn_90_keyboard_20_n03085013_7317.png
dino_v8,1,63,NaN,keyboard,knife,90,0063_rot_dnn_90_knife_20_n03041632_7448.png
dino_v8,1,64,NaN,oven,truck,0,0064_rot_dnn_0_truck_20_n03417042_11000.png
dino_v8,1,65,NaN,cat,bird,0,0065_rot_dnn_0_bird_20_n01582220_8827.png
dino_v8,1,66,NaN,elephant,airplane,270,0066_rot_dnn_270_airplane_20_n02690373_9247.png
