subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_l_in21,1,1,NaN,bird,chair,0,0001_rot_dnn_0_chair_20_n03376595_3070.png
mlp_mixer_l_in21,1,2,NaN,chair,car,180,0002_rot_dnn_180_car_20_n02814533_29367.png
mlp_mixer_l_in21,1,3,NaN,chair,car,270,0003_rot_dnn_270_car_20_n02814533_31083.png
mlp_mixer_l_in21,1,4,NaN,bird,car,180,0004_rot_dnn_180_car_20_n03100240_1703.png
mlp_mixer_l_in21,1,5,NaN,oven,bottle,180,0005_rot_dnn_180_bottle_20_n04591713_2359.png
mlp_mixer_l_in21,1,6,NaN,bird,dog,90,0006_rot_dnn_90_dog_20_n02111500_8796.png
mlp_mixer_l_in21,1,7,NaN,bear,bear,180,0007_rot_dnn_180_bear_20_n02132136_4512.png
mlp_mixer_l_in21,1,8,NaN,chair,chair,90,0008_rot_dnn_90_chair_20_n03376595_4820.png
mlp_mixer_l_in21,1,9,NaN,bottle,bottle,270,0009_rot_dnn_270_bottle_20_n04591713_6111.png
mlp_mixer_l_in21,1,10,NaN,dog,bottle,270,0010_rot_dnn_270_bottle_20_n04560804_14111.png
mlp_mixer_l_in21,1,11,NaN,dog,dog,0,0011_rot_dnn_0_dog_20_n02099601_8656.png
mlp_mixer_l_in21,1,12,NaN,dog,cat,0,0012_rot_dnn_0_cat_20_n02125311_14054.png
mlp_mixer_l_in21,1,13,NaN,car,bear,0,0013_rot_dnn_0_bear_20_n02132136_10385.png
mlp_mixer_l_in21,1,14,NaN,elephant,bottle,90,0014_rot_dnn_90_bottle_20_n02823428_10417.png
mlp_mixer_l_in21,1,15,NaN,car,keyboard,0,0015_rot_dnn_0_keyboard_20_n03085013_23566.png
mlp_mixer_l_in21,1,16,NaN,oven,truck,90,0016_rot_dnn_90_truck_20_n03417042_12560.png
mlp_mixer_l_in21,1,17,NaN,bird,truck,180,0017_rot_dnn_180_truck_20_n04467665_69063.png
mlp_mixer_l_in21,1,18,NaN,clock,oven,180,0018_rot_dnn_180_oven_20_n04111531_9712.png
mlp_mixer_l_in21,1,19,NaN,car,oven,180,0019_rot_dnn_180_oven_20_n04111531_10375.png
mlp_mixer_l_in21,1,20,NaN,clock,keyboard,0,0020_rot_dnn_0_keyboard_20_n04505470_1744.png
mlp_mixer_l_in21,1,21,NaN,bird,boat,90,0021_rot_dnn_90_boat_20_n04273569_7296.png
mlp_mixer_l_in21,1,22,NaN,dog,dog,0,0022_rot_dnn_0_dog_20_n02101006_4807.png
mlp_mixer_l_in21,1,23,NaN,bird,clock,90,0023_rot_dnn_90_clock_20_n02708093_1986.png
mlp_mixer_l_in21,1,24,NaN,oven,bottle,0,0024_rot_dnn_0_bottle_20_n04560804_15562.png
mlp_mixer_l_in21,1,25,NaN,dog,cat,0,0025_rot_dnn_0_cat_20_n02124075_13594.png
mlp_mixer_l_in21,1,26,NaN,car,bear,90,0026_rot_dnn_90_bear_20_n02134418_4365.png
mlp_mixer_l_in21,1,27,NaN,knife,bear,180,0027_rot_dnn_180_bear_20_n02132136_8650.png
mlp_mixer_l_in21,1,28,NaN,bear,bird,90,0028_rot_dnn_90_bird_20_n02009912_12219.png
mlp_mixer_l_in21,1,29,NaN,bird,dog,90,0029_rot_dnn_90_dog_20_n02100236_1662.png
mlp_mixer_l_in21,1,30,NaN,clock,clock,90,0030_rot_dnn_90_clock_20_n04548280_1947.png
mlp_mixer_l_in21,1,31,NaN,clock,dog,270,0031_rot_dnn_270_dog_20_n02109047_66167.png
mlp_mixer_l_in21,1,32,NaN,clock,oven,90,0032_rot_dnn_90_oven_20_n04111531_21055.png
mlp_mixer_l_in21,1,33,NaN,bird,clock,0,0033_rot_dnn_0_clock_20_n02708093_2012.png
mlp_mixer_l_in21,1,34,NaN,dog,elephant,0,0034_rot_dnn_0_elephant_20_n02504458_6119.png
mlp_mixer_l_in21,1,35,NaN,dog,chair,0,0035_rot_dnn_0_chair_20_n04099969_12707.png
mlp_mixer_l_in21,1,36,NaN,car,keyboard,270,0036_rot_dnn_270_keyboard_20_n03085013_19054.png
mlp_mixer_l_in21,1,37,NaN,dog,chair,0,0037_rot_dnn_0_chair_20_n02791124_422.png
mlp_mixer_l_in21,1,38,NaN,bird,bicycle,0,0038_rot_dnn_0_bicycle_20_n02835271_23830.png
mlp_mixer_l_in21,1,39,NaN,truck,bird,90,0039_rot_dnn_90_bird_20_n01534433_14735.png
mlp_mixer_l_in21,1,40,NaN,car,bird,90,0040_rot_dnn_90_bird_20_n02011460_13994.png
mlp_mixer_l_in21,1,41,NaN,truck,boat,270,0041_rot_dnn_270_boat_20_n04273569_17522.png
mlp_mixer_l_in21,1,42,NaN,dog,bear,180,0042_rot_dnn_180_bear_20_n02132136_5537.png
mlp_mixer_l_in21,1,43,NaN,dog,bear,90,0043_rot_dnn_90_bear_20_n02132136_19248.png
mlp_mixer_l_in21,1,44,NaN,car,bird,270,0044_rot_dnn_270_bird_20_n01537544_1886.png
mlp_mixer_l_in21,1,45,NaN,elephant,clock,180,0045_rot_dnn_180_clock_20_n03196217_4776.png
mlp_mixer_l_in21,1,46,NaN,car,boat,270,0046_rot_dnn_270_boat_20_n04612504_17610.png
mlp_mixer_l_in21,1,47,NaN,dog,bear,90,0047_rot_dnn_90_bear_20_n02134418_1814.png
mlp_mixer_l_in21,1,48,NaN,car,keyboard,180,0048_rot_dnn_180_keyboard_20_n03085013_20330.png
mlp_mixer_l_in21,1,49,NaN,bird,bottle,180,0049_rot_dnn_180_bottle_20_n02823428_14574.png
mlp_mixer_l_in21,1,50,NaN,bird,bicycle,0,0050_rot_dnn_0_bicycle_20_n03792782_7105.png
mlp_mixer_l_in21,1,51,NaN,dog,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_1302.png
mlp_mixer_l_in21,1,52,NaN,dog,airplane,90,0052_rot_dnn_90_airplane_20_n02690373_3877.png
mlp_mixer_l_in21,1,53,NaN,bird,boat,90,0053_rot_dnn_90_boat_20_n02951358_15422.png
mlp_mixer_l_in21,1,54,NaN,oven,car,270,0054_rot_dnn_270_car_20_n02814533_46458.png
mlp_mixer_l_in21,1,55,NaN,elephant,car,0,0055_rot_dnn_0_car_20_n02814533_39547.png
mlp_mixer_l_in21,1,56,NaN,bird,boat,180,0056_rot_dnn_180_boat_20_n04273569_6586.png
mlp_mixer_l_in21,1,57,NaN,car,clock,90,0057_rot_dnn_90_clock_20_n02708093_3394.png
mlp_mixer_l_in21,1,58,NaN,oven,keyboard,180,0058_rot_dnn_180_keyboard_20_n03085013_25419.png
mlp_mixer_l_in21,1,59,NaN,oven,bottle,180,0059_rot_dnn_180_bottle_20_n04557648_1871.png
mlp_mixer_l_in21,1,60,NaN,bird,chair,90,0060_rot_dnn_90_chair_20_n04099969_6944.png
mlp_mixer_l_in21,1,61,NaN,bird,boat,270,0061_rot_dnn_270_boat_20_n04273569_1495.png
mlp_mixer_l_in21,1,62,NaN,dog,keyboard,90,0062_rot_dnn_90_keyboard_20_n03085013_7317.png
mlp_mixer_l_in21,1,63,NaN,bird,knife,90,0063_rot_dnn_90_knife_20_n03041632_7448.png
mlp_mixer_l_in21,1,64,NaN,dog,truck,0,0064_rot_dnn_0_truck_20_n03417042_11000.png
mlp_mixer_l_in21,1,65,NaN,truck,bird,0,0065_rot_dnn_0_bird_20_n01582220_8827.png
mlp_mixer_l_in21,1,66,NaN,bird,airplane,270,0066_rot_dnn_270_airplane_20_n02690373_9247.png
mlp_mixer_l_in21,1,67,NaN,dog,bear,270,0067_rot_dnn_270_bear_20_n02133161_14397.png
mlp_mixer_l_in21,1,68,NaN,car,oven,270,0068_rot_dnn_270_oven_20_n04111531_13560.png
mlp_mixer_l_in21,1,69,NaN,clock,bear,180,0069_rot_dnn_180_bear_20_n02132136_545.png
mlp_mixer_l_in21,1,70,NaN,car,cat,90,0070_rot_dnn_90_cat_20_n02125311_73072.png
mlp_mixer_l_in21,1,71,NaN,bird,bicycle,0,0071_rot_dnn_0_bicycle_20_n03792782_30530.png
mlp_mixer_l_in21,1,72,NaN,bird,knife,90,0072_rot_dnn_90_knife_20_n03041632_4975.png
mlp_mixer_l_in21,1,73,NaN,dog,dog,90,0073_rot_dnn_90_dog_20_n02107683_3120.png
mlp_mixer_l_in21,1,74,NaN,oven,elephant,90,0074_rot_dnn_90_elephant_20_n02504013_7316.png
mlp_mixer_l_in21,1,75,NaN,bird,truck,90,0075_rot_dnn_90_truck_20_n03796401_7284.png
mlp_mixer_l_in21,1,76,NaN,bird,chair,270,0076_rot_dnn_270_chair_20_n03376595_497.png
mlp_mixer_l_in21,1,77,NaN,bird,truck,270,0077_rot_dnn_270_truck_20_n03796401_19845.png
mlp_mixer_l_in21,1,78,NaN,bird,chair,90,0078_rot_dnn_90_chair_20_n04099969_1941.png
mlp_mixer_l_in21,1,79,NaN,oven,truck,90,0079_rot_dnn_90_truck_20_n03417042_28886.png
mlp_mixer_l_in21,1,80,NaN,elephant,car,0,0080_rot_dnn_0_car_20_n02814533_12185.png
mlp_mixer_l_in21,1,81,NaN,cat,bicycle,90,0081_rot_dnn_90_bicycle_20_n02835271_1621.png
mlp_mixer_l_in21,1,82,NaN,dog,cat,0,0082_rot_dnn_0_cat_20_n02123597_32226.png
mlp_mixer_l_in21,1,83,NaN,car,bicycle,90,0083_rot_dnn_90_bicycle_20_n03792782_5048.png
mlp_mixer_l_in21,1,84,NaN,bird,airplane,0,0084_rot_dnn_0_airplane_20_n02690373_10044.png
mlp_mixer_l_in21,1,85,NaN,car,car,180,0085_rot_dnn_180_car_20_n03100240_5752.png
mlp_mixer_l_in21,1,86,NaN,oven,car,90,0086_rot_dnn_90_car_20_n02814533_68219.png
mlp_mixer_l_in21,1,87,NaN,car,airplane,0,0087_rot_dnn_0_airplane_20_n02690373_1171.png
mlp_mixer_l_in21,1,88,NaN,car,bird,90,0088_rot_dnn_90_bird_20_n01817953_6970.png
mlp_mixer_l_in21,1,89,NaN,oven,car,90,0089_rot_dnn_90_car_20_n04285008_15503.png
mlp_mixer_l_in21,1,90,NaN,bird,boat,270,0090_rot_dnn_270_boat_20_n03344393_11886.png
mlp_mixer_l_in21,1,91,NaN,bird,boat,0,0091_rot_dnn_0_boat_20_n04273569_30203.png
mlp_mixer_l_in21,1,92,NaN,chair,keyboard,180,0092_rot_dnn_180_keyboard_20_n03085013_22069.png
mlp_mixer_l_in21,1,93,NaN,knife,knife,0,0093_rot_dnn_0_knife_20_n03041632_26314.png
mlp_mixer_l_in21,1,94,NaN,clock,bicycle,270,0094_rot_dnn_270_bicycle_20_n03792782_18308.png
mlp_mixer_l_in21,1,95,NaN,bird,car,180,0095_rot_dnn_180_car_20_n04285008_8396.png
mlp_mixer_l_in21,1,96,NaN,bird,bear,90,0096_rot_dnn_90_bear_20_n02133161_12349.png
mlp_mixer_l_in21,1,97,NaN,dog,bear,270,0097_rot_dnn_270_bear_20_n02132136_18303.png
mlp_mixer_l_in21,1,98,NaN,dog,cat,180,0098_rot_dnn_180_cat_20_n02123394_6853.png
mlp_mixer_l_in21,1,99,NaN,oven,cat,180,0099_rot_dnn_180_cat_20_n02123597_4805.png
mlp_mixer_l_in21,1,100,NaN,car,car,0,0100_rot_dnn_0_car_20_n03100240_17587.png
mlp_mixer_l_in21,1,101,NaN,car,bird,180,0101_rot_dnn_180_bird_20_n01601694_19236.png
mlp_mixer_l_in21,1,102,NaN,dog,cat,0,0102_rot_dnn_0_cat_20_n02123597_2341.png
mlp_mixer_l_in21,1,103,NaN,bird,elephant,270,0103_rot_dnn_270_elephant_20_n02504013_7883.png
mlp_mixer_l_in21,1,104,NaN,oven,chair,270,0104_rot_dnn_270_chair_20_n03376595_14240.png
mlp_mixer_l_in21,1,105,NaN,car,airplane,0,0105_rot_dnn_0_airplane_20_n02690373_10188.png
mlp_mixer_l_in21,1,106,NaN,bird,truck,90,0106_rot_dnn_90_truck_20_n03417042_8634.png
mlp_mixer_l_in21,1,107,NaN,elephant,knife,90,0107_rot_dnn_90_knife_20_n03041632_32774.png
mlp_mixer_l_in21,1,108,NaN,knife,bottle,90,0108_rot_dnn_90_bottle_20_n03983396_4115.png
mlp_mixer_l_in21,1,109,NaN,clock,clock,270,0109_rot_dnn_270_clock_20_n04548280_8552.png
mlp_mixer_l_in21,1,110,NaN,oven,car,0,0110_rot_dnn_0_car_20_n02814533_6233.png
mlp_mixer_l_in21,1,111,NaN,bird,elephant,0,0111_rot_dnn_0_elephant_20_n02504458_9870.png
mlp_mixer_l_in21,1,112,NaN,car,bicycle,270,0112_rot_dnn_270_bicycle_20_n02835271_3956.png
mlp_mixer_l_in21,1,113,NaN,car,knife,90,0113_rot_dnn_90_knife_20_n03041632_14817.png
mlp_mixer_l_in21,1,114,NaN,bird,chair,90,0114_rot_dnn_90_chair_20_n04099969_8642.png
mlp_mixer_l_in21,1,115,NaN,elephant,clock,0,0115_rot_dnn_0_clock_20_n02708093_240.png
mlp_mixer_l_in21,1,116,NaN,dog,bear,180,0116_rot_dnn_180_bear_20_n02133161_3896.png
mlp_mixer_l_in21,1,117,NaN,chair,bottle,270,0117_rot_dnn_270_bottle_20_n04557648_11000.png
mlp_mixer_l_in21,1,118,NaN,clock,keyboard,90,0118_rot_dnn_90_keyboard_20_n03085013_2853.png
mlp_mixer_l_in21,1,119,NaN,boat,boat,90,0119_rot_dnn_90_boat_20_n04273569_7097.png
mlp_mixer_l_in21,1,120,NaN,bird,bicycle,270,0120_rot_dnn_270_bicycle_20_n03792782_40932.png
mlp_mixer_l_in21,1,121,NaN,car,chair,270,0121_rot_dnn_270_chair_20_n04429376_44914.png
mlp_mixer_l_in21,1,122,NaN,dog,bear,180,0122_rot_dnn_180_bear_20_n02134418_2122.png
mlp_mixer_l_in21,1,123,NaN,dog,keyboard,90,0123_rot_dnn_90_keyboard_20_n03085013_22704.png
mlp_mixer_l_in21,1,124,NaN,bird,truck,0,0124_rot_dnn_0_truck_20_n03417042_6838.png
mlp_mixer_l_in21,1,125,NaN,dog,elephant,0,0125_rot_dnn_0_elephant_20_n02504458_3628.png
mlp_mixer_l_in21,1,126,NaN,dog,cat,90,0126_rot_dnn_90_cat_20_n02123597_10141.png
mlp_mixer_l_in21,1,127,NaN,bird,bicycle,0,0127_rot_dnn_0_bicycle_20_n02835271_6383.png
mlp_mixer_l_in21,1,128,NaN,bird,car,180,0128_rot_dnn_180_car_20_n04285008_7154.png
mlp_mixer_l_in21,1,129,NaN,truck,bird,0,0129_rot_dnn_0_bird_20_n02007558_1068.png
mlp_mixer_l_in21,1,130,NaN,dog,cat,90,0130_rot_dnn_90_cat_20_n02125311_1896.png
mlp_mixer_l_in21,1,131,NaN,oven,keyboard,0,0131_rot_dnn_0_keyboard_20_n04505470_1903.png
mlp_mixer_l_in21,1,132,NaN,bird,bicycle,90,0132_rot_dnn_90_bicycle_20_n03792782_66159.png
mlp_mixer_l_in21,1,133,NaN,dog,bear,90,0133_rot_dnn_90_bear_20_n02134418_5219.png
mlp_mixer_l_in21,1,134,NaN,chair,car,90,0134_rot_dnn_90_car_20_n02814533_92229.png
mlp_mixer_l_in21,1,135,NaN,car,dog,90,0135_rot_dnn_90_dog_20_n02090721_1002.png
mlp_mixer_l_in21,1,136,NaN,clock,truck,270,0136_rot_dnn_270_truck_20_n04467665_46263.png
mlp_mixer_l_in21,1,137,NaN,car,bottle,180,0137_rot_dnn_180_bottle_20_n03983396_704.png
mlp_mixer_l_in21,1,138,NaN,bird,truck,180,0138_rot_dnn_180_truck_20_n03796401_4149.png
mlp_mixer_l_in21,1,139,NaN,car,bird,0,0139_rot_dnn_0_bird_20_n02006656_2030.png
mlp_mixer_l_in21,1,140,NaN,dog,cat,90,0140_rot_dnn_90_cat_20_n02123394_234.png
mlp_mixer_l_in21,1,141,NaN,chair,chair,90,0141_rot_dnn_90_chair_20_n04429376_19916.png
