subj,session,trial,rt,object_response,category,condition,imagename
barlow_twins,1,1,NaN,airplane,airplane,NaN,airplane1.png
barlow_twins,1,2,NaN,bicycle,airplane,NaN,airplane10.png
barlow_twins,1,3,NaN,airplane,airplane,NaN,airplane2.png
barlow_twins,1,4,NaN,airplane,airplane,NaN,airplane3.png
barlow_twins,1,5,NaN,airplane,airplane,NaN,airplane4.png
barlow_twins,1,6,NaN,airplane,airplane,NaN,airplane5.png
barlow_twins,1,7,NaN,airplane,airplane,NaN,airplane6.png
barlow_twins,1,8,NaN,airplane,airplane,NaN,airplane7.png
barlow_twins,1,9,NaN,car,airplane,NaN,airplane8.png
barlow_twins,1,10,NaN,car,airplane,NaN,airplane9.png
barlow_twins,1,11,NaN,bicycle,bear,NaN,bear1.png
barlow_twins,1,12,NaN,bicycle,bear,NaN,bear10.png
barlow_twins,1,13,NaN,airplane,bear,NaN,bear2.png
barlow_twins,1,14,NaN,bicycle,bear,NaN,bear3.png
barlow_twins,1,15,NaN,airplane,bear,NaN,bear4.png
barlow_twins,1,16,NaN,airplane,bear,NaN,bear5.png
barlow_twins,1,17,NaN,airplane,bear,NaN,bear6.png
barlow_twins,1,18,NaN,bicycle,bear,NaN,bear7.png
barlow_twins,1,19,NaN,airplane,bear,NaN,bear8.png
barlow_twins,1,20,NaN,bear,bear,NaN,bear9.png
barlow_twins,1,21,NaN,keyboard,bicycle,NaN,bicycle1.png
barlow_twins,1,22,NaN,keyboard,bicycle,NaN,bicycle10.png
barlow_twins,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
barlow_twins,1,24,NaN,keyboard,bicycle,NaN,bicycle3.png
barlow_twins,1,25,NaN,keyboard,bicycle,NaN,bicycle4.png
barlow_twins,1,26,NaN,keyboard,bicycle,NaN,bicycle5.png
barlow_twins,1,27,NaN,clock,bicycle,NaN,bicycle6.png
barlow_twins,1,28,NaN,keyboard,bicycle,NaN,bicycle7.png
barlow_twins,1,29,NaN,keyboard,bicycle,NaN,bicycle8.png
barlow_twins,1,30,NaN,keyboard,bicycle,NaN,bicycle9.png
barlow_twins,1,31,NaN,airplane,bird,NaN,bird1.png
barlow_twins,1,32,NaN,oven,bird,NaN,bird10.png
barlow_twins,1,33,NaN,airplane,bird,NaN,bird2.png
barlow_twins,1,34,NaN,oven,bird,NaN,bird3.png
barlow_twins,1,35,NaN,oven,bird,NaN,bird4.png
barlow_twins,1,36,NaN,bicycle,bird,NaN,bird5.png
barlow_twins,1,37,NaN,airplane,bird,NaN,bird6.png
barlow_twins,1,38,NaN,bicycle,bird,NaN,bird7.png
barlow_twins,1,39,NaN,oven,bird,NaN,bird8.png
barlow_twins,1,40,NaN,bear,bird,NaN,bird9.png
barlow_twins,1,41,NaN,bicycle,boat,NaN,boat1.png
barlow_twins,1,42,NaN,bicycle,boat,NaN,boat10.png
barlow_twins,1,43,NaN,car,boat,NaN,boat2.png
barlow_twins,1,44,NaN,airplane,boat,NaN,boat3.png
barlow_twins,1,45,NaN,airplane,boat,NaN,boat4.png
barlow_twins,1,46,NaN,car,boat,NaN,boat5.png
barlow_twins,1,47,NaN,oven,boat,NaN,boat6.png
barlow_twins,1,48,NaN,oven,boat,NaN,boat7.png
barlow_twins,1,49,NaN,airplane,boat,NaN,boat8.png
barlow_twins,1,50,NaN,bicycle,boat,NaN,boat9.png
barlow_twins,1,51,NaN,car,bottle,NaN,bottle1.png
barlow_twins,1,52,NaN,car,bottle,NaN,bottle10.png
barlow_twins,1,53,NaN,oven,bottle,NaN,bottle2.png
barlow_twins,1,54,NaN,oven,bottle,NaN,bottle3.png
barlow_twins,1,55,NaN,oven,bottle,NaN,bottle4.png
barlow_twins,1,56,NaN,airplane,bottle,NaN,bottle5.png
barlow_twins,1,57,NaN,airplane,bottle,NaN,bottle6.png
barlow_twins,1,58,NaN,chair,bottle,NaN,bottle7.png
barlow_twins,1,59,NaN,car,bottle,NaN,bottle8.png
barlow_twins,1,60,NaN,car,bottle,NaN,bottle9.png
barlow_twins,1,61,NaN,airplane,car,NaN,car1.png
barlow_twins,1,62,NaN,bicycle,car,NaN,car10.png
barlow_twins,1,63,NaN,oven,car,NaN,car2.png
barlow_twins,1,64,NaN,oven,car,NaN,car3.png
barlow_twins,1,65,NaN,car,car,NaN,car4.png
barlow_twins,1,66,NaN,airplane,car,NaN,car5.png
barlow_twins,1,67,NaN,airplane,car,NaN,car6.png
barlow_twins,1,68,NaN,car,car,NaN,car7.png
barlow_twins,1,69,NaN,car,car,NaN,car8.png
barlow_twins,1,70,NaN,oven,car,NaN,car9.png
barlow_twins,1,71,NaN,bicycle,cat,NaN,cat1.png
barlow_twins,1,72,NaN,airplane,cat,NaN,cat10.png
barlow_twins,1,73,NaN,bicycle,cat,NaN,cat2.png
barlow_twins,1,74,NaN,bicycle,cat,NaN,cat3.png
barlow_twins,1,75,NaN,bicycle,cat,NaN,cat4.png
barlow_twins,1,76,NaN,bicycle,cat,NaN,cat5.png
barlow_twins,1,77,NaN,bicycle,cat,NaN,cat6.png
barlow_twins,1,78,NaN,bear,cat,NaN,cat7.png
barlow_twins,1,79,NaN,bicycle,cat,NaN,cat8.png
barlow_twins,1,80,NaN,bicycle,cat,NaN,cat9.png
barlow_twins,1,81,NaN,oven,chair,NaN,chair1.png
barlow_twins,1,82,NaN,boat,chair,NaN,chair10.png
barlow_twins,1,83,NaN,boat,chair,NaN,chair2.png
barlow_twins,1,84,NaN,oven,chair,NaN,chair3.png
barlow_twins,1,85,NaN,keyboard,chair,NaN,chair4.png
barlow_twins,1,86,NaN,bear,chair,NaN,chair5.png
barlow_twins,1,87,NaN,bear,chair,NaN,chair6.png
barlow_twins,1,88,NaN,oven,chair,NaN,chair7.png
barlow_twins,1,89,NaN,clock,chair,NaN,chair8.png
barlow_twins,1,90,NaN,bear,chair,NaN,chair9.png
barlow_twins,1,91,NaN,bicycle,clock,NaN,clock1.png
barlow_twins,1,92,NaN,airplane,clock,NaN,clock10.png
barlow_twins,1,93,NaN,airplane,clock,NaN,clock2.png
barlow_twins,1,94,NaN,airplane,clock,NaN,clock3.png
barlow_twins,1,95,NaN,oven,clock,NaN,clock4.png
barlow_twins,1,96,NaN,airplane,clock,NaN,clock5.png
barlow_twins,1,97,NaN,airplane,clock,NaN,clock6.png
barlow_twins,1,98,NaN,airplane,clock,NaN,clock7.png
barlow_twins,1,99,NaN,keyboard,clock,NaN,clock8.png
barlow_twins,1,100,NaN,airplane,clock,NaN,clock9.png
barlow_twins,1,101,NaN,bear,dog,NaN,dog1.png
barlow_twins,1,102,NaN,airplane,dog,NaN,dog10.png
barlow_twins,1,103,NaN,bicycle,dog,NaN,dog2.png
barlow_twins,1,104,NaN,airplane,dog,NaN,dog3.png
barlow_twins,1,105,NaN,airplane,dog,NaN,dog4.png
barlow_twins,1,106,NaN,airplane,dog,NaN,dog5.png
barlow_twins,1,107,NaN,airplane,dog,NaN,dog6.png
barlow_twins,1,108,NaN,airplane,dog,NaN,dog7.png
barlow_twins,1,109,NaN,oven,dog,NaN,dog8.png
barlow_twins,1,110,NaN,airplane,dog,NaN,dog9.png
barlow_twins,1,111,NaN,bear,elephant,NaN,elephant1.png
barlow_twins,1,112,NaN,bicycle,elephant,NaN,elephant10.png
barlow_twins,1,113,NaN,airplane,elephant,NaN,elephant2.png
barlow_twins,1,114,NaN,bear,elephant,NaN,elephant3.png
barlow_twins,1,115,NaN,airplane,elephant,NaN,elephant4.png
barlow_twins,1,116,NaN,oven,elephant,NaN,elephant5.png
barlow_twins,1,117,NaN,bear,elephant,NaN,elephant6.png
barlow_twins,1,118,NaN,bear,elephant,NaN,elephant7.png
barlow_twins,1,119,NaN,airplane,elephant,NaN,elephant8.png
barlow_twins,1,120,NaN,bear,elephant,NaN,elephant9.png
barlow_twins,1,121,NaN,airplane,keyboard,NaN,keyboard1.png
barlow_twins,1,122,NaN,car,keyboard,NaN,keyboard10.png
barlow_twins,1,123,NaN,car,keyboard,NaN,keyboard2.png
barlow_twins,1,124,NaN,airplane,keyboard,NaN,keyboard3.png
barlow_twins,1,125,NaN,car,keyboard,NaN,keyboard4.png
barlow_twins,1,126,NaN,car,keyboard,NaN,keyboard5.png
barlow_twins,1,127,NaN,oven,keyboard,NaN,keyboard6.png
barlow_twins,1,128,NaN,car,keyboard,NaN,keyboard7.png
barlow_twins,1,129,NaN,car,keyboard,NaN,keyboard8.png
barlow_twins,1,130,NaN,airplane,keyboard,NaN,keyboard9.png
barlow_twins,1,131,NaN,airplane,knife,NaN,knife1.png
barlow_twins,1,132,NaN,airplane,knife,NaN,knife10.png
barlow_twins,1,133,NaN,oven,knife,NaN,knife2.png
barlow_twins,1,134,NaN,airplane,knife,NaN,knife3.png
barlow_twins,1,135,NaN,oven,knife,NaN,knife4.png
barlow_twins,1,136,NaN,oven,knife,NaN,knife5.png
barlow_twins,1,137,NaN,bicycle,knife,NaN,knife6.png
barlow_twins,1,138,NaN,oven,knife,NaN,knife7.png
barlow_twins,1,139,NaN,car,knife,NaN,knife8.png
barlow_twins,1,140,NaN,bicycle,knife,NaN,knife9.png
barlow_twins,1,141,NaN,airplane,oven,NaN,oven1.png
barlow_twins,1,142,NaN,airplane,oven,NaN,oven10.png
barlow_twins,1,143,NaN,bicycle,oven,NaN,oven2.png
barlow_twins,1,144,NaN,airplane,oven,NaN,oven3.png
barlow_twins,1,145,NaN,bicycle,oven,NaN,oven4.png
barlow_twins,1,146,NaN,airplane,oven,NaN,oven5.png
barlow_twins,1,147,NaN,airplane,oven,NaN,oven6.png
barlow_twins,1,148,NaN,oven,oven,NaN,oven7.png
barlow_twins,1,149,NaN,airplane,oven,NaN,oven8.png
barlow_twins,1,150,NaN,car,oven,NaN,oven9.png
barlow_twins,1,151,NaN,airplane,truck,NaN,truck1.png
barlow_twins,1,152,NaN,bear,truck,NaN,truck10.png
barlow_twins,1,153,NaN,bird,truck,NaN,truck2.png
barlow_twins,1,154,NaN,boat,truck,NaN,truck3.png
barlow_twins,1,155,NaN,oven,truck,NaN,truck4.png
barlow_twins,1,156,NaN,airplane,truck,NaN,truck5.png
barlow_twins,1,157,NaN,car,truck,NaN,truck6.png
barlow_twins,1,158,NaN,bear,truck,NaN,truck7.png
barlow_twins,1,159,NaN,bear,truck,NaN,truck8.png
barlow_twins,1,160,NaN,airplane,truck,NaN,truck9.png
