subj,session,trial,rt,object_response,category,condition,imagename
clip_14,1,1,NaN,airplane,airplane,NaN,airplane1.png
clip_14,1,2,NaN,airplane,airplane,NaN,airplane10.png
clip_14,1,3,NaN,airplane,airplane,NaN,airplane2.png
clip_14,1,4,NaN,airplane,airplane,NaN,airplane3.png
clip_14,1,5,NaN,airplane,airplane,NaN,airplane4.png
clip_14,1,6,NaN,airplane,airplane,NaN,airplane5.png
clip_14,1,7,NaN,airplane,airplane,NaN,airplane6.png
clip_14,1,8,NaN,airplane,airplane,NaN,airplane7.png
clip_14,1,9,NaN,airplane,airplane,NaN,airplane8.png
clip_14,1,10,NaN,airplane,airplane,NaN,airplane9.png
clip_14,1,11,NaN,bear,bear,NaN,bear1.png
clip_14,1,12,NaN,bear,bear,NaN,bear10.png
clip_14,1,13,NaN,bear,bear,NaN,bear2.png
clip_14,1,14,NaN,bear,bear,NaN,bear3.png
clip_14,1,15,NaN,bear,bear,NaN,bear4.png
clip_14,1,16,NaN,bear,bear,NaN,bear5.png
clip_14,1,17,NaN,knife,bear,NaN,bear6.png
clip_14,1,18,NaN,elephant,bear,NaN,bear7.png
clip_14,1,19,NaN,bear,bear,NaN,bear8.png
clip_14,1,20,NaN,bear,bear,NaN,bear9.png
clip_14,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
clip_14,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png
clip_14,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
clip_14,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
clip_14,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
clip_14,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png
clip_14,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png
clip_14,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
clip_14,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png
clip_14,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
clip_14,1,31,NaN,bird,bird,NaN,bird1.png
clip_14,1,32,NaN,bird,bird,NaN,bird10.png
clip_14,1,33,NaN,dog,bird,NaN,bird2.png
clip_14,1,34,NaN,bear,bird,NaN,bird3.png
clip_14,1,35,NaN,bird,bird,NaN,bird4.png
clip_14,1,36,NaN,bird,bird,NaN,bird5.png
clip_14,1,37,NaN,bird,bird,NaN,bird6.png
clip_14,1,38,NaN,bird,bird,NaN,bird7.png
clip_14,1,39,NaN,bird,bird,NaN,bird8.png
clip_14,1,40,NaN,bird,bird,NaN,bird9.png
clip_14,1,41,NaN,boat,boat,NaN,boat1.png
clip_14,1,42,NaN,boat,boat,NaN,boat10.png
clip_14,1,43,NaN,airplane,boat,NaN,boat2.png
clip_14,1,44,NaN,boat,boat,NaN,boat3.png
clip_14,1,45,NaN,boat,boat,NaN,boat4.png
clip_14,1,46,NaN,boat,boat,NaN,boat5.png
clip_14,1,47,NaN,knife,boat,NaN,boat6.png
clip_14,1,48,NaN,knife,boat,NaN,boat7.png
clip_14,1,49,NaN,airplane,boat,NaN,boat8.png
clip_14,1,50,NaN,boat,boat,NaN,boat9.png
clip_14,1,51,NaN,bottle,bottle,NaN,bottle1.png
clip_14,1,52,NaN,bottle,bottle,NaN,bottle10.png
clip_14,1,53,NaN,bottle,bottle,NaN,bottle2.png
clip_14,1,54,NaN,bottle,bottle,NaN,bottle3.png
clip_14,1,55,NaN,bottle,bottle,NaN,bottle4.png
clip_14,1,56,NaN,bottle,bottle,NaN,bottle5.png
clip_14,1,57,NaN,bottle,bottle,NaN,bottle6.png
clip_14,1,58,NaN,bottle,bottle,NaN,bottle7.png
clip_14,1,59,NaN,bottle,bottle,NaN,bottle8.png
clip_14,1,60,NaN,bottle,bottle,NaN,bottle9.png
clip_14,1,61,NaN,car,car,NaN,car1.png
clip_14,1,62,NaN,truck,car,NaN,car10.png
clip_14,1,63,NaN,car,car,NaN,car2.png
clip_14,1,64,NaN,car,car,NaN,car3.png
clip_14,1,65,NaN,car,car,NaN,car4.png
clip_14,1,66,NaN,truck,car,NaN,car5.png
clip_14,1,67,NaN,car,car,NaN,car6.png
clip_14,1,68,NaN,car,car,NaN,car7.png
clip_14,1,69,NaN,car,car,NaN,car8.png
clip_14,1,70,NaN,truck,car,NaN,car9.png
clip_14,1,71,NaN,cat,cat,NaN,cat1.png
clip_14,1,72,NaN,bear,cat,NaN,cat10.png
clip_14,1,73,NaN,cat,cat,NaN,cat2.png
clip_14,1,74,NaN,cat,cat,NaN,cat3.png
clip_14,1,75,NaN,cat,cat,NaN,cat4.png
clip_14,1,76,NaN,cat,cat,NaN,cat5.png
clip_14,1,77,NaN,cat,cat,NaN,cat6.png
clip_14,1,78,NaN,cat,cat,NaN,cat7.png
clip_14,1,79,NaN,dog,cat,NaN,cat8.png
clip_14,1,80,NaN,cat,cat,NaN,cat9.png
clip_14,1,81,NaN,chair,chair,NaN,chair1.png
clip_14,1,82,NaN,chair,chair,NaN,chair10.png
clip_14,1,83,NaN,chair,chair,NaN,chair2.png
clip_14,1,84,NaN,chair,chair,NaN,chair3.png
clip_14,1,85,NaN,chair,chair,NaN,chair4.png
clip_14,1,86,NaN,chair,chair,NaN,chair5.png
clip_14,1,87,NaN,chair,chair,NaN,chair6.png
clip_14,1,88,NaN,chair,chair,NaN,chair7.png
clip_14,1,89,NaN,chair,chair,NaN,chair8.png
clip_14,1,90,NaN,chair,chair,NaN,chair9.png
clip_14,1,91,NaN,knife,clock,NaN,clock1.png
clip_14,1,92,NaN,clock,clock,NaN,clock10.png
clip_14,1,93,NaN,clock,clock,NaN,clock2.png
clip_14,1,94,NaN,oven,clock,NaN,clock3.png
clip_14,1,95,NaN,knife,clock,NaN,clock4.png
clip_14,1,96,NaN,bear,clock,NaN,clock5.png
clip_14,1,97,NaN,clock,clock,NaN,clock6.png
clip_14,1,98,NaN,clock,clock,NaN,clock7.png
clip_14,1,99,NaN,bottle,clock,NaN,clock8.png
clip_14,1,100,NaN,clock,clock,NaN,clock9.png
clip_14,1,101,NaN,dog,dog,NaN,dog1.png
clip_14,1,102,NaN,dog,dog,NaN,dog10.png
clip_14,1,103,NaN,dog,dog,NaN,dog2.png
