subj,session,trial,rt,object_response,category,condition,imagename
dino_v8,1,1,NaN,airplane,airplane,NaN,airplane1.png
dino_v8,1,2,NaN,airplane,airplane,NaN,airplane10.png
dino_v8,1,3,NaN,chair,airplane,NaN,airplane2.png
dino_v8,1,4,NaN,airplane,airplane,NaN,airplane3.png
dino_v8,1,5,NaN,airplane,airplane,NaN,airplane4.png
dino_v8,1,6,NaN,airplane,airplane,NaN,airplane5.png
dino_v8,1,7,NaN,airplane,airplane,NaN,airplane6.png
dino_v8,1,8,NaN,chair,airplane,NaN,airplane7.png
dino_v8,1,9,NaN,knife,airplane,NaN,airplane8.png
dino_v8,1,10,NaN,chair,airplane,NaN,airplane9.png
dino_v8,1,11,NaN,knife,bear,NaN,bear1.png
dino_v8,1,12,NaN,bear,bear,NaN,bear10.png
dino_v8,1,13,NaN,knife,bear,NaN,bear2.png
dino_v8,1,14,NaN,knife,bear,NaN,bear3.png
dino_v8,1,15,NaN,knife,bear,NaN,bear4.png
dino_v8,1,16,NaN,knife,bear,NaN,bear5.png
dino_v8,1,17,NaN,bottle,bear,NaN,bear6.png
dino_v8,1,18,NaN,chair,bear,NaN,bear7.png
dino_v8,1,19,NaN,bear,bear,NaN,bear8.png
dino_v8,1,20,NaN,clock,bear,NaN,bear9.png
dino_v8,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png
dino_v8,1,22,NaN,clock,bicycle,NaN,bicycle10.png
dino_v8,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png
dino_v8,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png
dino_v8,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png
dino_v8,1,26,NaN,clock,bicycle,NaN,bicycle5.png
dino_v8,1,27,NaN,chair,bicycle,NaN,bicycle6.png
dino_v8,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png
dino_v8,1,29,NaN,clock,bicycle,NaN,bicycle8.png
dino_v8,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png
dino_v8,1,31,NaN,chair,bird,NaN,bird1.png
dino_v8,1,32,NaN,clock,bird,NaN,bird10.png
dino_v8,1,33,NaN,chair,bird,NaN,bird2.png
dino_v8,1,34,NaN,chair,bird,NaN,bird3.png
dino_v8,1,35,NaN,knife,bird,NaN,bird4.png
dino_v8,1,36,NaN,bird,bird,NaN,bird5.png
dino_v8,1,37,NaN,knife,bird,NaN,bird6.png
dino_v8,1,38,NaN,oven,bird,NaN,bird7.png
dino_v8,1,39,NaN,clock,bird,NaN,bird8.png
dino_v8,1,40,NaN,chair,bird,NaN,bird9.png
dino_v8,1,41,NaN,knife,boat,NaN,boat1.png
dino_v8,1,42,NaN,knife,boat,NaN,boat10.png
dino_v8,1,43,NaN,knife,boat,NaN,boat2.png
