subj,session,trial,rt,object_response,category,condition,imagename
inception_v1,1,1,NaN,airplane,airplane,NaN,airplane1.png
inception_v1,1,2,NaN,chair,airplane,NaN,airplane10.png
inception_v1,1,3,NaN,oven,airplane,NaN,airplane2.png
inception_v1,1,4,NaN,airplane,airplane,NaN,airplane3.png
inception_v1,1,5,NaN,airplane,airplane,NaN,airplane4.png
inception_v1,1,6,NaN,airplane,airplane,NaN,airplane5.png
inception_v1,1,7,NaN,oven,airplane,NaN,airplane6.png
inception_v1,1,8,NaN,oven,airplane,NaN,airplane7.png
inception_v1,1,9,NaN,oven,airplane,NaN,airplane8.png
inception_v1,1,10,NaN,chair,airplane,NaN,airplane9.png
inception_v1,1,11,NaN,cat,bear,NaN,bear1.png
inception_v1,1,12,NaN,bear,bear,NaN,bear10.png
inception_v1,1,13,NaN,oven,bear,NaN,bear2.png
inception_v1,1,14,NaN,cat,bear,NaN,bear3.png
inception_v1,1,15,NaN,elephant,bear,NaN,bear4.png
inception_v1,1,16,NaN,bear,bear,NaN,bear5.png
inception_v1,1,17,NaN,bottle,bear,NaN,bear6.png
inception_v1,1,18,NaN,bottle,bear,NaN,bear7.png
inception_v1,1,19,NaN,bear,bear,NaN,bear8.png
inception_v1,1,20,NaN,clock,bear,NaN,bear9.png
inception_v1,1,21,NaN,boat,bicycle,NaN,bicycle1.png
inception_v1,1,22,NaN,boat,bicycle,NaN,bicycle10.png
inception_v1,1,23,NaN,boat,bicycle,NaN,bicycle2.png
inception_v1,1,24,NaN,chair,bicycle,NaN,bicycle3.png
inception_v1,1,25,NaN,chair,bicycle,NaN,bicycle4.png
inception_v1,1,26,NaN,chair,bicycle,NaN,bicycle5.png
inception_v1,1,27,NaN,oven,bicycle,NaN,bicycle6.png
inception_v1,1,28,NaN,chair,bicycle,NaN,bicycle7.png
inception_v1,1,29,NaN,chair,bicycle,NaN,bicycle8.png
inception_v1,1,30,NaN,boat,bicycle,NaN,bicycle9.png
inception_v1,1,31,NaN,bird,bird,NaN,bird1.png
inception_v1,1,32,NaN,bird,bird,NaN,bird10.png
inception_v1,1,33,NaN,bottle,bird,NaN,bird2.png
inception_v1,1,34,NaN,bird,bird,NaN,bird3.png
inception_v1,1,35,NaN,bird,bird,NaN,bird4.png
inception_v1,1,36,NaN,bird,bird,NaN,bird5.png
inception_v1,1,37,NaN,bird,bird,NaN,bird6.png
inception_v1,1,38,NaN,clock,bird,NaN,bird7.png
inception_v1,1,39,NaN,bird,bird,NaN,bird8.png
inception_v1,1,40,NaN,bird,bird,NaN,bird9.png
inception_v1,1,41,NaN,boat,boat,NaN,boat1.png
inception_v1,1,42,NaN,boat,boat,NaN,boat10.png
inception_v1,1,43,NaN,oven,boat,NaN,boat2.png
