subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer_b_in21,1,1,NaN,keyboard,airplane,NaN,airplane1.png
mlp_mixer_b_in21,1,2,NaN,keyboard,airplane,NaN,airplane10.png
mlp_mixer_b_in21,1,3,NaN,car,airplane,NaN,airplane2.png
mlp_mixer_b_in21,1,4,NaN,oven,airplane,NaN,airplane3.png
mlp_mixer_b_in21,1,5,NaN,chair,airplane,NaN,airplane4.png
mlp_mixer_b_in21,1,6,NaN,car,airplane,NaN,airplane5.png
mlp_mixer_b_in21,1,7,NaN,car,airplane,NaN,airplane6.png
mlp_mixer_b_in21,1,8,NaN,oven,airplane,NaN,airplane7.png
mlp_mixer_b_in21,1,9,NaN,chair,airplane,NaN,airplane8.png
mlp_mixer_b_in21,1,10,NaN,car,airplane,NaN,airplane9.png
mlp_mixer_b_in21,1,11,NaN,oven,bear,NaN,bear1.png
mlp_mixer_b_in21,1,12,NaN,car,bear,NaN,bear10.png
mlp_mixer_b_in21,1,13,NaN,car,bear,NaN,bear2.png
mlp_mixer_b_in21,1,14,NaN,car,bear,NaN,bear3.png
mlp_mixer_b_in21,1,15,NaN,car,bear,NaN,bear4.png
mlp_mixer_b_in21,1,16,NaN,car,bear,NaN,bear5.png
mlp_mixer_b_in21,1,17,NaN,car,bear,NaN,bear6.png
mlp_mixer_b_in21,1,18,NaN,chair,bear,NaN,bear7.png
mlp_mixer_b_in21,1,19,NaN,elephant,bear,NaN,bear8.png
mlp_mixer_b_in21,1,20,NaN,keyboard,bear,NaN,bear9.png
mlp_mixer_b_in21,1,21,NaN,car,bicycle,NaN,bicycle1.png
mlp_mixer_b_in21,1,22,NaN,truck,bicycle,NaN,bicycle10.png
mlp_mixer_b_in21,1,23,NaN,clock,bicycle,NaN,bicycle2.png
mlp_mixer_b_in21,1,24,NaN,car,bicycle,NaN,bicycle3.png
mlp_mixer_b_in21,1,25,NaN,car,bicycle,NaN,bicycle4.png
mlp_mixer_b_in21,1,26,NaN,chair,bicycle,NaN,bicycle5.png
mlp_mixer_b_in21,1,27,NaN,oven,bicycle,NaN,bicycle6.png
mlp_mixer_b_in21,1,28,NaN,oven,bicycle,NaN,bicycle7.png
mlp_mixer_b_in21,1,29,NaN,knife,bicycle,NaN,bicycle8.png
mlp_mixer_b_in21,1,30,NaN,knife,bicycle,NaN,bicycle9.png
mlp_mixer_b_in21,1,31,NaN,car,bird,NaN,bird1.png
mlp_mixer_b_in21,1,32,NaN,car,bird,NaN,bird10.png
mlp_mixer_b_in21,1,33,NaN,chair,bird,NaN,bird2.png
mlp_mixer_b_in21,1,34,NaN,chair,bird,NaN,bird3.png
mlp_mixer_b_in21,1,35,NaN,bottle,bird,NaN,bird4.png
mlp_mixer_b_in21,1,36,NaN,car,bird,NaN,bird5.png
mlp_mixer_b_in21,1,37,NaN,car,bird,NaN,bird6.png
mlp_mixer_b_in21,1,38,NaN,oven,bird,NaN,bird7.png
mlp_mixer_b_in21,1,39,NaN,oven,bird,NaN,bird8.png
mlp_mixer_b_in21,1,40,NaN,elephant,bird,NaN,bird9.png
mlp_mixer_b_in21,1,41,NaN,car,boat,NaN,boat1.png
mlp_mixer_b_in21,1,42,NaN,chair,boat,NaN,boat10.png
mlp_mixer_b_in21,1,43,NaN,chair,boat,NaN,boat2.png
mlp_mixer_b_in21,1,44,NaN,car,boat,NaN,boat3.png
mlp_mixer_b_in21,1,45,NaN,keyboard,boat,NaN,boat4.png
mlp_mixer_b_in21,1,46,NaN,car,boat,NaN,boat5.png
mlp_mixer_b_in21,1,47,NaN,chair,boat,NaN,boat6.png
mlp_mixer_b_in21,1,48,NaN,chair,boat,NaN,boat7.png
mlp_mixer_b_in21,1,49,NaN,chair,boat,NaN,boat8.png
mlp_mixer_b_in21,1,50,NaN,elephant,boat,NaN,boat9.png
mlp_mixer_b_in21,1,51,NaN,chair,bottle,NaN,bottle1.png
mlp_mixer_b_in21,1,52,NaN,chair,bottle,NaN,bottle10.png
mlp_mixer_b_in21,1,53,NaN,oven,bottle,NaN,bottle2.png
mlp_mixer_b_in21,1,54,NaN,oven,bottle,NaN,bottle3.png
mlp_mixer_b_in21,1,55,NaN,oven,bottle,NaN,bottle4.png
mlp_mixer_b_in21,1,56,NaN,oven,bottle,NaN,bottle5.png
