subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,boat,airplane,NaN,airplane1.png
swin_base,1,2,NaN,boat,airplane,NaN,airplane10.png
swin_base,1,3,NaN,boat,airplane,NaN,airplane2.png
swin_base,1,4,NaN,boat,airplane,NaN,airplane3.png
swin_base,1,5,NaN,bottle,airplane,NaN,airplane4.png
swin_base,1,6,NaN,boat,airplane,NaN,airplane5.png
swin_base,1,7,NaN,boat,airplane,NaN,airplane6.png
swin_base,1,8,NaN,boat,airplane,NaN,airplane7.png
swin_base,1,9,NaN,truck,airplane,NaN,airplane8.png
swin_base,1,10,NaN,bicycle,airplane,NaN,airplane9.png
swin_base,1,11,NaN,dog,bear,NaN,bear1.png
swin_base,1,12,NaN,truck,bear,NaN,bear10.png
swin_base,1,13,NaN,dog,bear,NaN,bear2.png
swin_base,1,14,NaN,dog,bear,NaN,bear3.png
swin_base,1,15,NaN,dog,bear,NaN,bear4.png
swin_base,1,16,NaN,dog,bear,NaN,bear5.png
swin_base,1,17,NaN,truck,bear,NaN,bear6.png
swin_base,1,18,NaN,truck,bear,NaN,bear7.png
swin_base,1,19,NaN,knife,bear,NaN,bear8.png
swin_base,1,20,NaN,dog,bear,NaN,bear9.png
swin_base,1,21,NaN,bird,bicycle,NaN,bicycle1.png
swin_base,1,22,NaN,bird,bicycle,NaN,bicycle10.png
swin_base,1,23,NaN,truck,bicycle,NaN,bicycle2.png
swin_base,1,24,NaN,knife,bicycle,NaN,bicycle3.png
swin_base,1,25,NaN,bird,bicycle,NaN,bicycle4.png
swin_base,1,26,NaN,knife,bicycle,NaN,bicycle5.png
swin_base,1,27,NaN,truck,bicycle,NaN,bicycle6.png
swin_base,1,28,NaN,bird,bicycle,NaN,bicycle7.png
swin_base,1,29,NaN,bird,bicycle,NaN,bicycle8.png
swin_base,1,30,NaN,knife,bicycle,NaN,bicycle9.png
swin_base,1,31,NaN,truck,bird,NaN,bird1.png
swin_base,1,32,NaN,truck,bird,NaN,bird10.png
swin_base,1,33,NaN,car,bird,NaN,bird2.png
swin_base,1,34,NaN,truck,bird,NaN,bird3.png
swin_base,1,35,NaN,truck,bird,NaN,bird4.png
swin_base,1,36,NaN,truck,bird,NaN,bird5.png
swin_base,1,37,NaN,truck,bird,NaN,bird6.png
swin_base,1,38,NaN,car,bird,NaN,bird7.png
swin_base,1,39,NaN,truck,bird,NaN,bird8.png
swin_base,1,40,NaN,truck,bird,NaN,bird9.png
swin_base,1,41,NaN,truck,boat,NaN,boat1.png
swin_base,1,42,NaN,car,boat,NaN,boat10.png
swin_base,1,43,NaN,truck,boat,NaN,boat2.png
swin_base,1,44,NaN,bird,boat,NaN,boat3.png
swin_base,1,45,NaN,bicycle,boat,NaN,boat4.png
swin_base,1,46,NaN,knife,boat,NaN,boat5.png
swin_base,1,47,NaN,clock,boat,NaN,boat6.png
swin_base,1,48,NaN,knife,boat,NaN,boat7.png
swin_base,1,49,NaN,bottle,boat,NaN,boat8.png
swin_base,1,50,NaN,truck,boat,NaN,boat9.png
swin_base,1,51,NaN,truck,bottle,NaN,bottle1.png
swin_base,1,52,NaN,truck,bottle,NaN,bottle10.png
swin_base,1,53,NaN,cat,bottle,NaN,bottle2.png
swin_base,1,54,NaN,knife,bottle,NaN,bottle3.png
swin_base,1,55,NaN,knife,bottle,NaN,bottle4.png
swin_base,1,56,NaN,bear,bottle,NaN,bottle5.png
swin_base,1,57,NaN,car,bottle,NaN,bottle6.png
swin_base,1,58,NaN,knife,bottle,NaN,bottle7.png
swin_base,1,59,NaN,knife,bottle,NaN,bottle8.png
swin_base,1,60,NaN,truck,bottle,NaN,bottle9.png
swin_base,1,61,NaN,knife,car,NaN,car1.png
swin_base,1,62,NaN,bottle,car,NaN,car10.png
swin_base,1,63,NaN,elephant,car,NaN,car2.png
swin_base,1,64,NaN,elephant,car,NaN,car3.png
swin_base,1,65,NaN,bicycle,car,NaN,car4.png
swin_base,1,66,NaN,elephant,car,NaN,car5.png
swin_base,1,67,NaN,knife,car,NaN,car6.png
swin_base,1,68,NaN,truck,car,NaN,car7.png
swin_base,1,69,NaN,truck,car,NaN,car8.png
swin_base,1,70,NaN,bottle,car,NaN,car9.png
swin_base,1,71,NaN,dog,cat,NaN,cat1.png
swin_base,1,72,NaN,truck,cat,NaN,cat10.png
swin_base,1,73,NaN,knife,cat,NaN,cat2.png
swin_base,1,74,NaN,knife,cat,NaN,cat3.png
swin_base,1,75,NaN,truck,cat,NaN,cat4.png
swin_base,1,76,NaN,dog,cat,NaN,cat5.png
swin_base,1,77,NaN,dog,cat,NaN,cat6.png
swin_base,1,78,NaN,dog,cat,NaN,cat7.png
