subj,session,trial,rt,object_response,category,condition,imagename
swin_large,1,1,NaN,boat,airplane,NaN,airplane1.png
swin_large,1,2,NaN,bicycle,airplane,NaN,airplane10.png
swin_large,1,3,NaN,car,airplane,NaN,airplane2.png
swin_large,1,4,NaN,truck,airplane,NaN,airplane3.png
swin_large,1,5,NaN,oven,airplane,NaN,airplane4.png
swin_large,1,6,NaN,truck,airplane,NaN,airplane5.png
swin_large,1,7,NaN,boat,airplane,NaN,airplane6.png
swin_large,1,8,NaN,boat,airplane,NaN,airplane7.png
swin_large,1,9,NaN,truck,airplane,NaN,airplane8.png
swin_large,1,10,NaN,bicycle,airplane,NaN,airplane9.png
swin_large,1,11,NaN,dog,bear,NaN,bear1.png
swin_large,1,12,NaN,truck,bear,NaN,bear10.png
swin_large,1,13,NaN,dog,bear,NaN,bear2.png
swin_large,1,14,NaN,dog,bear,NaN,bear3.png
swin_large,1,15,NaN,dog,bear,NaN,bear4.png
swin_large,1,16,NaN,dog,bear,NaN,bear5.png
swin_large,1,17,NaN,truck,bear,NaN,bear6.png
swin_large,1,18,NaN,dog,bear,NaN,bear7.png
swin_large,1,19,NaN,dog,bear,NaN,bear8.png
swin_large,1,20,NaN,dog,bear,NaN,bear9.png
swin_large,1,21,NaN,oven,bicycle,NaN,bicycle1.png
swin_large,1,22,NaN,bird,bicycle,NaN,bicycle10.png
swin_large,1,23,NaN,oven,bicycle,NaN,bicycle2.png
swin_large,1,24,NaN,oven,bicycle,NaN,bicycle3.png
swin_large,1,25,NaN,bottle,bicycle,NaN,bicycle4.png
swin_large,1,26,NaN,oven,bicycle,NaN,bicycle5.png
swin_large,1,27,NaN,truck,bicycle,NaN,bicycle6.png
swin_large,1,28,NaN,bird,bicycle,NaN,bicycle7.png
swin_large,1,29,NaN,bird,bicycle,NaN,bicycle8.png
swin_large,1,30,NaN,cat,bicycle,NaN,bicycle9.png
swin_large,1,31,NaN,truck,bird,NaN,bird1.png
swin_large,1,32,NaN,truck,bird,NaN,bird10.png
swin_large,1,33,NaN,truck,bird,NaN,bird2.png
swin_large,1,34,NaN,truck,bird,NaN,bird3.png
swin_large,1,35,NaN,chair,bird,NaN,bird4.png
swin_large,1,36,NaN,truck,bird,NaN,bird5.png
swin_large,1,37,NaN,truck,bird,NaN,bird6.png
swin_large,1,38,NaN,car,bird,NaN,bird7.png
swin_large,1,39,NaN,car,bird,NaN,bird8.png
swin_large,1,40,NaN,truck,bird,NaN,bird9.png
swin_large,1,41,NaN,elephant,boat,NaN,boat1.png
swin_large,1,42,NaN,car,boat,NaN,boat10.png
swin_large,1,43,NaN,truck,boat,NaN,boat2.png
swin_large,1,44,NaN,bird,boat,NaN,boat3.png
swin_large,1,45,NaN,bicycle,boat,NaN,boat4.png
swin_large,1,46,NaN,knife,boat,NaN,boat5.png
swin_large,1,47,NaN,clock,boat,NaN,boat6.png
swin_large,1,48,NaN,knife,boat,NaN,boat7.png
swin_large,1,49,NaN,elephant,boat,NaN,boat8.png
swin_large,1,50,NaN,truck,boat,NaN,boat9.png
swin_large,1,51,NaN,car,bottle,NaN,bottle1.png
swin_large,1,52,NaN,cat,bottle,NaN,bottle10.png
swin_large,1,53,NaN,elephant,bottle,NaN,bottle2.png
swin_large,1,54,NaN,chair,bottle,NaN,bottle3.png
swin_large,1,55,NaN,elephant,bottle,NaN,bottle4.png
swin_large,1,56,NaN,elephant,bottle,NaN,bottle5.png
swin_large,1,57,NaN,bird,bottle,NaN,bottle6.png
swin_large,1,58,NaN,elephant,bottle,NaN,bottle7.png
swin_large,1,59,NaN,elephant,bottle,NaN,bottle8.png
swin_large,1,60,NaN,cat,bottle,NaN,bottle9.png
swin_large,1,61,NaN,car,car,NaN,car1.png
swin_large,1,62,NaN,truck,car,NaN,car10.png
swin_large,1,63,NaN,bird,car,NaN,car2.png
swin_large,1,64,NaN,car,car,NaN,car3.png
swin_large,1,65,NaN,keyboard,car,NaN,car4.png
swin_large,1,66,NaN,chair,car,NaN,car5.png
swin_large,1,67,NaN,elephant,car,NaN,car6.png
swin_large,1,68,NaN,truck,car,NaN,car7.png
swin_large,1,69,NaN,truck,car,NaN,car8.png
swin_large,1,70,NaN,bicycle,car,NaN,car9.png
swin_large,1,71,NaN,dog,cat,NaN,cat1.png
swin_large,1,72,NaN,truck,cat,NaN,cat10.png
swin_large,1,73,NaN,dog,cat,NaN,cat2.png
swin_large,1,74,NaN,knife,cat,NaN,cat3.png
swin_large,1,75,NaN,truck,cat,NaN,cat4.png
swin_large,1,76,NaN,dog,cat,NaN,cat5.png
swin_large,1,77,NaN,dog,cat,NaN,cat6.png
swin_large,1,78,NaN,dog,cat,NaN,cat7.png
swin_large,1,79,NaN,bird,cat,NaN,cat8.png
swin_large,1,80,NaN,dog,cat,NaN,cat9.png
swin_large,1,81,NaN,keyboard,chair,NaN,chair1.png
swin_large,1,82,NaN,keyboard,chair,NaN,chair10.png
swin_large,1,83,NaN,keyboard,chair,NaN,chair2.png
swin_large,1,84,NaN,boat,chair,NaN,chair3.png
swin_large,1,85,NaN,keyboard,chair,NaN,chair4.png
swin_large,1,86,NaN,keyboard,chair,NaN,chair5.png
swin_large,1,87,NaN,keyboard,chair,NaN,chair6.png
swin_large,1,88,NaN,keyboard,chair,NaN,chair7.png
swin_large,1,89,NaN,oven,chair,NaN,chair8.png
swin_large,1,90,NaN,keyboard,chair,NaN,chair9.png
swin_large,1,91,NaN,knife,clock,NaN,clock1.png
swin_large,1,92,NaN,clock,clock,NaN,clock10.png
swin_large,1,93,NaN,airplane,clock,NaN,clock2.png
swin_large,1,94,NaN,car,clock,NaN,clock3.png
swin_large,1,95,NaN,oven,clock,NaN,clock4.png
swin_large,1,96,NaN,car,clock,NaN,clock5.png
swin_large,1,97,NaN,oven,clock,NaN,clock6.png
swin_large,1,98,NaN,truck,clock,NaN,clock7.png
swin_large,1,99,NaN,airplane,clock,NaN,clock8.png
swin_large,1,100,NaN,cat,clock,NaN,clock9.png
swin_large,1,101,NaN,dog,dog,NaN,dog1.png
swin_large,1,102,NaN,dog,dog,NaN,dog10.png
swin_large,1,103,NaN,dog,dog,NaN,dog2.png
swin_large,1,104,NaN,dog,dog,NaN,dog3.png
swin_large,1,105,NaN,dog,dog,NaN,dog4.png
swin_large,1,106,NaN,truck,dog,NaN,dog5.png
swin_large,1,107,NaN,dog,dog,NaN,dog6.png
swin_large,1,108,NaN,dog,dog,NaN,dog7.png
swin_large,1,109,NaN,bird,dog,NaN,dog8.png
