subj,session,trial,rt,object_response,category,condition,imagename
autoencoder_vit_b,1,1,NaN,knife,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
autoencoder_vit_b,1,2,NaN,knife,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
autoencoder_vit_b,1,3,NaN,knife,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
autoencoder_vit_b,1,4,NaN,knife,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
autoencoder_vit_b,1,5,NaN,knife,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
autoencoder_vit_b,1,6,NaN,oven,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
autoencoder_vit_b,1,7,NaN,knife,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
autoencoder_vit_b,1,8,NaN,knife,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
autoencoder_vit_b,1,9,NaN,knife,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
autoencoder_vit_b,1,10,NaN,knife,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
autoencoder_vit_b,1,11,NaN,knife,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
autoencoder_vit_b,1,12,NaN,knife,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
autoencoder_vit_b,1,13,NaN,knife,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
autoencoder_vit_b,1,14,NaN,knife,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
autoencoder_vit_b,1,15,NaN,knife,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
autoencoder_vit_b,1,16,NaN,knife,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
autoencoder_vit_b,1,17,NaN,knife,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
autoencoder_vit_b,1,18,NaN,knife,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png
autoencoder_vit_b,1,19,NaN,knife,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png
autoencoder_vit_b,1,20,NaN,knife,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png
autoencoder_vit_b,1,21,NaN,knife,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png
autoencoder_vit_b,1,22,NaN,knife,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png
autoencoder_vit_b,1,23,NaN,knife,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png
autoencoder_vit_b,1,24,NaN,knife,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png
autoencoder_vit_b,1,25,NaN,knife,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png
autoencoder_vit_b,1,26,NaN,knife,cat,0.03,0026_nse_dnn_0.03_cat_10_n02124075_14021.png
autoencoder_vit_b,1,27,NaN,knife,bear,0.20,0027_nse_dnn_0.20_bear_10_n02133161_7184.png
autoencoder_vit_b,1,28,NaN,oven,bottle,0.00,0028_nse_dnn_0.00_bottle_10_n03937543_9745.png
autoencoder_vit_b,1,29,NaN,knife,airplane,0.60,0029_nse_dnn_0.60_airplane_10_n02690373_9605.png
autoencoder_vit_b,1,30,NaN,knife,cat,0.20,0030_nse_dnn_0.20_cat_10_n02123045_7167.png
autoencoder_vit_b,1,31,NaN,knife,airplane,0.05,0031_nse_dnn_0.05_airplane_10_n02690373_4706.png
autoencoder_vit_b,1,32,NaN,knife,knife,0.35,0032_nse_dnn_0.35_knife_10_n03041632_45270.png
autoencoder_vit_b,1,33,NaN,knife,dog,0.35,0033_nse_dnn_0.35_dog_10_n02105855_9326.png
autoencoder_vit_b,1,34,NaN,oven,bear,0.10,0034_nse_dnn_0.10_bear_10_n02134418_4349.png
autoencoder_vit_b,1,35,NaN,knife,cat,0.00,0035_nse_dnn_0.00_cat_10_n02123159_469.png
autoencoder_vit_b,1,36,NaN,knife,truck,0.90,0036_nse_dnn_0.90_truck_10_n03417042_5004.png
autoencoder_vit_b,1,37,NaN,knife,bird,0.10,0037_nse_dnn_0.10_bird_10_n02051845_6333.png
autoencoder_vit_b,1,38,NaN,knife,clock,0.90,0038_nse_dnn_0.90_clock_10_n03196217_12701.png
autoencoder_vit_b,1,39,NaN,oven,chair,0.60,0039_nse_dnn_0.60_chair_10_n03376595_12341.png
autoencoder_vit_b,1,40,NaN,oven,bicycle,0.10,0040_nse_dnn_0.10_bicycle_10_n03792782_66837.png
autoencoder_vit_b,1,41,NaN,knife,bicycle,0.05,0041_nse_dnn_0.05_bicycle_10_n02835271_20177.png
autoencoder_vit_b,1,42,NaN,oven,knife,0.00,0042_nse_dnn_0.00_knife_10_n03041632_22330.png
autoencoder_vit_b,1,43,NaN,oven,cat,0.60,0043_nse_dnn_0.60_cat_10_n02123045_5913.png
