subj,session,trial,rt,object_response,category,condition,imagename
mlp_mixer,1,1,NaN,elephant,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
mlp_mixer,1,2,NaN,bicycle,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
mlp_mixer,1,3,NaN,clock,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
mlp_mixer,1,4,NaN,chair,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
mlp_mixer,1,5,NaN,clock,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
mlp_mixer,1,6,NaN,clock,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
mlp_mixer,1,7,NaN,clock,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
mlp_mixer,1,8,NaN,chair,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
mlp_mixer,1,9,NaN,chair,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
mlp_mixer,1,10,NaN,dog,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
mlp_mixer,1,11,NaN,bear,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
mlp_mixer,1,12,NaN,dog,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
mlp_mixer,1,13,NaN,chair,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
mlp_mixer,1,14,NaN,oven,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
mlp_mixer,1,15,NaN,knife,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
mlp_mixer,1,16,NaN,bicycle,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
mlp_mixer,1,17,NaN,keyboard,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
