subj,session,trial,rt,object_response,category,condition,imagename
swin_base,1,1,NaN,bird,elephant,0.03,0001_nse_dnn_0.03_elephant_10_n02504458_7209.png
swin_base,1,2,NaN,knife,knife,0.90,0002_nse_dnn_0.90_knife_10_n03041632_82878.png
swin_base,1,3,NaN,elephant,clock,0.00,0003_nse_dnn_0.00_clock_10_n03196217_9231.png
swin_base,1,4,NaN,dog,oven,0.00,0004_nse_dnn_0.00_oven_10_n04111531_11026.png
swin_base,1,5,NaN,knife,clock,0.10,0005_nse_dnn_0.10_clock_10_n04548280_1114.png
swin_base,1,6,NaN,chair,clock,0.03,0006_nse_dnn_0.03_clock_10_n02708093_8100.png
swin_base,1,7,NaN,oven,clock,0.00,0007_nse_dnn_0.00_clock_10_n02708093_3591.png
swin_base,1,8,NaN,dog,chair,0.00,0008_nse_dnn_0.00_chair_10_n03376595_16202.png
swin_base,1,9,NaN,truck,bottle,0.60,0009_nse_dnn_0.60_bottle_10_n02823428_3478.png
swin_base,1,10,NaN,knife,dog,0.10,0010_nse_dnn_0.10_dog_10_n02087394_28673.png
swin_base,1,11,NaN,knife,chair,0.10,0011_nse_dnn_0.10_chair_10_n04099969_1690.png
swin_base,1,12,NaN,dog,cat,0.03,0012_nse_dnn_0.03_cat_10_n02125311_1736.png
swin_base,1,13,NaN,knife,bear,0.90,0013_nse_dnn_0.90_bear_10_n02133161_1169.png
swin_base,1,14,NaN,knife,bear,0.90,0014_nse_dnn_0.90_bear_10_n02133161_8835.png
swin_base,1,15,NaN,dog,car,0.20,0015_nse_dnn_0.20_car_10_n02814533_5430.png
swin_base,1,16,NaN,truck,bear,0.60,0016_nse_dnn_0.60_bear_10_n02134418_3767.png
swin_base,1,17,NaN,truck,knife,0.20,0017_nse_dnn_0.20_knife_10_n03041632_10540.png
swin_base,1,18,NaN,dog,bicycle,0.20,0018_nse_dnn_0.20_bicycle_10_n02835271_1075.png
swin_base,1,19,NaN,dog,bear,0.00,0019_nse_dnn_0.00_bear_10_n02134084_3888.png
swin_base,1,20,NaN,dog,dog,0.00,0020_nse_dnn_0.00_dog_10_n02085936_9009.png
swin_base,1,21,NaN,elephant,knife,0.03,0021_nse_dnn_0.03_knife_10_n03041632_12651.png
swin_base,1,22,NaN,truck,bicycle,0.35,0022_nse_dnn_0.35_bicycle_10_n03792782_565.png
swin_base,1,23,NaN,dog,boat,0.20,0023_nse_dnn_0.20_boat_10_n04612504_40672.png
swin_base,1,24,NaN,bird,dog,0.05,0024_nse_dnn_0.05_dog_10_n02098105_146.png
swin_base,1,25,NaN,elephant,clock,0.03,0025_nse_dnn_0.03_clock_10_n02708093_5944.png
